id,brand,model,version,year,km,sell_price,purchase_price
455,HONDA,[*AJ*] VFR,800 FI CON ABS,2003,80000,3290,
456,HONDA,SILVER WING,400,2011,76000,1990,1000
460,KYMCO,ZING II,125,2006,12400,1090,
466,KYMCO,AK,550,2020,1000,7790,
468,HONDA,PAN-EUROPEAN,ST 1300 ABS,2008,120000,5990,
470,SYM,JOYMAX,125 COMFORT,2017,20600,2490,1200
472,PIAGGIO,X9 EVOLUTION,500 ABS,2004,80000,790,
481,YAMAHA,[*AJ*] FZ6,S,2005,40000,2290,
483,SYM,JOYMAX,125 SPORT,2013,13200,2890,1100
485,YAMAHA,[*AJ*] X-MAX,250,2006,60000,990,
487,KAWASAKI,NINJA,650,2019,5800,5790,
490,HONDA,CB,600 F HORNET,2005,78000,1690,
492,HONDA,CRF-1000L,AFRICA TWIN DCT,2017,6671,12590,10500
494,KEEWAY,RKV,125,2017,25500,1390,
498,BMW,R,Cheese,2009,2409,69865,
501,PIAGGIO,LIBERTY,125 4T,2011,34000,1190,
502,YAMAHA,YZF,R 125,2020,2701,4190,3300
516,YAMAHA,FZ6,N S2,2009,12500,3290,
527,KYMCO,GRAND DINK,125,2016,5800,1790,
528,KYMCO,AGILITY,50,2020,1075,1890,1300
531,SUZUKI,GSR,600,2006,39000,2590,
533,YAMAHA,MT,1,2007,55000,5790,4500
534,YAMAHA,FZ6,N,2006,57000,2290,
544,YAMAHA,[*AJ*] TRACER,900,2016,40000,8190,
547,HONDA,CBF,600 N,2007,20000,2990,
550,YAMAHA,MT,07 ABS,2017,22000,4590,
555,KYMCO,XCITING,400 ABS,2018,21100,3890,
556,KAWASAKI,NINJA,650,2017,12000,5190,
558,YAMAHA,[*AJ*] X-MAX,400,2016,10000,4290,
559,YAMAHA,MT,07 ABS,2018,7000,5290,
564,BMW,[*AJ*] F,800 ST,2007,50000,2990,
570,SUZUKI,MARAUDER,250,2000,39000,990,
573,KTM,DUKE,690,2018,6500,5490,
574,YAMAHA,YZF,R 6,2007,23000,3890,
579,HONDA,X-ADV,750,2021,9300,10490,
584,KAWASAKI,[*AJ*] Z,750 R,2011,30000,3790,
597,KAWASAKI,ER,6F,2016,79354,3090,1200
600,KAWASAKI,Z,800,2015,21000,5790,
603,YAMAHA,X-MAX,125,2006,40000,1000,
605,BENELLI,LEONCINO,CINCUECENTO,2010,158469,1258,
610,HONDA,INTEGRA,750,2012,14780,4790,
618,SUZUKI,SV,650,2003,25000,1590,
624,GASGAS,EC,200,2006,12000,1790,
627,BMW,C,600 SPORT,2013,17300,5490,
630,BMW,R,1200 GS ADVENTURE,2018,10000,18990,
633,KYMCO,AGILITY,125,2021,1250,1990,
635,YAMAHA,YZF,R 125,2018,10000,3290,2700
639,HARLEY DAVIDSON,SPORTSTER,FORTY EIGHT 1200,2015,1500,11290,
647,RIEJU,MRT,PRO 50SM,2018,5000,2390,
653,KYMCO,K-XCT,125i,2016,4000,2490,1700
655,YAMAHA,T-MAX,530 ABS,2018,15200,8990,
657,KYMCO,PEOPLE,125 S,2020,5745,2290,
659,KTM,[*AJ*] DUKE,690,2015,20000,4890,
664,YAMAHA,XJ6,600 DIVERSION S ABS,2012,40000,3990,
666,BMW,[*AJ*] K,1200 S,2006,80000,4190,
668,SUZUKI,GSX,R 750,2007,55000,4490,
675,SUZUKI,[*AJ*] SV,650,2019,10000,5490,
677,SUZUKI,BURGMAN,125,2014,16900,2290,
678,MV AGUSTA,BRUTALE,750 S,2005,27000,5190,
683,YAMAHA,YBR,250,2009,12000,1390,
686,KYMCO,PEOPLE,125 S,2020,5000,2490,
690,YAMAHA,[*AJ*] WR,125 X,2016,30000,2590,
691,BMW,R,1200 R,2014,63000,7090,
694,SYM,[*AJ*] SYMPHONY,125 SR,2017,10000,1490,800
698,BMW,F,650 GS,2004,50400,3090,
699,BMW,S,1000 R,2015,19000,10490,
705,KTM,DUKE,125,2013,27000,2490,
711,SUZUKI,MARAUDER,125,2005,35000,1290,
712,YAMAHA,YZF,R1,2003,43769,3990,
713,HONDA,[*AJ*] CBR,600 RR,2007,30000,4290,
715,HONDA,FORZA,125,2017,21000,3490,
718,HARLEY DAVIDSON,SPORTSTER,883 CUSTOM,2006,20000,5990,
719,YAMAHA,MT,1,2010,70,5490,
727,KEEWAY,RKV,125,2014,14000,1490,650
730,SUZUKI,GSX,R 1000,2008,44500,6390,
734,HARLEY DAVIDSON,SPORTSTER,1200 R ROADSTER,2017,20200,11490,
737,YAMAHA,MT,09 SP,2018,4000,9990,
751,SYM,JET,4T 125,2020,3750,2190,1100
766,KYMCO,[*AJ*] XCITING,400 ABS,2014,40000,2790,
782,HONDA,CBF,600 S,2004,44800,2290,
783,PIAGGIO,LIBERTY,50 2T,2009,35000,1190,400
787,SUZUKI,GSR,600,2008,27900,2890,
789,YAMAHA,X-MAX,250,2009,73000,1190,
791,KYMCO,GRAND DINK,125,2018,30000,2590,
803,BMW,R,1200 R,2007,30000,6790,
806,KAWASAKI,NINJA,250,2020,3800,3690,
810,SUZUKI,BANDIT,650 S ABS,2006,40,2290,
812,HARLEY DAVIDSON,SOFTAIL,CUSTOM,2017,380000,19990,
813,KAWASAKI,VULCAN,EN 500,1991,19000,1990,
814,DUCATI,HYPERMOTARD,796,2010,52000,4990,
817,SYM,FIDLE II,125,2018,420,1790,
819,HONDA,SILVER WING,400,2009,26,2990,
823,KTM,DUKE,125,2015,19700,2790,
827,HONDA,[*AJ*] PCX,125,2010,60000,990,250
828,BMW,R,1200 C,2000,65000,6890,
831,KYMCO,GRAND DINK,300 ABS,2019,12000,3390,
835,SYM,JOYMAX,125 SPORT,2017,29644,1990,
836,BMW,F,650 GS,2010,50000,4390,2700
837,KAWASAKI,Z,900,2019,11000,6790,
839,SUZUKI,BURGMAN,400,2007,50000,1990,
845,KTM,ADVENTURE,1290 S,2021,3000,14890,
846,KTM,[*AJ*] DUKE,125,2021,10000,4490,
847,HYOSUNG,GT,125 COMET,2013,10500,1790,
849,TRIUMPH,TIGER,EXPLORER ABS,2015,35000,10990,
854,KAWASAKI,VERSYS,650 ABS,2015,52140,4990,
860,BMW,F,650 GS,2010,80000,4290,
862,KAWASAKI,Z,800,2016,18,6090,
864,VESPA,PRIMAVERA,125 3V ABS,2016,25373,2590,
866,YAMAHA,XT,600 E,1997,16042,2390,
869,YAMAHA,MT,07 ABS,2021,1300,6590,
871,HONDA,[*AJ*] CB,600 F HORNET,2007,60000,2690,
873,BMW,[*AJ*] C,650 GT,2017,30000,5890,
877,BMW,[*AJ*] F,800 GS,2012,30000,7490,
883,KAWASAKI,Z,900,2018,18900,6590,
887,YAMAHA,MT,07 ABS,2019,20000,5290,
894,SYM,JOYMAX,125 START&STOP ABS,2018,22500,2290,
896,TRIUMPH,AMERICA,900 BITONO,2012,21500,6290,
897,BMW,R,1200 GS,2006,74000,6090,
900,HARLEY DAVIDSON,SPORTSTER,1200 CUSTOM,2018,22374,10990,9200
902,HONDA,CBR,1000 RR FIREBLADE,2005,59000,3990,
903,HONDA,CB,500 X ABS,2020,12000,5290,
911,YAMAHA,XV,535 DX VIRAGO,1991,45000,2090,
916,HONDA,CBR,600 RR,2006,27,4290,
919,SUZUKI,GS,500,2005,33000,1990,
923,KAWASAKI,Z,1000,2015,14800,9390,8000
932,PIAGGIO,X 7,250,2008,23600,1790,
934,KYMCO,SUPER DINK,125 I ABS,2018,300000,2990,2100
935,HONDA,[*AJ*] PAN-EUROPEAN,ST 1300 ABS,2007,60000,5490,
938,SUZUKI,[*AJ*] BURGMAN,125 R,2013,20000,2090,
941,KAWASAKI,VULCAN,S,2019,4220,6590,
943,HONDA,FORZA,300 ABS,2021,457,5490,4600
945,KAWASAKI,VERSYS,650,2007,17500,3090,
955,KYMCO,K-XCT,300i,2015,22340,2690,
956,YAMAHA,X-MAX,300,2021,2732,5290,
958,BMW,K,1300 R,2010,81982,6190,
965,YAMAHA,[*AJ*] YZF,R6 R,2007,30000,5890,3800
968,KYMCO,K-XCT,300i,2013,13000,2990,
969,YAMAHA,TRICITY,125 ABS,2018,8200,2890,
973,TRIUMPH,TIGER,EXPLORER ABS,2018,22000,13890,
976,SUZUKI,V-STROM,650 ABS,2020,24000,7490,
979,SUZUKI,GSR,600,2006,55000,2290,
980,YAMAHA,MAJESTY,125,2005,21000,1490,
981,VESPA,PX,125,2006,145000,1990,
987,KEEWAY,SUPERLIGHT,125,2020,4000,1790,
991,HONDA,FORZA,300,2013,20000,3190,
995,DUCATI,MONSTER,696,2011,16786,4790,
996,BMW,K,1600 GT,2013,49000,13290,
997,BMW,[*AJ*] F,700 GS,2019,10000,8490,
998,YAMAHA,FZ6,N,2004,67934,1790,
1003,KEEWAY,RKV,125,2017,22500,1290,
1006,KAWASAKI,NINJA,ZX 6R,2007,15000,4990,
1009,YAMAHA,YBR,125,2008,20815,1390,
1010,DUCATI,MONSTER,620 DARK,2005,45000,2490,
1015,KYMCO,XCITING,400 ABS,2021,32000,3990,
1016,YAMAHA,MT,07 ABS,2020,6800,5890,4800
1019,PIAGGIO,LIBERTY,50 2T,2018,20000,1690,
1023,PIAGGIO,MP3,LT 500 BUSSINES,2019,6500,6990,
1032,KTM,EXC,690 R,2009,14000,4990,
1034,BMW,R,1150 R,2003,52000,4590,3200
1036,YAMAHA,[*AJ*] MT,07 ABS,2019,10000,5690,
1037,KAWASAKI,Z,750,2010,31000,3490,
1038,TRIUMPH,TIGER,800 XC ABS,2011,64100,5590,
1042,KAWASAKI,[*AJ*] Z,900,2017,30000,6490,5500
1046,HONDA,[*AJ*] VISION,110,2018,20000,1490,
1051,BMW,[*AJ*] C,600 SPORT,2016,20000,6490,
1052,MOTO GUZZI,[*AJ*] GRISO,1100,2009,30000,4990,
1053,SUZUKI,V-STROM,650 ABS,2019,18000,6990,
1061,KYMCO,XCITING,400 ABS,2014,42000,2890,
1062,BMW,[*AJ*] R,1200 GS,2009,80000,7290,
1063,KYMCO,AGILITY,CITY 125,2018,6000,1890,
1065,MASH,CAFÃ‰ RACER,125,2017,1440,1990,1000
1071,KAWASAKI,Z,650,2017,10000,4790,
1075,HARLEY DAVIDSON,TOURING,ELECTRA GILDE ULTRA CLASSIC,2000,69000,10990,
1077,KYMCO,X CITING,400 ABS,2016,11000,3590,
1079,KEEWAY,RKV,125,2016,18000,1190,
1080,YAMAHA,[*AJ*] XJ6,600 DIVERSION N,2011,20000,3790,2200
1083,YAMAHA,[*AJ*] YZF,R1,2004,80000,4490,
1091,BMW,C,650 GT,2016,21000,6190,
1097,SUZUKI,V-STROM,650,2009,4900,5090,
1101,KEEWAY,SILVER BLADE,125,2018,6500,1790,
1103,BMW,R,1200 GS,2004,70000,5890,
1106,BMW,C,600 SPORT,2020,5600,8990,
1107,SUZUKI,V-STROM,1000,2004,82500,3990,
1108,KYMCO,SUPER DINK,300 I,2016,49000,1790,
1109,BMW,F,700 GS,2020,25000,8490,
1116,SYM,JOYMAX,300 START&STOP ABS,2017,6500,3000,
1117,APRILIA,RS,125 2 TIEMPOS,2013,13655,2790,
1118,KYMCO,VENOX,250 I,2004,17300,1590,
1123,SYM,SYMPHONY,50,2016,15000,990,350
1131,KAWASAKI,Z,750,2008,13000,3990,
1132,YAMAHA,XJ6,600 DIVERSION N,2012,45000,2990,
1134,KTM,EXC,250 F,2021,1950,8890,6250
1137,DAELIM,DAYSTAR,125 FI,2019,1423,1990,1200
1144,BMW,[*AJ*] K,1200 LT,2008,80000,5990,
1159,KAWASAKI,Z,S,2015,55000,1490,
1170,YAMAHA,YZF,R 6,2003,63000,2790,
1174,KYMCO,SUPER DINK,125 I,2017,28271,1890,
1175,KTM,DUKE,125,2021,2100,2490,
1177,TRIUMPH,BONNEVILLE,BLACK,2020,1500,11490,
1183,KYMCO,SUPER DINK,125 I ABS,2012,11435,1990,1100
1191,BMW,S,1000 RR,2012,74500,9190,
1194,HONDA,FORZA,300 ABS,2014,50000,2190,
1196,MALAGUTI,MADISON,250,2019,956,3090,
1204,YAMAHA,YZF,R 125,2017,15000,3690,
1214,BMW,[*AJ*] S,1000 XR,2021,10000,19990,
1220,HONDA,CBR,600 RR,2007,12000,5890,
1221,KAWASAKI,Z,900,2020,2700,8290,
1222,DUCATI,[*AJ*] MONSTER,821 DARK,2019,10000,7990,
1229,SUZUKI,V-STROM,650 ABS,2019,18000,7290,5500
1235,TRIUMPH,TIGER,800 XC ABS,2011,80000,4990,
1239,SYM,GTS,125 EVO,2011,31,1190,
1240,PIAGGIO,LIBERTY,125 4T,2014,1500,1590,
1243,TRIUMPH,SPEEDMASTER,900,2019,10000,11990,
1247,YAMAHA,FZ6,S,2004,48000,2290,
1250,APRILIA,RXV,450,2007,5000,2990,
1253,YAMAHA,T-MAX,TECH MAX,2021,5500,12490,
1262,BENELLI,[*AJ*] BN,251,2021,10000,2190,
1267,KTM,EXC,300 SIX DAYS,2019,5000,6390,
1276,KYMCO,AGILITY,125,2013,13,990,
1280,BMW,K,1200 GT,2008,135,4990,
1284,SUZUKI,INTRUDER,C 800 VOLUSIA,2002,100000,3590,
1287,YAMAHA,YZF,R1,2004,48500,5490,3500
1293,BMW,S,1000 RR,2017,20000,14990,
1298,KAWASAKI,Z,750,2009,47000,3490,
1301,HONDA,CBR,1000 RR,2016,46000,4990,
1307,KYMCO,GRAND DINK,125,2018,17500,2990,
1309,HONDA,PCX,125,2014,35000,1590,
1313,HONDA,CB,500 X,2018,16000,4990,
1314,DAELIM,DAYSTAR,125 FI,2005,4000,1090,
1315,YAMAHA,XT,600 E,1999,37000,1790,
1319,BMW,K,1600GTL,2018,3500,19990,
1325,SUZUKI,V-STROM,1000,2007,42000,4590,
1326,KAWASAKI,Z,750,2008,75000,2890,
1332,HONDA,CBR,600 F,2004,40000,2790,
1339,YAMAHA,MT,07 ABS,2016,33846,4390,
1342,YAMAHA,FJR,1300 AS,2007,89,5990,
1344,VESPA,PK,125 XL,1987,15000,2290,
1345,KAWASAKI,Z,800,2015,33,5490,
1346,DUCATI,MONSTER,796,2012,42000,4990,
1347,PIAGGIO,ZIP,50 2T,2011,12888,890,
1350,KTM,[*AJ*] SUPER DUKE,1290 GT,2019,30000,11990,
1359,SUZUKI,GSR,600,2007,50000,2190,
1363,YAMAHA,YZF,R1,2020,4444,19490,
1365,YAMAHA,[*AJ*] MT,1,2021,20000,3890,
1366,KYMCO,PEOPLE,125 S,2020,35000,1290,
1367,HONDA,CBR,125 R,2019,8311,3490,
1368,YAMAHA,XV,1100 VIRAGO,1991,40000,2590,
1369,KAWASAKI,Z,800,2013,37653,5290,
1372,BMW,R,1150 R,2002,36500,3990,
1373,HONDA,X-ADV,750,2018,19000,8190,
1374,APRILIA,[*AJ*] SHIVER,750,2009,40000,4990,3200
1376,YAMAHA,[*AJ*] YZF,R1,2006,40000,6290,4700
1383,PIAGGIO,MP3,LT 500 SPORT,2016,11410,5790,3800
1387,PEUGEOT,SATELIS,250 URBAN,2012,38000,1390,
1390,SUZUKI,GS,500 F,2005,25253,1990,
1393,HONDA,FORZA,300 ABS,2016,13600,2990,
1395,KEEWAY,RKV,125,2019,3500,1890,900
1403,HONDA,CBR,600 RR,2007,35000,4190,
1405,KAWASAKI,NINJA,650,2012,35588,3990,2900
1411,KYMCO,SUPER DINK,125,2020,1900,3090,2300
1415,HONDA,NC,700 S,2012,54,3490,2000
1425,YAMAHA,T-MAX,500,2010,25000,5390,
1429,BMW,R,NINET RACER,2017,9200,9890,
1435,HONDA,VT,750 SHADOW,2010,8200,4490,
1436,KYMCO,X CITING,400 S,2020,4750,5090,
1437,HONDA,CBR,500R,2017,35000,4290,
1438,PEUGEOT,TWEET,125,2013,40465,1090,
1443,KAWASAKI,Z,900,2017,14500,6690,
1446,HONDA,CBR,1100XX,2003,64000,4990,
1447,SUZUKI,GLADIUS,650,2010,24000,3390,
1457,KAWASAKI,Z,900,2018,9500,6890,
1460,DAELIM,DAYSTAR,125 FI,2007,5300,1590,
1464,HONDA,SH,300,2011,38400,2590,
1470,SYM,JET,125,2018,10000,1890,
1473,HONDA,CBR,600 F,2007,50800,2790,
1477,SUZUKI,BURGMAN,150,2006,26000,1190,
1479,HARLEY DAVIDSON,SPORTSTER,XL 1200,2016,22300,10490,
1480,SUZUKI,GLADIUS,650,2012,60000,2790,
1481,HONDA,PCX,125,2017,15000,2490,1900
1482,YAMAHA,TRICITY,300,2021,1800,7590,
1491,YAMAHA,X-CITY,250,2011,21900,1990,
1492,TRIUMPH,STREET,TRIPLE,2010,66500,3690,
1493,YAMAHA,MT,7,2014,23000,4190,
1501,YAMAHA,YZF,R 6,2002,68000,1790,
1509,YAMAHA,YZF,R1,2006,20000,5990,
1513,HONDA,VTR,250,1999,59000,1490,
1514,SUZUKI,GSX,R 600,2004,33000,3390,2000
1519,DAELIM,DAYSTAR,125 FI,2013,18000,1290,
1522,SUZUKI,INTRUDER,250,2008,8000,1790,
1530,SYM,MAXSYM,400,2021,2800,5390,
1531,KAWASAKI,VULCAN,EN 500,1990,50000,1990,
1532,HONDA,INTEGRA,INTEGRA,2018,23000,7790,
1537,RIEJU,MRX,125,2006,2800,1990,
1538,SUZUKI,V-STROM,650,2009,66000,3690,
1545,HARLEY DAVIDSON,DYNA,STREET BOB,2005,38000,8990,
1552,BETA,RR,T ENDURO,2021,1900,6290,
1556,HONDA,SH,125,2018,30000,2290,
1559,YAMAHA,[*AJ*] X-MAX,250,2016,20000,3390,
1561,HONDA,CBF,600 S,2006,11248,3190,
1563,BMW,R,1200 GS,2005,87000,5990,
1572,HONDA,CR,125 R,2021,2000,4190,
1576,BMW,R850R,850 R,2006,30900,4790,3500
1581,KAWASAKI,NINJA,125,2021,80,4290,
1583,BMW,K,1600 GT,2011,49000,13690,
1584,MOTOR HISPANIA,NKZ,125,2020,1900,1790,
1585,KEEWAY,K LIGHT,125,2019,2400,1790,
1587,SYM,CRUISYM,125,2019,2006,3290,
1588,DERBI,BOULEVAR,50 2T,2010,28851,990,
1597,BMW,F,800 R,2018,17000,6190,
1598,YAMAHA,CYGNUS,125 X,2008,36,1090,
1604,HONDA,PCX,125,2019,5400,2490,
1605,PIAGGIO,X 8,200,2004,21500,1490,
1609,YAMAHA,[*AJ*] T-MAX,530,2012,30000,6990,5600
1616,SUZUKI,GSX,R 1000,2007,40000,5490,
1618,KEEWAY,RKS,125,2019,4165,1890,
1620,HONDA,VFR,800 FI,2003,89000,2490,
1624,YAMAHA,YZF,R 6,2009,51000,5990,
1629,YAMAHA,MT,3,2018,11700,4290,
1638,BETA,RR,T ENDURO,2020,390,5790,
1641,KAWASAKI,ER,6N,2015,9000,4890,
1646,YAMAHA,MT,10,2016,55500,9290,
1677,BMW,R,850 R,1998,74000,2490,
1678,BMW,F,800 ST,2007,48000,3590,
1679,HARLEY DAVIDSON,SPORTSTER,883 LOW,2007,45000,7890,
1688,SUZUKI,BURGMAN,200,2018,62000,1790,
1704,SUZUKI,GSR,600,2007,26,2990,
1706,HUSABERG,TE,250,2013,8600,4490,
1708,KTM,DUKE,125,2020,3400,3990,
1730,SUZUKI,INTRUDER,125,2007,25000,1790,800
1733,SUZUKI,INTRUDER,C 800,2011,27943,5390,4000
1736,YAMAHA,T-MAX,500,2009,28000,5490,
1741,SUZUKI,V-STROM,1000,2017,25000,8990,
1744,KAWASAKI,NINJA,ZX 6R,2009,47000,3690,
1748,HUSQVARNA,TE,449,2018,12400,7090,
1752,HONDA,CBF,600 S,2008,53000,2990,
1753,HONDA,MSX,125,2021,970,3390,2400
1755,BENELLI,TRE,K1130,2016,15000,3490,
1756,BMW,R,1200 RT 110 CV,2008,96000,6990,
1764,YAMAHA,YZF,R 6,2007,42000,3790,
1769,HONDA,[*AJ*] CBR,1000 RR FIREBLADE,2005,60000,3990,
1776,BMW,R,1150 R,2005,97000,2990,
1777,YAMAHA,X-MAX,250,2007,41000,1990,
1793,HARLEY DAVIDSON,TOURING,ELECTRA GILDE ULTRA CLASSIC,2011,32000,10990,
1796,DAELIM,DAYSTAR,125 FI,2007,5000,1290,
1809,BMW,C,650 SPORT,2019,10500,6990,
1810,KAWASAKI,VERSYS,650,2018,3000,6890,
1852,SUZUKI,INTRUDER,125,2007,14356,2190,
1915,SYM,CRUISYM,125,2021,6700,2990,
1933,HARLEY DAVIDSON,SPORTSTER,XL 1200,2006,30000,6490,
1940,BMW,R,1200 GS,2013,72160,9490,
2124,KAWASAKI,Z,650,2018,3663,4890,
2436,YAMAHA,YZF,R 6,2006,23000,3790,
2491,PIAGGIO,LIBERTY,125,2021,4800,1990,
2572,HONDA,CBR,600 RR,2006,11000,4990,
2577,HARLEY DAVIDSON,TOURING,ELECTRA GILDE ULTRA CLASSIC,2003,80,9990,
2602,HONDA,SILVER WING,600,2008,23000,3990,
2618,APRILIA,DORSODURO,750,2009,34000,4990,3400
2628,YAMAHA,BT,1100 BULLDOG,2004,31000,3390,
2645,KAWASAKI,ER,6N,2008,37000,2690,
2674,BMW,R,1150 RT,2002,86000,3990,
2696,KTM,EXC,300 SIX DAYS,2020,1500,6990,
2776,HARLEY DAVIDSON,SPORTSTER,FORTY EIGHT 1200,2014,15000,10990,
2809,SUZUKI,INTRUDER,C 1500,2005,60000,4990,
2810,APRILIA,TUONO,1000,2006,17000,4490,
2823,HONDA,CBF,600 N,2012,28,3990,
2866,YAMAHA,MT,9,2018,21000,7990,
2937,BMW,K,1200 GT,2007,129000,4790,
2949,KAWASAKI,Z,900,2018,14000,6690,
2966,HARLEY DAVIDSON,SPORTSTER,1200 CUSTOM,2012,21000,8290,
2972,KYMCO,GRAND DINK,300,2018,6500,2990,
2985,APRILIA,HABANA,50,2004,8000,990,
3001,SUZUKI,GSX,R 600,2004,55000,2290,
3032,DAELIM,BESBI,125 CC,2011,10097,990,200
3140,HONDA,CBR,600 F,2001,48000,2290,
3148,HONDA,VT,750 SHADOW,2010,12500,4990,
3182,SUZUKI,V-STROM,650,2014,40000,5190,
3188,YAMAHA,T-MAX,530,2015,39500,7490,
3207,HONDA,CBR,600 F,2002,46000,1990,
3234,MACBOR,ROCKSTER,125,2019,3500,1790,
3262,DUCATI,MONSTER,696,2009,46200,3990,
3341,BMW,K,1200 R,2006,38000,4990,
3423,HONDA,CB,600 F HORNET,2008,66000,2590,
3441,BMW,F,700 GS,2015,40000,6490,
3462,YAMAHA,XVS,650 DRAG STAR CLASSIC,2003,50000,2990,
3472,YAMAHA,AEROX,50 R,2015,500,1090,
3484,KTM,DUKE,690,2016,9000,5490,
3492,HONDA,FORZA,300,2020,7000,4690,
3500,YAMAHA,XV,950,2016,7980,6790,
