id,Brand,Model,Year,Odometer,Sell_Price,Purchase_Price,Category,Rating,Displacement (ccm),Power (hp),Torque (Nm),Engine cylinder,Engine stroke,Gearbox,Bore (mm),Stroke (mm),Fuel capacity (lts),Fuel system,Fuel control,Cooling system,Transmission type,Dry weight (kg),Wheelbase (mm),Seat height (mm),Front brakes,Rear brakes,Front tire,Rear tire,Front suspension,Rear suspension,Color options
53252,honda,forza 125,2019,20000,3790,,Scooter,,124.9,14.8,12.5,Single cylinder, four-stroke,Automatic,52.4,57.9,11.5,Injection. PGM-FI electronic fuel injection,Single Overhead Cams (SOHC),Liquid,Belt,,1490.0,780.0,Single disc. ABS. ,Single disc. ABS. ,120/70-15 ,140/70-14 ,Telescopic,Twin,"Gloss Black/Matt Cynos Grey Metallic, Matt Lucent Silver Metallic/Matt Pearl Pacific Blue, Matt Carnellian Metallic/Pearl Nightstar Black"
210,bmw,r 1200 r,2015,58000,8490,,Allround,3.9,1170.0,125.0,125.0,Two cylinder boxer, four-stroke,6-speed,101.0,73.0,18.0,"Injection. Electronic intake pipe injection/BMS-K+ digital enfinemanagement with overrun fuel cut-off, twin spark ignition",Double Overhead Cams/Twin Cam (DOHC),Oil & air,Shaft drive,,1515.0,790.0,Double disc. ABS. Floating discs. Four-piston calipers. ,Single disc. ABS. Floating disc. Two-piston calipers. ,120/70-ZR17 ,180/55-ZR17 ,Telescopic Upside-Down fork; stanchion diameter 45 mm,"Cast aluminium single-sided swing arm with BMW Motorrad Paralever; WAD strut (travel-related damping), spring pre-load hydraulically adjustable (continuously variable) at handwheel, rebound damping adjustable at handwheel","Blue, grey, white"
16736,bmw,r 1200 r,2015,30000,9790,,Allround,3.9,1170.0,125.0,125.0,Two cylinder boxer, four-stroke,6-speed,101.0,73.0,18.0,"Injection. Electronic intake pipe injection/BMS-K+ digital enfinemanagement with overrun fuel cut-off, twin spark ignition",Double Overhead Cams/Twin Cam (DOHC),Oil & air,Shaft drive,,1515.0,790.0,Double disc. ABS. Floating discs. Four-piston calipers. ,Single disc. ABS. Floating disc. Two-piston calipers. ,120/70-ZR17 ,180/55-ZR17 ,Telescopic Upside-Down fork; stanchion diameter 45 mm,"Cast aluminium single-sided swing arm with BMW Motorrad Paralever; WAD strut (travel-related damping), spring pre-load hydraulically adjustable (continuously variable) at handwheel, rebound damping adjustable at handwheel","Blue, grey, white"
34835,bmw,r 1200 r,2015,40000,9890,,Allround,3.9,1170.0,125.0,125.0,Two cylinder boxer, four-stroke,6-speed,101.0,73.0,18.0,"Injection. Electronic intake pipe injection/BMS-K+ digital enfinemanagement with overrun fuel cut-off, twin spark ignition",Double Overhead Cams/Twin Cam (DOHC),Oil & air,Shaft drive,,1515.0,790.0,Double disc. ABS. Floating discs. Four-piston calipers. ,Single disc. ABS. Floating disc. Two-piston calipers. ,120/70-ZR17 ,180/55-ZR17 ,Telescopic Upside-Down fork; stanchion diameter 45 mm,"Cast aluminium single-sided swing arm with BMW Motorrad Paralever; WAD strut (travel-related damping), spring pre-load hydraulically adjustable (continuously variable) at handwheel, rebound damping adjustable at handwheel","Blue, grey, white"
233,kawasaki,vulcan s,2020,25520,5890,,Custom / cruiser,3.6,649.0,60.4,63.0,Twin, four-stroke,6-speed,83.0,60.0,14.0,"Injection. DFI  with two 38mm throttle bodies, with sub-throttles",Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain,,1575.0,705.0,Double disc. ABS. Two-piston calipers. ,Single disc. ABS. Single-piston caliper. ,120/70-18 ,160/60-17 ,41mm telescopic fork ,Lay-down offset rear shock with linkage and adjustable preload,"Metallic Flat Spark Black, Metallic Spark Black/Gold, Metallic Spark Black/Green"
19841,kawasaki,vulcan s,2020,10000,6290,,Custom / cruiser,3.6,649.0,60.4,63.0,Twin, four-stroke,6-speed,83.0,60.0,14.0,"Injection. DFI  with two 38mm throttle bodies, with sub-throttles",Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain,,1575.0,705.0,Double disc. ABS. Two-piston calipers. ,Single disc. ABS. Single-piston caliper. ,120/70-18 ,160/60-17 ,41mm telescopic fork ,Lay-down offset rear shock with linkage and adjustable preload,"Metallic Flat Spark Black, Metallic Spark Black/Gold, Metallic Spark Black/Green"
26432,kawasaki,vulcan s,2020,10000,6790,,Custom / cruiser,3.6,649.0,60.4,63.0,Twin, four-stroke,6-speed,83.0,60.0,14.0,"Injection. DFI  with two 38mm throttle bodies, with sub-throttles",Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain,,1575.0,705.0,Double disc. ABS. Two-piston calipers. ,Single disc. ABS. Single-piston caliper. ,120/70-18 ,160/60-17 ,41mm telescopic fork ,Lay-down offset rear shock with linkage and adjustable preload,"Metallic Flat Spark Black, Metallic Spark Black/Gold, Metallic Spark Black/Green"
42460,kawasaki,vulcan s,2020,10000,7290,,Custom / cruiser,3.6,649.0,60.4,63.0,Twin, four-stroke,6-speed,83.0,60.0,14.0,"Injection. DFI  with two 38mm throttle bodies, with sub-throttles",Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain,,1575.0,705.0,Double disc. ABS. Two-piston calipers. ,Single disc. ABS. Single-piston caliper. ,120/70-18 ,160/60-17 ,41mm telescopic fork ,Lay-down offset rear shock with linkage and adjustable preload,"Metallic Flat Spark Black, Metallic Spark Black/Gold, Metallic Spark Black/Green"
43646,kawasaki,vulcan s,2020,1788,7490,6500.0,Custom / cruiser,3.6,649.0,60.4,63.0,Twin, four-stroke,6-speed,83.0,60.0,14.0,"Injection. DFI  with two 38mm throttle bodies, with sub-throttles",Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain,,1575.0,705.0,Double disc. ABS. Two-piston calipers. ,Single disc. ABS. Single-piston caliper. ,120/70-18 ,160/60-17 ,41mm telescopic fork ,Lay-down offset rear shock with linkage and adjustable preload,"Metallic Flat Spark Black, Metallic Spark Black/Gold, Metallic Spark Black/Green"
282,bmw,c 600 sport,2013,17150,5490,,Scooter,3.5,647.0,59.0,66.0,Twin, four-stroke,,79.0,66.0,15.9,Injection,,Liquid,Chain,236.8,1590.0,810.0,Single disc. Floating discs. Two-piston calipers. ABS.,Single disc. Floating disc. Two-piston calipers. ABS.,120/70-15 ,160/60-15 ,Upside-down fork   40 mm,Single-sided swing arm,"Blue/gray, white/gray, black/gray"
627,bmw,c 600 sport,2013,17300,5490,,Scooter,3.5,647.0,59.0,66.0,Twin, four-stroke,,79.0,66.0,15.9,Injection,,Liquid,Chain,236.8,1590.0,810.0,Single disc. Floating discs. Two-piston calipers. ABS.,Single disc. Floating disc. Two-piston calipers. ABS.,120/70-15 ,160/60-15 ,Upside-down fork   40 mm,Single-sided swing arm,"Blue/gray, white/gray, black/gray"
9726,bmw,c 600 sport,2013,20000,5690,,Scooter,3.5,647.0,59.0,66.0,Twin, four-stroke,,79.0,66.0,15.9,Injection,,Liquid,Chain,236.8,1590.0,810.0,Single disc. Floating discs. Two-piston calipers. ABS.,Single disc. Floating disc. Two-piston calipers. ABS.,120/70-15 ,160/60-15 ,Upside-down fork   40 mm,Single-sided swing arm,"Blue/gray, white/gray, black/gray"
13733,bmw,c 600 sport,2013,40000,4790,,Scooter,3.5,647.0,59.0,66.0,Twin, four-stroke,,79.0,66.0,15.9,Injection,,Liquid,Chain,236.8,1590.0,810.0,Single disc. Floating discs. Two-piston calipers. ABS.,Single disc. Floating disc. Two-piston calipers. ABS.,120/70-15 ,160/60-15 ,Upside-down fork   40 mm,Single-sided swing arm,"Blue/gray, white/gray, black/gray"
32112,bmw,c 600 sport,2013,50000,4590,,Scooter,3.5,647.0,59.0,66.0,Twin, four-stroke,,79.0,66.0,15.9,Injection,,Liquid,Chain,236.8,1590.0,810.0,Single disc. Floating discs. Two-piston calipers. ABS.,Single disc. Floating disc. Two-piston calipers. ABS.,120/70-15 ,160/60-15 ,Upside-down fork   40 mm,Single-sided swing arm,"Blue/gray, white/gray, black/gray"
49070,bmw,c 600 sport,2013,23880,5290,4300.0,Scooter,3.5,647.0,59.0,66.0,Twin, four-stroke,,79.0,66.0,15.9,Injection,,Liquid,Chain,236.8,1590.0,810.0,Single disc. Floating discs. Two-piston calipers. ABS.,Single disc. Floating disc. Two-piston calipers. ABS.,120/70-15 ,160/60-15 ,Upside-down fork   40 mm,Single-sided swing arm,"Blue/gray, white/gray, black/gray"
49919,bmw,c 600 sport,2013,60000,3890,,Scooter,3.5,647.0,59.0,66.0,Twin, four-stroke,,79.0,66.0,15.9,Injection,,Liquid,Chain,236.8,1590.0,810.0,Single disc. Floating discs. Two-piston calipers. ABS.,Single disc. Floating disc. Two-piston calipers. ABS.,120/70-15 ,160/60-15 ,Upside-down fork   40 mm,Single-sided swing arm,"Blue/gray, white/gray, black/gray"
50246,bmw,c 600 sport,2013,43497,4790,3800.0,Scooter,3.5,647.0,59.0,66.0,Twin, four-stroke,,79.0,66.0,15.9,Injection,,Liquid,Chain,236.8,1590.0,810.0,Single disc. Floating discs. Two-piston calipers. ABS.,Single disc. Floating disc. Two-piston calipers. ABS.,120/70-15 ,160/60-15 ,Upside-down fork   40 mm,Single-sided swing arm,"Blue/gray, white/gray, black/gray"
54060,bmw,c 600 sport,2013,30000,4590,,Scooter,3.5,647.0,59.0,66.0,Twin, four-stroke,,79.0,66.0,15.9,Injection,,Liquid,Chain,236.8,1590.0,810.0,Single disc. Floating discs. Two-piston calipers. ABS.,Single disc. Floating disc. Two-piston calipers. ABS.,120/70-15 ,160/60-15 ,Upside-down fork   40 mm,Single-sided swing arm,"Blue/gray, white/gray, black/gray"
54960,bmw,c 600 sport,2013,60000,3990,,Scooter,3.5,647.0,59.0,66.0,Twin, four-stroke,,79.0,66.0,15.9,Injection,,Liquid,Chain,236.8,1590.0,810.0,Single disc. Floating discs. Two-piston calipers. ABS.,Single disc. Floating disc. Two-piston calipers. ABS.,120/70-15 ,160/60-15 ,Upside-down fork   40 mm,Single-sided swing arm,"Blue/gray, white/gray, black/gray"
302,keeway,rks 125,2017,17000,1490,,Naked bike,,124.5,11.3,10.0,Single cylinder, four-stroke,5-speed,57.0,48.8,16.0,Carburettor,Overhead Valves (OHV),Air,Chain,125.0,1260.0,760.0,Single disc,Expanding brake (drum brake),90/90-17 ,120/80-17 ,Telescopic forks,Telescopic coil spring oil damped,Black
12034,keeway,rks 125,2017,1700,1790,900.0,Naked bike,,124.5,11.3,10.0,Single cylinder, four-stroke,5-speed,57.0,48.8,16.0,Carburettor,Overhead Valves (OHV),Air,Chain,125.0,1260.0,760.0,Single disc,Expanding brake (drum brake),90/90-17 ,120/80-17 ,Telescopic forks,Telescopic coil spring oil damped,Black
21129,keeway,rks 125,2017,10000,1490,,Naked bike,,124.5,11.3,10.0,Single cylinder, four-stroke,5-speed,57.0,48.8,16.0,Carburettor,Overhead Valves (OHV),Air,Chain,125.0,1260.0,760.0,Single disc,Expanding brake (drum brake),90/90-17 ,120/80-17 ,Telescopic forks,Telescopic coil spring oil damped,Black
34559,keeway,rks 125,2017,30000,1390,,Naked bike,,124.5,11.3,10.0,Single cylinder, four-stroke,5-speed,57.0,48.8,16.0,Carburettor,Overhead Valves (OHV),Air,Chain,125.0,1260.0,760.0,Single disc,Expanding brake (drum brake),90/90-17 ,120/80-17 ,Telescopic forks,Telescopic coil spring oil damped,Black
39108,keeway,rks 125,2017,27000,1390,275.0,Naked bike,,124.5,11.3,10.0,Single cylinder, four-stroke,5-speed,57.0,48.8,16.0,Carburettor,Overhead Valves (OHV),Air,Chain,125.0,1260.0,760.0,Single disc,Expanding brake (drum brake),90/90-17 ,120/80-17 ,Telescopic forks,Telescopic coil spring oil damped,Black
311,yamaha,x-max 125,2016,76000,2090,,Scooter,,124.7,14.2,11.9,Single cylinder, four-stroke,Automatic,52.0,58.6,13.2,Injection. EFI,Single Overhead Cams (SOHC),Liquid,Belt,,1525.0,792.0,Single disc. Optional ABS.,Single disc. Optional ABS.,120/70-15 ,140/70-14 ,Telescopic fork,Unit swing,"Grey, white, dark grey"
6806,yamaha,x-max 125,2016,30000,3190,,Scooter,,124.7,14.2,11.9,Single cylinder, four-stroke,Automatic,52.0,58.6,13.2,Injection. EFI,Single Overhead Cams (SOHC),Liquid,Belt,,1525.0,792.0,Single disc. Optional ABS.,Single disc. Optional ABS.,120/70-15 ,140/70-14 ,Telescopic fork,Unit swing,"Grey, white, dark grey"
15854,yamaha,x-max 125,2016,10000,3590,,Scooter,,124.7,14.2,11.9,Single cylinder, four-stroke,Automatic,52.0,58.6,13.2,Injection. EFI,Single Overhead Cams (SOHC),Liquid,Belt,,1525.0,792.0,Single disc. Optional ABS.,Single disc. Optional ABS.,120/70-15 ,140/70-14 ,Telescopic fork,Unit swing,"Grey, white, dark grey"
40856,yamaha,x-max 125,2016,8700,3190,1700.0,Scooter,,124.7,14.2,11.9,Single cylinder, four-stroke,Automatic,52.0,58.6,13.2,Injection. EFI,Single Overhead Cams (SOHC),Liquid,Belt,,1525.0,792.0,Single disc. Optional ABS.,Single disc. Optional ABS.,120/70-15 ,140/70-14 ,Telescopic fork,Unit swing,"Grey, white, dark grey"
41082,yamaha,x-max 125,2016,30000,3490,,Scooter,,124.7,14.2,11.9,Single cylinder, four-stroke,Automatic,52.0,58.6,13.2,Injection. EFI,Single Overhead Cams (SOHC),Liquid,Belt,,1525.0,792.0,Single disc. Optional ABS.,Single disc. Optional ABS.,120/70-15 ,140/70-14 ,Telescopic fork,Unit swing,"Grey, white, dark grey"
42147,yamaha,x-max 125,2016,10000,3790,,Scooter,,124.7,14.2,11.9,Single cylinder, four-stroke,Automatic,52.0,58.6,13.2,Injection. EFI,Single Overhead Cams (SOHC),Liquid,Belt,,1525.0,792.0,Single disc. Optional ABS.,Single disc. Optional ABS.,120/70-15 ,140/70-14 ,Telescopic fork,Unit swing,"Grey, white, dark grey"
350,yamaha,x-max 300,2017,25500,3890,,Scooter,3.4,292.0,27.6,29.0,Single cylinder, four-stroke,Automatic,70.0,75.9,13.0,Injection,Single Overhead Cams (SOHC),Liquid,Belt,,1540.0,795.0,Single disc. Hydraulic. ABS.,Single disc. Hydraulic. ABS.,120/70-15 ,140/70-14 ,Telescopic forks,Unit Swing,"Black, white, bronze"
20710,yamaha,x-max 300,2017,6871,4390,3150.0,Scooter,3.4,292.0,27.6,29.0,Single cylinder, four-stroke,Automatic,70.0,75.9,13.0,Injection,Single Overhead Cams (SOHC),Liquid,Belt,,1540.0,795.0,Single disc. Hydraulic. ABS.,Single disc. Hydraulic. ABS.,120/70-15 ,140/70-14 ,Telescopic forks,Unit Swing,"Black, white, bronze"
25845,yamaha,x-max 300,2017,30000,3790,,Scooter,3.4,292.0,27.6,29.0,Single cylinder, four-stroke,Automatic,70.0,75.9,13.0,Injection,Single Overhead Cams (SOHC),Liquid,Belt,,1540.0,795.0,Single disc. Hydraulic. ABS.,Single disc. Hydraulic. ABS.,120/70-15 ,140/70-14 ,Telescopic forks,Unit Swing,"Black, white, bronze"
44258,yamaha,x-max 300,2017,30000,4190,,Scooter,3.4,292.0,27.6,29.0,Single cylinder, four-stroke,Automatic,70.0,75.9,13.0,Injection,Single Overhead Cams (SOHC),Liquid,Belt,,1540.0,795.0,Single disc. Hydraulic. ABS.,Single disc. Hydraulic. ABS.,120/70-15 ,140/70-14 ,Telescopic forks,Unit Swing,"Black, white, bronze"
54529,yamaha,x-max 300,2017,10000,4190,,Scooter,3.4,292.0,27.6,29.0,Single cylinder, four-stroke,Automatic,70.0,75.9,13.0,Injection,Single Overhead Cams (SOHC),Liquid,Belt,,1540.0,795.0,Single disc. Hydraulic. ABS.,Single disc. Hydraulic. ABS.,120/70-15 ,140/70-14 ,Telescopic forks,Unit Swing,"Black, white, bronze"
352,bmw,f 800 st,2008,22551,3590,,Sport touring,3.8,798.0,83.8,86.0,Twin, four-stroke,6-speed,82.0,75.6,16.0,Injection. Electronic intake pipe injection / digital engine management (BMS-K),,Liquid,Belt,182.0,1466.0,820.0,Double disc,Single disc,120/70-17 ,180/55-17 ,"Telescopic fork, Ø 43 mm","Cast aluminium single-sided swing arm with eccentric adjustment for rear axle, central spring strut, spring pre-load hydraulically adjustable (continuously variable) at handwheel, rebound damping adjustable",
46563,bmw,f 800 st,2008,60000,2990,,Sport touring,3.8,798.0,83.8,86.0,Twin, four-stroke,6-speed,82.0,75.6,16.0,Injection. Electronic intake pipe injection / digital engine management (BMS-K),,Liquid,Belt,182.0,1466.0,820.0,Double disc,Single disc,120/70-17 ,180/55-17 ,"Telescopic fork, Ø 43 mm","Cast aluminium single-sided swing arm with eccentric adjustment for rear axle, central spring strut, spring pre-load hydraulically adjustable (continuously variable) at handwheel, rebound damping adjustable",
427,suzuki,gsr 600,2007,40000,2390,,Naked bike,3.9,599.0,98.0,65.0,In-line four, four-stroke,,67.0,42.5,16.5,Injection,Double Overhead Cams/Twin Cam (DOHC),,Chain,183.0,1440.0,785.0,Double disc,Single disc,58W-Tubeless ,73W-Tubeless ,"Telescopic, coil spring, oil damped","Link type, coil spring, oil damped","Red,Blue,Silver"
1359,suzuki,gsr 600,2007,50000,2190,,Naked bike,3.9,599.0,98.0,65.0,In-line four, four-stroke,,67.0,42.5,16.5,Injection,Double Overhead Cams/Twin Cam (DOHC),,Chain,183.0,1440.0,785.0,Double disc,Single disc,58W-Tubeless ,73W-Tubeless ,"Telescopic, coil spring, oil damped","Link type, coil spring, oil damped","Red,Blue,Silver"
1704,suzuki,gsr 600,2007,26,2990,,Naked bike,3.9,599.0,98.0,65.0,In-line four, four-stroke,,67.0,42.5,16.5,Injection,Double Overhead Cams/Twin Cam (DOHC),,Chain,183.0,1440.0,785.0,Double disc,Single disc,58W-Tubeless ,73W-Tubeless ,"Telescopic, coil spring, oil damped","Link type, coil spring, oil damped","Red,Blue,Silver"
4671,suzuki,gsr 600,2007,12000,3090,,Naked bike,3.9,599.0,98.0,65.0,In-line four, four-stroke,,67.0,42.5,16.5,Injection,Double Overhead Cams/Twin Cam (DOHC),,Chain,183.0,1440.0,785.0,Double disc,Single disc,58W-Tubeless ,73W-Tubeless ,"Telescopic, coil spring, oil damped","Link type, coil spring, oil damped","Red,Blue,Silver"
6893,suzuki,gsr 600,2007,60000,2290,,Naked bike,3.9,599.0,98.0,65.0,In-line four, four-stroke,,67.0,42.5,16.5,Injection,Double Overhead Cams/Twin Cam (DOHC),,Chain,183.0,1440.0,785.0,Double disc,Single disc,58W-Tubeless ,73W-Tubeless ,"Telescopic, coil spring, oil damped","Link type, coil spring, oil damped","Red,Blue,Silver"
9177,suzuki,gsr 600,2007,30000,2790,,Naked bike,3.9,599.0,98.0,65.0,In-line four, four-stroke,,67.0,42.5,16.5,Injection,Double Overhead Cams/Twin Cam (DOHC),,Chain,183.0,1440.0,785.0,Double disc,Single disc,58W-Tubeless ,73W-Tubeless ,"Telescopic, coil spring, oil damped","Link type, coil spring, oil damped","Red,Blue,Silver"
10376,suzuki,gsr 600,2007,40000,2790,,Naked bike,3.9,599.0,98.0,65.0,In-line four, four-stroke,,67.0,42.5,16.5,Injection,Double Overhead Cams/Twin Cam (DOHC),,Chain,183.0,1440.0,785.0,Double disc,Single disc,58W-Tubeless ,73W-Tubeless ,"Telescopic, coil spring, oil damped","Link type, coil spring, oil damped","Red,Blue,Silver"
11113,suzuki,gsr 600,2007,50000,2490,,Naked bike,3.9,599.0,98.0,65.0,In-line four, four-stroke,,67.0,42.5,16.5,Injection,Double Overhead Cams/Twin Cam (DOHC),,Chain,183.0,1440.0,785.0,Double disc,Single disc,58W-Tubeless ,73W-Tubeless ,"Telescopic, coil spring, oil damped","Link type, coil spring, oil damped","Red,Blue,Silver"
12718,suzuki,gsr 600,2007,60000,2590,,Naked bike,3.9,599.0,98.0,65.0,In-line four, four-stroke,,67.0,42.5,16.5,Injection,Double Overhead Cams/Twin Cam (DOHC),,Chain,183.0,1440.0,785.0,Double disc,Single disc,58W-Tubeless ,73W-Tubeless ,"Telescopic, coil spring, oil damped","Link type, coil spring, oil damped","Red,Blue,Silver"
15567,suzuki,gsr 600,2007,80000,2290,,Naked bike,3.9,599.0,98.0,65.0,In-line four, four-stroke,,67.0,42.5,16.5,Injection,Double Overhead Cams/Twin Cam (DOHC),,Chain,183.0,1440.0,785.0,Double disc,Single disc,58W-Tubeless ,73W-Tubeless ,"Telescopic, coil spring, oil damped","Link type, coil spring, oil damped","Red,Blue,Silver"
16476,suzuki,gsr 600,2007,40000,2390,,Naked bike,3.9,599.0,98.0,65.0,In-line four, four-stroke,,67.0,42.5,16.5,Injection,Double Overhead Cams/Twin Cam (DOHC),,Chain,183.0,1440.0,785.0,Double disc,Single disc,58W-Tubeless ,73W-Tubeless ,"Telescopic, coil spring, oil damped","Link type, coil spring, oil damped","Red,Blue,Silver"
20741,suzuki,gsr 600,2007,50000,2290,,Naked bike,3.9,599.0,98.0,65.0,In-line four, four-stroke,,67.0,42.5,16.5,Injection,Double Overhead Cams/Twin Cam (DOHC),,Chain,183.0,1440.0,785.0,Double disc,Single disc,58W-Tubeless ,73W-Tubeless ,"Telescopic, coil spring, oil damped","Link type, coil spring, oil damped","Red,Blue,Silver"
22025,suzuki,gsr 600,2007,50000,2590,,Naked bike,3.9,599.0,98.0,65.0,In-line four, four-stroke,,67.0,42.5,16.5,Injection,Double Overhead Cams/Twin Cam (DOHC),,Chain,183.0,1440.0,785.0,Double disc,Single disc,58W-Tubeless ,73W-Tubeless ,"Telescopic, coil spring, oil damped","Link type, coil spring, oil damped","Red,Blue,Silver"
22336,suzuki,gsr 600,2007,50000,2190,,Naked bike,3.9,599.0,98.0,65.0,In-line four, four-stroke,,67.0,42.5,16.5,Injection,Double Overhead Cams/Twin Cam (DOHC),,Chain,183.0,1440.0,785.0,Double disc,Single disc,58W-Tubeless ,73W-Tubeless ,"Telescopic, coil spring, oil damped","Link type, coil spring, oil damped","Red,Blue,Silver"
22739,suzuki,gsr 600,2007,80000,2490,,Naked bike,3.9,599.0,98.0,65.0,In-line four, four-stroke,,67.0,42.5,16.5,Injection,Double Overhead Cams/Twin Cam (DOHC),,Chain,183.0,1440.0,785.0,Double disc,Single disc,58W-Tubeless ,73W-Tubeless ,"Telescopic, coil spring, oil damped","Link type, coil spring, oil damped","Red,Blue,Silver"
