Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Compression,Bore x stroke,Fuel system,Lubrication system,Cooling system,Gearbox,Transmission type,Clutch,Exhaust system,Frame type,Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Rear brakes,Dry weight,"Weight incl. oil, gas, etc",Power/weight ratio,Seat height,Overall height,Overall length,Overall width,Ground clearance,Wheelbase,Fuel capacity,Starter,Valves per cylinder,Fuel control,Torque,Ignition,Color options,Max RPM,Diameter,Comments,Fuel consumption,Greenhouse gases,Front wheel travel,Rear wheel travel,Rake (fork angle),Trail,Modifications compared to previous model,Oil capacity,Wheels
Honda CB 500 T,1976,Classic," 2.9  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",499.0 ccm (30.45 cubic inches),"Twin, four-stroke",42.0 HP (30.7  kW)) @ 8000 RPM,160.0 km/h (99.4 mph),8.5:1,70.0 x 64.8 mm (2.8 x 2.6 inches),,,Air,5-speed,Chain   (final drive),,,,,,3.50-19 ,4.00-18 ,Single disc,Expanding brake,,210.0 kg (463.0 pounds),,,,,,,,13.00 litres (3.43 US gallons),,2,Double Overhead Cams/Twin Cam (DOHC),,,,,,,,,,,,,,,
Laverda 750 SF 3 S,1976,Naked bike,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,744.0 ccm (45.40 cubic inches),"Twin, four-stroke",61.0 HP (44.5  kW)) @ 7500 RPM,195.0 km/h (121.2 mph),8.9:1,80.0 x 74.0 mm (3.1 x 2.9 inches),,,Air,5-speed,Chain   (final drive),,,,,,4.00-18 ,4.00-18 ,Dual disc,Single disc,,230.0 kg (507.1 pounds),,,,,,,,19.00 litres (5.02 US gallons),,2,Overhead Cams (OHC),,,,,,,,,,,,,,,
Suzuki RV 125,1976,Classic," 3.5  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",8.0 HP (5.8  kW)) @ 6000 RPM,92.0 km/h (57.2 mph),6.3:1,56.0 x 50.0 mm (2.2 x 2.0 inches),,,Air,5-speed,Chain   (final drive),,,,,,5.40-14 ,6.70-10 ,Expanding brake,Expanding brake,,110.0 kg (242.5 pounds),,,,,,,,5.00 litres (1.32 US gallons),,,Port control,,,,,,,,,,,,,,,
Bultaco Metralla 250 GT,1976,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,244.0 ccm (14.89 cubic inches),"Single cylinder, two-stroke",23.0 HP (16.8  kW)) @ 7500 RPM,131.0 km/h (81.4 mph),10.0:1,72.0 x 60.0 mm (2.8 x 2.4 inches),,,Air,5-speed,Chain   (final drive),,,,,,3.25-19 ,3.50-18 ,Expanding brake,Expanding brake,,130.0 kg (286.6 pounds),,,,,,,,14.00 litres (3.70 US gallons),,,Port control,,,,,,,,,,,,,,,
Motobi Sei,1976,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,747.0 ccm (45.58 cubic inches),"In-line six, four-stroke",71.0 HP (51.8  kW)) @ 8500 RPM,220.0 km/h (136.7 mph),9.0:1,56.0 x 50.0 mm (2.2 x 2.0 inches),Carburettor. 3X Dellorto 24mm,Wet sump,Air,5-speed,Chain   (final drive),Wet plate,6 into 6,double cradle steel,Marcossochi,twin shock,100/90-18 ,120/90-18 ,Double disc. Brembo,Single disc. Brembo,,,,,1080 mm (42.5 inches),2120 mm (83.5 inches),760 mm (29.9 inches),,1450 mm (57.1 inches),,Electric & kick,2,Overhead Cams (OHC),77.0 Nm (7.9 kgf-m or 56.8 ft.lbs) @ 7100 RPM,,,9000,220 mm (8.7 inches),"Special version of the Bennelli 750 sei, sold new in Spain",,,,,,,,,
MV Agusta 350 S,1976,Classic," 3.2  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",349.0 ccm (21.30 cubic inches),"Twin, four-stroke",35.0 HP (25.5  kW)) @ 8800 RPM,160.0 km/h (99.4 mph),9.5:1,63.0 x 56.0 mm (2.5 x 2.2 inches),,,Air,5-speed,Chain   (final drive),,,,,,2.75-18 ,3.25-18 ,Dual disc,Single disc,,157.0 kg (346.1 pounds),,,,,,,,18.00 litres (4.76 US gallons),,2,Overhead Valves (OHV),,,,,,,,,,,,,,,
Harley-Davidson SS 125,1976,Sport," 3.2  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",13.0 HP (9.5  kW)) @ 7000 RPM,110.0 km/h (68.4 mph),10.8:1,56.0 x 50.0 mm (2.2 x 2.0 inches),,,Air,5-speed,Chain   (final drive),,,,,,3.00-19 ,3.50-18 ,Expanding brake,Expanding brake,,112.0 kg (246.9 pounds),,,,,,,,10.50 litres (2.77 US gallons),,,Port control,,,,,,,,,,,,,,,
BMW R 100 S,1976,Allround," 4.0  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",979.0 ccm (59.74 cubic inches),"Two cylinder boxer, four-stroke",65.0 HP (47.4  kW)) @ 6600 RPM,196.0 km/h (121.8 mph),9.5:1,94.0 x 70.6 mm (3.7 x 2.8 inches),,,Air,5-speed,Shaft drive (cardan)   (final drive),,,,,,3.25-19 ,4.00-18 ,Dual disc,Expanding brake,,237.0 kg (522.5 pounds),,,,,,,,24.00 litres (6.34 US gallons),,2,Overhead Valves (OHV),,,,,,,,,,,,,,,
Suzuki RE 5 Rotary,1976,Sport touring," 3.2  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",497.0 ccm (30.33 cubic inches),Single disk Wankel,63.0 HP (46.0  kW)) @ 6500 RPM,172.0 km/h (106.9 mph),8.6:1,,,,Liquid,5-speed,Chain   (final drive),,,,,,3.25-19 ,4.00-18 ,Dual disc,Expanding brake,,260.0 kg (573.2 pounds),,,,,,,,16.00 litres (4.23 US gallons),,,,,,,,,,,,,,,,,,
Dnepr MT-9,1976,Classic,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,649.0 ccm (39.60 cubic inches),"Two cylinder boxer, four-stroke",32.0 HP (23.4  kW)) @ 5000 RPM,,,78.0 x 68.0 mm (3.1 x 2.7 inches),,,,,Shaft drive (cardan)   (final drive),,,,,,,,Expanding brake,Expanding brake,210.0 kg (463.0 pounds),,0.1524 HP/kg,,,,,,,,,,,,,,,,Manufactured by Dnepr in Kiev 1971-1976.,,,,,,,,,
Kawasaki KH 500,1976,Sport," 3.0  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",499.0 ccm (30.45 cubic inches),"In-line three, two-stroke",52.0 HP (38.0  kW)) @ 7000 RPM,182.0 km/h (113.1 mph),6.4:1,60.0 x 58.8 mm (2.4 x 2.3 inches),,,Air,5-speed,Chain   (final drive),,,,,,3.25-19 ,4.00-18 ,Single disc,Expanding brake,,205.0 kg (451.9 pounds),,,,,,,,16.00 litres (4.23 US gallons),,,Port control,,,,,,,,,,,,,,,
Suzuki GT 380,1976,Classic," 3.5  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",371.0 ccm (22.64 cubic inches),"In-line three, two-stroke",32.0 HP (23.4  kW)) @ 7500 RPM,168.0 km/h (104.4 mph),6.7:1,54.0 x 54.0 mm (2.1 x 2.1 inches),,,Air,6-speed,Chain   (final drive),,,,,,3.00-19 ,3.50-18 ,Single disc,Expanding brake,,190.0 kg (418.9 pounds),,,,,,,,15.00 litres (3.96 US gallons),,,Port control,,,,,,,,,,,,,,,
Kawasaki Z 750,1976,Super motard," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",745.0 ccm (45.46 cubic inches),"Twin, four-stroke",50.0 HP (36.5  kW)) @ 7000 RPM,178.0 km/h (110.6 mph),8.5:1,78.0 x 78.0 mm (3.1 x 3.1 inches),,,Air,5-speed,Chain   (final drive),,,,,,3.25-19 ,4.00-18 ,Single disc,Single disc,,235.0 kg (518.1 pounds),,,,,,,,14.50 litres (3.83 US gallons),,2,Double Overhead Cams/Twin Cam (DOHC),,,,,,,,,,,,,,,
Dnepr MB-750M,1976,Classic,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,746.0 ccm (45.52 cubic inches),"Two cylinder boxer, four-stroke",26.0 HP (19.0  kW)) @ 4900 RPM,,,78.0 x 78.0 mm (3.1 x 3.1 inches),,,,,Shaft drive (cardan)   (final drive),,,,,,,,Expanding brake,Expanding brake,,,,,,,,,,,,,,,,,,,Military motorcylce model manufactured in Kiev 1973-1977.,,,,,,,,,
Hercules K 125 S,1976,Naked bike," 3.0  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 7500 RPM,117.0 km/h (72.7 mph),11.8:1,54.0 x 54.0 mm (2.1 x 2.1 inches),,,Air,6-speed,Chain   (final drive),,,,,,2.75-17 ,3.00-17 ,Single disc,Expanding brake,,122.0 kg (269.0 pounds),,,,,,,,11.00 litres (2.91 US gallons),,,Port control,,,,,,,,,,,,,,,
Harley-Davidson XLH 1000 Sportster,1976,Scooter," 3.5  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",997.0 ccm (60.84 cubic inches),"V2, four-stroke",57.0 HP (41.6  kW)) @ 6000 RPM,180.0 km/h (111.8 mph),9.0:1,81.0 x 96.8 mm (3.2 x 3.8 inches),,,Air,4-speed,Chain   (final drive),,,,,,3.75-19 ,4.25-18 ,Single disc,Expanding brake,,240.0 kg (529.1 pounds),,,,,,,,9.00 litres (2.38 US gallons),,2,Overhead Valves (OHV),,,,,,,,,,,,,,,
Moto Guzzi TS 250 FD,1976,Naked bike," 2.9  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",231.0 ccm (14.10 cubic inches),"Twin, two-stroke",25.0 HP (18.2  kW)) @ 7600 RPM,145.0 km/h (90.1 mph),10.3:1,56.0 x 47.0 mm (2.2 x 1.9 inches),,,Air,5-speed,Chain   (final drive),,,,,,3.00-18 ,3.25-18 ,Single disc,Expanding brake,,140.0 kg (308.6 pounds),,,,,,,,17.00 litres (4.49 US gallons),,,Port control,,,,,,,,,,,,,,,
Zündapp KS 350,1976,Prototype / concept model," 4.4  See the detailed rating of design and look, fun-factor, etc. Compare with any other motorcycle.",344.0 ccm (20.99 cubic inches),"Twin, two-stroke",27.0 HP (19.7  kW)) @ 6600 RPM,145.0 km/h (90.1 mph),8.6:1,62.0 x 57.0 mm (2.4 x 2.2 inches),,,Liquid,6-speed,Chain   (final drive),,,,,,100/90-18 ,110/80-18 ,Single disc,Expanding brake,,171.0 kg (377.0 pounds),,,,,,,,16.00 litres (4.23 US gallons),,,Port control,,,,,,,,,,,,,,,
BMW R 100 RS,1976,Sport touring," 3.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",980.0 ccm (59.80 cubic inches),"Two cylinder boxer, four-stroke",70.0 HP (51.1  kW)) @ 7250 RPM,193.0 km/h (119.9 mph),9.5:1,94.0 x 70.6 mm (3.7 x 2.8 inches),,,Air,5-speed,Shaft drive (cardan)   (final drive),,,,,,3.25-19 ,4.00-18 ,Dual disc,Expanding brake,,247.0 kg (544.5 pounds),,,,,,,,24.00 litres (6.34 US gallons),,2,Overhead Valves (OHV),,,,,,,,,,,,,,,
MV Agusta 750 S America,1976,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,789.0 ccm (48.14 cubic inches),"In-line four, four-stroke",75.1 HP (54.8  kW)) @ 8500 RPM,210.0 km/h (130.5 mph),9.5:1,69.0 x 56.0 mm (2.7 x 2.2 inches),Carburettor. Dell´Orto ,,Air,5-speed,Shaft drive (cardan)   (final drive),,,Half Duplex,Teledraulic,Swingarm with Hydraylic Dampers,,,Double disc,Expanding brake,,240.0 kg (529.1 pounds),,,,,,,1390 mm (54.7 inches),24.00 litres (6.34 US gallons),,2,Double Overhead Cams/Twin Cam (DOHC),,Coil,Red,,200 mm (7.9 inches),,,,,,,,,,
Ducati 750 SS,1976,Sport," 3.1  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"V2, four-stroke",63.0 HP (46.0  kW)) @ 7000 RPM,200.0 km/h (124.3 mph),9.5:1,80.0 x 74.4 mm (3.1 x 2.9 inches),,,Air,5-speed,Chain   (final drive),,,,,,3.50-18 ,120/90-18 ,Dual disc,Single disc,,210.0 kg (463.0 pounds),,,,,,,,18.00 litres (4.76 US gallons),,2,Desmodromic valve control,,,,,,,,,,,,,,,
Suzuki TS 100 A,1976,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",97.0 ccm (5.92 cubic inches),"Single cylinder, two-stroke",10.8 HP (7.9  kW)) @ 7000 RPM,,,,Carburettor,,Air,5-speed,Chain   (final drive),,,,,,,,Expanding brake (drum brake),Expanding brake (drum brake),92.0 kg (202.8 pounds),,0.1174 HP/kg,,1060 mm (41.7 inches),2000 mm (78.7 inches),850 mm (33.5 inches),195 mm (7.7 inches),1310 mm (51.6 inches),6.50 litres (1.72 US gallons),Kick,,Rotary valves,11.4 Nm (1.2 kgf-m or 8.4 ft.lbs) @ 6000 RPM,,,,,,,,,,,,,,
Yamaha DT 250,1976,Enduro / offroad," 3.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",246.0 ccm (15.01 cubic inches),"Single cylinder, two-stroke",20.0 HP (14.6  kW)) @ 6500 RPM,137.0 km/h (85.1 mph),6.8:1,70.0 x 64.0 mm (2.8 x 2.5 inches),,,Air,5-speed,Chain   (final drive),,,,,,3.00-21 ,4.00-18 ,Expanding brake,Expanding brake,,138.0 kg (304.2 pounds),,,,,,,,9.00 litres (2.38 US gallons),,,Membrane,,,,,,,,,,,,,,,
CZ 125 Trail,1976,Trial," 2.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",11.0 HP (8.0  kW)) @ 5750 RPM,90.0 km/h (55.9 mph),8.6:1,52.0 x 58.0 mm (2.0 x 2.3 inches),,,Air,4-speed,Chain   (final drive),,,,,,2.75-21 ,3.50-18 ,Expanding brake,Expanding brake,,127.0 kg (280.0 pounds),,,,,,,,11.00 litres (2.91 US gallons),,,Port control,,,,,,,,,,,,,,,
Dnepr MT-10 36,1976,Classic," 3.6  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",649.0 ccm (39.60 cubic inches),"Two cylinder boxer, four-stroke",32.0 HP (23.4  kW)) @ 5600 RPM,,,78.0 x 68.0 mm (3.1 x 2.7 inches),,,,,Shaft drive (cardan)   (final drive),,,,,,,,Expanding brake,Expanding brake,,,,,,,,,,,,,,,,,,,Model made by Dnepr from 1975 to 1984.,,,,,,,,,
Harley-Davidson FXE 1200 Super Glide,1976,Sport touring," 2.9  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1206.0 ccm (73.59 cubic inches),"V2, four-stroke",58.0 HP (42.3  kW)) @ 5150 RPM,177.0 km/h (110.0 mph),8.0:1,87.3 x 100.8 mm (3.4 x 4.0 inches),,,Air,4-speed,Chain   (final drive),,,,,,3.75-19 ,5.10-16 ,Single disc,Single disc,,275.0 kg (606.3 pounds),,,,,,,,19.00 litres (5.02 US gallons),,2,Overhead Valves (OHV),,,,,,,,,,,,,,,
Honda CJ 360 T,1976,Classic," 3.8  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",357.0 ccm (21.78 cubic inches),"Twin, four-stroke",34.0 HP (24.8  kW)) @ 9000 RPM,150.0 km/h (93.2 mph),9.3:1,67.0 x 50.6 mm (2.6 x 2.0 inches),,,Air,5-speed,Chain   (final drive),,,,,,3.00-18 ,3.75-18 ,Single disc,Expanding brake,,184.0 kg (405.7 pounds),,,,,,,,14.00 litres (3.70 US gallons),,2,Overhead Cams (OHC),,,,,,,,,,,,,,,
Honda GL 1000 Gold Wing,1976,Classic," 3.6  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",999.0 ccm (60.96 cubic inches),"Four cylinder boxer, four-stroke",82.0 HP (59.9  kW)) @ 7500 RPM,196.0 km/h (121.8 mph),9.2:1,72.0 x 61.4 mm (2.8 x 2.4 inches),Carburettor. 4 x 32mm Keihin,,Liquid,5-speed,Shaft drive (cardan)   (final drive),,,,Telescopic fork,"Swing arm, twin shocks",3.50-19 ,4.50-17 ,Double disc. Two-piston calipers. ,Single disc. Single-piston caliper. ,273.0 kg (601.9 pounds),295.0 kg (650.4 pounds),0.3004 HP/kg,"810 mm (31.9 inches) If adjustable, lowest setting.",1525 mm (60.0 inches),2630 mm (103.5 inches),955 mm (37.6 inches),,1545 mm (60.8 inches),19.00 litres (5.02 US gallons),Electric,2,Overhead Cams (OHC),83.0 Nm (8.5 kgf-m or 61.2 ft.lbs),,,,250 mm (9.8 inches),,5.10 litres/100 km (19.6 km/l or 46.12 mpg),118.3 CO2 g/km. (CO2 - Carbon dioxide emission) ,140 mm (5.5 inches),105 mm (4.1 inches),,,,,
Zündapp KS 175,1976,Classic," 3.3  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",163.0 ccm (9.95 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 7400 RPM,126.0 km/h (78.3 mph),7.8:1,62.0 x 54.0 mm (2.4 x 2.1 inches),,,Liquid,5-speed,Chain   (final drive),,,,,,2.75-18 ,3.25-18 ,Single disc,Expanding brake,,121.0 kg (266.8 pounds),,,,,,,,14.00 litres (3.70 US gallons),,,Port control,,,,,,,,,,,,,,,
CZ 175 Trail,1976,Scooter," 2.5  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",172.0 ccm (10.50 cubic inches),"Single cylinder, two-stroke",15.0 HP (10.9  kW)) @ 5600 RPM,100.0 km/h (62.1 mph),8.7:1,58.0 x 65.0 mm (2.3 x 2.6 inches),,,Air,4-speed,Chain   (final drive),,,,,,2.75-21 ,3.50-18 ,Expanding brake,Expanding brake,,128.0 kg (282.2 pounds),,,,,,,,11.00 litres (2.91 US gallons),,,Port control,,,,,,,,,,,,,,,
Benelli 250 2 C,1976,Classic," 3.7  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",231.0 ccm (14.10 cubic inches),"Twin, two-stroke",24.0 HP (17.5  kW)) @ 7500 RPM,150.0 km/h (93.2 mph),10.3:1,56.0 x 47.0 mm (2.2 x 1.9 inches),,,Air,5-speed,Chain   (final drive),,,,,,3.00-18 ,3.25-18 ,Single disc,Expanding brake,,134.0 kg (295.4 pounds),,,,,,,,12.50 litres (3.30 US gallons),,,Port control,,,,,,,,,,,,,,,
Laverda 500 RS,1976,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,496.0 ccm (30.27 cubic inches),"Twin, four-stroke",45.0 HP (32.8  kW)) @ 8200 RPM,167.0 km/h (103.8 mph),9.2:1,72.0 x 61.0 mm (2.8 x 2.4 inches),,,Air,6-speed,Chain   (final drive),,,,,,3.50-18 ,4.00-18 ,Dual disc,Single disc,,189.0 kg (416.7 pounds),,,,,,,,17.00 litres (4.49 US gallons),,4,Double Overhead Cams/Twin Cam (DOHC),,,,,,,,,,,,,,,
CZ 250 Twin,1976,Naked bike," 3.1  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",246.0 ccm (15.01 cubic inches),"Twin, two-stroke",17.0 HP (12.4  kW)) @ 5250 RPM,120.0 km/h (74.6 mph),9.3:1,52.0 x 58.0 mm (2.0 x 2.3 inches),,,Air,4-speed,Chain   (final drive),,,,,,3.00-18 ,3.25-18 ,Expanding brake,Expanding brake,,151.0 kg (332.9 pounds),,,,,,,,13.00 litres (3.43 US gallons),,,Port control,,,,,,,,,,,,,,,
Moto Guzzi 750 S 3,1976,Sport," 3.3  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"V2, four-stroke",62.0 HP (45.3  kW)) @ 6900 RPM,206.0 km/h (128.0 mph),9.8:1,82.5 x 70.0 mm (3.2 x 2.8 inches),,,Air,5-speed,Shaft drive (cardan)   (final drive),,,,,,3.25-18 ,3.50-18 ,Dual disc,Single disc,,240.0 kg (529.1 pounds),,,,,,,,25.00 litres (6.61 US gallons),,2,Overhead Valves (OHV),,,,,,,,,,,,,,,
