Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Top speed,Cooling system,Gearbox,Transmission type,Front brakes,Dry weight,Power/weight ratio,Seat height,Wheelbase,Fuel capacity,Color options,Rear brakes,Starter,Alternate seat height,Valves per cylinder,Comments,Ground clearance,Lubrication system,Clutch,Exhaust system,Frame type,Compression,Bore x stroke,Fuel system,Fuel control,Ignition,Front suspension,Rear suspension,Overall length,Diameter,Max RPM,Front tire,Rear tire,Reserve fuel capacity,Modifications compared to previous model,Rake (fork angle),Trail,Front wheel travel,Rear wheel travel,"Weight incl. oil, gas, etc",Oil capacity,Factory warranty,Fuel consumption,Greenhouse gases,"60-140 km/h (37-87 mph), highest gear",Driveline,Electrical,Engine oil,Oil filter,Brake fluid,Coolant,Battery,Spark plugs,Idle speed,Chain size,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,Belt teeth,Belt width,Engine details,Overall height,Overall width,0-100 km/h (0-62 mph),1/4 mile (0.4 km),Front percentage of weight,Rear percentage of weight
Kawasaki Eliminator 125,2000,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",12.0 HP (8.8  kW)) @ 9500 RPM,10.0 Nm (1.0 kgf-m or 7.4 ft.lbs) @ 8000 RPM,100.0 km/h (62.1 mph),Air,5-speed,Chain   (final drive),Single disc,128.0 kg (282.2 pounds),0.0938 HP/kg,"680 mm (26.8 inches) If adjustable, lowest setting.",1470 mm (57.9 inches),13.00 litres (3.43 US gallons),"Black, red, silver, blue",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highland 950 V2 Outback - 950 V2 Super Motard,2000,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,950.0 ccm (57.97 cubic inches),"V2, four-stroke",76.0 HP (55.5  kW)) @ 6000 RPM,,180.0 km/h (111.8 mph),Liquid,6-speed,Chain   (final drive),Single disc,165.0 kg (363.8 pounds),0.4606 HP/kg,"900 mm (35.4 inches) If adjustable, lowest setting.",1530 mm (60.2 inches),19.00 litres (5.02 US gallons),"Black, yellow",Single disc,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Thunderbird,2000,Naked bike," 3.9  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",855.0 ccm (52.17 cubic inches),"In-line three, four-stroke",70.0 HP (51.1  kW)) @ 8000 RPM,70.0 Nm (7.1 kgf-m or 51.6 ft.lbs) @ 4000 RPM,175.0 km/h (108.7 mph),Liquid,6-speed,Chain   (final drive),,220.0 kg (485.0 pounds),0.3182 HP/kg,"776 mm (30.6 inches) If adjustable, lowest setting.",1580 mm (62.2 inches),15.00 litres (3.96 US gallons),,Single disc,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laverda TTS 800,2000,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,800.0 ccm (48.82 cubic inches),"Twin, four-stroke",,,,,6-speed,,Dual disc,,,,,,,Single disc,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husaberg FC 501,2000,Enduro / offroad," 3.0  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",501.0 ccm (30.57 cubic inches),"Single cylinder, four-stroke",,,,Liquid,6-speed,Chain   (final drive),Single disc,102.0 kg (224.9 pounds),,,1490 mm (58.7 inches),9.00 litres (2.38 US gallons),Blue/yellow,Single disc,Kick,,,Also sold with four gears.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson XL 1200 C Sportster Custom,2000,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1199.0 ccm (73.16 cubic inches),"V2, four-stroke",58.0 HP (42.3  kW)) @ 5200 RPM,87.0 Nm (8.9 kgf-m or 64.2 ft.lbs) @ 3900 RPM,175.0 km/h (108.7 mph),Air,5-speed,Belt   (final drive),Single disc,245.0 kg (540.1 pounds),0.2367 HP/kg,"700 mm (27.6 inches) If adjustable, lowest setting.",1524 mm (60.0 inches),16.70 litres (4.41 US gallons),"Red, violet, bronze, blue, red/black, yellow/black",Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XVS 1100 A Drag Star Classic,2000,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1063.0 ccm (64.86 cubic inches),"V2, four-stroke",62.0 HP (45.3  kW)) @ 5750 RPM,85.0 Nm (8.7 kgf-m or 62.7 ft.lbs) @ 2500 RPM,160.0 km/h (99.4 mph),Air,5-speed,Shaft drive (cardan)   (final drive),Dual disc,265.0 kg (584.2 pounds),0.2340 HP/kg,"690 mm (27.2 inches) If adjustable, lowest setting.",1645 mm (64.8 inches),17.00 litres (4.49 US gallons),"Black, silver/gray",Single disc,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki ZX-12R,2000,Sport touring," 3.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1199.0 ccm (73.16 cubic inches),"In-line four, four-stroke",185.0 HP (135.0  kW)) @ 10000 RPM,134.0 Nm (13.7 kgf-m or 98.8 ft.lbs) @ 7500 RPM,320.0 km/h (198.8 mph),,6-speed,Chain   (final drive),Dual disc,215.0 kg (474.0 pounds),0.8605 HP/kg,,,,"Red, green, silver",Single disc,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 600 F Hornet,2000,Naked bike," 3.8  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",98.0 HP (71.5  kW)) @ 12000 RPM,67.0 Nm (6.8 kgf-m or 49.4 ft.lbs) @ 10000 RPM,215.0 km/h (133.6 mph),Liquid,6-speed,Chain   (final drive),Dual disc,176.0 kg (388.0 pounds),0.5568 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",1425 mm (56.1 inches),16.00 litres (4.23 US gallons),"Black, blue, yellow",Single disc,Electric,,,,140 mm (5.5 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husaberg FR 600 E,2000,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,595.0 ccm (36.31 cubic inches),"Single cylinder, four-stroke",,,,Liquid,6-speed,Chain   (final drive),Single disc,119.0 kg (262.4 pounds),,,1490 mm (58.7 inches),24.50 litres (6.47 US gallons),Blue/Yellow,Single disc,Electric & kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sachs XTC-N 125,2000,Naked bike," 3.0  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",15.0 HP (10.9  kW)) @ 8000 RPM,13.0 Nm (1.3 kgf-m or 9.6 ft.lbs) @ 7750 RPM,,Liquid,6-speed,Chain   (final drive),Single disc,,,,,,,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FXCSTS Softail Screamer,2000,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1499.0 ccm (91.47 cubic inches),"V2, four-stroke",148.0 HP (108.0  kW)) @ 9300 RPM,200.0 Nm (20.4 kgf-m or 147.5 ft.lbs) @ 9800 RPM,245.0 km/h (152.2 mph),Oil & air,,,Dual disc,220.0 kg (485.0 pounds),0.6727 HP/kg,,1410 mm (55.5 inches),17.00 litres (4.49 US gallons),Titan black,Single disc,Electric,,,It is unsure whether this bike actually exists.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husqvarna TE 410,2000,Enduro / offroad," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",399.0 ccm (24.35 cubic inches),"Single cylinder, four-stroke",34.0 HP (24.8  kW)) @ 9500 RPM,,,Liquid,6-speed,Chain   (final drive),,,,,,,,,,,,,,Wet,cable,Stainless steel,CrMo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX 750,2000,Naked bike," 3.7  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",750.0 ccm (45.77 cubic inches),"In-line four, four-stroke",86.0 HP (62.8  kW)) @ 9500 RPM,67.0 Nm (6.8 kgf-m or 49.4 ft.lbs) @ 8500 RPM,,,6-speed,Chain   (final drive),Dual disc,201.0 kg (443.1 pounds),0.4279 HP/kg,"795 mm (31.3 inches) If adjustable, lowest setting.",,18.00 litres (4.76 US gallons),,Single disc,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki VN 800 Drifter,2000,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",805.0 ccm (49.12 cubic inches),"V2, four-stroke",57.0 HP (41.6  kW)) @ 7000 RPM,61.0 Nm (6.2 kgf-m or 45.0 ft.lbs) @ 5500 RPM,170.0 km/h (105.6 mph),Liquid,5-speed,Chain   (final drive),Single disc,248.0 kg (546.7 pounds),0.2298 HP/kg,"760 mm (29.9 inches) If adjustable, lowest setting.",1615 mm (63.6 inches),15.00 litres (3.96 US gallons),"Red, beige",Expanding brake,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki VN 800 Classic,2000,Custom / cruiser," 3.9  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",805.0 ccm (49.12 cubic inches),"V2, four-stroke",55.0 HP (40.1  kW)) @ 7000 RPM,64.0 Nm (6.5 kgf-m or 47.2 ft.lbs) @ 3300 RPM,170.0 km/h (105.6 mph),Liquid,5-speed,Chain   (final drive),Single disc,235.0 kg (518.1 pounds),0.2340 HP/kg,"705 mm (27.8 inches) If adjustable, lowest setting.",1600 mm (63.0 inches),15.00 litres (3.96 US gallons),"Blue, red, gray",Expanding brake,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki SV 650,2000,Naked bike," 3.9  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",654.0 ccm (39.91 cubic inches),"V2, four-stroke",70.0 HP (51.1  kW)) @ 9000 RPM,62.0 Nm (6.3 kgf-m or 45.7 ft.lbs) @ 7500 RPM,200.0 km/h (124.3 mph),Liquid,6-speed,,Single disc,169.0 kg (372.6 pounds),0.4142 HP/kg,"805 mm (31.7 inches) If adjustable, lowest setting.",1420 mm (55.9 inches),16.00 litres (4.23 US gallons),"Yellow, blue",Single disc,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FXD Dyna Super Glide,2000,Custom / cruiser," 3.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1450.0 ccm (88.48 cubic inches),"V2, four-stroke",68.0 HP (49.6  kW)) @ 5500 RPM,106.0 Nm (10.8 kgf-m or 78.2 ft.lbs) @ 2900 RPM,170.0 km/h (105.6 mph),Air,5-speed,Belt   (final drive),Single disc,290.0 kg (639.3 pounds),0.2345 HP/kg,"644 mm (25.4 inches) If adjustable, lowest setting.",1594 mm (62.8 inches),18.60 litres (4.91 US gallons),"Black, pearl, red",Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 600 S Hornet,2000,Naked bike," 3.8  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",98.0 HP (71.5  kW)) @ 12000 RPM,67.0 Nm (6.8 kgf-m or 49.4 ft.lbs) @ 10000 RPM,215.0 km/h (133.6 mph),Liquid,6-speed,Chain   (final drive),Dual disc,176.0 kg (388.0 pounds),0.5568 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",1425 mm (56.1 inches),16.00 litres (4.23 US gallons),"Black, blue, yellow",Single disc,Electric,,,,140 mm (5.5 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi Jackal,2000,Custom / cruiser," 4.0  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1064.0 ccm (64.93 cubic inches),"V2, four-stroke",74.0 HP (54.0  kW)) @ 6400 RPM,94.0 Nm (9.6 kgf-m or 69.3 ft.lbs) @ 5000 RPM,190.0 km/h (118.1 mph),Air,5-speed,Shaft drive (cardan)   (final drive),Single disc,251.0 kg (553.4 pounds),0.2948 HP/kg,"760 mm (29.9 inches) If adjustable, lowest setting.",1575 mm (62.0 inches),19.00 litres (5.02 US gallons),"Black, silver",Single disc,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki AN 250 Burgman,2000,Scooter," 3.1  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",23.0 HP (16.8  kW)) @ 7000 RPM,25.0 Nm (2.5 kgf-m or 18.4 ft.lbs) @ 6000 RPM,,,,,,166.0 kg (366.0 pounds),0.1386 HP/kg,"690 mm (27.2 inches) If adjustable, lowest setting.",1592 mm (62.7 inches),,,,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FLSTC Heritage Softail Classic,2000,Custom / cruiser," 3.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1449.0 ccm (88.42 cubic inches),"V2, four-stroke",63.0 HP (46.0  kW)) @ 5300 RPM,106.0 Nm (10.8 kgf-m or 78.2 ft.lbs) @ 3200 RPM,158.0 km/h (98.2 mph),Air,5-speed,Belt   (final drive),Single disc,335.0 kg (738.5 pounds),0.1881 HP/kg,"644 mm (25.4 inches) If adjustable, lowest setting.",1628 mm (64.1 inches),19.00 litres (5.02 US gallons),"White, red, yellow, bronze, red/black, yellow/black, green/black",Single disc,Electric,,,,,Dry sump,,,Double cradle,8.8:1,95.2 x 101.6 mm (3.7 x 4.0 inches),Carburettor,Overhead Valves (OHV),Digital CDi,Cartridge fork,"Swingarm, monoshock",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Titan Roadrunner,2000,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1537.0 ccm (93.79 cubic inches),"V2, four-stroke",94.0 HP (68.6  kW)) @ 5250 RPM,110.0 Nm (11.2 kgf-m or 81.1 ft.lbs) @ 4000 RPM,,Air,5-speed,Belt   (final drive),Single disc,270.0 kg (595.2 pounds),0.3481 HP/kg,"660 mm (26.0 inches) If adjustable, lowest setting.",,,,Single disc,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki VZ 800 Marauder,2000,Custom / cruiser," 3.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",805.0 ccm (49.12 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 6500 RPM,64.0 Nm (6.5 kgf-m or 47.2 ft.lbs) @ 5000 RPM,155.0 km/h (96.3 mph),Liquid,5-speed,,,207.0 kg (456.4 pounds),0.2415 HP/kg,"700 mm (27.6 inches) If adjustable, lowest setting.",1645 mm (64.8 inches),13.00 litres (3.43 US gallons),"Black, black/yellow, black/blue",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VFR 800 F,2000,Sport touring," 4.0  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",782.0 ccm (47.72 cubic inches),"V4, four-stroke",110.0 HP (80.3  kW)) @ 10500 RPM,83.0 Nm (8.5 kgf-m or 61.2 ft.lbs) @ 8750 RPM,240.0 km/h (149.1 mph),Liquid,6-speed,,Dual disc,210.0 kg (463.0 pounds),0.5238 HP/kg,"805 mm (31.7 inches) If adjustable, lowest setting.",1440 mm (56.7 inches),21.00 litres (5.55 US gallons),"Red, blue, green",Single disc,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 1200 C - R 1200 C Avantgarde,2000,Custom / cruiser," 3.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1170.0 ccm (71.39 cubic inches),"Two cylinder boxer, four-stroke",61.0 HP (44.5  kW)) @ 5000 RPM,98.0 Nm (10.0 kgf-m or 72.3 ft.lbs) @ 3000 RPM,170.0 km/h (105.6 mph),Air,5-speed,,Dual disc,239.0 kg (526.9 pounds),0.2552 HP/kg,"740 mm (29.1 inches) If adjustable, lowest setting.",1650 mm (65.0 inches),17.00 litres (4.49 US gallons),"Green, ivory, blue, black",Single disc,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VT 750 C2 Shadow,2000,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",745.0 ccm (45.46 cubic inches),"V2, four-stroke",43.0 HP (31.4  kW)) @ 5500 RPM,61.0 Nm (6.2 kgf-m or 45.0 ft.lbs) @ 3000 RPM,155.0 km/h (96.3 mph),Liquid,5-speed,,Single disc,229.0 kg (504.9 pounds),0.1878 HP/kg,"700 mm (27.6 inches) If adjustable, lowest setting.",1615 mm (63.6 inches),14.00 litres (3.70 US gallons),"Black, black/white, red/cream",Single disc,,,,,145 mm (5.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 400 LC4-E,2000,Enduro / offroad," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",398.0 ccm (24.29 cubic inches),"Single cylinder, four-stroke",34.0 HP (24.8  kW)),,155.0 km/h (96.3 mph),Liquid,,Chain   (final drive),Single disc,136.0 kg (299.8 pounds),0.2500 HP/kg,,1510 mm (59.4 inches),12.00 litres (3.17 US gallons),Orange/black,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laverda 750 SS,2000,Sport," 3.1  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",747.0 ccm (45.58 cubic inches),"Twin, four-stroke",95.0 HP (69.3  kW)) @ 9200 RPM,82.0 Nm (8.4 kgf-m or 60.5 ft.lbs) @ 6500 RPM,,,6-speed,Chain   (final drive),Dual disc,189.0 kg (416.7 pounds),0.5026 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",1375 mm (54.1 inches),,,Single disc,Electric,,,,,,,,,,,,,,,,2000 mm (78.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
