Model,Year,Category,Rating,Displacement,Engine type,Top speed,Fuel system,Fuel control,Cooling system,Transmission type,Power,Bore x stroke,Gearbox,Fuel consumption,Greenhouse gases,Front tire,Rear tire,Front brakes,Rear brakes,Wheels,Seat,Dry weight,Power/weight ratio,Overall height,Overall length,Overall width,Wheelbase,Fuel capacity,Starter,Frame type,Engine details,Compression,Valves per cylinder,Lubrication system,Driveline,Exhaust system,Front suspension,Rear suspension,Ignition,Clutch,Diameter,"Weight incl. oil, gas, etc",Carrying capacity,Seat height,Oil capacity,Color options,Electrical,Light
Maico F100 Piccolo Derby,1936,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,98.0 ccm (5.98 cubic inches),"Single cylinder, two-stroke",,Carburettor,,Air,Chain   (final drive),,48.0 x 54.0 mm (1.9 x 2.1 inches),,,,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single spring-mounted,,,,,,,,,,,,,,,,Coil springs-dual,None,,,,,,,,,,
NSU 351 OT,1936,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,331.0 ccm (20.20 cubic inches),"Single cylinder, four-stroke",105.0 km/h (65.2 mph),Carburettor. Bing AJF 2/20,,Air,Chain   (final drive),12.5 HP (9.1  kW)) @ 5020 RPM,75.0 x 75.0 mm (3.0 x 3.0 inches),,,,3.25-19 ,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single ,150.0 kg (330.7 pounds),0.0833 HP/kg,930 mm (36.6 inches),2000 mm (78.7 inches),760 mm (29.9 inches),1285 mm (50.6 inches),12.30 litres (3.25 US gallons),Kick,Open tubular steel,,,,,,,,,,,,,,,,,,
Rudge Ulster 500,1936,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",160.9 km/h (100.0 mph),Carburettor,Overhead Valves (OHV),Air,Chain   (final drive),45.0 HP (32.8  kW)) @ 5300 RPM,85.0 x 88.0 mm (3.3 x 3.5 inches),,,,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single spring-mounted,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zündapp K 500,1936,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.0 ccm (30.39 cubic inches),"Two cylinder boxer, four-stroke",105.0 km/h (65.2 mph),Carburettor. Bing 22mm,,Air,Shaft drive (cardan)   (final drive),16.0 HP (11.7  kW)) @ 4500 RPM,69.0 x 66.6 mm (2.7 x 2.6 inches),4-speed,,,3.50-19 ,3.50-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Two single seats,180.0 kg (396.8 pounds),0.0889 HP/kg,,,,,,Kick,,,,,,,,Telescopic,Rigid,,,,,,,,,,
NSU 601 TS,1936,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,592.0 ccm (36.12 cubic inches),"Single cylinder, four-stroke",105.0 km/h (65.2 mph),Carburettor. Amac,,Air,Chain   (final drive),16.0 HP (11.7  kW)) @ 4670 RPM,87.5 x 99.0 mm (3.4 x 3.9 inches),,,,3.50-26 ,4-27 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,,165.0 kg (363.8 pounds),0.0970 HP/kg,1040 mm (40.9 inches),2100 mm (82.7 inches),830 mm (32.7 inches),1390 mm (54.7 inches),,Kick,Double steel,,,,,,,,,Magneto Bosch,,,,,,,,,
BMW R3,1936,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,305.0 ccm (18.61 cubic inches),"Single cylinder, four-stroke",100.0 km/h (62.1 mph),Carburettor. 18mm,Overhead Valves (OHV),Air,Shaft drive (cardan)   (final drive),11.0 HP (8.0  kW)) @ 4200 RPM,68.0 x 84.0 mm (2.7 x 3.3 inches),,3.00 litres/100 km (33.3 km/l or 78.41 mpg),69.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,3.50-26.00 ,3.50-26.00 ,Expanding brake (drum brake),Expanding brake (drum brake),,,,,950 mm (37.4 inches),1980 mm (78.0 inches),850 mm (33.5 inches),1320 mm (52.0 inches),12.00 litres (3.17 US gallons),Kick,Single cradle,,6.1:1,,Wet sump ,,,Cartridge,Rigid,Battery,Dry-single plate-cable operated,180 mm (7.1 inches),149.0 kg (328.5 pounds),200kg,,,,,
BMW R12 Single Carb,1936,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,745.0 ccm (45.46 cubic inches),"Two cylinder boxer, four-stroke",110.0 km/h (68.4 mph),Carburettor. CK 25mm,Standing valves,,,18.0 HP (13.1  kW)) @ 3400 RPM,78.0 x 78.0 mm (3.1 x 3.1 inches),,3.40 litres/100 km (29.4 km/l or 69.18 mpg),78.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,3.5-19 ,3.5-19 ,Expanding brake (drum brake),Expanding brake (drum brake),,Single seat,,,940 mm (37.0 inches),2100 mm (82.7 inches),900 mm (35.4 inches),1380 mm (54.3 inches),14.00 litres (3.70 US gallons),Kick,Steel-pressed-loop,,5.2:1,,Forced feed,,,Telescopic fork,Rigid-,Magneto,,200 mm (7.9 inches),,,,,,,
Velocette Mac ,1936,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,349.0 ccm (21.30 cubic inches),"Single cylinder, four-stroke",120.7 km/h (75.0 mph),Carburettor,Overhead Valves (OHV),Air,Chain   (final drive),18.0 HP (13.1  kW)) @ 5500 RPM,68.0 x 96.0 mm (2.7 x 3.8 inches),4-speed,,,3.25-19 ,3.50-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual seat,161.0 kg (354.9 pounds),0.1118 HP/kg,990 mm (39.0 inches),2130 mm (83.9 inches),700 mm (27.6 inches),1276 mm (50.2 inches),11.00 litres (2.91 US gallons),Kick,Single cradle,,6.8:1,,,,,Hydralic telescopic forks,Swingarm,Magneto,Wet multiplate,152 mm (6.0 inches),,,"700 mm (27.6 inches) If adjustable, lowest setting.",,,,
Zündapp K 200 Kardan,1936,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,197.0 ccm (12.02 cubic inches),"Single cylinder, two-stroke",80.0 km/h (49.7 mph),Carburettor. Bing 20mm,,Air,Shaft drive (cardan)   (final drive),6.5 HP (4.7  kW)) @ 4000 RPM,60.0 x 70.0 mm (2.4 x 2.8 inches),4-speed,,,3-26 ,3-26 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Two single seats,132.0 kg (291.0 pounds),0.0492 HP/kg,,,,,12.00 litres (3.17 US gallons),Kick,,,,,,,,Telescopic,Rigid,,,,,,,,,,
NSU 601 OSL,1936,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,562.0 ccm (34.29 cubic inches),"Single cylinder, four-stroke",,Carburettor. Amal,,Air,,24.0 HP (17.5  kW)) @ 4950 RPM,85.0 x 99.0 mm (3.3 x 3.9 inches),,,,3.50-19 ,3.50-19 ,Expanding brake (drum brake),Expanding brake (drum brake),,Single ,150.0 kg (330.7 pounds),0.1600 HP/kg,,,,1420 mm (55.9 inches),,Kick,,,,,,,,,,,,,,,,,,,
BMW R12 Twin carb,1936,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,745.0 ccm (45.46 cubic inches),"Two cylinder boxer, four-stroke",120.0 km/h (74.6 mph),Carburettor. Amal,Overhead Valves (OHV),Air,,20.0 HP (14.6  kW)) @ 4000 RPM,78.0 x 78.0 mm (3.1 x 3.1 inches),4-speed,4.50 litres/100 km (22.2 km/l or 52.27 mpg),104.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,3.50-19 ,3.5-19 ,Expanding brake (drum brake). Single,Expanding brake (drum brake),,Spring-mounted seat,,,940 mm (37.0 inches),2100 mm (82.7 inches),900 mm (35.4 inches),,14.00 litres (3.70 US gallons),Kick,Steel-doble cradle,,5.2:1,,Wet sump ,,,Cartrige,Rigid-,,Dry multiplate-cable operated,200 mm (7.9 inches),185.0 kg (407.9 pounds),300,,,,,
Ariel VH 500 Red Hunter,1936,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,497.0 ccm (30.33 cubic inches),"Single cylinder, four-stroke",140.0 km/h (87.0 mph),Carburettor. Amal,Overhead Valves (OHV),Air,Chain   (final drive),24.0 HP (17.5  kW)) @ 6000 RPM,86.4 x 85.0 mm (3.4 x 3.3 inches),4-speed,,,3.00-20 ,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Wire spoked. Red/chrome rims.,Single seat with springs,190.0 kg (418.9 pounds),0.1263 HP/kg,,2180 mm (85.8 inches),640 mm (25.2 inches),1422 mm (56.0 inches),14.80 litres (3.91 US gallons),Kick,Semi double cradle,,6.0:1,,Dry sump with dual plunger pumps,Burman,,Grider forks,Rigid,,Dry,,,,,3.40 litres (3.59 US quarts),Chrome/red/gold,6V battery.,
BMW Kompressor,1936,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,492.0 ccm (30.02 cubic inches),"Two cylinder boxer, four-stroke",220.0 km/h (136.7 mph),Carburettor. DellÓrto,Double Overhead Cams/Twin Cam (DOHC),,Shaft drive (cardan)   (final drive),,66.0 x 72.0 mm (2.6 x 2.8 inches),,,,,,Expanding brake (drum brake),Expanding brake (drum brake),,Dual seat,,,,,,,,,,Supercharged with aluminium cylinders-magnesium  block,,,,,,Telescopic,Rigid-optional sprung hub,,,,138.0 kg (304.2 pounds),,,,,,
NSU 501 TS,1936,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,494.0 ccm (30.14 cubic inches),"Single cylinder, four-stroke",100.0 km/h (62.1 mph),Carburettor,,Air,Chain   (final drive),14.0 HP (10.2  kW)) @ 4350 RPM,80.0 x 99.0 mm (3.1 x 3.9 inches),,,,3.50-26 ,4-27 ,Expanding brake (drum brake),Expanding brake (drum brake),,,185.0 kg (407.9 pounds),0.0757 HP/kg,,,,1390 mm (54.7 inches),,,Double steel,,,,,,,,,Magneto Bosch,,,,,,,,,
BMW R2 Series 5,1936,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,198.0 ccm (12.08 cubic inches),"Single cylinder, four-stroke",95.0 km/h (59.0 mph),Carburettor. Amal 18mm,Overhead Valves (OHV),Air,Shaft drive (cardan)   (final drive),8.0 HP (5.9  kW)) @ 4500 RPM,63.0 x 64.0 mm (2.5 x 2.5 inches),3-speed,2.75 litres/100 km (36.4 km/l or 85.53 mpg),63.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,2.99-25.00 ,2.99-25.00 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,,,,950 mm (37.4 inches),1950 mm (76.8 inches),850 mm (33.5 inches),1303 mm (51.3 inches),11.00 litres (2.91 US gallons),Kick,Pressed steel duplex,,6.7:1,,Wet sump ,,,Cartridge,Rigid,Battery,Dry-single plate-cable operated,180 mm (7.1 inches),130.0 kg (286.6 pounds),,,,,,
BSA Empire Star,1936,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,500.0 ccm (30.51 cubic inches),"Single cylinder, four-stroke",,Carburettor,Overhead Valves (OHV),,Chain   (final drive),,,,,,,,,,,Dual seat,,,,,,,,,,,,,,,,,,,,,,,,,Black-Chrome-Green,,
Sarolea S6,1936,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,589.0 ccm (35.94 cubic inches),"Single cylinder, four-stroke",120.0 km/h (74.6 mph),Carburettor,Overhead Valves (OHV),,Chain   (final drive),,88.0 x 97.0 mm (3.5 x 3.8 inches),,,,,,,,Spoked,Two single seats,145.0 kg (319.7 pounds),,,,,,,,Monotube,,,,,,,,,,,,,,,,,,
BMW R4 Series 5,1936,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,398.0 ccm (24.29 cubic inches),"Single cylinder, four-stroke",95.0 km/h (59.0 mph),Carburettor. Sum CK 3/500 Fr,Overhead Valves (OHV),Air,Shaft drive (cardan)   (final drive),14.0 HP (10.2  kW)) @ 4000 RPM,,,3.50 litres/100 km (28.6 km/l or 67.21 mpg),81.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,3.50-26.00 ,3.50-26.00 ,Expanding brake (drum brake),Expanding brake (drum brake),,Solo seat with springs,,,959 mm (37.8 inches),1980 mm (78.0 inches),850 mm (33.5 inches),1303 mm (51.3 inches),12.00 litres (3.17 US gallons),Kick,Pressed steel duplex,,5.7:1,,Wet sump ,,,Cartridge,Rigid,,Dry-single plate-cable operated,180 mm (7.1 inches),,,,,,,
Crocker Crocker-twin,1936,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1000.0 ccm (61.02 cubic inches),"V2, four-stroke",177.0 km/h (110.0 mph),Carburettor,Overhead Valves (OHV),Oil & air,Chain   (final drive),,,,,,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single spring-mounted,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Series 441,1936,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1265.0 ccm (77.19 cubic inches),"In-line four, four-stroke",152.9 km/h (95.0 mph),,,Air,,,,,,,5.00-18 ,5.00-18 ,,,,Single seat,,,,,,,,,,,,,,,,,Pluger rigid,,,,257.6 kg (568.0 pounds),,,,,,
Ariel 4G Square Four 1000,1936,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,997.0 ccm (60.84 cubic inches),Square four cylinder,140.0 km/h (87.0 mph),Carburettor. SU MC2 carburettor,Overhead Valves (OHV),Air,Chain   (final drive),35.0 HP (25.5  kW)) @ 5500 RPM,65.0 x 78.0 mm (2.6 x 3.1 inches),4-speed,,,3.25-19 ,4.00-18 ,Expanding brake (drum brake),Expanding brake (drum brake),Wire spoked,,193.0 kg (425.5 pounds),0.1813 HP/kg,,2083 mm (82.0 inches),,1422 mm (56.0 inches),23.00 litres (6.08 US gallons),Kick,Tubular single loop,Double twin cylinder arranged as a square,6.0:1,2,,,,Telescopic fork,Plunger-link spring,,,178 mm (7.0 inches),,,,,,,
NSU 251 OSL,1936,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,242.0 ccm (14.77 cubic inches),"Single cylinder, four-stroke",100.0 km/h (62.1 mph),Carburettor,,Air,Chain   (final drive),10.5 HP (7.7  kW)) @ 5200 RPM,64.0 x 75.0 mm (2.5 x 3.0 inches),4-speed,2.30 litres/100 km (43.5 km/l or 102.27 mpg),53.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,3-19 ,3-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single spring-mounted,126.0 kg (277.8 pounds),0.0833 HP/kg,1000 mm (39.4 inches),2000 mm (78.7 inches),760 mm (29.9 inches),1285 mm (50.6 inches),11.50 litres (3.04 US gallons),Kick,Open double steel,,,,,,,,,Battery-Bosch,,,,,,1.50 litres (1.59 US quarts),,,
DKW SB 500,1936,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,493.9 ccm (30.14 cubic inches),"Twin, two-stroke",115.0 km/h (71.5 mph),Carburettor. Amal,,Air,Chain   (final drive),15.0 HP (10.9  kW)) @ 4000 RPM,68.0 x 68.0 mm (2.7 x 2.7 inches),,3.50 litres/100 km (28.6 km/l or 67.21 mpg),81.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,3.5-19 ,3.5-19 ,Expanding brake (drum brake),Expanding brake (drum brake),,,165.0 kg (363.8 pounds),0.0909 HP/kg,,,,,13.00 litres (3.43 US gallons),,,,5.7:1,,,,,,Rigid,,Oil bath multidisc,,,,,,,,
BSA Y13,1936,Cross / motocross,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,748.0 ccm (45.64 cubic inches),"Twin, four-stroke",,Carburettor. Amal monoblock,Overhead Valves (OHV),Air,Chain   (final drive),19.5 HP (14.2  kW)) @ 4800 RPM,71.0 x 94.0 mm (2.8 x 3.7 inches),,,,4.00-18 ,4.00-18 ,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,,,1372 mm (54.0 inches),17.00 litres (4.49 US gallons),,Duplex cradle,,,,Dry sump,,,,,Lucas,Multiplate dry,70 mm (2.8 inches),,,,,,,
Rikuo RT 2,1936,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,750.0 ccm (45.77 cubic inches),"V2, four-stroke",,Carburettor. Linkert,Sidevalves,Air,,22.0 HP (16.1  kW)) @ 4250 RPM,,4-speed,,,,,,,,Spring-mounted seat,230.0 kg (507.1 pounds),0.0957 HP/kg,,,,,,,,,,,,,,Telescopic,,Generator and battery,Four speed ,,,,,,,,
Indian 402,1936,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1265.0 ccm (77.19 cubic inches),"In-line four, four-stroke",153.0 km/h (95.1 mph),Carburettor,,,Chain   (final drive),,,,,,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single spring-mounted,,,,,,,,,Twin downtube,,,,,,,Trailing link,Rigid,,,,,,,,,,
BMW R17,1936,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,736.0 ccm (44.91 cubic inches),"Two cylinder boxer, four-stroke",140.0 km/h (87.0 mph),Carburettor. Amal 26mm,Overhead Valves (OHV),Air,Shaft drive (cardan)   (final drive),33.0 HP (24.1  kW)) @ 4500 RPM,83.0 x 68.0 mm (3.3 x 2.7 inches),4-speed,,,3.5-19 ,3.5-19 ,Expanding brake (drum brake),Expanding brake (drum brake),,,,,940 mm (37.0 inches),2100 mm (82.7 inches),890 mm (35.0 inches),1380 mm (54.3 inches),14.00 litres (3.70 US gallons),Kick,Steel-double cradlel,,6.5:1,,Wet sump ,,,Cartridge,Rigid,Battery,Dry-multiplate-cable operated,200 mm (7.9 inches),165.0 kg (363.8 pounds),210kg,,,,,
NSU 601 OSB,1936,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,562.0 ccm (34.29 cubic inches),"Single cylinder, four-stroke",,Carburettor. Amal,,Air,,26.0 HP (19.0  kW)) @ 4950 RPM,85.0 x 99.0 mm (3.3 x 3.9 inches),,,,3.50-19 ,3.50-19 ,Expanding brake (drum brake),Expanding brake (drum brake),,Single ,150.0 kg (330.7 pounds),0.1733 HP/kg,1000 mm (39.4 inches),2200 mm (86.6 inches),850 mm (33.5 inches),1420 mm (55.9 inches),,Kick,,,,,,,,,,,,,,,,,,,
Norton 490 CS 1,1936,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,490.0 ccm (29.90 cubic inches),"Single cylinder, four-stroke",128.8 km/h (80.0 mph),Carburettor,Single Overhead Cams (SOHC),,Chain   (final drive),,,,,,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Solo seat with springs,145.0 kg (319.7 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,
Zündapp K 800,1936,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,791.0 ccm (48.27 cubic inches),"Four cylinder boxer, four-stroke",125.0 km/h (77.7 mph),Carburettor. Amal 22mm,,Air,Shaft drive (cardan)   (final drive),20.0 HP (14.6  kW)) @ 4300 RPM,62.0 x 66.6 mm (2.4 x 2.6 inches),4-speed,,,3.50-19 ,3.50-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Two single seats,193.0 kg (425.5 pounds),0.1036 HP/kg,,,,,12.50 litres (3.30 US gallons),,,,,,,,,,Rigid,,,,,,,,,,
DKW SB 500A,1936,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,494.0 ccm (30.14 cubic inches),"Twin, two-stroke",115.0 km/h (71.5 mph),Carburettor. Bing,,Liquid,Chain   (final drive),,68.0 x 68.0 mm (2.7 x 2.7 inches),,3.50 litres/100 km (28.6 km/l or 67.21 mpg),81.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,3.50-19 ,3.50-19 ,Expanding brake (drum brake),Expanding brake (drum brake),,,235.0 kg (518.1 pounds),,,2125 mm (83.7 inches),,1385 mm (54.5 inches),13.00 litres (3.43 US gallons),Electric,,Combined two 247cc cylinders on a single block,5.7:1,,,,,Girder fork coil spring,Rigid-,,Foot-operated,200 mm (7.9 inches),,,"675 mm (26.6 inches) If adjustable, lowest setting.",,,,Twin headlights
Nimbus 2510,1936,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,750.0 ccm (45.77 cubic inches),"In-line four, four-stroke",,Carburettor,Overhead Cams (OHC),,,,,3-speed,,,,,,,,Two single seats,,,,,,,,,,,,,,,,Telescopic,,,,,,,,,,,
