Model,Year,Category,Rating,Displacement,Engine type,Bore x stroke,Fuel system,Transmission type,Frame type,Front suspension,Rear suspension,Front brakes,Rear brakes,Seat,Seat height,Engine details,Power,Top speed,Compression,Fuel control,Cooling system,Gearbox,Front tire,Rear tire,Wheels,Dry weight,Power/weight ratio,Wheelbase,Fuel capacity,Starter,Electrical,Carrying capacity,Comments,Ignition,Lubrication system,Clutch,Diameter,Overall length,Overall height,Overall width,"Weight incl. oil, gas, etc",Color options,Valves per cylinder,Alternate seat height,Fuel consumption,Greenhouse gases,Ground clearance,Max RPM,Exhaust system,Driveline,Rake (fork angle),Torque,0-100 km/h (0-62 mph)
Norton 650SS,1963,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,646.0 ccm (39.42 cubic inches),"Twin, four-stroke",68.0 x 89.0 mm (2.7 x 3.5 inches),Carburettor. Amal,Chain   (final drive),Duplex steel cradle,Telescopic,Dual chocks,Expanding brake (drum brake),Expanding brake (drum brake),Dual ,,,52.0 HP (38.0  kW)) @ 6800 RPM,185.0 km/h (115.0 mph),8.9:1,Overhead Valves (OHV),,,3.25-19 ,4.00-18 ,Spoked,,,,13.50 litres (3.57 US gallons),,,,,,,,,,,,196.9 kg (434.0 pounds),,2,,,,,,,,,,
Maico Maicoletta,1963,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,174.0 ccm (10.62 cubic inches),"Single cylinder, two-stroke",61.0 x 59.5 mm (2.4 x 2.3 inches),,Chain   (final drive),Tubular steel,Telescopic,Swingarm ,Expanding brake (drum brake),Expanding brake (drum brake),Dual ,,,,,,,,,,,Spoked,,,,,,,,,,,Enclosed ,,,,,,,,,,,,,,,,,
NSU Quickly S2 23,1963,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,50.0 ccm (3.05 cubic inches),"Single cylinder, two-stroke",,Carburettor,,,,,Expanding brake (drum brake),Expanding brake (drum brake),Dual ,,,,43.0 km/h (26.7 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matchless G-12,1963,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,646.0 ccm (39.42 cubic inches),"Twin, four-stroke",,Carburettor. Amal,Chain   (final drive),,Telescopic,Swingarm with coil-over shocks,Expanding brake (drum brake),Expanding brake (drum brake),,,,35.0 HP (25.5  kW)) @ 6500 RPM,,,,Air,,,,,180.0 kg (396.8 pounds),0.1944 HP/kg,,,,,,Designer was Phil Walker,,,,,,,,,,,,,,,,,,,,
Triumph Speed Twin ,1963,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.0 ccm (30.39 cubic inches),"Twin, four-stroke",,Carburettor. Amal,Chain   (final drive),,Telescopic,Rigid-optional sprung hub,Expanding brake (drum brake),Expanding brake (drum brake),,,,27.0 HP (19.7  kW)) @ 6300 RPM,,,Overhead Valves (OHV),,,,,,158.8 kg (350.0 pounds),0.1701 HP/kg,1400 mm (55.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,
Zündapp 514-320 KS 100,1963,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,98.0 ccm (5.98 cubic inches),"Single cylinder, two-stroke",50.0 x 50.0 mm (2.0 x 2.0 inches),Carburettor. Bing,Chain   (final drive),Steel,Telescopic fork,Swingarm ,Expanding brake (drum brake),Expanding brake (drum brake),Dual ,,,8.1 HP (5.9  kW)) @ 6300 RPM,,9.0:1,,Air,,2.75-16 ,2.75-16 ,Spoked,90.0 kg (198.4 pounds),0.0894 HP/kg,,11.50 litres (3.04 US gallons),Kick,,,,,,,,,,,,,,,,,,,,,,,
Bultaco TSS,1963,Cross / motocross,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",,,Chain   (final drive),Tubular,Telescopic,,Expanding brake (drum brake),Expanding brake (drum brake),Single Seat,,,,,13.5:1,,,,2.75-18 ,2.75-18 ,Spoked,,,,,,,,,,,Wet multiplate,,,,,,,,"710 mm (28.0 inches) If adjustable, highest setting.",,,,,,,,,
BMW R27,1963,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,247.0 ccm (15.07 cubic inches),"Single cylinder, four-stroke",68.0 x 68.0 mm (2.7 x 2.7 inches),Carburettor. Bing ,Shaft drive (cardan)   (final drive),Steel twin looped,Cartridge,Twin shock-Swingarm,Expanding brake (drum brake),Expanding brake (drum brake),Spring-mounted seat,,,18.0 HP (13.1  kW)) @ 7400 RPM,130.0 km/h (80.8 mph),8.2:1,Overhead Valves (OHV),Air,4-speed,3.27-18 ,3.27-18 ,,,,965 mm (38.0 inches),15.00 litres (3.96 US gallons),Kick,,325kg-with sidecar 480kg,,Battery,Wet sump ,Single plate dry-cable operated,160 mm (6.3 inches),2090 mm (82.3 inches),975 mm (38.4 inches),660 mm (26.0 inches),162.0 kg (357.1 pounds),,,,3.30 litres/100 km (30.3 km/l or 71.28 mpg),76.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,105 mm (4.1 inches),,,,,,
Norton Atlas,1963,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,745.0 ccm (45.46 cubic inches),"Twin, four-stroke",73.0 x 89.0 mm (2.9 x 3.5 inches),Carburettor. Amal,Chain   (final drive),,Telescopic,Dual chocks,Expanding brake (drum brake). 203mm,Expanding brake (drum brake). 178mm,Dual ,,,58.0 HP (42.3  kW)) @ 6800 RPM,,8.9:1,,Air,,3.25-19 ,4.25-19 ,Spoked,,,,,Kick,,,,Electric,,,,,,,185.0 kg (407.9 pounds),,2,,,,,,,,,,
Triumph 3TA,1963,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,349.0 ccm (21.30 cubic inches),"Twin, four-stroke",,Carburettor. Amal,Chain   (final drive),,Telescopic,Swingarm with coil-over shocks,Expanding brake (drum brake),Expanding brake (drum brake),Dual seat,,,,,,,,,,,,156.5 kg (345.0 pounds),,,,,,,,,Dry sump,,,,,,,,,,,,,,,,,,
MZ RE125,1963,Cross / motocross,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",,Carburettor,Chain   (final drive),,,,,,Single ,,,,193.0 km/h (119.9 mph),,,,,,,Spoked,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Velocette Venom,1963,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",86.0 x 86.0 mm (3.4 x 3.4 inches),Carburettor. Amal ,Chain   (final drive),,Telescopic,Swingarm with coil-over shocks,Expanding brake (drum brake),Expanding brake (drum brake),Dual seat,,,34.0 HP (24.8  kW)) @ 6200 RPM,160.9 km/h (100.0 mph),8.0:1,Overhead Valves (OHV),Air,,,,,177.0 kg (390.2 pounds),0.1921 HP/kg,1391 mm (54.8 inches),,,,,,,Wet sump ,,,,,,,,,,,,,,,,,,
Agrati Capri 50,1963,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,50.0 ccm (3.05 cubic inches),"Single cylinder, two-stroke",38.0 x 42.0 mm (1.5 x 1.7 inches),Carburettor,Chain   (final drive),,,,Expanding brake (drum brake),Expanding brake (drum brake),,,Sachs,1.3 HP (1.0  kW)) @ 5500 RPM,,,,Air,,,,,67.0 kg (147.7 pounds),0.0200 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,
Bultaco Tralla 102,1963,Classic,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",,Carburettor. Amal 376/25,Chain   (final drive),,Telescopic Fork,,Expanding brake (drum brake),Expanding brake (drum brake),,,,15.0 HP (10.9  kW)) @ 7500 RPM,115.0 km/h (71.5 mph),,,Air,4-speed,,,,95.0 kg (209.4 pounds),0.1579 HP/kg,1305 mm (51.4 inches),12.00 litres (3.17 US gallons),,,,,stroke,,Wet Plate,,1955 mm (77.0 inches),,,,Red/grey,2,,2.00 litres/100 km (50.0 km/l or 117.61 mpg),46.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,,9000,Sigle Stainless Pipe,,,,
Ariel Leader,1963,Touring,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,249.0 ccm (15.19 cubic inches),"Twin, two-stroke",54.0 x 54.0 mm (2.1 x 2.1 inches),Carburettor. Amal Monobloc,Chain   (final drive),Backbone,Trailing link oil-damped,Swingarm,Expanding brake (drum brake),Expanding brake (drum brake),Red dual seat,"762 mm (30.0 inches) If adjustable, lowest setting.",,17.5 HP (12.8  kW)) @ 6250 RPM,112.7 km/h (70.0 mph),,Overhead Valves (OHV),Air,4-speed,3.25-16 ,3.25-16 ,Black wire spoked rims,150.0 kg (330.7 pounds),0.1167 HP/kg,1295 mm (51.0 inches),9.00 litres (2.38 US gallons),Kick,,"Saddle bags, under-seat luggage compartment",Windscreen.,,,,152 mm (6.0 inches),,,,,Black/white,,,2.94 litres/100 km (34.0 km/l or 80.01 mpg),68.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,Burman gearbox,,,
Balkan C2 - 250,1963,Touring,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,247.3 ccm (15.09 cubic inches),"Single cylinder, two-stroke",64.0 x 70.0 mm (2.5 x 2.8 inches),Carburettor. 29/24 H,Chain   (final drive),,,,Expanding brake (drum brake),Expanding brake (drum brake),,"810 mm (31.9 inches) If adjustable, lowest setting.",,12.5 HP (9.1  kW)) @ 4800 RPM,110.0 km/h (68.4 mph),6.5:1,,Air,4-speed,,,,150.0 kg (330.7 pounds),0.0833 HP/kg,,,Kick,,,,,,,,2130 mm (83.9 inches),1036 mm (40.8 inches),660 mm (26.0 inches),,,,,3.40 litres/100 km (29.4 km/l or 69.18 mpg),78.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,Double pipes,,,,
AJS Model 18 500 Statesman,1963,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.0 ccm (30.39 cubic inches),"Single cylinder, four-stroke",86.0 x 85.5 mm (3.4 x 3.4 inches),Carburettor,Chain   (final drive),Single cradle,Telescopic,Twin shock,Expanding brake (drum brake),Expanding brake (drum brake),,,,28.0 HP (20.4  kW)) @ 5600 RPM,,,,Air,,3.25-18 ,3.25-18 ,Spoked,172.0 kg (379.2 pounds),0.1628 HP/kg,1397 mm (55.0 inches),16.00 litres (4.23 US gallons),Kick,,,,Bobine,,Wet multiplate,,,,,,,,,,,,,,,,,
Hercules A 175,1963,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,173.0 ccm (10.56 cubic inches),"Single cylinder, two-stroke",62.0 x 58.0 mm (2.4 x 2.3 inches),Carburettor. Bing 24mm,Chain   (final drive),,Telescopic,Swingarm ,Expanding brake (drum brake),Expanding brake (drum brake),Dual ,,,9.3 HP (6.8  kW)) @ 5250 RPM,,,,,,3.25-16 ,3.50-16 ,Spoked,140.0 kg (308.6 pounds),0.0664 HP/kg,,11.50 litres (3.04 US gallons),Kick,,,,,,,150 mm (5.9 inches),,,,,,,,,,,,,,,,
Hercules K 103,1963,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,97.0 ccm (5.92 cubic inches),"Single cylinder, two-stroke",48.0 x 54.0 mm (1.9 x 2.1 inches),Carburettor. Bing 22mm,Chain   (final drive),Single cradle,,Swingarm ,Expanding brake (drum brake),Expanding brake (drum brake),Dual ,,,7.0 HP (5.1  kW)) @ 5750 RPM,90.0 km/h (55.9 mph),,,Air,,3-16 ,3-16 ,Spoked,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSU Prima III K,1963,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,146.0 ccm (8.91 cubic inches),"Single cylinder, two-stroke",57.0 x 57.6 mm (2.2 x 2.3 inches),Carburettor,Shaft drive (cardan)   (final drive),,,,Expanding brake (drum brake),Expanding brake (drum brake),Two single seats,,,7.7 HP (5.6  kW)) @ 5200 RPM,84.0 km/h (52.2 mph),6.5:1,,Air,,3.50-10 ,3.50-10 ,,,,,12.00 litres (3.17 US gallons),Kick,,,,,,,,1780 mm (70.1 inches),965 mm (38.0 inches),650 mm (25.6 inches),,,,,,,,,,,,,
Panther M 120,1963,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,649.0 ccm (39.60 cubic inches),"Single cylinder, four-stroke",88.0 x 106.0 mm (3.5 x 4.2 inches),Carburettor,Chain   (final drive),,Telescopic ,Swingarm ,Expanding brake (drum brake),Expanding brake (drum brake),Dual ,,,27.0 HP (19.7  kW)) @ 6500 RPM,,6.5:1,Overhead Valves (OHV),Air,,3-19 ,3-19 ,Spoked,209.1 kg (461.0 pounds),0.1291 HP/kg,1500 mm (59.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,
Lambretta TV 200,1963,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,198.0 ccm (12.08 cubic inches),"Single cylinder, two-stroke",66.0 x 58.0 mm (2.6 x 2.3 inches),Carburettor. DellÓrto,Chain   (final drive),,,,Single disc,Expanding brake (drum brake),Dual ,,,10.8 HP (7.8  kW)) @ 5300 RPM,96.6 km/h (60.0 mph),8.0:1,,Air,,3.50-10 ,3.50-10 ,,109.8 kg (242.0 pounds),0.0979 HP/kg,,,Kick,,,,,,,,,,,,,,,,,,,,,,,
Triumph Speed Twin 5T,1963,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.0 ccm (30.39 cubic inches),"Twin, four-stroke",,Carburettor. Amal,Chain   (final drive),,Telescopic,Swingarm with coil-over shocks,Expanding brake (drum brake),Expanding brake (drum brake),Dual seat,,,27.0 HP (19.7  kW)) @ 6300 RPM,,,Overhead Valves (OHV),,,,,,,,1400 mm (55.1 inches),,,,,,,Dry sump,,,,,,,,,,,,,,,,,,
Triumph Bonneville TT Special,1963,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,649.0 ccm (39.60 cubic inches),"Twin, four-stroke",71.0 x 82.0 mm (2.8 x 3.2 inches),Carburettor. Amal monobloc carburettor,Chain   (final drive),"Brazed lug, full-cradle, single downtube","Telescopic fork, hydraulic damping.","Swing arm, 2 Girling dampers",Expanding brake (drum brake),Expanding brake (drum brake),Dual seat,"775 mm (30.5 inches) If adjustable, lowest setting.",,52.0 HP (38.0  kW)) @ 6500 RPM,185.0 km/h (115.0 mph),11.2:1,Overhead Valves (OHV),Air,4-speed,3.50-19 ,4.00-18 ,Wire spoked,165.0 kg (363.8 pounds),0.3152 HP/kg,1403 mm (55.2 inches),15.14 litres (4.00 US gallons),Kick,"Lucas RM19 alternator, 6-volt electrical system",,,AC energy transfer (ET) ,,"Multi-plate, wet",178 mm (7.0 inches),,,,,Alaskan White,,,,,127 mm (5.0 inches),,,,26.0°,,
Suzuki GP RT63,1963,Cross / motocross,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.0 ccm (7.57 cubic inches),"Twin, two-stroke",,Carburettor,Chain   (final drive),,,,,,Single ,,,,,,,,8-speed,,,Spoked,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norton ES 400 Electra,1963,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,400.0 ccm (24.41 cubic inches),"Twin, four-stroke",66.0 x 56.0 mm (2.6 x 2.2 inches),Carburettor,Chain   (final drive),,Telescopic,Two schock,Expanding brake (drum brake),Expanding brake (drum brake),Dual ,,,,,7.9:1,,Air,4-speed,,,Spoked,,,,13.25 litres (3.50 US gallons),Electric,,,,,,Wet multiplate,,2032 mm (80.0 inches),1016 mm (40.0 inches),686 mm (27.0 inches),161.0 kg (354.9 pounds),,2,,,,,,,,,,
Enfield Interceptor ,1963,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,736.0 ccm (44.91 cubic inches),"Twin, two-stroke",,,,,,,,,Dual ,,,,,,Overhead Valves (OHV),Air,,,,Spoked,,,,,,,,,,,,,,,,190.0 kg (418.9 pounds),,,,,,,,,,,,
Cushman Eagle,1963,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,318.0 ccm (19.40 cubic inches),"Single cylinder, two-stroke",,Carburettor,Belt   (final drive),,,,Single disc,Single disc,Single spring-mounted,,,,84.0 km/h (52.2 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,3.14 litres/100 km (31.8 km/l or 74.91 mpg),72.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,
Agrati Capri Monaco,1963,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,94.0 ccm (5.74 cubic inches),"Single cylinder, two-stroke",50.0 x 48.0 mm (2.0 x 1.9 inches),Carburettor. DellÓrto,Chain   (final drive),,,Swingarm ,Expanding brake (drum brake),Expanding brake (drum brake),,,Garelli,,,,,Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph T100C,1963,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,490.0 ccm (29.90 cubic inches),"Twin, four-stroke",,Carburettor. Amal,Chain   (final drive),,Telescopic,Swingarm with coil-over shocks,Expanding brake (drum brake),Expanding brake (drum brake),Dual seat,,,41.0 HP (29.9  kW)) @ 7200 RPM,,,Overhead Valves (OHV),Air,,,,,152.0 kg (335.0 pounds),0.2698 HP/kg,,,,,,,,,,,,,,168.3 kg (371.0 pounds),,,,,,,,,,,,
Lambretta TV 175 Series 3,1963,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,175.0 ccm (10.68 cubic inches),"Single cylinder, two-stroke",62.0 x 58.0 mm (2.4 x 2.3 inches),Carburettor. DellÓrto,Chain   (final drive),,,,Single disc,Expanding brake (drum brake),Dual ,,,8.8 HP (6.4  kW)) @ 5300 RPM,96.6 km/h (60.0 mph),8.0:1,,Air,,3.50-10 ,3.50-10 ,Chromed wheel rims,109.8 kg (242.0 pounds),0.0797 HP/kg,,,Kick,,,,,,,,,,,,Ivory,,,,,,,,,,,
Velocette Valiant,1963,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,192.0 ccm (11.72 cubic inches),"Two cylinder boxer, four-stroke",50.0 x 49.0 mm (2.0 x 1.9 inches),Carburettor,Shaft drive (cardan)   (final drive),,Hydralic telescopic forks,Twin shock,Expanding brake (drum brake),Expanding brake (drum brake),,,,12.0 HP (8.8  kW)) @ 6000 RPM,110.0 km/h (68.4 mph),8.0:1,Overhead Valves (OHV),Air,,,,,116.0 kg (255.7 pounds),0.1034 HP/kg,,12.00 litres (3.17 US gallons),,,,,,,,,,,,,,,,,,,,,,,,
Raleigh Supermatic RM5,1963,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,50.0 ccm (3.05 cubic inches),"Single cylinder, two-stroke",,Carburettor,,,Leading link,Swingarm ,Expanding brake (drum brake),Expanding brake (drum brake),Dual ,,,,48.0 km/h (29.8 mph),,,,,,,Spoked,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vincent Sprinter Methamon,1963,Cross / motocross,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1148.0 ccm (70.05 cubic inches),"V2, two-stroke",,Carburettor,,,,,,,Single ,,,,241.0 km/h (149.8 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R69S,1963,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,594.0 ccm (36.25 cubic inches),"Two cylinder boxer, four-stroke",73.0 x 73.0 mm (2.9 x 2.9 inches),Carburettor. Bing,Shaft drive (cardan)   (final drive),Steel-doble cradle,Cartridge,Twin shock-swingarm,Expanding brake (drum brake). Single,Expanding brake (drum brake). Simplex full hub,Dual seat,,,42.0 HP (30.7  kW)) @ 7000 RPM,175.0 km/h (108.7 mph),9.5:1,Overhead Valves (OHV),Air,4-speed,,3.5-18 ,Spoked,,,1415 mm (55.7 inches),17.00 litres (4.49 US gallons),Kick,,360,,Magneto,Forced feed,Dry-single plate-cable operated,200 mm (7.9 inches),2125 mm (83.7 inches),980 mm (38.6 inches),722 mm (28.4 inches),202.0 kg (445.3 pounds),,,,5.30 litres/100 km (18.9 km/l or 44.38 mpg),123.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,
AJS Model 31 650 Swift,1963,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,646.0 ccm (39.42 cubic inches),"V2, four-stroke",72.0 x 79.3 mm (2.8 x 3.1 inches),Carburettor,Chain   (final drive),Doble cradle,Hydraulic telescopic,Twin shock Girling,Expanding brake (drum brake),Expanding brake (drum brake),Dual ,,,31.4 HP (22.9  kW)) @ 6000 RPM,,7.5:1,Overhead Valves (OHV),Air,,,,Spoked,176.0 kg (388.0 pounds),0.1784 HP/kg,,16.00 litres (4.23 US gallons),Kick,,,,Bobine,,Wet multiplate,,,,,,,,,,,,,,,,,
