Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Compression,Bore x stroke,Fuel control,Cooling system,Gearbox,Transmission type,Front tire,Rear tire,Front brakes,Rear brakes,"Weight incl. oil, gas, etc",Fuel capacity,Valves per cylinder,Fuel system,Torque,1/4 mile (0.4 km),Max RPM,Ignition,Lubrication system,Clutch,Fuel consumption,Greenhouse gases,Exhaust system,Frame type,Rake (fork angle),Trail,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Diameter,Dry weight,Power/weight ratio,Seat height,Overall height,Overall length,Overall width,Ground clearance,Wheelbase,Reserve fuel capacity,Oil capacity,Color options,Starter,0-100 km/h (0-62 mph),"60-140 km/h (37-87 mph), highest gear",Front percentage of weight,Rear percentage of weight,Alternate seat height,Comments,Modifications compared to previous model,Engine oil,Brake fluid,Coolant,Spark plugs,Idle speed,Tire pressure front,Tire pressure rear,Fork tube size,Oil filter,Chain links,Sprockets,Seat,Instruments,Electrical,Light,Carrying capacity,Wheels,Engine details,Battery,Driveline
Honda XLV 750 R,1985,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",749.0 ccm (45.70 cubic inches),"V2, four-stroke",61.0 HP (44.5  kW)) @ 7000 RPM,174.0 km/h (108.1 mph),8.4:1,79.5 x 75.5 mm (3.1 x 3.0 inches),Overhead Cams (OHC),Air,5-speed,Shaft drive (cardan)   (final drive),90/90-21 ,130/80-17 ,Single disc,Expanding brake,220.0 kg (485.0 pounds),19.50 litres (5.15 US gallons),3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GS 850 G,1985,Sport touring," 3.1  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",843.0 ccm (51.44 cubic inches),"In-line four, four-stroke",80.0 HP (58.4  kW)) @ 8500 RPM,203.0 km/h (126.1 mph),8.8:1,69.0 x 56.4 mm (2.7 x 2.2 inches),Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Shaft drive (cardan)   (final drive),3.50-19 ,4.50-17 ,Dual disc,Single disc,273.0 kg (601.9 pounds),23.00 litres (6.08 US gallons),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husqvarna 125 WR,1985,Enduro / offroad," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",10.0 HP (7.3  kW)) @ 8500 RPM,95.0 km/h (59.0 mph),14.6:1,55.0 x 52.0 mm (2.2 x 2.0 inches),Membrane,Liquid,6-speed,Chain   (final drive),3.00-21 ,4.50-18 ,Expanding brake,Expanding brake,98.0 kg (216.1 pounds),11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha RD 350 F (reduced effect),1985,Classic," 3.3  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",347.0 ccm (21.17 cubic inches),"Twin, two-stroke",50.0 HP (36.5  kW)) @ 9200 RPM,184.0 km/h (114.3 mph),6.0:1,64.0 x 54.0 mm (2.5 x 2.1 inches),Membrane & power valve,Liquid,6-speed,Chain   (final drive),90/90-18 ,110/80-18 ,Dual disc,Single disc,170.0 kg (374.8 pounds),20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VF 1000 F 2,1985,Classic," 3.4  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",998.0 ccm (60.90 cubic inches),"V4, four-stroke",100.0 HP (73.0  kW)) @ 9500 RPM,232.0 km/h (144.2 mph),10.5:1,77.0 x 53.6 mm (3.0 x 2.1 inches),Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Chain   (final drive),100/90-18 ,140/80-17 ,Dual disc,Single disc,277.0 kg (610.7 pounds),23.00 litres (6.08 US gallons),4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XJ 900 F,1985,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",891.0 ccm (54.37 cubic inches),"In-line four, four-stroke",98.0 HP (71.5  kW)) @ 9000 RPM,221.0 km/h (137.3 mph),9.6:1,68.5 x 60.5 mm (2.7 x 2.4 inches),Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Shaft drive (cardan)   (final drive),100/90-18 ,120/90-18 ,Dual disc,Single disc,242.0 kg (533.5 pounds),22.00 litres (5.81 US gallons),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Z 440 LTD Belt Drive,1985,Custom / cruiser," 3.1  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",444.0 ccm (27.09 cubic inches),"Twin, four-stroke",36.0 HP (26.3  kW)) @ 8150 RPM,151.0 km/h (93.8 mph),9.2:1,67.5 x 62.0 mm (2.7 x 2.4 inches),Overhead Cams (OHC),Air,6-speed,Belt   (final drive),3.25-19 ,130/90-16 ,Single disc,Expanding brake,183.0 kg (403.4 pounds),11.50 litres (3.04 US gallons),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Z 550 Sport,1985,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,553.0 ccm (33.74 cubic inches),"In-line four, four-stroke",50.0 HP (36.5  kW)) @ 8500 RPM,184.0 km/h (114.3 mph),9.5:1,58.0 x 52.4 mm (2.3 x 2.1 inches),Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Dual disc,Expanding brake,208.0 kg (458.6 pounds),18.50 litres (4.89 US gallons),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GS 1100 G,1985,Sport touring," 3.3  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1074.0 ccm (65.54 cubic inches),"In-line four, four-stroke",94.0 HP (68.6  kW)) @ 8000 RPM,207.0 km/h (128.6 mph),8.3:1,72.0 x 66.0 mm (2.8 x 2.6 inches),Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Shaft drive (cardan)   (final drive),3.50-19 ,4.50-17 ,Dual disc,Single disc,268.0 kg (590.8 pounds),22.00 litres (5.81 US gallons),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 80 GS Paris-Dakar,1985,Enduro / offroad," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",797.0 ccm (48.63 cubic inches),"Two cylinder boxer, four-stroke",50.0 HP (36.5  kW)) @ 6500 RPM,164.0 km/h (101.9 mph),8.2:1,84.8 x 70.6 mm (3.3 x 2.8 inches),Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),3.00-21 ,4.00-18 ,Single disc,Expanding brake,219.0 kg (482.8 pounds),33.50 litres (8.85 US gallons),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puch 600 HWE,1985,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,562.0 ccm (34.29 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 7700 RPM,140.0 km/h (87.0 mph),9.8:1,94.0 x 81.0 mm (3.7 x 3.2 inches),Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.50-21 ,4.50-18 ,Single disc,Expanding brake,132.0 kg (291.0 pounds),10.00 litres (2.64 US gallons),4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX-R 750,1985,Sport," 3.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",749.0 ccm (45.70 cubic inches),"In-line four, four-stroke",106.0 HP (77.4  kW)) @ 10500 RPM,,9.8:1,70.0 x 48.7 mm (2.8 x 1.9 inches),Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),110/80-18 ,140/70-18 ,Dual disc,Single disc,201.0 kg (443.1 pounds),19.00 litres (5.02 US gallons),4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XJ700XNC,1985,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",697.0 ccm (42.53 cubic inches),"In-line four, four-stroke",,217.3 km/h (135.0 mph),11.2:1,68.0 x 48.0 mm (2.7 x 1.9 inches),Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Shaft drive (cardan)   (final drive),100/90-19 57H ,130/90-16 67 ,Double disc. Right hand operation,Expanding brake (drum brake). Right foot operation,224.0 kg (493.8 pounds),13.00 litres (3.43 US gallons),5,Carburettor. BS33/4/Mikuni,,11.79 seconds,,T.C.I.,Wet sump,Wet multiple-disc,5.29 litres/100 km (18.9 km/l or 44.47 mpg),122.7 CO2 g/km. (CO2 - Carbon dioxide emission) ,Four into two,"Tubular, steel double cradle",31.5°,120 mm (4.7 inches),Telescopic Fork,150 mm (5.9 inches),Swingarm,99 mm (3.9 inches),,224.1 kg (494.0 pounds),,"760 mm (29.9 inches) If adjustable, lowest setting.",1160 mm (45.7 inches),2230 mm (87.8 inches),775 mm (30.5 inches),145 mm (5.7 inches),1520 mm (59.8 inches),3.00 litres (0.79 US gallons),,"Black, Red, Blue",Electric,5.04 seconds,3.20 seconds,50.0,50.0,"749 mm (29.5 inches) If adjustable, highest setting.","For the 1985 model year the U.S. imposed an embargo on foreign made (maybe Japanese only) motorcycles imported into the U.S. to boost the ailing American Harley Davidson Motorcycle company. This embargo charged heavy tariffs on all imported bikes above 700 ccs. Yamaha, in an effort to keep sales up and avoid excess taxation, downsized the XJ750 and came up with the XJ700N. It had many of the same features of it´s slightly larger cousin but did not exceed the 700 cc limit. In late 1986, U.S. Courts rules the embargo illegal and cancelled it. This is why the Maxim 700 was only available in 85 and 86. Owners of Maxim 700s now sort of own a piece of U.S. Legal history, and a ´limited edition´ (so to speak) bike.",1st year production of two years. 11.79 sec @ 112.82 mph Quater mile,,,,,,,,,,,,,,,,,,,,
Moto Guzzi V 65 TT,1985,Touring," 3.3  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",643.0 ccm (39.24 cubic inches),"V2, four-stroke",45.0 HP (32.8  kW)) @ 7500 RPM,156.0 km/h (96.9 mph),9.8:1,80.0 x 64.0 mm (3.1 x 2.5 inches),Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),3.00-21 ,4.00-18 ,Single disc,Single disc,184.0 kg (405.7 pounds),13.00 litres (3.43 US gallons),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VF 500 F 2,1985,Sport touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",497.0 ccm (30.33 cubic inches),"V4, four-stroke",70.0 HP (51.1  kW)) @ 11500 RPM,206.0 km/h (128.0 mph),11.0:1,60.0 x 44.0 mm (2.4 x 1.7 inches),Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),100/90-16 ,110/90-18 ,Dual disc,Single disc,206.0 kg (454.2 pounds),17.00 litres (4.49 US gallons),4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fantic 125 Raider LC,1985,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",16.0 HP (11.7  kW)) @ 7250 RPM,105.0 km/h (65.2 mph),12.0:1,55.2 x 52.0 mm (2.2 x 2.0 inches),Port control,Liquid,6-speed,Chain   (final drive),3.00-21 ,4.10-18 ,Single disc,Expanding brake,111.0 kg (244.7 pounds),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FLHTC C 1340 Electra Glide Chrom,1985,Touring," 2.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1337.0 ccm (81.58 cubic inches),"V2, four-stroke",64.0 HP (46.7  kW)) @ 5000 RPM,152.0 km/h (94.4 mph),8.5:1,88.8 x 108.0 mm (3.5 x 4.3 inches),Overhead Valves (OHV),Air,5-speed,Chain   (final drive),MT 90-16 ,MT 90-16 ,Dual disc,Single disc,345.0 kg (760.6 pounds),19.00 litres (5.02 US gallons),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha FJ 1100,1985,Sport touring," 3.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1097.0 ccm (66.94 cubic inches),"In-line four, four-stroke",125.0 HP (91.2  kW)) @ 9000 RPM,,9.5:1,74.0 x 63.8 mm (2.9 x 2.5 inches),Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),120/80-16 ,150/80-16 ,Dual disc,Single disc,261.0 kg (575.4 pounds),24.00 litres (6.34 US gallons),4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki GPZ 600 R,1985,Sport touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",592.0 ccm (36.12 cubic inches),"In-line four, four-stroke",75.0 HP (54.7  kW)) @ 10500 RPM,216.0 km/h (134.2 mph),11.0:1,60.0 x 52.4 mm (2.4 x 2.1 inches),Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),110/90-16 ,130/90-16 ,Dual disc,Single disc,217.0 kg (478.4 pounds),18.00 litres (4.76 US gallons),4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XT 600 (reduced effect),1985,Enduro / offroad," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",595.0 ccm (36.31 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 6000 RPM,136.0 km/h (84.5 mph),8.5:1,95.0 x 84.0 mm (3.7 x 3.3 inches),Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-21 ,4.60-18 ,Single disc,Expanding brake,148.0 kg (326.3 pounds),11.00 litres (2.91 US gallons),4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki GPZ 1100 (reduced effect),1985,Naked bike," 3.0  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1089.0 ccm (66.45 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 8750 RPM,240.0 km/h (149.1 mph),9.5:1,72.5 x 66.0 mm (2.9 x 2.6 inches),Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),110/90-18 ,130/90-17 ,Dual disc,Single disc,266.0 kg (586.4 pounds),20.00 litres (5.28 US gallons),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benelli 125 T,1985,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Twin, two-stroke",10.0 HP (7.3  kW)) @ 7600 RPM,110.0 km/h (68.4 mph),10.3:1,42.5 x 44.0 mm (1.7 x 1.7 inches),Port control,Air,5-speed,Chain   (final drive),2.75-18 ,3.00-18 ,Single disc,Expanding brake,127.0 kg (280.0 pounds),14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CBX 550 F (reduced effect),1985,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,572.0 ccm (34.90 cubic inches),"In-line four, four-stroke",50.0 HP (36.5  kW)) @ 8500 RPM,182.0 km/h (113.1 mph),9.5:1,59.2 x 52.0 mm (2.3 x 2.0 inches),Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),3.60-18 ,4.10-18 ,Dual disc,Single disc,209.0 kg (460.8 pounds),18.00 litres (4.76 US gallons),4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda XL 250 R,1985,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",24.0 HP (17.5  kW)) @ 8000 RPM,128.0 km/h (79.5 mph),10.2:1,75.0 x 56.5 mm (3.0 x 2.2 inches),Overhead Cams (OHC),Air,6-speed,Chain   (final drive),3.00-21 ,4.60-17 ,Expanding brake,Expanding brake,131.0 kg (288.8 pounds),9.00 litres (2.38 US gallons),4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CBX 750 F,1985,Allround," 3.3  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",747.0 ccm (45.58 cubic inches),"In-line four, four-stroke",91.0 HP (66.4  kW)) @ 9500 RPM,211.0 km/h (131.1 mph),9.3:1,67.0 x 53.0 mm (2.6 x 2.1 inches),Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),110/90-16 ,130/80-18 ,Dual disc,Single disc,241.0 kg (531.3 pounds),22.00 litres (5.81 US gallons),4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia RX 250,1985,Enduro / offroad," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",246.0 ccm (15.01 cubic inches),"Single cylinder, two-stroke",47.0 HP (34.3  kW)) @ 8000 RPM,120.0 km/h (74.6 mph),14.0:1,72.0 x 61.0 mm (2.8 x 2.4 inches),Rotary valves,Liquid,5-speed,Chain   (final drive),3.00-21 ,4.50-18 ,Single disc,Expanding brake,100.0 kg (220.5 pounds),8.50 litres (2.25 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM XC 600 Enduro Sport,1985,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,562.0 ccm (34.29 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 6500 RPM,130.0 km/h (80.8 mph),9.6:1,94.0 x 81.0 mm (3.7 x 3.2 inches),Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-21 ,4.00-18 ,Single disc,Expanding brake,140.0 kg (308.6 pounds),13.00 litres (3.43 US gallons),4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
