Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Compression,Bore x stroke,Fuel control,Cooling system,Gearbox,Transmission type,Front tire,Rear tire,Rear brakes,"Weight incl. oil, gas, etc",Fuel capacity,Valves per cylinder,Front brakes,Torque,Fuel system,Clutch,Front suspension,Rear suspension,Diameter,Wheels,Dry weight,Power/weight ratio,Seat height,Overall length,Overall width,Ground clearance,Wheelbase,Starter,Engine details,0-100 km/h (0-62 mph),1/4 mile (0.4 km),Max RPM,Ignition,Lubrication system,Fuel consumption,Greenhouse gases,Exhaust system,Frame type,Front wheel travel,Instruments,Electrical,Light,Comments,Overall height,Color options,Reserve fuel capacity,Driveline,Rear wheel travel,Factory warranty,Rake (fork angle),Trail,Oil capacity
Norton 750 Roadster MkV,1973,Classic,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,745.0 ccm (45.46 cubic inches),"Twin, four-stroke",58.0 HP (42.3  kW)) @ 6000 RPM,186.7 km/h (116.0 mph),8.9:1,73.0 x 89.0 mm (2.9 x 3.5 inches),,Air,4-speed,Chain   (final drive),4.00-19 ,4.00-19 ,Expanding brake (drum brake),,,2,Single disc. Twin piston Lockheed calliper with cast iron disc,63.7 Nm (6.5 kgf-m or 47.0 ft.lbs),Carburettor. Twin Amal 32mm Concentric Mk1 carburettors,"Laycock de Normanville diaphragm clutch, dry",Norton Roadholder two way hydraulic damped,"Twin Girlinv shocks, spring load adjustable ",,"Stainless spoked, alloy rims, alloy hubs",180.5 kg (398.0 pounds),0.3213 HP/kg,,,,,,Kick,"360 degree parallel twin, air cooled.",5.00 seconds,12.80 seconds,7500,Std points/coils. Fitted with Power Arc electronic system ,"Dry sump high scavenging pump, separate oil tank",3.62 litres/100 km (27.6 km/l or 64.98 mpg),84.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,"Twin chrome pipes, upswept‘Peashooter’  Norton mufflers, rubber mounted ","2 1/4´ single backbone frame, twin cradle, isolastic mounting ",152 mm (6.0 inches),Smiths speedo to 150 mph. Tachometer to 9000 rpm ,"12 volt positive ground, 180 watt alternator, capacitor assisted ",Lucas 65/50 watt quartz halogen. Replaced with LED,"MkV was the last of the 750s produced, incorporating all the improvements made during its six year production life.",,,,,,,,,
Maico MD 250-6,1973,Cross / motocross," 3.1  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",245.0 ccm (14.95 cubic inches),"Single cylinder, two-stroke",28.0 HP (20.4  kW)) @ 7000 RPM,159.0 km/h (98.8 mph),11.7:1,76.0 x 54.0 mm (3.0 x 2.1 inches),Rotary valves,Air,6-speed,Chain   (final drive),2.75-18 ,3.25-18 ,Expanding brake,126.0 kg (277.8 pounds),12.50 litres (3.30 US gallons),,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ural M-63 (with sidecar),1973,Classic," 3.0  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",650.0 ccm (39.66 cubic inches),"Two cylinder boxer, four-stroke",20.6 HP (15.0  kW)) @ 5200 RPM,,,78.0 x 68.0 mm (3.1 x 2.7 inches),,Air,,Shaft drive (cardan)   (final drive),,,Expanding brake,,,,Expanding brake,,,,,,,,320.0 kg (705.5 pounds),0.0644 HP/kg,,,,,,,,,,,,,,,,,,,,,Motorcycle model made by Ural 1963-1980.,,,,,,,,,
Suzuki GT 750,1973,Classic," 4.0  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",739.0 ccm (45.09 cubic inches),"In-line three, two-stroke",52.0 HP (38.0  kW)) @ 6500 RPM,171.0 km/h (106.3 mph),6.7:1,70.0 x 64.0 mm (2.8 x 2.5 inches),Port control,Liquid,5-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Expanding brake,251.0 kg (553.4 pounds),17.00 litres (4.49 US gallons),,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laverda 750 SF,1973,Classic," 3.7  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",744.0 ccm (45.40 cubic inches),"Twin, four-stroke",61.0 HP (44.5  kW)) @ 7500 RPM,195.0 km/h (121.2 mph),8.9:1,80.0 x 74.0 mm (3.1 x 2.9 inches),Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.50-18 ,4.00-18 ,Expanding brake,231.0 kg (509.3 pounds),19.00 litres (5.02 US gallons),2,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 90-6,1973,Touring," 3.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",898.0 ccm (54.80 cubic inches),"Two cylinder boxer, four-stroke",60.0 HP (43.8  kW)) @ 6500 RPM,184.0 km/h (114.3 mph),9.0:1,90.0 x 70.6 mm (3.5 x 2.8 inches),Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),3.25-19 ,4.00-18 ,Expanding brake,227.0 kg (500.4 pounds),18.00 litres (4.76 US gallons),2,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MV Agusta 350 Scrambler,1973,Classic," 3.4  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",349.0 ccm (21.30 cubic inches),"Twin, four-stroke",32.0 HP (23.4  kW)) @ 7600 RPM,155.0 km/h (96.3 mph),9.5:1,63.0 x 56.0 mm (2.5 x 2.2 inches),Overhead Valves (OHV),Air,5-speed,Chain   (final drive),3.00-18 ,3.50-18 ,Expanding brake,138.0 kg (304.2 pounds),10.00 litres (2.64 US gallons),2,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa 350 Californian,1973,Touring," 3.3  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",343.0 ccm (20.93 cubic inches),"Twin, two-stroke",25.5 HP (18.6  kW)) @ 5250 RPM,127.0 km/h (78.9 mph),8.0:1,58.0 x 65.0 mm (2.3 x 2.6 inches),Port control,Air,4-speed,Chain   (final drive),3.25-18 ,3.50-18 ,Expanding brake,156.0 kg (343.9 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MuZ TS 250,1973,Classic," 3.5  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",243.0 ccm (14.83 cubic inches),"Single cylinder, two-stroke",19.0 HP (13.9  kW)) @ 5500 RPM,127.0 km/h (78.9 mph),10.0:1,69.0 x 65.0 mm (2.7 x 2.6 inches),Port control,Air,4-speed,Chain   (final drive),3.00-16 ,3.50-16 ,Expanding brake,145.0 kg (319.7 pounds),16.00 litres (4.23 US gallons),,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 90 S,1973,Sport touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",898.0 ccm (54.80 cubic inches),"Two cylinder boxer, four-stroke",67.0 HP (48.9  kW)) @ 7000 RPM,196.0 km/h (121.8 mph),9.5:1,90.0 x 70.6 mm (3.5 x 2.8 inches),Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),3.25-19 ,4.00-18 ,Expanding brake,232.0 kg (511.5 pounds),24.00 litres (6.34 US gallons),2,Dual disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gilera 150 Strada,1973,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,152.0 ccm (9.28 cubic inches),"Single cylinder, four-stroke",14.0 HP (10.2  kW)) @ 8500 RPM,115.0 km/h (71.5 mph),10.0:1,59.9 x 54.0 mm (2.4 x 2.1 inches),Overhead Valves (OHV),Air,5-speed,Chain   (final drive),2.75-18 ,3.00-18 ,Expanding brake,123.0 kg (271.2 pounds),11.00 litres (2.91 US gallons),2,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 250 Mark 3 D,1973,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,248.0 ccm (15.13 cubic inches),"Single cylinder, four-stroke",20.0 HP (14.6  kW)) @ 8000 RPM,135.0 km/h (83.9 mph),9.7:1,74.0 x 57.8 mm (2.9 x 2.3 inches),Desmodromic valve control,Air,5-speed,Chain   (final drive),2.75-18 ,3.00-18 ,Expanding brake,136.0 kg (299.8 pounds),13.00 litres (3.43 US gallons),2,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph T 120 R Bonneville 650,1973,Classic," 3.3  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",649.0 ccm (39.60 cubic inches),"Twin, four-stroke",49.0 HP (35.8  kW)) @ 7200 RPM,176.0 km/h (109.4 mph),9.0:1,71.0 x 82.0 mm (2.8 x 3.2 inches),Overhead Valves (OHV),Air,4-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Expanding brake,192.0 kg (423.3 pounds),18.00 litres (4.76 US gallons),2,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MV Agusta 750 SS Daytona,1973,Super motard," 2.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",743.0 ccm (45.34 cubic inches),"In-line four, four-stroke",76.0 HP (55.5  kW)) @ 9900 RPM,235.0 km/h (146.0 mph),10.0:1,65.0 x 56.0 mm (2.6 x 2.2 inches),Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Shaft drive (cardan)   (final drive),3.50-18 ,4.00-18 ,Expanding brake,240.0 kg (529.1 pounds),24.00 litres (6.34 US gallons),2,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MV Agusta 350 S,1973,Sport," 3.0  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",349.0 ccm (21.30 cubic inches),"Twin, four-stroke",33.0 HP (24.1  kW)) @ 7900 RPM,160.0 km/h (99.4 mph),9.5:1,63.0 x 56.0 mm (2.5 x 2.2 inches),Overhead Valves (OHV),Air,5-speed,Chain   (final drive),2.75-18 ,3.25-18 ,Expanding brake,143.0 kg (315.3 pounds),16.00 litres (4.23 US gallons),2,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha TX 750,1973,Classic," 3.9  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",744.0 ccm (45.40 cubic inches),"Twin, four-stroke",51.0 HP (37.2  kW)) @ 7240 RPM,186.0 km/h (115.6 mph),8.8:1,80.0 x 74.0 mm (3.1 x 2.9 inches),Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.25-18 ,4.00-18 ,Expanding brake,240.0 kg (529.1 pounds),19.00 litres (5.02 US gallons),2,Dual disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki 350 F 9,1973,Enduro / offroad," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",346.0 ccm (21.11 cubic inches),"Single cylinder, two-stroke",28.0 HP (20.4  kW)) @ 6500 RPM,135.0 km/h (83.9 mph),6.8:1,80.5 x 68.0 mm (3.2 x 2.7 inches),Rotary valves,Air,5-speed,Chain   (final drive),3.00-21 ,4.00-18 ,Expanding brake,140.0 kg (308.6 pounds),11.00 litres (2.91 US gallons),,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pannonia P 20,1973,Sport touring," 3.0  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",246.0 ccm (15.01 cubic inches),"Twin, two-stroke",23.0 HP (16.8  kW)) @ 7500 RPM,135.0 km/h (83.9 mph),10.5:1,56.0 x 50.0 mm (2.2 x 2.0 inches),Port control,Air,5-speed,Chain   (final drive),3.00-18 ,3.25-18 ,Expanding brake,157.0 kg (346.1 pounds),16.50 litres (4.36 US gallons),,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph T 100 R Daytona,1973,Classic," 3.5  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",490.0 ccm (29.90 cubic inches),"Twin, four-stroke",40.0 HP (29.2  kW)) @ 7200 RPM,160.0 km/h (99.4 mph),9.0:1,69.0 x 65.5 mm (2.7 x 2.6 inches),Overhead Valves (OHV),Air,4-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Expanding brake,175.0 kg (385.8 pounds),13.50 litres (3.57 US gallons),2,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 750 F,1973,Naked bike," 3.7  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",736.0 ccm (44.91 cubic inches),"In-line four, four-stroke",67.0 HP (48.9  kW)) @ 8000 RPM,190.0 km/h (118.1 mph),9.0:1,61.0 x 63.0 mm (2.4 x 2.5 inches),Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Expanding brake,235.0 kg (518.1 pounds),18.00 litres (4.76 US gallons),2,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pannonia T 5,1973,Touring," 3.9  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",247.0 ccm (15.07 cubic inches),"Single cylinder, two-stroke",16.0 HP (11.7  kW)) @ 5250 RPM,120.0 km/h (74.6 mph),7.2:1,68.0 x 68.0 mm (2.7 x 2.7 inches),Port control,Air,4-speed,Chain   (final drive),3.00-19 ,3.25-19 ,Expanding brake,168.0 kg (370.4 pounds),18.00 litres (4.76 US gallons),,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 450 Scrambler,1973,Classic," 3.3  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",435.0 ccm (26.54 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 7000 RPM,135.0 km/h (83.9 mph),9.3:1,86.0 x 75.0 mm (3.4 x 3.0 inches),Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.50-19 ,4.00-18 ,Expanding brake,140.0 kg (308.6 pounds),11.00 litres (2.91 US gallons),2,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda SL 125,1973,Enduro / offroad," 3.1  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",122.0 ccm (7.44 cubic inches),"Single cylinder, four-stroke",12.0 HP (8.8  kW)) @ 9700 RPM,102.0 km/h (63.4 mph),9.5:1,56.0 x 49.5 mm (2.2 x 1.9 inches),Overhead Cams (OHC),Air,5-speed,Chain   (final drive),2.75-21 ,3.25-18 ,Expanding brake,108.0 kg (238.1 pounds),7.50 litres (1.98 US gallons),2,,,Carburettor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hercules K 125 T,1973,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 7500 RPM,119.0 km/h (73.9 mph),11.8:1,54.0 x 54.0 mm (2.1 x 2.1 inches),Port control,Air,6-speed,Chain   (final drive),2.75-17 ,3.00-17 ,Expanding brake,115.0 kg (253.5 pounds),10.50 litres (2.77 US gallons),,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laverda 750 SFC,1973,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,744.0 ccm (45.40 cubic inches),"Twin, four-stroke",75.0 HP (54.7  kW)) @ 7500 RPM,215.0 km/h (133.6 mph),9.8:1,80.0 x 74.0 mm (3.1 x 2.9 inches),Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.50-18 ,4.00-18 ,Expanding brake,226.0 kg (498.2 pounds),19.00 litres (5.02 US gallons),2,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ural M 66,1973,Classic," 2.6  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",650.0 ccm (39.66 cubic inches),"Two cylinder boxer, four-stroke",32.0 HP (23.4  kW)) @ 4500 RPM,125.0 km/h (77.7 mph),7.0:1,78.0 x 68.0 mm (3.1 x 2.7 inches),Overhead Valves (OHV),Air,4-speed,Shaft drive (cardan)   (final drive),3.75-19 ,3.75-19 ,Expanding brake,215.0 kg (474.0 pounds),21.00 litres (5.55 US gallons),2,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laverda 1000,1973,Classic," 3.6  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",980.0 ccm (59.80 cubic inches),"In-line three, four-stroke",78.0 HP (56.9  kW)) @ 7750 RPM,209.0 km/h (129.9 mph),9.0:1,75.0 x 74.0 mm (3.0 x 2.9 inches),Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),3.50-18 ,4.00-18 ,Expanding brake,243.0 kg (535.7 pounds),17.50 litres (4.62 US gallons),2,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha RD 350 (5-speed),1973,Classic," 3.3  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",347.0 ccm (21.17 cubic inches),"Twin, two-stroke",39.0 HP (28.5  kW)) @ 7500 RPM,170.0 km/h (105.6 mph),6.6:1,64.0 x 54.0 mm (2.5 x 2.1 inches),Membrane,Air,5-speed,Chain   (final drive),3.00-18 ,3.25-18 ,Expanding brake,162.0 kg (357.1 pounds),16.00 litres (4.23 US gallons),,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 350 F,1973,Classic," 3.8  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",347.0 ccm (21.17 cubic inches),"In-line four, four-stroke",34.0 HP (24.8  kW)) @ 9200 RPM,159.0 km/h (98.8 mph),9.3:1,47.0 x 50.0 mm (1.9 x 2.0 inches),Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-18 ,3.50-18 ,Expanding brake,178.0 kg (392.4 pounds),12.00 litres (3.17 US gallons),2,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
