Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Compression,Bore x stroke,Valves per cylinder,Fuel control,Cooling system,Gearbox,Transmission type,Front tire,Rear tire,Front brakes,Rear brakes,"Weight incl. oil, gas, etc",Fuel capacity,Fuel system,Frame type,Dry weight,Power/weight ratio,Overall height,Starter,Ignition,Lubrication system,Clutch,Fuel consumption,Greenhouse gases,Exhaust system,Rake (fork angle),Trail,Front suspension,Overall length,Overall width,Ground clearance,Wheelbase,Oil capacity,Modifications compared to previous model,Comments,Rear suspension,Color options,Torque,Diameter,Engine details,Front wheel travel,Wheels,Seat height,Reserve fuel capacity,Electrical,Factory warranty,Max RPM,0-100 km/h (0-62 mph),1/4 mile (0.4 km),Rear wheel travel,Oil filter,Battery,Chain size,Chain links,Pulley teeth,Fork tube size
Harley-Davidson FX 1200,1975,Sport," 3.1  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",1206.0 ccm (73.59 cubic inches),"V2, four-stroke",58.0 HP (42.3  kW)) @ 5150 RPM,180.0 km/h (111.8 mph),8.0:1,87.3 x 100.8 mm (3.4 x 4.0 inches),2,Overhead Valves (OHV),Air,4-speed,Chain   (final drive),3.75-19 ,5.10-16 ,Single disc,Single disc,265.0 kg (584.2 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sanglas 400 E,1975,Naked bike," 2.6  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",422.0 ccm (25.75 cubic inches),"Single cylinder, four-stroke",25.0 HP (18.2  kW)) @ 6250 RPM,130.0 km/h (80.8 mph),8.0:1,82.5 x 79.0 mm (3.2 x 3.1 inches),2,Overhead Valves (OHV),Air,4-speed,Chain   (final drive),3.25-18 ,3.50-18 ,Expanding brake,Expanding brake,184.0 kg (405.7 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi 750 S,1975,Sport touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",748.0 ccm (45.64 cubic inches),"V2, four-stroke",62.0 HP (45.3  kW)) @ 6900 RPM,206.0 km/h (128.0 mph),9.8:1,82.5 x 70.0 mm (3.2 x 2.8 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),3.25-18 ,3.50-18 ,Dual disc,Single disc,240.0 kg (529.1 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KE 125,1975,Trial," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",10.0 HP (7.3  kW)) @ 6000 RPM,96.0 km/h (59.7 mph),6.5:1,56.0 x 50.6 mm (2.2 x 2.0 inches),,Rotary valves,Air,6-speed,Chain   (final drive),2.75-21 ,3.50-18 ,Expanding brake,Expanding brake,109.0 kg (240.3 pounds),7.50 litres (1.98 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bajaj Priya,1975,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,150.0 ccm (9.15 cubic inches),"Single cylinder, two-stroke",6.3 HP (4.6  kW)),80.0 km/h (49.7 mph),7.4:1,57.0 x 57.0 mm (2.2 x 2.2 inches),,,,,,3.5-8 ,3.5-8 ,Expanding brake (drum brake),Expanding brake (drum brake),,6.50 litres (1.72 US gallons),Carburettor,Monocoque,91.0 kg (200.6 pounds),0.0692 HP/kg,1015 mm (40.0 inches),Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GT 125,1975,Naked bike," 3.4  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",125.0 ccm (7.63 cubic inches),"Twin, two-stroke",14.2 HP (10.4  kW)) @ 9500 RPM,127.0 km/h (78.9 mph),6.8:1,43.0 x 43.0 mm (1.7 x 1.7 inches),,Port control,Air,5-speed,Chain   (final drive),2.75-18 ,3.00-18 ,Single disc,Expanding brake,122.0 kg (269.0 pounds),10.00 litres (2.64 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa-CZ 175,1975,Allround," 3.1  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",172.0 ccm (10.50 cubic inches),"Single cylinder, two-stroke",15.0 HP (10.9  kW)) @ 5600 RPM,110.0 km/h (68.4 mph),8.7:1,58.0 x 65.0 mm (2.3 x 2.6 inches),,Port control,Air,4-speed,Chain   (final drive),2.75-18 ,3.25-18 ,Expanding brake,Expanding brake,120.0 kg (264.6 pounds),11.50 litres (3.04 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha DT 250,1975,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",246.0 ccm (15.01 cubic inches),"Single cylinder, two-stroke",20.0 HP (14.6  kW)) @ 6500 RPM,137.0 km/h (85.1 mph),6.8:1,70.0 x 64.0 mm (2.8 x 2.5 inches),,Membrane,Air,5-speed,Chain   (final drive),3.00-21 ,4.00-18 ,Expanding brake,Expanding brake,138.0 kg (304.2 pounds),9.00 litres (2.38 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KE 175,1975,Enduro / offroad," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",175.0 ccm (10.68 cubic inches),"Single cylinder, two-stroke",16.0 HP (11.7  kW)) @ 7000 RPM,110.0 km/h (68.4 mph),7.0:1,61.5 x 58.8 mm (2.4 x 2.3 inches),,Rotary valves,Air,5-speed,Chain   (final drive),2.75-21 ,3.50-18 ,Expanding brake,Expanding brake,110.0 kg (242.5 pounds),7.00 litres (1.85 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bultaco Metralla 250 GT,1975,Sport," 3.2  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",244.0 ccm (14.89 cubic inches),"Single cylinder, two-stroke",23.0 HP (16.8  kW)) @ 7500 RPM,131.0 km/h (81.4 mph),10.0:1,72.0 x 60.0 mm (2.8 x 2.4 inches),,Port control,Air,5-speed,Chain   (final drive),3.25-19 ,3.50-18 ,Expanding brake,Expanding brake,130.0 kg (286.6 pounds),14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Morini 3 1-2 V,1975,Sport touring," 3.3  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",344.0 ccm (20.99 cubic inches),"V2, four-stroke",35.0 HP (25.5  kW)) @ 8200 RPM,161.0 km/h (100.0 mph),10.0:1,62.0 x 57.0 mm (2.4 x 2.2 inches),2,Overhead Valves (OHV),Air,6-speed,Chain   (final drive),3.25-18 ,4.10-18 ,Expanding brake,Expanding brake,150.0 kg (330.7 pounds),16.00 litres (4.23 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dnepr MT 10 (with sidecar),1975,Classic," 3.2  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",650.0 ccm (39.66 cubic inches),"Two cylinder boxer, four-stroke",32.0 HP (23.4  kW)) @ 5000 RPM,110.0 km/h (68.4 mph),7.0:1,78.0 x 68.0 mm (3.1 x 2.7 inches),2,Overhead Valves (OHV),Air,4-speed,Shaft drive (cardan)   (final drive),3.75-19 ,3.75-19 ,Expanding brake,Expanding brake,325.0 kg (716.5 pounds),21.00 litres (5.55 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi V 1000 I-Convert,1975,Touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",948.0 ccm (57.85 cubic inches),"V2, four-stroke",61.0 HP (44.5  kW)) @ 6500 RPM,168.0 km/h (104.4 mph),9.2:1,88.0 x 78.0 mm (3.5 x 3.1 inches),2,Overhead Valves (OHV),Air,2-speed automatic,Shaft drive (cardan)   (final drive),4.10-18 ,4.10-18 ,Dual disc,Single disc,259.0 kg (571.0 pounds),24.00 litres (6.34 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KH 250,1975,Classic," 2.5  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"In-line three, two-stroke",26.0 HP (19.0  kW)) @ 7000 RPM,138.0 km/h (85.7 mph),7.5:1,45.0 x 52.3 mm (1.8 x 2.1 inches),,Port control,Air,5-speed,Chain   (final drive),3.00-18 ,3.50-18 ,Single disc,Expanding brake,175.0 kg (385.8 pounds),14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson XLH 1000 Sportster,1975,Classic," 3.2  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",997.0 ccm (60.84 cubic inches),"V2, four-stroke",57.0 HP (41.6  kW)) @ 6000 RPM,180.0 km/h (111.8 mph),9.0:1,81.0 x 96.8 mm (3.2 x 3.8 inches),2,Overhead Valves (OHV),Air,4-speed,Chain   (final drive),3.75-19 ,4.25-18 ,Single disc,Expanding brake,240.0 kg (529.1 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa-CZ 250 Enduro,1975,Enduro / offroad," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",246.0 ccm (15.01 cubic inches),"Single cylinder, two-stroke",20.0 HP (14.6  kW)) @ 6250 RPM,105.0 km/h (65.2 mph),9.5:1,70.0 x 64.0 mm (2.8 x 2.5 inches),,Port control,Air,5-speed,Chain   (final drive),3.00-21 ,4.00-18 ,Expanding brake,Expanding brake,125.0 kg (275.6 pounds),10.50 litres (2.77 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 125 disc,1975,Touring," 3.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",125.0 ccm (7.63 cubic inches),"Twin, four-stroke",12.0 HP (8.8  kW)) @ 10500 RPM,108.0 km/h (67.1 mph),9.4:1,44.0 x 41.0 mm (1.7 x 1.6 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),2.50-18 ,2.75-18 ,Single disc,Expanding brake,133.0 kg (293.2 pounds),9.00 litres (2.38 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zündapp KS 125 Sport,1975,Classic," 4.2  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 7600 RPM,125.0 km/h (77.7 mph),12.0:1,54.0 x 54.0 mm (2.1 x 2.1 inches),,Port control,Air,5-speed,Chain   (final drive),2.75-18 ,3.25-18 ,Expanding brake,Expanding brake,116.0 kg (255.7 pounds),14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norton Commando 850 Interstate,1975,Classic," 4.1  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",828.0 ccm (50.52 cubic inches),"Twin, four-stroke",51.0 HP (37.2  kW)) @ 6250 RPM,191.0 km/h (118.7 mph),8.5:1,77.0 x 89.0 mm (3.0 x 3.5 inches),2,Overhead Valves (OHV),Air,4-speed,Chain   (final drive),410-19 ,4.10-19 ,Single disc,Expanding brake,220.0 kg (485.0 pounds),24.00 litres (6.34 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GT 550,1975,Sport," 3.5  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",543.0 ccm (33.13 cubic inches),"In-line three, two-stroke",48.0 HP (35.0  kW)) @ 7500 RPM,178.0 km/h (110.6 mph),6.8:1,61.0 x 62.0 mm (2.4 x 2.4 inches),,Port control,Air,6-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Single disc,Expanding brake,190.0 kg (418.9 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Münch 4-1200 TTS-E,1975,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1176.0 ccm (71.76 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 7500 RPM,200.0 km/h (124.3 mph),8.5:1,75.0 x 66.6 mm (3.0 x 2.6 inches),2,Overhead Cams (OHC),Air,4-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Expanding brake,Expanding brake,319.0 kg (703.3 pounds),34.00 litres (8.98 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KE 100,1975,Enduro / offroad," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",100.0 ccm (6.10 cubic inches),"Single cylinder, two-stroke",11.0 HP (8.0  kW)) @ 7000 RPM,100.0 km/h (62.1 mph),7.0:1,49.5 x 51.8 mm (1.9 x 2.0 inches),,Rotary valves,Air,5-speed,Chain   (final drive),2.75-19 ,3.00-18 ,Expanding brake,Expanding brake,101.0 kg (222.7 pounds),8.00 litres (2.11 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laverda 750 SFC,1975,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,744.0 ccm (45.40 cubic inches),"Twin, four-stroke",75.0 HP (54.7  kW)) @ 7500 RPM,215.0 km/h (133.6 mph),9.8:1,80.0 x 74.0 mm (3.1 x 2.9 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),4.10-18 ,4.10-18 ,Dual disc,Single disc,226.0 kg (498.2 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 500 F,1975,Classic," 3.2  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",498.0 ccm (30.39 cubic inches),"In-line four, four-stroke",48.0 HP (35.0  kW)) @ 9000 RPM,179.0 km/h (111.2 mph),9.0:1,56.0 x 50.6 mm (2.2 x 2.0 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),.3.25-19 ,3.50-18 ,Single disc,Expanding brake,202.0 kg (445.3 pounds),14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 90-6,1975,Sport touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",898.0 ccm (54.80 cubic inches),"Two cylinder boxer, four-stroke",60.0 HP (43.8  kW)) @ 6500 RPM,184.0 km/h (114.3 mph),9.0:1,90.0 x 70.6 mm (3.5 x 2.8 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),3.25-19 ,4.00-18 ,Single disc,Expanding brake,227.0 kg (500.4 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GT 250,1975,Sport touring," 3.3  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",247.0 ccm (15.07 cubic inches),"Twin, two-stroke",26.0 HP (19.0  kW)) @ 7500 RPM,149.0 km/h (92.6 mph),7.3:1,54.0 x 54.0 mm (2.1 x 2.1 inches),,Port control,Air,6-speed,Chain   (final drive),3.00-18 ,3.50-18 ,Single disc,Expanding brake,155.0 kg (341.7 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GT 380,1975,Classic," 3.7  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",371.0 ccm (22.64 cubic inches),"In-line three, two-stroke",32.0 HP (23.4  kW)) @ 7500 RPM,168.0 km/h (104.4 mph),6.7:1,54.0 x 54.0 mm (2.1 x 2.1 inches),,Port control,Air,6-speed,Chain   (final drive),3.00-19 ,3.50-18 ,Single disc,Expanding brake,190.0 kg (418.9 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha DT 125 E,1975,Enduro / offroad," 3.0  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",13.0 HP (9.5  kW)) @ 7000 RPM,105.0 km/h (65.2 mph),7.0:1,56.0 x 50.0 mm (2.2 x 2.0 inches),,Membrane,Air,5-speed,Chain   (final drive),2.75-21 ,3.25-18 ,Expanding brake,Expanding brake,114.0 kg (251.3 pounds),7.00 litres (1.85 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XS500B,1975,Classic," 3.6  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",498.0 ccm (30.39 cubic inches),"Twin, four-stroke",,180.0 km/h (111.8 mph),8.5:1,73.0 x 59.6 mm (2.9 x 2.3 inches),4,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),3.25-19 ,3.50-18 ,Single disc,Expanding brake (drum brake),,12.86 litres (3.40 US gallons),Carburettor. Two Keihin CV32,Steel tubing double-cradle,,,1130 mm (44.5 inches),Electric & kick,"battery, timing 38* BTDC, point gap .012-.018 in.","Wet sump, two pumps","Wet, multi-disc",2.80 litres/100 km (35.7 km/l or 84.01 mpg),65.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,"Twin pipes, bridged",28.0°,117 mm (4.6 inches),Inverted forks,2150 mm (84.6 inches),835 mm (32.9 inches),155 mm (6.1 inches),1400 mm (55.1 inches),3.50 litres (3.7 US quarts),Last XS500 year w/spoked wheels. Uses one of two different oil filters due to mid-year change in mounting plate. Air and oil filters long discontinued.,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KH 400,1975,Speedway," 3.1  See the detailed rating of engine performance, racing track capabilities, maintenance costs, etc. Compare with any other bike.",400.0 ccm (24.41 cubic inches),"In-line three, two-stroke",38.0 HP (27.7  kW)) @ 7000 RPM,166.0 km/h (103.1 mph),6.5:1,57.0 x 52.3 mm (2.2 x 2.1 inches),,Port control,Air,5-speed,Chain   (final drive),3.25-18 ,3.50-18 ,Single disc,Expanding brake,177.0 kg (390.2 pounds),16.00 litres (4.23 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 450 disc,1975,Classic," 3.7  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",445.0 ccm (27.15 cubic inches),"Twin, four-stroke",45.0 HP (32.8  kW)) @ 9000 RPM,171.0 km/h (106.3 mph),9.0:1,70.0 x 57.8 mm (2.8 x 2.3 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),3.25-18 ,3.50-18 ,Single disc,Expanding brake,204.0 kg (449.7 pounds),14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 750 F 1,1975,Sport," 3.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",736.0 ccm (44.91 cubic inches),"In-line four, four-stroke",67.0 HP (48.9  kW)) @ 8500 RPM,197.0 km/h (122.4 mph),9.2:1,61.0 x 63.0 mm (2.4 x 2.5 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Single disc,Single disc,247.0 kg (544.5 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM Comet Grand Prix 125 RS,1975,Naked bike," 3.2  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 7500 RPM,120.0 km/h (74.6 mph),11.8:1,54.0 x 54.0 mm (2.1 x 2.1 inches),,Port control,Air,6-speed,Chain   (final drive),2.75-17 ,3.00-17 ,Single disc,Expanding brake,111.0 kg (244.7 pounds),9.50 litres (2.51 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
