Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Compression,Bore x stroke,Fuel control,Cooling system,Gearbox,Transmission type,Front tire,Rear tire,Front brakes,Rear brakes,"Weight incl. oil, gas, etc",Fuel capacity,Fuel system,Exhaust system,Comments,Modifications compared to previous model,Dry weight,Power/weight ratio,Max RPM,Valves per cylinder,Clutch,Fuel consumption,Greenhouse gases,Color options,Starter,Torque,Overall height,Overall length,Overall width,Ignition,Front suspension,Rear suspension,Diameter,Seat height,Wheelbase,Engine details,Wheels,Seat,Carrying capacity,Frame type,Lubrication system,Rake (fork angle),Trail,Ground clearance,Oil capacity,Electrical
Harley-Davidson FLH 1200 Super Glide,1970,Touring," 3.0  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1206.0 ccm (73.59 cubic inches),"V2, four-stroke",58.0 HP (42.3  kW)) @ 5150 RPM,135.0 km/h (83.9 mph),8.0:1,87.3 x 100.8 mm (3.4 x 4.0 inches),Overhead Valves (OHV),Air,4-speed,Chain   (final drive),5.10-16 ,5.10-16 ,Expanding brake,Expanding brake,345.0 kg (760.6 pounds),19.00 litres (5.02 US gallons),,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
BSA A 65 Thunderbolt,1970,Classic," 3.7  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",654.0 ccm (39.91 cubic inches),"Twin, four-stroke",46.0 HP (33.6  kW)) @ 7000 RPM,168.0 km/h (104.4 mph),9.0:1,75.0 x 74.0 mm (3.0 x 2.9 inches),Overhead Valves (OHV),Air,4-speed,Chain   (final drive),3.25-19 ,4.00-19 ,Expanding brake,Expanding brake,220.0 kg (485.0 pounds),18.00 litres (4.76 US gallons),,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Hercules K 125 X,1970,Cross / motocross," 2.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",15.0 HP (10.9  kW)) @ 7400 RPM,117.0 km/h (72.7 mph),10.8:1,54.0 x 54.0 mm (2.1 x 2.1 inches),Port control,Air,5-speed,Chain   (final drive),2.75-17 ,3.00-17 ,Expanding brake,Expanding brake,111.0 kg (244.7 pounds),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dnepr K-750 M,1970,Classic," 3.4  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",746.0 ccm (45.52 cubic inches),"Two cylinder boxer, four-stroke",26.0 HP (19.0  kW)) @ 4900 RPM,,,78.0 x 78.0 mm (3.1 x 3.1 inches),,,,Shaft drive (cardan)   (final drive),,,Expanding brake,Expanding brake,,,,,Military model made at the Dnepr Kiev factory. 1963-1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 350 Desmo,1970,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,340.0 ccm (20.75 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 6700 RPM,,,76.0 x 75.0 mm (3.0 x 3.0 inches),Single Overhead Cams (SOHC),,,Chain   (final drive),2.75-18 ,3.25-18 ,Expanding brake (drum brake),Expanding brake (drum brake),,15.00 litres (3.96 US gallons),,,,,128.0 kg (282.2 pounds),0.2109 HP/kg,,,,,,Silver,Kick,,940 mm (37.0 inches),2000 mm (78.7 inches),600 mm (23.6 inches),Points and coil,Hydraulic Telescopic Marzpcchi 35mm,Swingarm ,160 mm (6.3 inches),"735 mm (28.9 inches) If adjustable, lowest setting.",1360 mm (53.5 inches),,,,,,,,,,,
Triumph T 150 V Trident 750,1970,Classic," 3.7  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",740.0 ccm (45.15 cubic inches),"In-line three, four-stroke",60.0 HP (43.8  kW)) @ 7250 RPM,194.0 km/h (120.5 mph),8.3:1,67.0 x 70.0 mm (2.6 x 2.8 inches),Overhead Valves (OHV),Air,4-speed,Chain   (final drive),3.25-19 ,4.10-19 ,Expanding brake,Expanding brake,228.0 kg (502.7 pounds),19.00 litres (5.02 US gallons),,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
BSA A 50 Royal Star,1970,Classic," 3.4  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",498.0 ccm (30.39 cubic inches),"Twin, four-stroke",33.0 HP (24.1  kW)) @ 6500 RPM,145.0 km/h (90.1 mph),9.0:1,65.5 x 74.0 mm (2.6 x 2.9 inches),Overhead Valves (OHV),Air,4-speed,Chain   (final drive),3.25-19 ,3.50-19 ,Expanding brake,Expanding brake,178.0 kg (392.4 pounds),15.00 litres (3.96 US gallons),,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Bultaco Metralla 250,1970,Sport touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",244.0 ccm (14.89 cubic inches),"Single cylinder, two-stroke",27.5 HP (20.1  kW)) @ 7500 RPM,150.0 km/h (93.2 mph),9.0:1,72.0 x 60.0 mm (2.8 x 2.4 inches),Port control,Air,5-speed,Chain   (final drive),2.75-18 ,3.00-18 ,Expanding brake,Expanding brake,112.0 kg (246.9 pounds),14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hercules K 105 X,1970,Classic," 3.2  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",98.0 ccm (5.98 cubic inches),"Single cylinder, two-stroke",12.0 HP (8.8  kW)) @ 7400 RPM,110.0 km/h (68.4 mph),10.8:1,48.0 x 54.0 mm (1.9 x 2.1 inches),Port control,Air,5-speed,Chain   (final drive),2.75-17 ,3.00-17 ,Expanding brake,Expanding brake,111.0 kg (244.7 pounds),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 60-5,1970,Allround," 3.0  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",599.0 ccm (36.55 cubic inches),"Two cylinder boxer, four-stroke",40.0 HP (29.2  kW)) @ 6400 RPM,165.0 km/h (102.5 mph),9.2:1,73.5 x 70.6 mm (2.9 x 2.8 inches),Overhead Valves (OHV),Air,4-speed,Shaft drive (cardan)   (final drive),3.25-19 ,4.00-18 ,Expanding brake,Expanding brake,227.0 kg (500.4 pounds),24.00 litres (6.34 US gallons),,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Tiger Daytona,1970,Classic," 3.9  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",490.0 ccm (29.90 cubic inches),"Twin, four-stroke",41.0 HP (29.9  kW)) @ 7200 RPM,160.0 km/h (99.4 mph),9.0:1,69.0 x 65.5 mm (2.7 x 2.6 inches),Overhead Valves (OHV),Air,4-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Expanding brake,Expanding brake,190.0 kg (418.9 pounds),13.50 litres (3.57 US gallons),,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Aermacchi Ala Verde Sport,1970,Sport," 3.1  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",246.0 ccm (15.01 cubic inches),"Single cylinder, four-stroke",18.5 HP (13.5  kW)) @ 7000 RPM,140.0 km/h (87.0 mph),8.5:1,66.0 x 72.0 mm (2.6 x 2.8 inches),Overhead Valves (OHV),Air,5-speed,Chain   (final drive),3.00-18 ,3.00-18 ,Expanding brake,Expanding brake,135.0 kg (297.6 pounds),17.00 litres (4.49 US gallons),,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Puch 250 SGS,1970,Scooter," 3.2  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",248.0 ccm (15.13 cubic inches),"Single cylinder, two-stroke",14.2 HP (10.4  kW)) @ 5800 RPM,115.0 km/h (71.5 mph),6.5:1,45.0 x 156.0 mm (1.8 x 6.1 inches),Port control,Air,4-speed,Chain   (final drive),3.00-16 ,3.50-16 ,,Expanding brake,164.0 kg (361.6 pounds),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,Split-single engine (two pistons sharing a single combustion chamber),,,,,,,,,,
Suzuki T 500,1970,Naked bike," 3.2  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",492.0 ccm (30.02 cubic inches),"Twin, two-stroke",47.0 HP (34.3  kW)) @ 7000 RPM,170.0 km/h (105.6 mph),6.6:1,70.0 x 64.0 mm (2.8 x 2.5 inches),Port control,Air,5-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Expanding brake,Expanding brake,187.0 kg (412.3 pounds),14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 450 K 1,1970,Classic," 3.5  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",445.0 ccm (27.15 cubic inches),"Twin, four-stroke",41.0 HP (29.9  kW)) @ 8500 RPM,169.0 km/h (105.0 mph),9.0:1,70.0 x 57.8 mm (2.8 x 2.3 inches),Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),3.25-18 ,3.50-18 ,Expanding brake,Expanding brake,197.0 kg (434.3 pounds),14.00 litres (3.70 US gallons),,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Laverda 750 S,1970,Classic," 3.5  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",744.0 ccm (45.40 cubic inches),"Twin, four-stroke",60.0 HP (43.8  kW)) @ 6500 RPM,190.0 km/h (118.1 mph),9.5:1,80.0 x 74.0 mm (3.1 x 2.9 inches),Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.25-18 ,4.00-18 ,Expanding brake,Expanding brake,231.0 kg (509.3 pounds),17.50 litres (4.62 US gallons),,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa 250 Californian,1970,Classic," 3.7  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, two-stroke",15.0 HP (10.9  kW)) @ 5000 RPM,110.0 km/h (68.4 mph),8.0:1,65.0 x 75.0 mm (2.6 x 3.0 inches),Port control,Air,4-speed,Chain   (final drive),3.25-19 ,3.50-19 ,,Expanding brake,144.0 kg (317.5 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FL 1200 Electra Glide,1970,Touring," 3.1  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1206.0 ccm (73.59 cubic inches),"V2, four-stroke",58.0 HP (42.3  kW)) @ 5150 RPM,164.0 km/h (101.9 mph),8.0:1,87.3 x 100.8 mm (3.4 x 4.0 inches),Overhead Valves (OHV),Air,4-speed,Chain   (final drive),5.10-16 ,5.10-16 ,Expanding brake,Expanding brake,340.0 kg (749.6 pounds),19.00 litres (5.02 US gallons),,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Maico MD 125 Super Sport,1970,Sport touring,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",14.5 HP (10.6  kW)) @ 7200 RPM,115.0 km/h (71.5 mph),10.0:1,54.0 x 54.0 mm (2.1 x 2.1 inches),Rotary valves,Air,5-speed,Chain   (final drive),2.50-16 ,3.00-16 ,Expanding brake,Expanding brake,104.0 kg (229.3 pounds),13.50 litres (3.57 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa 350 Californian,1970,Classic," 3.6  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",343.0 ccm (20.93 cubic inches),"Twin, two-stroke",18.0 HP (13.1  kW)) @ 5000 RPM,120.0 km/h (74.6 mph),8.1:1,58.0 x 65.0 mm (2.3 x 2.6 inches),Port control,Air,4-speed,Chain   (final drive),3.25-19 ,3.50-19 ,,Expanding brake,156.0 kg (343.9 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi V 7 Spezial,1970,Touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",748.0 ccm (45.64 cubic inches),"V2, four-stroke",51.0 HP (37.2  kW)) @ 6500 RPM,174.0 km/h (108.1 mph),8.8:1,82.5 x 70.0 mm (3.2 x 2.8 inches),Overhead Valves (OHV),Air,4-speed,Shaft drive (cardan)   (final drive),4.00-18 ,4.00-18 ,Expanding brake,Expanding brake,240.0 kg (529.1 pounds),22.50 litres (5.94 US gallons),,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 450 Mark 3,1970,Sport," 3.1  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",435.0 ccm (26.54 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 7000 RPM,145.0 km/h (90.1 mph),9.3:1,86.0 x 75.0 mm (3.4 x 3.0 inches),Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.50-19 ,4.00-18 ,Expanding brake,Expanding brake,139.0 kg (306.4 pounds),13.00 litres (3.43 US gallons),,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Trophy 650,1970,Sport," 3.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",649.0 ccm (39.60 cubic inches),"Twin, four-stroke",45.0 HP (32.8  kW)) @ 6500 RPM,170.0 km/h (105.6 mph),8.5:1,71.0 x 82.0 mm (2.8 x 3.2 inches),Overhead Valves (OHV),Air,4-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Expanding brake,Expanding brake,196.0 kg (432.1 pounds),18.00 litres (4.76 US gallons),,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph T 120 R Bonneville 650,1970,Classic," 3.7  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",649.0 ccm (39.60 cubic inches),"Twin, four-stroke",49.0 HP (35.8  kW)) @ 7200 RPM,176.0 km/h (109.4 mph),9.0:1,71.0 x 82.0 mm (2.8 x 3.2 inches),Overhead Valves (OHV),Air,4-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Expanding brake,Expanding brake,192.0 kg (423.3 pounds),18.00 litres (4.76 US gallons),,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 350 Mark 3 D,1970,Naked bike," 2.4  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",340.0 ccm (20.75 cubic inches),"Single cylinder, four-stroke",26.0 HP (19.0  kW)) @ 8000 RPM,145.0 km/h (90.1 mph),9.5:1,76.0 x 75.0 mm (3.0 x 3.0 inches),Desmodromic valve control,Air,5-speed,Chain   (final drive),2.75-18 ,3.00-18 ,Expanding brake,Expanding brake,137.0 kg (302.0 pounds),13.00 litres (3.43 US gallons),,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Casal K181,1970,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",5.4 HP (3.9  kW)),,,,,Air,,Chain   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),,,Carburettor,,Made in Portugal.,,,,,,,,,"Orange, blue",Kick,,,,,,Telescopic fork,Dual shocks,,,,,Wire spoked,Dual seat,Rear rack,,,,,,,
Triumph Trophy 250,1970,Classic," 3.1  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",247.0 ccm (15.07 cubic inches),"Single cylinder, four-stroke",22.0 HP (16.1  kW)) @ 8000 RPM,130.0 km/h (80.8 mph),10.0:1,67.0 x 70.0 mm (2.6 x 2.8 inches),Overhead Valves (OHV),Air,4-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Expanding brake,Expanding brake,151.0 kg (332.9 pounds),13.50 litres (3.57 US gallons),,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson XLCH 900 Sportster,1970,Classic," 3.3  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",882.0 ccm (53.82 cubic inches),"V2, four-stroke",65.0 HP (47.4  kW)) @ 6300 RPM,180.0 km/h (111.8 mph),9.0:1,76.2 x 96.8 mm (3.0 x 3.8 inches),Overhead Valves (OHV),Air,4-speed,Chain   (final drive),3.75-19 ,4.25-18 ,Expanding brake,Expanding brake,214.0 kg (471.8 pounds),8.50 litres (2.25 US gallons),,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki A1 Samurai,1970,Enduro / offroad," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",247.0 ccm (15.07 cubic inches),"Twin, two-stroke",31.0 HP (22.6  kW)) @ 8000 RPM,160.0 km/h (99.4 mph),7.0:1,53.0 x 56.0 mm (2.1 x 2.2 inches),Rotary valves,Air,5-speed,Chain   (final drive),3.00-18 ,3.25-18 ,Expanding brake,Expanding brake,154.0 kg (339.5 pounds),13.50 litres (3.57 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
