Model,Year,Category,Rating,Displacement,Engine type,Torque,Top speed,Compression,Bore x stroke,Fuel system,Ignition,Lubrication system,Cooling system,Transmission type,Frame type,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Dry weight,Seat height,Overall height,Overall length,Overall width,Fuel capacity,Reserve fuel capacity,Color options,Starter,Comments,Power,Fuel control,Gearbox,"Weight incl. oil, gas, etc",Ground clearance,Wheelbase,Clutch,Exhaust system,Valves per cylinder,Modifications compared to previous model,Power/weight ratio,Fuel consumption,Greenhouse gases,Rake (fork angle),Trail,Emission details,Max RPM,Driveline,Oil capacity,Engine oil,Oil filter,Brake fluid,Battery,Spark plugs,Belt teeth,Belt width,Pulley teeth,Fork tube size,Alternate seat height,Electrical,Coolant,Idle speed,Sprockets,Engine details,Factory warranty,0-100 km/h (0-62 mph),Instruments,Light,Carrying capacity,Chain size,Chain links,Tire pressure front,Tire pressure rear,"60-140 km/h (37-87 mph), highest gear",1/4 mile (0.4 km),Front percentage of weight,Rear percentage of weight
Peraves Monotracer,2008,Allround," 3.0  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",1171.0 ccm (71.45 cubic inches),"In-line four, four-stroke",120.0 Nm (12.2 kgf-m or 88.5 ft.lbs) @ 5750 RPM,,,,,,,Liquid,,Aircraft grade alloy steel,,,,,,,Double disc. ABS,,Single disc. ABS,"470.0 kg (1,036.2 pounds)",,1520 mm (59.8 inches),3650 mm (143.7 inches),1250 mm (49.2 inches),50.00 litres (13.21 US gallons),,,Electric,Compartment bike made in Switzerland. BMW engine.,114.0 HP (83.2  kW)) @ 8000 RPM,,4-speed,,,,,,,,0.2425 HP/kg,3.62 litres/100 km (27.6 km/l or 64.98 mpg),84.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,,,,,,,,,,,,,,,,,4.80 seconds,,,,,,,,,,,
Peugeot Elystar 50,2008,Scooter," 3.2  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.1 ccm (3.00 cubic inches),"Single cylinder, two-stroke",,,,,Carburettor,,,Air,,,,,,,120/70-12 ,120/70-12 ,Single disc,180 mm (7.1 inches),Single disc,95.0 kg (209.4 pounds),"825 mm (32.5 inches) If adjustable, lowest setting.",,,,9.00 litres (2.38 US gallons),,,Electric & kick,,,,,,,,,Euro 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATK 450 Enduro,2008,Enduro / offroad," 3.0  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",449.0 ccm (27.40 cubic inches),"Single cylinder, four-stroke",,,12.3:1,,Injection. EFI Fuel Injection,12v Battery w Constant Energy Inductive Coil,,Liquid,,Aluminum Twin-Spar,46mm Ohlins 12” Travel,305 mm (12.0 inches),Ohlins POS 12.6” Travel,320 mm (12.6 inches),,,"Single disc. Dual piston, 240mm Rotor",220 mm (8.7 inches),"Single disc. Dual piston, 220mm Rotor",112.5 kg (248.0 pounds),"965 mm (38.0 inches) If adjustable, lowest setting.",,,,,,,Electric,"New for 2008 
New Falicon Stroker Crankshaft 
New Aluminum Nikasil Cylinder 
New Bore and Stroke for Max Power New Fuel Injection Settings 
New Kickstand New Graphics 
New Improved Seat Riders Choice Options",48.0 HP (35.0  kW)) @ 10000 RPM,Double Overhead Cams/Twin Cam (DOHC),5-speed,,361 mm (14.2 inches),1494 mm (58.8 inches),Magura Hydraulic,,,,0.4267 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyosung GT650R,2008,Sport," 3.5  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",674.0 ccm (41.13 cubic inches),"V2, four-stroke",,,,,Carburettor. 2 x 26 mm,,,,,Perimeter Double Cradle,,,,,120/60-ZR17 ,160/60-ZR17 ,Double disc,,Single disc,191.0 kg (421.1 pounds),"780 mm (30.7 inches) If adjustable, lowest setting.",1059 mm (41.7 inches),2060 mm (81.1 inches),729 mm (28.7 inches),17.03 litres (4.50 US gallons),,"Black, Red/Black, Orange/Black.",Electric,,78.0 HP (56.9  kW)),Double Overhead Cams/Twin Cam (DOHC),6-speed,,150 mm (5.9 inches),1440 mm (56.7 inches),Wet Multi Plate,,,,0.4084 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 690 Duke,2008,Naked bike," 4.0  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",654.0 ccm (39.91 cubic inches),"Single cylinder, four-stroke",67.0 Nm (6.8 kgf-m or 49.4 ft.lbs) @ 5500 RPM,,11.8:1,102.0 x 80.0 mm (4.0 x 3.1 inches),Carburettor,2 X keihin,Pressure lubrication with 2 Eaton pumps,Liquid,,"Chromium-molybdenum trellis frame, powder-coated",WP USD,200 mm (7.9 inches),WP monoshock,210 mm (8.3 inches),120/70-17 ,160/60-17 ,Single disc,220 mm (8.7 inches),Single disc,148.5 kg (327.4 pounds),"865 mm (34.1 inches) If adjustable, lowest setting.",,,,13.50 litres (3.57 US gallons),,,Electric,,64.4 HP (47.0  kW)) @ 7500 RPM,Overhead Cams (OHC),6-speed,,155 mm (6.1 inches),1472 mm (58.0 inches),"APTC Wet multi-disc clutch, operated hydraulically",Stainless steel underfloor silencer with integrated catalytic converter,4,,0.4334 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha FZ6 Fazer S2,2008,Naked bike," 3.7  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",600.0 ccm (36.61 cubic inches),"In-line four, four-stroke",63.1 Nm (6.4 kgf-m or 46.5 ft.lbs) @ 6440 RPM,,12.2:1,65.5 x 44.5 mm (2.6 x 1.8 inches),,,Wet sump,Liquid,Chain   (final drive),"Aluminium die-cast, diamond shaped",Telescopic forks,120 mm (4.7 inches),Swingarm (monocross),117 mm (4.6 inches),120/70-ZR17 ,180/55-ZR17 ,Double disc,245 mm (9.6 inches),Single disc,185.0 kg (407.9 pounds),"795 mm (31.3 inches) If adjustable, lowest setting.",1210 mm (47.6 inches),2095 mm (82.5 inches),,19.40 litres (5.13 US gallons),,,Electric,,96.6 HP (70.5  kW)) @ 12000 RPM,Double Overhead Cams/Twin Cam (DOHC),5-speed,,145 mm (5.7 inches),1440 mm (56.7 inches),"Wet, multiple-disc",,,,0.5219 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fantic Supersix Motard 125,2008,Super motard,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",,,10.0:1,,Carburettor. Dell´Orto/Mikuni,,,,,Perimetrale in steel to the CrMo,Staple Marzocchi USD 40,,Mono Marzocchi with double regulation,,,,Single disc. Grimeca pliers with Wave discs,,Single disc,98.0 kg (216.1 pounds),,,,,8.00 litres (2.11 US gallons),,,Electric & kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TM Racing MX 144,2008,Cross / motocross," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",143.4 ccm (8.75 cubic inches),"Single cylinder, two-stroke",,,17.2:1,56.0 x 58.2 mm (2.2 x 2.3 inches),Carburettor. Keihin PWK 38,Kokusan CDI Electronic with variable advance,,Liquid,,Perimetral aluminium section,Marzocchi USD 50mm ( optional Ohlins 48mm ),,Sachs Boge (optional Ohlins ),,90/90-X21 ,100/90-X19 ,Single disc,245 mm (9.6 inches),Single disc,,,,,,8.70 litres (2.30 US gallons),,Blue,,,,,5-speed,,,,Multiple-disk in oil bath with hydraulic control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 950 Supermoto R,2008,Super motard," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",942.0 ccm (57.48 cubic inches),"V2, four-stroke",94.0 Nm (9.6 kgf-m or 69.3 ft.lbs) @ 6500 RPM,,11.5:1,100.0 x 60.0 mm (3.9 x 2.4 inches),Carburettor,2 X keihin,Forced oil lubrication,Liquid,,"Tubular chrome-moly space frame, powder-coated",WP USD,200 mm (7.9 inches),WP-Monoshock,210 mm (8.3 inches),120/70-17 ,70/17-18 ,Double disc,240 mm (9.4 inches),Single disc,191.0 kg (421.1 pounds),,,,,14.50 litres (3.83 US gallons),,"Black, Orange",Electric,,96.6 HP (70.5  kW)) @ 8000 RPM,Double Overhead Cams/Twin Cam (DOHC),6-speed,,190 mm (7.5 inches),1510 mm (59.4 inches),"Multi-disc wet clutch, hydraulically operated",Twin stainless-stell silencer with catalytic converter,,,0.5055 HP/kg,,,25.4°,110 mm (4.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derbi Mulhacén Café 125,2008,Naked bike," 3.3  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",124.2 ccm (7.58 cubic inches),"Single cylinder, four-stroke",,,12.0:1,58.0 x 47.0 mm (2.3 x 1.9 inches),,Electronic CDI,Oil Pump,Liquid,Chain   (final drive),Tubular High Tensile Steel,40 upside down fork. 100 mm travel,,Mono-shock 130 mm travel,,110/70-17 ,130/70-17 ,Single disc,218 mm (8.6 inches),Single disc,110.0 kg (242.5 pounds),"785 mm (30.9 inches) If adjustable, lowest setting.",1040 mm (40.9 inches),2222 mm (87.5 inches),750 mm (29.5 inches),13.00 litres (3.43 US gallons),,,Electric,,20.1 HP (14.7  kW)) @ 9250 RPM,Double Overhead Cams/Twin Cam (DOHC),6-speed,,,1326 mm (52.2 inches),Multi-plate in oil bath,,,,0.1828 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generic Trigger SM 125,2008,Super motard," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",12.0 Nm (1.2 kgf-m or 8.9 ft.lbs) @ 8000 RPM,,,,Carburettor,,Forced feed lubrication,,,,,,,,110/70-17 ,110/70-17 ,,,,120.0 kg (264.6 pounds),,1230 mm (48.4 inches),2100 mm (82.7 inches),,10.00 litres (2.64 US gallons),,,Electric & kick,,11.0 HP (8.0  kW)) @ 10000 RPM,,6-speed,,,1410 mm (55.5 inches),Multi-disc oil bath,,,,0.0917 HP/kg,,,,,,11000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia SX 50,2008,Super motard," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",49.9 ccm (3.04 cubic inches),"Single cylinder, two-stroke",,,11.5:1,39.9 x 40.0 mm (1.6 x 1.6 inches),Carburettor,Electronic C.D.I,Automatic mixer,Liquid,Chain   (final drive),Steel beam,"40 mm hydraulic fork with leading axle, wheel travel 195 mm.",,High strength steel swingarm,,110/80-17 ,130/70-17 ,Single disc,180 mm (7.1 inches),Single disc,,"830 mm (32.7 inches) If adjustable, lowest setting.",,2045 mm (80.5 inches),825 mm (32.5 inches),7.00 litres (1.85 US gallons),,,Kick,,,,6-speed,,,1406 mm (55.4 inches),Multi-plate,Catalytic converter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda SH 150i Sport,2008,Scooter," 3.1  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",153.0 ccm (9.34 cubic inches),"Single cylinder, four-stroke",14.0 Nm (1.4 kgf-m or 10.3 ft.lbs) @ 7000 RPM,,11.0:1,58.0 x 57.8 mm (2.3 x 2.3 inches),Injection. PGM-FI electronic fuel injection ,Digital transistorised with electronic advance ,,Liquid,Belt   (final drive),,"33mm telescopic fork, 90mm axle travel ",,"Dual damper unit swingarm, 82mm axle travel ",,,,Single disc,130 mm (5.1 inches),Expanding brake (drum brake),127.0 kg (280.0 pounds),"790 mm (31.1 inches) If adjustable, lowest setting.",,2020 mm (79.5 inches),700 mm (27.6 inches),7.50 litres (1.98 US gallons),,,Electric,,15.6 HP (11.4  kW)) @ 8500 RPM,,4-speed,133.9 kg (295.2 pounds),149 mm (5.9 inches),1335 mm (52.6 inches),,,,,0.1224 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 530 XCR-W ZA,2008,Enduro / offroad," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",510.4 ccm (31.14 cubic inches),"Single cylinder, four-stroke",,,11.9:1,95.0 x 72.0 mm (3.7 x 2.8 inches),Carburettor. Keihin MX FCR 39,"Contactless controlled fully electronic with digital ignition adjustmen, type Kokusan",Pressure circulation lubrication with 2 rotor pumps (engine) / 1 rotor pump transmission,Liquid,Chain   (final drive),Central tube made of chrome molybdenum steel tubing,WP 4860 MXMA PA Inverted forks,300 mm (11.8 inches),WP monoshock PDS,335 mm (13.2 inches),81/100-21 ,110/100-18 ,Single disc,220 mm (8.7 inches),Single disc,113.0 kg (249.1 pounds),"925 mm (36.4 inches) If adjustable, lowest setting.",,,,9.00 litres (2.38 US gallons),,ORANGE/BLACK,Electric & kick,,,Overhead Cams (OHC),6-speed,,,1475 mm (58.1 inches),Multidisc in oil bath / hydraulically activated,Single pipe Aluminum,4,,,,,,,,,,0.60 litres (0.63 US quarts),,,,,,,,,,,"12 V, 150W Generator with AC/DC rectifier/regulator",,,,,,,Velocimeter/Odometer/Clock/Chronometer/Lap counter,Headlight/Parking light and LED tail lamp,Max permissible overall weight 335 Kg (739 Lb),,,,,,,,
Honda CRF 150 F,2008,Enduro / offroad," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",149.0 ccm (9.09 cubic inches),"Single cylinder, four-stroke",,,9.5:1,57.3 x 57.8 mm (2.3 x 2.3 inches),Carburettor. 24mm piston-valve carburator,CDI,,Air,Chain   (final drive),,35mm leading-axle Showa fork,231 mm (9.1 inches),Pro-Link Showa single-shock,226 mm (8.9 inches),70/0-19 ,90/80-16 ,Single disc,,Expanding brake (drum brake),,"826 mm (32.5 inches) If adjustable, lowest setting.",,,,7.19 litres (1.90 US gallons),,Red,,Model ID: CRF150F,,Single Overhead Cams (SOHC),5-speed,,254 mm (10.0 inches),1326 mm (52.2 inches),,,,,,,,27.3°,87 mm (3.4 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TGB Laser R9 151,2008,Scooter," 3.1  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",151.1 ccm (9.22 cubic inches),"Single cylinder, four-stroke",,,,,,CDI,,Air,Belt   (final drive),,Inverted Hydraulic Shocks,,Mono Coil Over Shock,,120/70-12 ,120/70-12 ,Single disc. Hydraulic,190 mm (7.5 inches),Expanding brake (drum brake),122.0 kg (268.9 pounds),,,1859 mm (73.2 inches),660 mm (26.0 inches),,,,Electric & kick,,10.1 HP (7.4  kW)) @ 7500 RPM,,Automatic,,,,,,,,0.0828 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha Royal Star Tour Deluxe,2008,Touring," 3.9  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1294.7 ccm (79.00 cubic inches),"V4, four-stroke",,,10.0:1,79.0 x 66.0 mm (3.1 x 2.6 inches),Carburettor. (4) 32mm Mikuni CV,TCI,,Liquid,Shaft drive (cardan)   (final drive),,Telescopic fork,140 mm (5.5 inches),Single shock,104 mm (4.1 inches),150/80-16 ,150/90-15 ,Double disc,320 mm (12.6 inches),Single disc,357.0 kg (787.0 pounds),"739 mm (29.1 inches) If adjustable, lowest setting.",1524 mm (60.0 inches),2504 mm (98.6 inches),1011 mm (39.8 inches),20.06 litres (5.30 US gallons),,"Galaxy Blue/Raven, Charcoal Silver/Liquid Silver",,,,Double Overhead Cams/Twin Cam (DOHC),5-speed,,150 mm (5.9 inches),1715 mm (67.5 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Voxan Scrambler 1000,2008,Naked bike," 3.1  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",996.0 ccm (60.78 cubic inches),"V2, four-stroke",109.0 Nm (11.1 kgf-m or 80.4 ft.lbs) @ 6500 RPM,,10.5:1,98.0 x 66.0 mm (3.9 x 2.6 inches),Injection,,,Liquid,Chain   (final drive),,,150 mm (5.9 inches),,160 mm (6.3 inches),100/90-19 ,150/70-17 ,Double disc,245 mm (9.6 inches),Single disc,,"820 mm (32.3 inches) If adjustable, lowest setting.",,2200 mm (86.6 inches),800 mm (31.5 inches),14.50 litres (3.83 US gallons),4.00 litres (1.06 US gallons),,,French motorcycle,85.3 HP (62.3  kW)) @ 7500 RPM,,6-speed,,170 mm (6.7 inches),1475 mm (58.1 inches),"Multidisk, wet",,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beta RR 50 Racing Motard,2008,Super motard," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",49.7 ccm (3.03 cubic inches),"Single cylinder, two-stroke",,,12.0:1,40.3 x 39.0 mm (1.6 x 1.5 inches),Carburettor. Dell´Orto PHBN 16 FS,,"Mixing with mechanical pump, fuel 1,5% (with synthetic oil)",Liquid,,steel double cradle frame,Hydraulic fork with ø36 mm shaft,230 mm (9.1 inches),Monoshock with adjustable spring preload,285 mm (11.2 inches),110/80-17 ,130/70-17 ,Single disc,220 mm (8.7 inches),Single disc,85.0 kg (187.4 pounds),"910 mm (35.8 inches) If adjustable, lowest setting.",1120 mm (44.1 inches),1960 mm (77.2 inches),800 mm (31.5 inches),6.00 litres (1.59 US gallons),1.00 litres (0.26 US gallons),,,,,,6-speed,,355 mm (14.0 inches),1325 mm (52.2 inches),wet multi-disc clutch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italjet Velocifero 50,2008,Scooter," 2.9  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.0 ccm (2.99 cubic inches),"Single cylinder, four-stroke",,,,40.0 x 39.3 mm (1.6 x 1.5 inches),,Electronic,,Air,Belt   (final drive),,Elastic  with balances trailing link with 2 shock absorbers,,Oscillating swinging arm with single hydraulic shock absorber,,100/90-10 ,100/90-10 ,Single disc,,Single disc,72.0 kg (158.7 pounds),"770 mm (30.3 inches) If adjustable, lowest setting.",,1670 mm (65.7 inches),745 mm (29.3 inches),6.00 litres (1.59 US gallons),,"English green, Bordeaux, Salmon, Green, Grey",Electric & kick,,5.0 HP (3.6  kW)) @ 7000 RPM,,Automatic,,,,Centrifugal-automatic,,,,0.0694 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enfield Thunderbird 350,2008,Classic," 3.3  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",346.0 ccm (21.11 cubic inches),"Single cylinder, four-stroke",27.5 Nm (2.8 kgf-m or 20.3 ft.lbs) @ 3500 RPM,110.0 km/h (68.4 mph),7.3:1,70.0 x 90.0 mm (2.8 x 3.5 inches),Carburettor. CV,Digital TCI,Dry sump,Air,Chain   (final drive),,Telescopic fork,,Swing arm,,3.25-19 ,3.50-19 ,Expanding brake (drum brake),152 mm (6.0 inches),Expanding brake (drum brake),163.0 kg (359.4 pounds),,1080 mm (42.5 inches),2120 mm (83.5 inches),750 mm (29.5 inches),14.50 litres (3.83 US gallons),,"Black, red",Kick,Optional electric starter and front disk brake. Royal Enfield is made in India.,18.0 HP (13.1  kW)) @ 5600 RPM,Overhead Valves (OHV),4-speed,,140 mm (5.5 inches),1370 mm (53.9 inches),Wet mulitiplate,,,,0.1104 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peugeot Jet C-Tech 50,2008,Scooter," 3.1  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.9 ccm (3.04 cubic inches),"Single cylinder, two-stroke",,,,,Carburettor,,,Liquid,,,,,,,120/70-12 ,130/70-12 ,Single disc,,Single disc,106.0 kg (233.7 pounds),,,1915 mm (75.4 inches),,8.00 litres (2.11 US gallons),,,Electric & kick,Two slightly modified version called Jet C-Tech 50 RCup and C-Tech 50 Darkside are available.,4.9 HP (3.6  kW)),,Automatic,,,,,,,,0.0462 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FXDWG Dyna Wide Glide,2008,Custom / cruiser," 3.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1573.3 ccm (96.00 cubic inches),"V2, four-stroke",124.8 Nm (12.7 kgf-m or 92.0 ft.lbs) @ 3000 RPM,,9.2:1,95.3 x 111.3 mm (3.8 x 4.4 inches),Injection.  Electronic Sequential Port Fuel Injection (ESPFI),,,Air,Belt   (final drive),,,,,,130/90-B16 ,160/70-B17 ,Single disc. 4-piston calipers,,Single disc. 2-piston torque-free calipers,294.8 kg (650.0 pounds),"724 mm (28.5 inches) If adjustable, lowest setting.",,2477 mm (97.5 inches),,19.30 litres (5.10 US gallons),,105th Anniversary Copper Pearl/Vivid Black,Electric,"Wide, raked-out front fork(34°) with 49mm fork tubes; 1-¼´ ape-hanger handlebar internally wired (clean front-end look); bobtail fender; stepped, chopper seat; forward-mounted foot controls; 21-in. laced front wheel; large, tank-mounted speedometer; for 2008, presented in serialized, limited-edition 105th Anniversary styling",,,6-speed,307.5 kg (678.0 pounds),130 mm (5.1 inches),1735 mm (68.3 inches),Multi-plate with diaphragm spring in oil bath,"Chrome, staggered shorty exhaust w/ dual mufflers",,,,4.43 litres/100 km (22.6 km/l or 53.10 mpg),102.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,34.0°,130 mm (5.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pro-One Rogue Softail Pro-Street,2008,Custom / cruiser," 2.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1983.0 ccm (121.00 cubic inches),"V2, four-stroke",121.2 Nm (12.4 kgf-m or 89.4 ft.lbs) @ 4200 RPM,,8.2:1,,Carburettor. 45mm Mikuni,Crank-triggered electronic ignition,,,Belt   (final drive),,Hard-chrome fork tubes,,"Classic Softail® style, powder coated swing arm with flush mounted rear axle covers",,,,Single disc,292 mm (11.5 inches),Single disc,310.3 kg (684.0 pounds),"635 mm (25.0 inches) If adjustable, lowest setting.",,2642 mm (104.0 inches),,15.14 litres (4.00 US gallons),,Red,Electric,,100.0 HP (73.0  kW)) @ 5300 RPM,Double Overhead Cams/Twin Cam (DOHC),6-speed,,121 mm (4.8 inches),1918 mm (75.5 inches),,Chrome exhaust with heat shields,,,0.3223 HP/kg,,,38.0°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benelli Tornado Naked Tre 899,2008,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,899.0 ccm (54.86 cubic inches),"In-line three, four-stroke",79.0 Nm (8.1 kgf-m or 58.3 ft.lbs) @ 8500 RPM,,12.5:1,88.0 x 49.2 mm (3.5 x 1.9 inches),Injection,Digital - inductive type via electronic engine management,,Liquid,Chain   (final drive),,Upside  down fork,50 mm (2.0 inches),ASD steel tube trellis swingarm,,120/70-;17 ,180/55-;17 ,Single disc,240 mm (9.4 inches),Single disc,199.0 kg (438.7 pounds),"780 mm (30.7 inches) If adjustable, lowest setting.",,2100 mm (82.7 inches),790 mm (31.1 inches),17.00 litres (4.49 US gallons),,,Electric,,116.0 HP (84.7  kW)) @ 10500 RPM,Double Overhead Cams/Twin Cam (DOHC),6-speed,,,1443 mm (56.8 inches),Wet clucth 10 discs,,4,,0.5829 HP/kg,,,24.0°,95 mm (3.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCM 450DS Trail,2008,Trial,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,443.0 ccm (27.03 cubic inches),"Single cylinder, four-stroke",,,,95.0 x 62.5 mm (3.7 x 2.5 inches),Carburettor. 36mm Dellorto,Electronic ignition (CDI),Dry Sump,Liquid,Chain   (final drive),,WP 43mm upside down,,WP PDS,,,,Single disc,260 mm (10.2 inches),Single disc,128.0 kg (282.2 pounds),"830 mm (32.7 inches) If adjustable, lowest setting.",,,,10.00 litres (2.64 US gallons),,,Electric,,40.0 HP (29.2  kW)),Double Overhead Cams/Twin Cam (DOHC),,,,,,,,,0.3125 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keeway Landcruiser 250,2008,Touring," 2.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",248.0 ccm (15.13 cubic inches),"Twin, four-stroke",,,,,,,,Air,Belt   (final drive),,,,,,110/90-16 ,130/90-16 ,Single disc,,Expanding brake (drum brake),140.0 kg (308.6 pounds),,,2225 mm (87.6 inches),,9.00 litres (2.38 US gallons),,,Electric,,17.7 HP (12.9  kW)) @ 7500 RPM,,5-speed,,165 mm (6.5 inches),,,Euro 2,,,0.1264 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tomos Youngstr Racing 50,2008,Allround," 3.7  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",,45.0 km/h (28.0 mph),,,,,,Air,,,,,,,120/70-12 ,120/70-12 ,Single disc,110 mm (4.3 inches),Expanding brake (drum brake),62.0 kg (136.7 pounds),,,,,3.00 litres (0.79 US gallons),,Yellow,Electric & kick,Tomos bikes are made in Slovenia.,,,Automatic,,,,,,,,,2.60 litres/100 km (38.5 km/l or 90.47 mpg),60.3 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha X-City 125,2008,Scooter," 3.2  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",124.7 ccm (7.61 cubic inches),"Single cylinder, four-stroke",11.7 Nm (1.2 kgf-m or 8.6 ft.lbs) @ 8750 RPM,,11.2:1,52.0 x 58.6 mm (2.0 x 2.3 inches),Injection. Fuel Injection System,Electronic (CDI),Wet sump,,Chain   (final drive),-,Telescopic std,110 mm (4.3 inches),Swing engine + shock absorber,95 mm (3.7 inches),120/70-16 ,140/70-15 ,Single disc,240 mm (9.4 inches),Single disc,159.0 kg (350.5 pounds),"790 mm (31.1 inches) If adjustable, lowest setting.",1460 mm (57.5 inches),2175 mm (85.6 inches),785 mm (30.9 inches),10.50 litres (2.77 US gallons),,,Electric,,14.4 HP (10.5  kW)) @ 8750 RPM,,,,165 mm (6.5 inches),1455 mm (57.3 inches),"Wet, multiple-disc automatic",,,,0.0907 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qingqi QMG0GY,2008,Super motard," 3.0  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",49.0 ccm (2.99 cubic inches),"Single cylinder, four-stroke",,85.0 km/h (52.8 mph),,,Carburettor,Transmission£º4-speed gear shift,,Air,Chain   (final drive),,,,,,110/90-12 ,110/90-12 ,Single disc,,Expanding brake (drum brake),85.0 kg (187.4 pounds),,995 mm (39.2 inches),1670 mm (65.7 inches),705 mm (27.8 inches),7.30 litres (1.93 US gallons),,Green,Electric & kick,Chinese made bike.,6.0 HP (4.4  kW)) @ 8000 RPM,,4-speed,,,,,,,,0.0709 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
