Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Top speed,1/4 mile (0.4 km),Compression,Bore x stroke,Fuel system,Fuel control,Ignition,Cooling system,Gearbox,Transmission type,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Front tire,Rear tire,Front brakes,Rear brakes,Dry weight,Power/weight ratio,Color options,Starter,"Weight incl. oil, gas, etc",Fuel capacity,Valves per cylinder,Lubrication system,Clutch,Exhaust system,Frame type,Comments,Modifications compared to previous model,Max RPM,Fuel consumption,Greenhouse gases,Rake (fork angle),Trail,Diameter,Seat height,Overall length,Overall width,Wheelbase,Oil capacity,Reserve fuel capacity,Ground clearance
Suzuki GS 1000 G,1981,Touring," 4.0  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",997.0 ccm (60.84 cubic inches),"In-line four, four-stroke",90.0 HP (65.7  kW)) @ 8500 RPM,,206.0 km/h (128.0 mph),,9.2:1,70.0 x 64.8 mm (2.8 x 2.6 inches),,Double Overhead Cams/Twin Cam (DOHC),,Air,5-speed,Shaft drive (cardan)   (final drive),,,,,3.50-19 ,4.50-17 ,Dual disc,Single disc,,,,,273.0 kg (601.9 pounds),20.00 litres (5.28 US gallons),2,,,,,,,,,,,,,,,,,,,
Kawasaki Z 750,1981,Sport," 3.3  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",736.0 ccm (44.91 cubic inches),"In-line six, four-stroke",78.0 HP (56.9  kW)),,,,,,Carburettor,Double Overhead Cams/Twin Cam (DOHC),,Air,,Chain   (final drive),,,,,,,,,,,,Electric,,,,,,,,,,,,,,,,,,,,,,
Honda XL 250 S,1981,Enduro / offroad," 3.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",248.0 ccm (15.13 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)) @ 7000 RPM,,111.0 km/h (69.0 mph),,9.1:1,74.0 x 57.8 mm (2.9 x 2.3 inches),,Overhead Cams (OHC),,Air,5-speed,Chain   (final drive),,,,,3.00-23 ,4.60-18 ,Expanding brake,Expanding brake,,,,,132.0 kg (291.0 pounds),9.50 litres (2.51 US gallons),4,,,,,,,,,,,,,,,,,,,
IZH Planeta Sport,1981,Touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",340.0 ccm (20.75 cubic inches),"Single cylinder, two-stroke",26.0 HP (19.0  kW)) @ 6500 RPM,,140.0 km/h (87.0 mph),,10.0:1,76.0 x 75.0 mm (3.0 x 3.0 inches),,Port control,,Air,4-speed,Chain   (final drive),,,,,3.00-19 ,3.50-18 ,Expanding brake,Expanding brake,,,,,145.0 kg (319.7 pounds),14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,
Yamaha XS 1100 S,1981,Touring," 3.9  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1101.0 ccm (67.18 cubic inches),"In-line four, four-stroke",95.0 HP (69.3  kW)) @ 8000 RPM,,217.0 km/h (134.8 mph),,9.2:1,71.5 x 68.6 mm (2.8 x 2.7 inches),,Double Overhead Cams/Twin Cam (DOHC),,Air,5-speed,Shaft drive (cardan)   (final drive),,,,,3.50-19 ,4.50-17 ,Dual disc,Single disc,,,,,276.0 kg (608.5 pounds),24.00 litres (6.34 US gallons),2,,,,,,,,,,,,,,,,,,,
Honda CX 500 (reduced effect),1981,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",497.0 ccm (30.33 cubic inches),"V2, four-stroke",27.0 HP (19.7  kW)) @ 6500 RPM,,148.0 km/h (92.0 mph),,10.0:1,78.0 x 52.0 mm (3.1 x 2.0 inches),,Overhead Valves (OHV),,Liquid,5-speed,Shaft drive (cardan)   (final drive),,,,,3.25-19 ,3.75-18 ,Dual disc,Expanding brake,,,,,221.0 kg (487.2 pounds),17.00 litres (4.49 US gallons),4,,,,,,,,,,,,,,,,,,,
Benelli 125 T,1981,Sport," 2.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Twin, two-stroke",10.0 HP (7.3  kW)) @ 7600 RPM,,110.0 km/h (68.4 mph),,10.3:1,42.5 x 44.0 mm (1.7 x 1.7 inches),,Port control,,Air,5-speed,Chain   (final drive),,,,,2.75-18 ,3.00-18 ,Single disc,Expanding brake,,,,,127.0 kg (280.0 pounds),14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,
Honda CB 900 F Bol d`Or,1981,Sport," 3.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",901.0 ccm (54.98 cubic inches),"In-line four, four-stroke",95.0 HP (69.3  kW)) @ 9000 RPM,,213.0 km/h (132.4 mph),,8.8:1,64.5 x 69.0 mm (2.5 x 2.7 inches),,Double Overhead Cams/Twin Cam (DOHC),,Air,5-speed,Chain   (final drive),,,,,3.25-19 ,4.00-18 ,Dual disc,Single disc,,,,,260.0 kg (573.2 pounds),20.00 litres (5.28 US gallons),4,,,,,,,,,,,,,,,,,,,
Moto Morini 500 T,1981,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,478.0 ccm (29.17 cubic inches),"V2, four-stroke",42.0 HP (30.7  kW)) @ 7500 RPM,,165.0 km/h (102.5 mph),,11.2:1,69.0 x 64.0 mm (2.7 x 2.5 inches),,Overhead Valves (OHV),,Air,5-speed,Chain   (final drive),,,,,100/90-18 ,4.00-18 ,Dual disc,Single disc,,,,,184.0 kg (405.7 pounds),15.00 litres (3.96 US gallons),2,,,,,,,,,,,,,,,,,,,
Honda CB 250 RS (reduced effect),1981,Allround," 3.6  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",248.0 ccm (15.13 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)) @ 7000 RPM,,136.0 km/h (84.5 mph),,9.3:1,74.0 x 57.8 mm (2.9 x 2.3 inches),,Overhead Cams (OHC),,Air,5-speed,Chain   (final drive),,,,,3.00-18 ,3.50-18 ,Single disc,Expanding brake,,,,,148.0 kg (326.3 pounds),13.00 litres (3.43 US gallons),4,,,,,,,,,,,,,,,,,,,
Suzuki GS 400 E,1981,Sport," 3.2  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",398.0 ccm (24.29 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 7400 RPM,,150.0 km/h (93.2 mph),,8.5:1,65.0 x 60.0 mm (2.6 x 2.4 inches),,Double Overhead Cams/Twin Cam (DOHC),,Air,6-speed,Chain   (final drive),,,,,3.00-18 ,3.50-18 ,Single disc,Expanding brake,,,,,185.0 kg (407.9 pounds),14.00 litres (3.70 US gallons),2,,,,,,,,,,,,,,,,,,,
Honda GL 1100 Gold Wing,1981,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1084.0 ccm (66.15 cubic inches),"Four cylinder boxer, four-stroke",83.0 HP (60.6  kW)) @ 7500 RPM,,192.0 km/h (119.3 mph),,9.2:1,75.0 x 61.4 mm (3.0 x 2.4 inches),,Overhead Cams (OHC),,Liquid,5-speed,Shaft drive (cardan)   (final drive),,,,,110/90-19 ,130/90-17 ,Dual disc,Single disc,,,,,315.0 kg (694.5 pounds),19.00 litres (5.02 US gallons),2,,,,,,,,,,,,,,,,,,,
Suzuki GS 1000 E,1981,Classic," 3.5  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",997.0 ccm (60.84 cubic inches),"In-line four, four-stroke",90.0 HP (65.7  kW)) @ 8200 RPM,,219.0 km/h (136.1 mph),,9.2:1,70.0 x 64.8 mm (2.8 x 2.6 inches),,Double Overhead Cams/Twin Cam (DOHC),,Air,5-speed,Chain   (final drive),,,,,3.50-19 ,4.50-17 ,Dual disc,Single disc,,,,,255.0 kg (562.2 pounds),20.00 litres (5.28 US gallons),2,,,,,,,,,,,,,,,,,,,
Kawasaki GPZ 550,1981,Sport touring," 3.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",553.0 ccm (33.74 cubic inches),"In-line four, four-stroke",58.0 HP (42.3  kW)) @ 9000 RPM,,194.0 km/h (120.5 mph),,10.0:1,58.0 x 52.4 mm (2.3 x 2.1 inches),,Double Overhead Cams/Twin Cam (DOHC),,Air,6-speed,Chain   (final drive),,,,,3.25-19 ,3.75-18 ,Dual disc,Single disc,,,,,216.0 kg (476.2 pounds),18.00 litres (4.76 US gallons),2,,,,,,,,,,,,,,,,,,,
Moto Morini AMEX 250 J,1981,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,239.0 ccm (14.58 cubic inches),"V2, four-stroke",23.0 HP (16.8  kW)) @ 8800 RPM,,141.0 km/h (87.6 mph),,11.7:1,59.0 x 43.8 mm (2.3 x 1.7 inches),,Overhead Valves (OHV),,Air,6-speed,Chain   (final drive),,,,,2.75-18 ,3.25-18 ,Single disc,Expanding brake,,,,,145.0 kg (319.7 pounds),13.00 litres (3.43 US gallons),2,,,,,,,,,,,,,,,,,,,
Benelli 250 2 C,1981,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,231.0 ccm (14.10 cubic inches),"Twin, two-stroke",17.0 HP (12.4  kW)) @ 7600 RPM,,125.0 km/h (77.7 mph),,10.0:1,56.0 x 47.0 mm (2.2 x 1.9 inches),,Port control,,Air,5-speed,Chain   (final drive),,,,,3.00-18 ,3.25-18 ,Single disc,Expanding brake,,,,,134.0 kg (295.4 pounds),17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,
Kawasaki Z 1100 ST,1981,Sport touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1089.0 ccm (66.45 cubic inches),"In-line four, four-stroke",97.0 HP (70.8  kW)) @ 8000 RPM,,212.0 km/h (131.7 mph),,8.9:1,72.5 x 66.0 mm (2.9 x 2.6 inches),,Double Overhead Cams/Twin Cam (DOHC),,Air,5-speed,Shaft drive (cardan)   (final drive),,,,,3.50-19 ,130/90-16 ,Dual disc,Single disc,,,,,271.0 kg (597.5 pounds),18.00 litres (4.76 US gallons),2,,,,,,,,,,,,,,,,,,,
Suzuki TS 250 ER,1981,Enduro / offroad," 3.0  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",246.0 ccm (15.01 cubic inches),"Single cylinder, two-stroke",16.5 HP (12.0  kW)) @ 6000 RPM,,107.0 km/h (66.5 mph),,7.0:1,70.0 x 64.0 mm (2.8 x 2.5 inches),,Membrane,,Air,5-speed,Chain   (final drive),,,,,3.00-21 ,4.60-18 ,Expanding brake,Expanding brake,,,,,133.0 kg (293.2 pounds),7.50 litres (1.98 US gallons),,,,,,,,,,,,,,,,,,,,
Ducati 900 SD Darmah,1981,Sport touring," 2.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",864.0 ccm (52.72 cubic inches),"V2, four-stroke",61.0 HP (44.5  kW)) @ 7000 RPM,,200.0 km/h (124.3 mph),,9.5:1,86.0 x 74.4 mm (3.4 x 2.9 inches),,Desmodromic valve control,,Air,5-speed,Chain   (final drive),,,,,3.50-18 ,4.25/85-18 ,Dual disc,Single disc,,,,,240.0 kg (529.1 pounds),16.00 litres (4.23 US gallons),2,,,,,,,,,,,,,,,,,,,
Yamaha SR 250 Special (reduced effect),1981,Classic," 3.8  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",240.0 ccm (14.64 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)) @ 7500 RPM,,115.0 km/h (71.5 mph),,9.2:1,73.5 x 56.5 mm (2.9 x 2.2 inches),,Overhead Cams (OHC),,Air,5-speed,Chain   (final drive),,,,,3.00-19 ,120/90-16 ,Expanding brake,Expanding brake,,,,,135.0 kg (297.6 pounds),10.00 litres (2.64 US gallons),2,,,,,,,,,,,,,,,,,,,
Kawasaki Z 440 C,1981,Classic," 4.1  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",443.0 ccm (27.03 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 7000 RPM,,137.0 km/h (85.1 mph),,9.2:1,67.5 x 62.0 mm (2.7 x 2.4 inches),,Overhead Cams (OHC),,Air,6-speed,Chain   (final drive),,,,,3.00-18 ,3.50-18 ,Single disc,Expanding brake,,,,,180.0 kg (396.8 pounds),14.00 litres (3.70 US gallons),2,,,,,,,,,,,,,,,,,,,
Sanglas 500 S 2,1981,Allround," 3.1  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",497.0 ccm (30.33 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 5930 RPM,,140.0 km/h (87.0 mph),,9.2:1,89.5 x 79.0 mm (3.5 x 3.1 inches),,Overhead Valves (OHV),,Air,5-speed,Chain   (final drive),,,,,3.25-18 ,3.50-18 ,Dual disc,Single disc,,,,,202.0 kg (445.3 pounds),18.00 litres (4.76 US gallons),2,,,,,,,,,,,,,,,,,,,
Enfield 350 Bullet,1981,Classic," 3.6  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",346.0 ccm (21.11 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)) @ 5620 RPM,,110.0 km/h (68.4 mph),,6.5:1,70.0 x 90.0 mm (2.8 x 3.5 inches),,Overhead Valves (OHV),,Air,4-speed,Chain   (final drive),,,,,3.25-19 ,3.25-19 ,Expanding brake,Expanding brake,,,,,170.0 kg (374.8 pounds),15.00 litres (3.96 US gallons),2,,,,,,,,,,,,,,,,,,,
Laverda 500,1981,Naked bike," 3.1  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",496.0 ccm (30.27 cubic inches),"Twin, four-stroke",45.0 HP (32.8  kW)) @ 8200 RPM,,167.0 km/h (103.8 mph),,9.2:1,72.0 x 61.0 mm (2.8 x 2.4 inches),,Double Overhead Cams/Twin Cam (DOHC),,Air,6-speed,Chain   (final drive),,,,,100/90-18 ,110/90-18 ,Dual disc,Single disc,,,,,189.0 kg (416.7 pounds),13.50 litres (3.57 US gallons),4,,,,,,,,,,,,,,,,,,,
Kawasaki Z 250 C,1981,Custom / cruiser," 2.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",246.0 ccm (15.01 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)) @ 7000 RPM,,126.0 km/h (78.3 mph),,8.9:1,70.0 x 64.0 mm (2.8 x 2.5 inches),,Overhead Cams (OHC),,Air,5-speed,Chain   (final drive),,,,,2.75-18 ,4.60-16 ,Expanding brake,Expanding brake,,,,,132.0 kg (291.0 pounds),9.00 litres (2.38 US gallons),2,,,,,,,,,,,,,,,,,,,
Suzuki SB 200,1981,Touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",200.0 ccm (12.20 cubic inches),"Twin, two-stroke",20.0 HP (14.6  kW)),,120.7 km/h (75.0 mph),,,,Carburettor,Membrane,,Air,4-speed,Chain   (final drive),,,,,,,Expanding brake (drum brake),Expanding brake (drum brake),,,,Kick,,,,Oil pump,Wet plate,Double stainless steel chromed pipes,,,,,,,,,,,,,,,,
Kawasaki KM 100,1981,Classic," 3.5  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",100.0 ccm (6.10 cubic inches),"Single cylinder, two-stroke",8.8 HP (6.4  kW)) @ 6500 RPM,,86.0 km/h (53.4 mph),,7.3:1,49.5 x 51.8 mm (1.9 x 2.0 inches),,Rotary valves,,Air,5-speed,Chain   (final drive),,,,,2.50-16 ,3.00-14 ,Expanding brake,Expanding brake,,,,,89.0 kg (196.2 pounds),6.00 litres (1.59 US gallons),,,,,,,,,,,,,,,,,,,,
Honda CB 100 N,1981,Naked bike," 2.9  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",99.0 ccm (6.04 cubic inches),"Single cylinder, four-stroke",11.5 HP (8.4  kW)) @ 10500 RPM,,96.6 km/h (60.0 mph),,,,Carburettor,Overhead Cams (OHC),,Air,5-speed,Chain   (final drive),,,,,,,Single disc,Expanding brake (drum brake),,,,Kick,,,2,,,Single Stainless Steel,,,,,,,,,,,,,,,,
Honda CB 650 (reduced effect),1981,Touring," 3.1  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",627.0 ccm (38.26 cubic inches),"In-line four, four-stroke",50.0 HP (36.5  kW)) @ 8000 RPM,,175.0 km/h (108.7 mph),,9.0:1,59.8 x 55.8 mm (2.4 x 2.2 inches),,Overhead Cams (OHC),,Air,5-speed,Chain   (final drive),,,,,3.25-19 ,3.75-18 ,Dual disc,Expanding brake,,,,,220.0 kg (485.0 pounds),18.00 litres (4.76 US gallons),2,,,,,,,,,,,,,,,,,,,
Moto Guzzi 850 T 3 California,1981,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,844.0 ccm (51.50 cubic inches),"V2, four-stroke",59.0 HP (43.1  kW)) @ 6800 RPM,,150.0 km/h (93.2 mph),,9.2:1,83.0 x 78.0 mm (3.3 x 3.1 inches),,Overhead Valves (OHV),,Air,5-speed,Shaft drive (cardan)   (final drive),,,,,100/90-18 ,110/90-18 ,Dual disc,Single disc,,,,,245.0 kg (540.1 pounds),24.00 litres (6.34 US gallons),2,,,,,,,,,,,,,,,,,,,
Ducati 500 SL Pantah,1981,Sport touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",497.0 ccm (30.33 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 8500 RPM,,180.0 km/h (111.8 mph),,9.5:1,74.0 x 57.8 mm (2.9 x 2.3 inches),,Desmodromic valve control,,Air,5-speed,Chain   (final drive),,,,,3.25-18 ,3.50-18 ,Dual disc,Single disc,,,,,202.0 kg (445.3 pounds),18.00 litres (4.76 US gallons),2,,,,,,,,,,,,,,,,,,,
Honda XL 185 S,1981,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",180.0 ccm (10.98 cubic inches),"Single cylinder, four-stroke",16.0 HP (11.7  kW)) @ 8000 RPM,,115.0 km/h (71.5 mph),,9.2:1,63.0 x 57.8 mm (2.5 x 2.3 inches),,Overhead Cams (OHC),,Air,5-speed,Chain   (final drive),,,,,2.75-21 ,4.10-18 ,Expanding brake,Expanding brake,,,,,118.0 kg (260.1 pounds),7.00 litres (1.85 US gallons),2,,,,,,,,,,,,,,,,,,,
Moto Morini 500 Camel,1981,Enduro / offroad," 3.1  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",478.0 ccm (29.17 cubic inches),"V2, four-stroke",38.0 HP (27.7  kW)) @ 7400 RPM,,129.0 km/h (80.2 mph),,11.2:1,69.0 x 64.0 mm (2.7 x 2.5 inches),,Overhead Valves (OHV),,Air,6-speed,Chain   (final drive),,,,,3.00-21 ,4.00-18 ,Expanding brake,Expanding brake,,,,,155.0 kg (341.7 pounds),13.00 litres (3.43 US gallons),2,,,,,,,,,,,,,,,,,,,
Yamaha XJ 550 H,1981,Classic," 3.3  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",528.0 ccm (32.22 cubic inches),"In-line four, four-stroke",50.0 HP (36.5  kW)) @ 9000 RPM,,176.1 km/h (109.4 mph),,9.5:1,57.0 x 51.8 mm (2.2 x 2.0 inches),Carburettor,Double Overhead Cams/Twin Cam (DOHC),,Air,6-speed,Chain   (final drive),,,,,,,Single disc,Expanding brake (drum brake),,,,Electric,,14.98 litres (3.96 US gallons),2,,,,,,,,,,,,,,,,,,,
Honda CM 400 T (reduced effect),1981,Custom / cruiser," 3.2  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",395.0 ccm (24.10 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 7500 RPM,,141.0 km/h (87.6 mph),,9.3:1,70.5 x 50.6 mm (2.8 x 2.0 inches),,Overhead Cams (OHC),,Air,5-speed,Chain   (final drive),,,,,3.50-18 ,4.60-16 ,Single disc,Expanding brake,,,,,184.0 kg (405.7 pounds),9.50 litres (2.51 US gallons),3,,,,,,,,,,,,,,,,,,,
Benelli 654,1981,Classic," 3.4  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",604.0 ccm (36.86 cubic inches),"In-line four, four-stroke",62.0 HP (45.3  kW)) @ 8650 RPM,,190.0 km/h (118.1 mph),,9.3:1,60.0 x 53.4 mm (2.4 x 2.1 inches),,Overhead Cams (OHC),,Air,5-speed,Chain   (final drive),,,,,3.25-18 ,3.50-18 ,Dual disc,Single disc,,,,,210.0 kg (463.0 pounds),15.00 litres (3.96 US gallons),2,,,,,,,,,,,,,,,,,,,
