Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Top speed,Compression,Bore x stroke,Fuel system,Fuel control,Ignition,Cooling system,Gearbox,Transmission type,Clutch,Fuel consumption,Greenhouse gases,Exhaust system,Frame type,Rake (fork angle),Trail,Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Dry weight,Power/weight ratio,Front percentage of weight,Rear percentage of weight,Seat height,Wheelbase,Fuel capacity,Color options,Starter,Comments,Valves per cylinder,Overall height,Overall length,Overall width,Lubrication system,Front wheel travel,Rear wheel travel,Ground clearance,Oil capacity,0-100 km/h (0-62 mph),"Weight incl. oil, gas, etc",Reserve fuel capacity,Max RPM,Alternate seat height,Modifications compared to previous model,Electrical,Driveline,Engine oil,Oil filter,Brake fluid,Coolant,Spark plugs,Idle speed,Chain size,Chain links,Sprockets,Fork tube size,Battery,Belt teeth,Belt width,Pulley teeth,Tire pressure front,Tire pressure rear,Wheels,Seat,Factory warranty,Instruments,Engine details
Moto Guzzi 1200 Sport ABS,2009,Naked bike," 3.3  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1151.0 ccm (70.23 cubic inches),"V2, four-stroke",93.9 HP (68.5  kW)) @ 7800 RPM,100.0 Nm (10.2 kgf-m or 73.8 ft.lbs) @ 6000 RPM,,9.8:1,,Injection. Weber-Marelli electronic fuel injection with stepper motor control,Overhead Valves (OHV),,Air,6-speed,Shaft drive (cardan)   (final drive),"Double disk, dry",,,,"Tubular cradle, high tensile steel",25.0°,120 mm (4.7 inches),"Telescopic hydraulic fork with   45 mm and TIN surface treatment, preload adjustable","Single arm suspension with progressive linkage, rear shock absorber adjustable in rebound and pre-load (hydraulic)",120/70-ZR17 ,180/55-ZR17 ,Double disc. ABS. Two channels anti-block system.,282 mm (11.1 inches),Single disc. ABS. Two channels anti-block system.,229.0 kg (504.9 pounds),0.4099 HP/kg,,,"800 mm (31.5 inches) If adjustable, lowest setting.",1485 mm (58.5 inches),23.00 litres (6.08 US gallons),,Electric,,,,2195 mm (86.4 inches),840 mm (33.1 inches),,120 mm (4.7 inches),140 mm (5.5 inches),185 mm (7.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi MGS-01 Corsa,2009,Sport," 3.1  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",1225.0 ccm (74.75 cubic inches),"V2, four-stroke",128.0 HP (93.4  kW)) @ 8000 RPM,,,11.6:1,100.0 x 78.0 mm (3.9 x 3.1 inches),Injection. Weber-Marelli electronic fuel injection with stepper motor control,Overhead Cams (OHC),Marelli IAW 15M electronic digital,Air,6-speed,Shaft drive (cardan)   (final drive),"Sintering double disc, hydraulic drive",,,,Rectangular section single-beam ALS 450,24.0°,97 mm (3.8 inches),"Öhlins up-side down fork Ø 43 mm, 3 adjustment positions","Aluminium-plate swinging fork Öhlins monoshock absorber, 4 adjustment positions",120/60-17 ,180/67-17 ,"Double disc. Floating discs, 4 pads radial caliper",220 mm (8.7 inches),Double disc. Double piston caliper,192.0 kg (423.3 pounds),0.6667 HP/kg,,,"820 mm (32.3 inches) If adjustable, lowest setting.",1450 mm (57.1 inches),18.50 litres (4.89 US gallons),Red,Electric,Limited series for racing use.,4,1165 mm (45.9 inches),2070 mm (81.5 inches),750 mm (29.5 inches),Splash,120 mm (4.7 inches),125 mm (4.9 inches),185 mm (7.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki Boulevard M50 Special Edition,2009,Custom / cruiser," 2.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",805.0 ccm (49.12 cubic inches),"V2, four-stroke",,,,9.4:1,83.0 x 74.4 mm (3.3 x 2.9 inches),Injection,Overhead Cams (OHC),Electronic ignition (Transistorized),Liquid,5-speed,Shaft drive (cardan)   (final drive),,,,,Steel tube,,,"Inverted telescopic, coil spring, oil damped","Link type, coil spring, oil damped",130/90-M16 ,170/80-M15 ,Single disc,,Expanding brake (drum brake),,,,,"700 mm (27.6 inches) If adjustable, lowest setting.",1655 mm (65.2 inches),15.50 litres (4.10 US gallons),"Black/White, Orange/Black",,,,1125 mm (44.3 inches),2395 mm (94.3 inches),920 mm (36.2 inches),Wet sump,,,,,,265.0 kg (584.2 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW Lo Rider,2009,Prototype / concept model," 3.5  See the detailed rating of design and look, fun-factor, etc. Compare with any other motorcycle.",1170.0 ccm (71.39 cubic inches),"Two cylinder boxer, four-stroke",,,200.0 km/h (124.3 mph),,101.0 x 73.0 mm (4.0 x 2.9 inches),Injection,Single Overhead Cams (SOHC),,Oil & air,6-speed,Shaft drive (cardan)   (final drive),,5.00 litres/100 km (20.0 km/l or 47.04 mpg),116.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,Euro 3,,,,USD fork,Ohlins,120/80-17 ,180/55-17 ,Double disc. 6-piston calipers,,Single disc,,,,,,1507 mm (59.3 inches),,,Electric,Naked bike with several custom options.,4,1450 mm (57.1 inches),2210 mm (87.0 inches),935 mm (36.8 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia SX 125,2009,Super motard," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",122.0 ccm (7.44 cubic inches),"Single cylinder, four-stroke",21.5 HP (15.7  kW)),,115.0 km/h (71.5 mph),12.5:1,54.0 x 54.5 mm (2.1 x 2.1 inches),Carburettor,,,Liquid,6-speed,Chain   (final drive),Multi-plate wet clutch.,,,,,,,40 mm upside down hydraulic fork. Wheel travel 260 mm.,Steel swingarm. Hydraulic monoshock with piggy back cylinder. Wheel travel 270 mm.,110/70-17 ,150/60-17 ,Single disc,,Single disc,115.0 kg (253.5 pounds),0.1865 HP/kg,,,"830 mm (32.7 inches) If adjustable, lowest setting.",1480 mm (58.3 inches),10.00 litres (2.64 US gallons),Black,Kick,,,,2165 mm (85.2 inches),850 mm (33.5 inches),"Separate mixing with variable displacement, volumetric pump.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Travertson V-Rex,2009,Naked bike," 2.9  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1250.0 ccm (76.28 cubic inches),"V2, four-stroke",,100.3 Nm (10.2 kgf-m or 74.0 ft.lbs) @ 7000 RPM,,11.3:1,97.5 x 72.1 mm (3.8 x 2.8 inches),Injection. ESPFI,,,,,Belt   (final drive),,4.20 litres/100 km (23.8 km/l or 56.00 mpg),97.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,,Steel tubing and cast aluminium,,,Aluminium twin swing arms and fully adjustable hydraulic monoshock,Aluminium single sided swing arms and fully adjustable hydraulic  dual shock,140/70-18 ,280/30-18 ,Single disc. 6-piston caliper,,Single disc. 2-piston caliper,304.0 kg (670.2 pounds),,,,"660 mm (26.0 inches) If adjustable, lowest setting.",2010 mm (79.1 inches),18.16 litres (4.80 US gallons),,Electric,Harley-Davidson Revolution engine.,,,,,,,,,4.20 litres (4.44 US quarts),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mikilon A6-250SCN,2009,ATV," 3.4  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",249.4 ccm (15.22 cubic inches),"Single cylinder, four-stroke",12.7 HP (9.2  kW)) @ 7000 RPM,,77.0 km/h (47.8 mph),,70.0 x 64.8 mm (2.8 x 2.6 inches),Carburettor,,,Liquid,,,,,,,,,,Aluminium air-cell adjustable,Aluminium air-cell adjustable,21/7-10 ,20/10-10 ,Single disc,,Single disc,,,,,"850 mm (33.5 inches) If adjustable, lowest setting.",1200 mm (47.2 inches),4.80 litres (1.27 US gallons),"Black, blue, red, green, yellow",Kick,,,1080 mm (42.5 inches),1685 mm (66.3 inches),1020 mm (40.2 inches),,70 mm (2.8 inches),65 mm (2.6 inches),320 mm (12.6 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CF Moto 150 Jewel AutoMatic,2009,Scooter," 3.2  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",154.0 ccm (9.40 cubic inches),"Single cylinder, four-stroke",,,100.0 km/h (62.1 mph),,,,,,Liquid,Automatic,Shaft drive (cardan)   (final drive),,,,,,,,,,,,Single disc,,Single disc,126.0 kg (277.8 pounds),,,,,,,White,Electric,Chinese made scooter,,,2034 mm (80.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMC Choppers Bobber 88,2009,Custom / cruiser," 3.0  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1442.2 ccm (88.00 cubic inches),"V2, four-stroke",,,,,,,,,,5-speed,,,,,Kerker 2 into 1,BMC Bobber Wishbone,32.0°,,41 mm wide glide fork,,100/90-19 ,130/90-16 ,Single disc. Bremo,292 mm (11.5 inches),Single disc. bremo,,,,,,,12.86 litres (3.40 US gallons),,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia SportCity One 50,2009,Scooter," 2.6  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.0 ccm (2.99 cubic inches),"Single cylinder, four-stroke",,,,11.5:1,,Carburettor,,,Air,Automatic,Belt   (final drive),Automatic centrifugal dry clutch,,,,Single cradle frame in high strength steel tube,,,Hydraulic telescopic fork with 32 mm stanchions. Wheel travel 85 mm,Engine unit acting as swingarm. Single hydraulic shock absorber with adjustable spring preload. Wheel travel 84 mm,120/70-14 ,120/70-14 ,Single disc,140 mm (5.5 inches),Expanding brake (drum brake),,,,,"775 mm (30.5 inches) If adjustable, lowest setting.",,7.50 litres (1.98 US gallons),"Grey, Blue, Yellow, Black 
",Electric,,,,1950 mm (76.8 inches),,Wet sump. Forced circulation with mechanical pump,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derbi Dirt Boy 50,2009,"Minibike, cross"," 3.1  See the detailed rating of the fun-factor, engine performance, racing track capabilities, etc. Compare with any other bike.",49.9 ccm (3.04 cubic inches),"Single cylinder, four-stroke",,,,12.0:1,39.0 x 41.8 mm (1.5 x 1.6 inches),Carburettor. 14 mm,,CDI,Air,1-speed,,,,,,,,,Hydraulic fork.,Monoshock.,2.50-12 ,2.75-10 ,Single disc,90 mm (3.5 inches),Expanding brake (drum brake),47.0 kg (103.6 pounds),,,,"610 mm (24.0 inches) If adjustable, lowest setting.",905 mm (35.6 inches),2.30 litres (0.61 US gallons),Black/white,Kick,Spanish made bike. Intended for child use.,,,1290 mm (50.8 inches),519 mm (20.4 inches),Oil pump,120 mm (4.7 inches),140 mm (5.5 inches),,0.60 litres (0.63 US quarts),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAS GAS MC 250 Cross,2009,Cross / motocross,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,249.3 ccm (15.21 cubic inches),"Single cylinder, two-stroke",,,,,66.4 x 72.0 mm (2.6 x 2.8 inches),Carburettor. 38 mm,,Digital C.D.I. Multispark,Liquid,6-speed,Chain   (final drive),Multidisc hydraulic operated.,,,,Deltabox built with rectangular Cromoly tubing.,,,"50 mm upside-down fork,","One-piece aluminium swing arm, progressives system shock absorber",90/90-21 ,120/80-19 ,Single disc. Double-pump caliper,220 mm (8.7 inches),Single disc,98.0 kg (216.1 pounds),,,,"945 mm (37.2 inches) If adjustable, lowest setting.",1476 mm (58.1 inches),9.50 litres (2.51 US gallons),Red/black,Kick,,,,,,By fuel mixture.,295 mm (11.6 inches),310 mm (12.2 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kreidler RMC-E 125 Hiker,2009,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",8.4 HP (6.1  kW)) @ 7750 RPM,,,,,Carburettor,,,Air,Automatic,Chain   (final drive),Variomatic,,,Euro 3,,,,Telescopic fork,Hydraulic shock absorbers (adjustable),130/60-13 ,130/60-13 ,Single disc,180 mm (7.1 inches),Single disc,105.0 kg (231.5 pounds),0.0800 HP/kg,,,"770 mm (30.3 inches) If adjustable, lowest setting.",1360 mm (53.5 inches),5.50 litres (1.45 US gallons),Blue,Electric & kick,,,1150 mm (45.3 inches),1880 mm (74.0 inches),680 mm (26.8 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Morini Corsaro 1200 Veloce,2009,Naked bike," 3.8  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1187.0 ccm (72.43 cubic inches),"V2, four-stroke",140.0 HP (102.2  kW)) @ 8500 RPM,123.0 Nm (12.5 kgf-m or 90.7 ft.lbs) @ 6700 RPM,,11.8:1,107.0 x 66.0 mm (4.2 x 2.6 inches),Injection. Magneti Marelli,Double Overhead Cams/Twin Cam (DOHC),I.A.W.,Liquid,,Chain   (final drive),Multiple-plate clutch in oil bath with antiskipping system and radial master-cylinder,,,"Sport Termignoni with double silencer, 3-way catalytic                      converter and oxygen sensor",High-strength steel tube trellis,,,Marzocchi upside down with 50 mm/ 1.96 Ø,"Ohlins single shock absorber with separate tank featuring spring length, preload, rebound and compression damping multiple adjustment",120/70-R17 ,180/55-R17 ,Double disc,220 mm (8.7 inches),Single disc,196.0 kg (432.1 pounds),0.7143 HP/kg,,,"830 mm (32.7 inches) If adjustable, lowest setting.",1440 mm (56.7 inches),18.00 litres (4.76 US gallons),"Black, red/black, black/white",Electric,,4,,,810 mm (31.9 inches),,130 mm (5.1 inches),130 mm (5.1 inches),,,,,4.00 litres (1.06 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,
Keeway F-Act 150,2009,Scooter," 2.8  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",150.1 ccm (9.16 cubic inches),"Single cylinder, four-stroke",9.8 HP (7.1  kW)) @ 7500 RPM,9.9 Nm (1.0 kgf-m or 7.3 ft.lbs) @ 6300 RPM,88.0 km/h (54.7 mph),6.4:1,57.5 x 57.8 mm (2.3 x 2.3 inches),Carburettor,,,Air,Automatic,Belt   (final drive),,,,,,,,,,120/70-12 ,130/70-12 ,Single disc,,Expanding brake (drum brake),102.0 kg (224.9 pounds),0.0959 HP/kg,,,,1283 mm (50.5 inches),6.00 litres (1.59 US gallons),,Electric & kick,,,,1817 mm (71.5 inches),693 mm (27.3 inches),,,,90 mm (3.5 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyosung GV 650 EFI,2009,Custom / cruiser," 3.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",647.0 ccm (39.48 cubic inches),"V2, four-stroke",80.0 HP (58.4  kW)) @ 9000 RPM,,,,,Injection,,,Liquid,5-speed,Belt   (final drive),Wet Multi-Plate Type,,,,,,,Telescopic,Swing arm,120/70-ZR18 ,180/55-ZR17 ,Double disc,,Single disc,218.0 kg (480.6 pounds),0.3670 HP/kg,,,"705 mm (27.8 inches) If adjustable, lowest setting.",1665 mm (65.6 inches),16.00 litres (4.23 US gallons),"Black, silver, black/orange",Electric,,2,1150 mm (45.3 inches),2430 mm (95.7 inches),,,,,160 mm (6.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 250 EXC-F,2009,Enduro / offroad," 2.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",248.6 ccm (15.17 cubic inches),"Single cylinder, four-stroke",,,,12.8:1,76.0 x 54.8 mm (3.0 x 2.2 inches),Carburettor. Keihin FCR MX 39,Double Overhead Cams/Twin Cam (DOHC),Kokusan,Liquid,6-speed,,"Wet multi-disc clutch, operated hydraulically",,,Aluminium,Central double-cradle-type 25CrMo4 steel,26.5°,,WP USD,WP PDS shock absorber,90/90-21 ,120/90-18 ,Single disc,220 mm (8.7 inches),Single disc,105.7 kg (233.0 pounds),,,,"985 mm (38.8 inches) If adjustable, lowest setting.",1475 mm (58.1 inches),9.20 litres (2.43 US gallons),,Electric & kick,,4,,,,Pressure lubrication with 2 oil pumps,300 mm (11.8 inches),335 mm (13.2 inches),380 mm (15.0 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MZ 660 Supermoto,2009,Super motard,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,660.0 ccm (40.27 cubic inches),"Single cylinder, four-stroke",49.6 HP (36.2  kW)) @ 6500 RPM,57.0 Nm (5.8 kgf-m or 42.0 ft.lbs) @ 6250 RPM,160.0 km/h (99.4 mph),,,,,,,,,,,,,,,,,,120/70-17 ,160/60-17 ,Single disc,,Single disc,180.0 kg (396.8 pounds),0.2756 HP/kg,,,"900 mm (35.4 inches) If adjustable, lowest setting.",1530 mm (60.2 inches),12.20 litres (3.22 US gallons),Black/red,Electric,,,,,,,,,,,,,2.50 litres (0.66 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,
