Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Compression,Bore x stroke,Valves per cylinder,Fuel control,Cooling system,Gearbox,Transmission type,Front tire,Rear tire,Front brakes,Rear brakes,"Weight incl. oil, gas, etc",Fuel capacity,Dry weight,Power/weight ratio,Comments,Fuel system,Clutch,Frame type,Front suspension,Rear suspension,Diameter,Wheels,Seat,Seat height,Overall width,Wheelbase,Color options,Starter,Torque,Ground clearance,Overall length,Exhaust system,Ignition,Lubrication system,Overall height,Reserve fuel capacity,Oil capacity,Modifications compared to previous model,1/4 mile (0.4 km),Max RPM,Rake (fork angle),Trail,Front wheel travel,Fuel consumption,Greenhouse gases
Moto Guzzi Falcone Sport,1971,Custom / cruiser," 2.9  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",498.0 ccm (30.39 cubic inches),"Single cylinder, four-stroke",28.0 HP (20.4  kW)) @ 4800 RPM,140.0 km/h (87.0 mph),6.9:1,88.0 x 82.0 mm (3.5 x 3.2 inches),2,Overhead Valves (OHV),Air,4-speed,Chain   (final drive),3.50-18 ,3.50-18 ,Expanding brake,Expanding brake,215.0 kg (474.0 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laverda 750 GT,1971,Classic," 3.3  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",744.0 ccm (45.40 cubic inches),"Twin, four-stroke",52.0 HP (38.0  kW)) @ 6600 RPM,185.0 km/h (115.0 mph),8.9:1,80.0 x 74.0 mm (3.1 x 2.9 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.25-18 ,4.00-18 ,Expanding brake,Expanding brake,231.0 kg (509.3 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSA 500 SS Gold Star,1971,Allround," 3.7  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",34.0 HP (24.8  kW)) @ 6200 RPM,160.0 km/h (99.4 mph),10.0:1,84.0 x 90.0 mm (3.3 x 3.5 inches),2,Overhead Valves (OHV),Air,4-speed,Chain   (final drive),3.25-18 ,3.50-18 ,Expanding brake,Expanding brake,171.0 kg (377.0 pounds),13.50 litres (3.57 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda SL 70,1971,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",70.0 ccm (4.27 cubic inches),"Single cylinder, four-stroke",,,,,1,Overhead Cams (OHC),Air,4-speed,Chain   (final drive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph T 150 V Trident 750,1971,Allround," 3.5  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",740.0 ccm (45.15 cubic inches),"In-line three, four-stroke",60.0 HP (43.8  kW)) @ 7250 RPM,194.0 km/h (120.5 mph),8.3:1,67.0 x 70.0 mm (2.6 x 2.8 inches),2,Overhead Valves (OHV),Air,4-speed,Chain   (final drive),4.10-19 ,4.10-19 ,Expanding brake,Expanding brake,228.0 kg (502.7 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph T 120 R Bonneville 650,1971,Classic," 3.6  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",649.0 ccm (39.60 cubic inches),"Twin, four-stroke",49.0 HP (35.8  kW)) @ 7200 RPM,176.0 km/h (109.4 mph),9.0:1,71.0 x 82.0 mm (2.8 x 3.2 inches),2,Overhead Valves (OHV),Air,4-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Expanding brake,Expanding brake,192.0 kg (423.3 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki 500 H 1 Mach III,1971,Classic," 3.5  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",499.0 ccm (30.45 cubic inches),"In-line three, two-stroke",54.0 HP (39.4  kW)) @ 7400 RPM,180.0 km/h (111.8 mph),6.8:1,60.0 x 58.8 mm (2.4 x 2.3 inches),,Port control,Air,5-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Expanding brake,Expanding brake,184.0 kg (405.7 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBK 125 L,1971,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Twin, two-stroke",13.5 HP (9.9  kW)) @ 7000 RPM,118.0 km/h (73.3 mph),10.0:1,43.0 x 43.0 mm (1.7 x 1.7 inches),,Port control,Air,5-speed,Chain   (final drive),2.75-17 ,2.75-17 ,Expanding brake,Expanding brake,114.0 kg (251.3 pounds),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki T 250,1971,Classic," 3.4  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",247.0 ccm (15.07 cubic inches),"Twin, two-stroke",27.0 HP (19.7  kW)) @ 8000 RPM,150.0 km/h (93.2 mph),7.5:1,54.0 x 54.0 mm (2.1 x 2.1 inches),,Port control,Air,6-speed,Chain   (final drive),2.75-18 ,3.25-18 ,Expanding brake,Expanding brake,148.0 kg (326.3 pounds),12.00 litres (3.17 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Bandit 350,1971,Allround," 2.3  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",349.0 ccm (21.30 cubic inches),"Twin, four-stroke",34.0 HP (24.8  kW)) @ 9000 RPM,160.0 km/h (99.4 mph),9.5:1,63.0 x 56.0 mm (2.5 x 2.2 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),3.50-18 ,3.50-18 ,Expanding brake,Expanding brake,167.0 kg (368.2 pounds),13.50 litres (3.57 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MV Agusta 750 S,1971,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,743.0 ccm (45.34 cubic inches),"In-line four, four-stroke",72.0 HP (52.6  kW)) @ 9200 RPM,220.0 km/h (136.7 mph),9.5:1,65.0 x 56.0 mm (2.6 x 2.2 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Shaft drive (cardan)   (final drive),3.50-18 ,4.00-18 ,Expanding brake,Expanding brake,240.0 kg (529.1 pounds),24.00 litres (6.34 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aermacchi 350 TV,1971,Classic," 3.4  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",344.0 ccm (20.99 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 7200 RPM,140.0 km/h (87.0 mph),9.0:1,74.0 x 80.0 mm (2.9 x 3.1 inches),2,Overhead Valves (OHV),Air,5-speed,Chain   (final drive),3.00-19 ,3.50-18 ,Expanding brake,Expanding brake,151.0 kg (332.9 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson XLH 900 Sportster,1971,Classic," 3.2  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",882.0 ccm (53.82 cubic inches),"V2, four-stroke",65.0 HP (47.4  kW)) @ 6300 RPM,180.0 km/h (111.8 mph),9.0:1,76.2 x 96.8 mm (3.0 x 3.8 inches),2,Overhead Valves (OHV),Air,4-speed,Chain   (final drive),3.75-19 ,4.25-18 ,Expanding brake,Expanding brake,240.0 kg (529.1 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puch M 125 De Luxe,1971,Classic," 3.6  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",12.5 HP (9.1  kW)) @ 7000 RPM,110.0 km/h (68.4 mph),11.5:1,55.0 x 52.0 mm (2.2 x 2.0 inches),,Port control,Air,4-speed,Chain   (final drive),2.50-17 ,3.00-17 ,Expanding brake,Expanding brake,104.0 kg (229.3 pounds),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi V7 Spezial,1971,Touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",748.0 ccm (45.64 cubic inches),"V2, four-stroke",51.0 HP (37.2  kW)) @ 6500 RPM,174.0 km/h (108.1 mph),8.8:1,82.5 x 70.0 mm (3.2 x 2.8 inches),2,Overhead Valves (OHV),Air,4-speed,Shaft drive (cardan)   (final drive),4.00-18 ,4.00-18 ,Expanding brake,Expanding brake,240.0 kg (529.1 pounds),22.50 litres (5.94 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 175,1971,Classic," 3.6  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",174.0 ccm (10.62 cubic inches),"Twin, four-stroke",20.0 HP (14.6  kW)) @ 10000 RPM,130.0 km/h (80.8 mph),9.0:1,52.0 x 41.0 mm (2.0 x 1.6 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),2.75-18 ,3.00-18 ,Expanding brake,Expanding brake,136.0 kg (299.8 pounds),10.00 litres (2.64 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridgestone 350 GTR,1971,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,345.0 ccm (21.05 cubic inches),"Twin, two-stroke",40.0 HP (29.2  kW)) @ 7500 RPM,152.9 km/h (95.0 mph),9.3:1,61.0 x 59.0 mm (2.4 x 2.3 inches),,Rotary valves,Air,,Chain   (final drive),3.25-19 ,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),,15.00 litres (3.96 US gallons),160.6 kg (354.1 pounds),0.2491 HP/kg,,Carburettor. Mikuni ,Dry multiplate,Steel double cradle ,Gaitered,Twin Shock Absorber,178 mm (7.0 inches),Spoked,Dual ,"825 mm (32.5 inches) If adjustable, lowest setting.",775 mm (30.5 inches),1374 mm (54.1 inches),Red,Kick,,,,,,,,,,,,,,,,,
MV Agusta 350 GT,1971,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,349.0 ccm (21.30 cubic inches),"Twin, four-stroke",29.0 HP (21.2  kW)) @ 7500 RPM,150.0 km/h (93.2 mph),9.5:1,63.0 x 56.0 mm (2.5 x 2.2 inches),2,Overhead Valves (OHV),Air,5-speed,Chain   (final drive),2.75-18 ,3.25-18 ,Expanding brake,Expanding brake,143.0 kg (315.3 pounds),16.00 litres (4.23 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph TR 6 R Tiger 650,1971,Touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",649.0 ccm (39.60 cubic inches),"Twin, four-stroke",48.0 HP (35.0  kW)) @ 7250 RPM,167.0 km/h (103.8 mph),9.0:1,71.0 x 82.0 mm (2.8 x 3.2 inches),2,Overhead Valves (OHV),Air,4-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Expanding brake,Expanding brake,191.0 kg (421.1 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa 350,1971,Classic," 3.1  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",343.0 ccm (20.93 cubic inches),"Twin, two-stroke",25.5 HP (18.6  kW)) @ 5250 RPM,127.0 km/h (78.9 mph),8.0:1,58.0 x 65.0 mm (2.3 x 2.6 inches),,Port control,Air,4-speed,Chain   (final drive),3.00-19 ,3.25-19 ,Expanding brake,Expanding brake,155.0 kg (341.7 pounds),13.50 litres (3.57 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 750,1971,Classic," 3.4  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"V2, four-stroke",60.0 HP (43.8  kW)) @ 7000 RPM,174.0 km/h (108.1 mph),8.5:1,80.0 x 74.4 mm (3.1 x 2.9 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.60-19 ,4.10-18 ,Single disc,Expanding brake,197.0 kg (434.3 pounds),17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XS 2,1971,Classic," 3.7  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",654.0 ccm (39.91 cubic inches),"Twin, four-stroke",53.0 HP (38.7  kW)) @ 7000 RPM,180.0 km/h (111.8 mph),8.7:1,75.0 x 74.0 mm (3.0 x 2.9 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.50-19 ,4.00-18 ,Single disc,Expanding brake,194.0 kg (427.7 pounds),12.50 litres (3.30 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa 350 Californian,1971,Naked bike," 3.6  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",343.0 ccm (20.93 cubic inches),"Twin, two-stroke",25.5 HP (18.6  kW)) @ 5250 RPM,127.0 km/h (78.9 mph),8.0:1,58.0 x 65.0 mm (2.3 x 2.6 inches),,Port control,Air,4-speed,Chain   (final drive),3.00-19 ,3.25-19 ,,Expanding brake,156.0 kg (343.9 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson XLCH 900 Sportster,1971,Classic," 3.9  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",882.0 ccm (53.82 cubic inches),"V2, four-stroke",65.0 HP (47.4  kW)) @ 6300 RPM,180.0 km/h (111.8 mph),9.0:1,76.2 x 96.8 mm (3.0 x 3.8 inches),2,Overhead Valves (OHV),Air,4-speed,Chain   (final drive),3.75-19 ,4.25-18 ,Expanding brake,Expanding brake,214.0 kg (471.8 pounds),8.50 litres (2.25 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSA Victor 500-Trail (B-50T),1971,Naked bike," 3.5  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",34.0 HP (24.8  kW)) @ 6200 RPM,,10.0:1,84.0 x 90.0 mm (3.3 x 3.5 inches),,,,4-speed,,3.00-20 ,4.00-18 ,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,Carburettor,,,,,,,,,,1372 mm (54.0 inches),,,38.0 Nm (3.9 kgf-m or 28.0 ft.lbs) @ 5000 RPM,191 mm (7.5 inches),,,,,,,,,,,,,,,
BMW R 75-5,1971,Classic," 4.2  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",745.0 ccm (45.46 cubic inches),"Two cylinder boxer, four-stroke",50.0 HP (36.5  kW)) @ 6200 RPM,175.0 km/h (108.7 mph),9.0:1,82.0 x 70.6 mm (3.2 x 2.8 inches),2,Overhead Valves (OHV),Air,4-speed,Shaft drive (cardan)   (final drive),3.25-19 ,4.00-18 ,Expanding brake,Expanding brake,227.0 kg (500.4 pounds),24.00 litres (6.34 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki A7 Avenger,1971,Sport touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",338.0 ccm (20.62 cubic inches),"Twin, two-stroke",42.0 HP (30.7  kW)) @ 8000 RPM,170.0 km/h (105.6 mph),7.0:1,62.0 x 56.0 mm (2.4 x 2.2 inches),,Rotary valves,Air,5-speed,Chain   (final drive),3.25-18 ,3.50-18 ,Expanding brake,Expanding brake,159.0 kg (350.5 pounds),13.50 litres (3.57 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 350 Mark 3,1971,Classic," 3.1  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",340.0 ccm (20.75 cubic inches),"Single cylinder, four-stroke",24.0 HP (17.5  kW)) @ 8500 RPM,145.0 km/h (90.1 mph),9.5:1,76.0 x 75.0 mm (3.0 x 3.0 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),2.75-18 ,3.00-18 ,Expanding brake,Expanding brake,137.0 kg (302.0 pounds),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hercules K 125 Military,1971,Enduro / offroad," 3.0  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",12.5 HP (9.1  kW)) @ 7000 RPM,94.0 km/h (58.4 mph),9.0:1,54.0 x 54.0 mm (2.1 x 2.1 inches),,Port control,Air,5-speed,Chain   (final drive),3.25-18 ,3.50-18 ,Expanding brake,Expanding brake,135.0 kg (297.6 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 100,1971,Classic," 3.7  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",99.0 ccm (6.04 cubic inches),"Single cylinder, four-stroke",11.5 HP (8.4  kW)) @ 10500 RPM,110.0 km/h (68.4 mph),9.5:1,50.5 x 49.5 mm (2.0 x 1.9 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),2.50-18 ,2.75-18 ,Expanding brake,Expanding brake,92.0 kg (202.8 pounds),10.00 litres (2.64 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 50-5,1971,Touring," 3.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",498.0 ccm (30.39 cubic inches),"Two cylinder boxer, four-stroke",32.0 HP (23.4  kW)) @ 6400 RPM,151.0 km/h (93.8 mph),8.6:1,67.0 x 70.6 mm (2.6 x 2.8 inches),2,Overhead Valves (OHV),Air,4-speed,Shaft drive (cardan)   (final drive),3.25-19 ,4.00-18 ,Expanding brake,Expanding brake,222.0 kg (489.4 pounds),24.00 litres (6.34 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maico MD 250,1971,Sport," 3.0  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",245.0 ccm (14.95 cubic inches),"Single cylinder, two-stroke",28.0 HP (20.4  kW)) @ 7000 RPM,159.0 km/h (98.8 mph),11.7:1,76.0 x 54.0 mm (3.0 x 2.1 inches),,Rotary valves,Air,4-speed,Chain   (final drive),2.75-18 ,3.25-18 ,,Expanding brake,,12.50 litres (3.30 US gallons),102.5 kg (226.0 pounds),0.2731 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 350 Mark 3 D,1971,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,340.0 ccm (20.75 cubic inches),"Single cylinder, four-stroke",26.0 HP (19.0  kW)) @ 8000 RPM,145.0 km/h (90.1 mph),9.5:1,76.0 x 75.0 mm (3.0 x 3.0 inches),2,Desmodromic valve control,Air,5-speed,Chain   (final drive),2.75-18 ,3.00-18 ,Expanding brake,Expanding brake,137.0 kg (302.0 pounds),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norton Commando 750,1971,Classic," 3.4  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",745.0 ccm (45.46 cubic inches),"Twin, four-stroke",60.0 HP (43.8  kW)) @ 6800 RPM,170.0 km/h (105.6 mph),9.0:1,73.0 x 89.0 mm (2.9 x 3.5 inches),2,Overhead Valves (OHV),Air,4-speed,Chain   (final drive),4.10-19 ,4.10-19 ,Expanding brake,Expanding brake,195.0 kg (429.9 pounds),13.50 litres (3.57 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zweirad-Union RT 125,1971,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",15.0 HP (10.9  kW)) @ 7400 RPM,110.0 km/h (68.4 mph),10.8:1,54.0 x 54.0 mm (2.1 x 2.1 inches),,Port control,Air,5-speed,Chain   (final drive),2.75-17 ,3.00-17 ,Expanding brake,Expanding brake,115.0 kg (253.5 pounds),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hercules K 125 X,1971,Classic," 2.8  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",15.0 HP (10.9  kW)) @ 7400 RPM,117.0 km/h (72.7 mph),10.8:1,54.0 x 54.0 mm (2.1 x 2.1 inches),,Port control,Air,5-speed,Chain   (final drive),2.75-17 ,3.00-17 ,Expanding brake,Expanding brake,111.0 kg (244.7 pounds),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
