Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Valves per cylinder,Gearbox,Front brakes,Rear brakes,Dry weight,"Weight incl. oil, gas, etc",Power/weight ratio,Seat height,Fuel capacity,Reserve fuel capacity,Starter,Top speed,Max RPM,Compression,Bore x stroke,Fuel system,Cooling system,Transmission type,Clutch,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Front tire,Rear tire,Diameter,Overall height,Overall length,Overall width,Wheelbase,Fuel control,Exhaust system,Color options,0-100 km/h (0-62 mph),Comments,1/4 mile (0.4 km),Fuel consumption,Greenhouse gases,Ignition,Rake (fork angle),Trail,Oil capacity,Engine oil,Oil filter,Brake fluid,Coolant,Spark plugs,Idle speed,Tire pressure front,Tire pressure rear,Fork tube size,Frame type,Battery,Ground clearance,Modifications compared to previous model,Alternate seat height
Gilera Nordwest 350,1994,Super motard," 2.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",348.8 ccm (21.28 cubic inches),"Single cylinder, four-stroke",34.0 HP (24.8  kW)) @ 7500 RPM,,4,,Double disc. 4 piston calipers,Single disc. 2 piston caliper,140.0 kg (308.6 pounds),,0.2429 HP/kg,"870 mm (34.3 inches) If adjustable, lowest setting.",12.00 litres (3.17 US gallons),,Electric,150.0 km/h (93.2 mph),8500,9.5:1,80.0 x 69.4 mm (3.1 x 2.7 inches),Carburettor. 2 Dell´Orto 25mm,Liquid,Chain   (final drive),wet plate,Upside-down forks 41mm,160 mm (6.3 inches),Gilera Power Drive,150 mm (5.9 inches),120/70-ZR17 ,160/60-ZR17 ,240 mm (9.4 inches),1150 mm (45.3 inches),2070 mm (81.5 inches),825 mm (32.5 inches),1420 mm (55.9 inches),,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha GTS 1000,1994,Unspecified category," 3.1  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",1003.0 ccm (61.20 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 9000 RPM,105.9 Nm (10.8 kgf-m or 78.1 ft.lbs) @ 6500 RPM,5,5-speed,Single disc,Single disc,246.0 kg (542.3 pounds),,0.4065 HP/kg,"795 mm (31.3 inches) If adjustable, lowest setting.",20.00 litres (5.28 US gallons),3.50 litres (0.92 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda XRV 750 Africa Twin,1994,Unspecified category," 4.0  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",742.0 ccm (45.28 cubic inches),"V2, four-stroke",62.0 HP (45.3  kW)) @ 7500 RPM,62.8 Nm (6.4 kgf-m or 46.3 ft.lbs) @ 6000 RPM,3,5-speed,Dual disc,Single disc,202.0 kg (445.3 pounds),,0.3069 HP/kg,"865 mm (34.1 inches) If adjustable, lowest setting.",23.00 litres (6.08 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VF 750 C,1994,Unspecified category," 3.6  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",748.0 ccm (45.64 cubic inches),"V4, four-stroke",88.0 HP (64.2  kW)) @ 9000 RPM,70.6 Nm (7.2 kgf-m or 52.1 ft.lbs) @ 7500 RPM,4,5-speed,Single disc,Expanding brake,229.0 kg (504.9 pounds),,0.3843 HP/kg,"710 mm (28.0 inches) If adjustable, lowest setting.",13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XJ 900 F,1994,Unspecified category," 3.5  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",891.0 ccm (54.37 cubic inches),"In-line four, four-stroke",92.0 HP (67.2  kW)) @ 9000 RPM,75.5 Nm (7.7 kgf-m or 55.7 ft.lbs) @ 7000 RPM,2,5-speed,Dual disc,Single disc,218.0 kg (480.6 pounds),,0.4220 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",22.00 litres (5.81 US gallons),5.00 litres (1.32 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha TDM 850,1994,Unspecified category," 3.4  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",849.0 ccm (51.81 cubic inches),"Twin, four-stroke",77.0 HP (56.2  kW)) @ 7500 RPM,79.4 Nm (8.1 kgf-m or 58.6 ft.lbs) @ 6000 RPM,5,5-speed,Dual disc,Single disc,199.0 kg (438.7 pounds),,0.3869 HP/kg,"795 mm (31.3 inches) If adjustable, lowest setting.",18.00 litres (4.76 US gallons),3.50 litres (0.92 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi 750 Nevada,1994,Unspecified category," 3.2  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",743.0 ccm (45.34 cubic inches),"V2, four-stroke",48.0 HP (35.0  kW)) @ 6600 RPM,68.7 Nm (7.0 kgf-m or 50.6 ft.lbs) @ 3200 RPM,2,5-speed,Dual disc,Single disc,170.0 kg (374.8 pounds),,0.2824 HP/kg,"700 mm (27.6 inches) If adjustable, lowest setting.",17.00 litres (4.49 US gallons),3.00 litres (0.79 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha FZR 1000,1994,Unspecified category," 3.5  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",1003.0 ccm (61.20 cubic inches),"In-line four, four-stroke",145.0 HP (105.8  kW)) @ 10000 RPM,106.9 Nm (10.9 kgf-m or 78.8 ft.lbs) @ 8500 RPM,5,5-speed,Dual disc,Single disc,214.0 kg (471.8 pounds),,0.6776 HP/kg,"780 mm (30.7 inches) If adjustable, lowest setting.",19.00 litres (5.02 US gallons),3.40 litres (0.90 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 80 GS,1994,Unspecified category," 3.2  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",797.0 ccm (48.63 cubic inches),"Two cylinder boxer, four-stroke",50.0 HP (36.5  kW)) @ 6500 RPM,59.8 Nm (6.1 kgf-m or 44.1 ft.lbs) @ 3750 RPM,2,5-speed,Single disc,Expanding brake,194.0 kg (427.7 pounds),,0.2577 HP/kg,"850 mm (33.5 inches) If adjustable, lowest setting.",24.00 litres (6.34 US gallons),4.70 litres (1.24 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB Two Fifty,1994,Naked bike," 3.5  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",239.0 ccm (14.58 cubic inches),"Twin, four-stroke",17.0 HP (12.4  kW)) @ 6500 RPM,17.0 Nm (1.7 kgf-m or 12.5 ft.lbs),,5-speed,Single disc,Expanding brake (drum brake),135.0 kg (297.6 pounds),,0.1259 HP/kg,"755 mm (29.7 inches) If adjustable, lowest setting.",,,Electric,,,,,Carburettor,Air,Chain   (final drive),,,,,,,,,,,,,Single Overhead Cams (SOHC),,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki VN 1500,1994,Unspecified category," 3.4  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",1470.0 ccm (89.70 cubic inches),"V2, four-stroke",61.0 HP (44.5  kW)) @ 4300 RPM,110.8 Nm (11.3 kgf-m or 81.7 ft.lbs) @ 3300 RPM,4,4-speed,Single disc,Single disc,257.0 kg (566.6 pounds),,0.2374 HP/kg,"750 mm (29.5 inches) If adjustable, lowest setting.",16.00 litres (4.23 US gallons),4.20 litres (1.11 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki VS 800 Intruder,1994,Unspecified category," 3.6  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",805.0 ccm (49.12 cubic inches),"V2, four-stroke",60.0 HP (43.8  kW)) @ 7500 RPM,68.7 Nm (7.0 kgf-m or 50.6 ft.lbs) @ 5500 RPM,4,5-speed,Single disc,Expanding brake,200.0 kg (440.9 pounds),,0.3000 HP/kg,"755 mm (29.7 inches) If adjustable, lowest setting.",12.00 litres (3.17 US gallons),3.00 litres (0.79 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CBR400RR,1994,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",399.0 ccm (24.35 cubic inches),"In-line four, four-stroke",60.0 HP (43.8  kW)),,4,,Double disc,Single disc,,,,,,,,225.3 km/h (140.0 mph),14000,,,Carburettor,Liquid,Chain   (final drive),,,,Showa monoshock,,120/60-18 ,150/60-17 ,,,,,,Double Overhead Cams/Twin Cam (DOHC),4-2-1,"Multicolour, Black/Red, red/White/Blue",,,,,,,,,,,,,,,,,,,,,,,
Kawasaki VN 750,1994,Unspecified category," 3.7  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",749.0 ccm (45.70 cubic inches),"V2, four-stroke",60.0 HP (43.8  kW)) @ 7500 RPM,59.8 Nm (6.1 kgf-m or 44.1 ft.lbs) @ 5500 RPM,4,4-speed,Single disc,Expanding brake,223.0 kg (491.6 pounds),,0.2691 HP/kg,"750 mm (29.5 inches) If adjustable, lowest setting.",13.50 litres (3.57 US gallons),3.00 litres (0.79 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XV 1100 Virago,1994,Unspecified category," 3.8  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",1063.0 ccm (64.86 cubic inches),"V2, four-stroke",61.7 HP (45.0  kW)) @ 6000 RPM,85.3 Nm (8.7 kgf-m or 62.9 ft.lbs) @ 3000 RPM,2,5-speed,Dual disc,Expanding brake,221.0 kg (487.2 pounds),,0.2792 HP/kg,"715 mm (28.1 inches) If adjustable, lowest setting.",17.00 litres (4.49 US gallons),3.00 litres (0.79 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 100 R Mystik,1994,Unspecified category," 3.7  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",980.0 ccm (59.80 cubic inches),"Two cylinder boxer, four-stroke",60.0 HP (43.8  kW)) @ 6500 RPM,74.5 Nm (7.6 kgf-m or 55.0 ft.lbs) @ 3750 RPM,4,5-speed,Single disc,Single disc,197.0 kg (434.3 pounds),,0.3046 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",24.00 litres (6.34 US gallons),4.70 litres (1.24 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa 640 Classic,1994,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,350.0 ccm (21.36 cubic inches),"Twin, two-stroke",23.5 HP (17.2  kW)) @ 5250 RPM,31.4 Nm (3.2 kgf-m or 23.1 ft.lbs) @ 4750 RPM,,4-speed,Expanding brake,Expanding brake,150.0 kg (330.7 pounds),,0.1567 HP/kg,"780 mm (30.7 inches) If adjustable, lowest setting.",17.00 litres (4.49 US gallons),2.50 litres (0.66 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 900 Superlight,1994,Unspecified category," 3.1  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",904.0 ccm (55.16 cubic inches),"V2, four-stroke",80.0 HP (58.4  kW)) @ 7000 RPM,83.4 Nm (8.5 kgf-m or 61.5 ft.lbs) @ 6400 RPM,2,6-speed,Dual disc,Single disc,182.0 kg (401.2 pounds),,0.4396 HP/kg,"750 mm (29.5 inches) If adjustable, lowest setting.",17.50 litres (4.62 US gallons),4.00 litres (1.06 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki EN 500,1994,Unspecified category," 3.6  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",499.0 ccm (30.45 cubic inches),"Twin, four-stroke",50.0 HP (36.5  kW)) @ 8500 RPM,40.2 Nm (4.1 kgf-m or 29.7 ft.lbs) @ 7300 RPM,4,6-speed,Single disc,Single disc,187.0 kg (412.3 pounds),,0.2674 HP/kg,"720 mm (28.3 inches) If adjustable, lowest setting.",11.00 litres (2.91 US gallons),2.00 litres (0.53 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda NTV 650,1994,Unspecified category," 3.2  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",647.0 ccm (39.48 cubic inches),"V2, four-stroke",57.0 HP (41.6  kW)) @ 7500 RPM,55.9 Nm (5.7 kgf-m or 41.2 ft.lbs) @ 6500 RPM,3,5-speed,Single disc,Single disc,187.0 kg (412.3 pounds),,0.3048 HP/kg,"780 mm (30.7 inches) If adjustable, lowest setting.",19.00 litres (5.02 US gallons),2.50 litres (0.66 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VFR 750 F,1994,Unspecified category," 3.9  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",748.0 ccm (45.64 cubic inches),"V4, four-stroke",103.0 HP (75.2  kW)) @ 10000 RPM,76.5 Nm (7.8 kgf-m or 56.4 ft.lbs) @ 9000 RPM,4,6-speed,Dual disc,Single disc,209.0 kg (460.8 pounds),,0.4928 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",21.00 litres (5.55 US gallons),4.00 litres (1.06 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha FJ 1200,1994,Unspecified category," 4.0  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",1188.0 ccm (72.49 cubic inches),"In-line four, four-stroke",125.0 HP (91.2  kW)) @ 9000 RPM,107.9 Nm (11.0 kgf-m or 79.6 ft.lbs) @ 7500 RPM,4,5-speed,Dual disc,Single disc,243.0 kg (535.7 pounds),,0.5144 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",22.00 litres (5.81 US gallons),5.00 litres (1.32 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson 1340 Super Glide,1994,Unspecified category," 3.7  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",1338.0 ccm (81.64 cubic inches),"V2, four-stroke",48.0 HP (35.0  kW)) @ 4900 RPM,86.3 Nm (8.8 kgf-m or 63.7 ft.lbs) @ 2400 RPM,2,5-speed,Single disc,Single disc,261.0 kg (575.4 pounds),,0.1839 HP/kg,"660 mm (26.0 inches) If adjustable, lowest setting.",15.90 litres (4.20 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati M 900 Monster,1994,Unspecified category," 3.4  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",904.0 ccm (55.16 cubic inches),"V2, four-stroke",80.0 HP (58.4  kW)) @ 7250 RPM,,4,6-speed,Dual disc,Single disc,185.0 kg (407.9 pounds),,0.4324 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",18.00 litres (4.76 US gallons),3.50 litres (0.92 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda NX 250,1994,Unspecified category," 3.1  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",23.5 HP (17.2  kW)) @ 8000 RPM,22.6 Nm (2.3 kgf-m or 16.6 ft.lbs) @ 7000 RPM,4,6-speed,Single disc,Expanding brake,118.0 kg (260.1 pounds),,0.1992 HP/kg,"820 mm (32.3 inches) If adjustable, lowest setting.",9.00 litres (2.38 US gallons),1.60 litres (0.42 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XJ 600 N,1994,Unspecified category," 3.5  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",61.0 HP (44.5  kW)) @ 8500 RPM,65.7 Nm (6.7 kgf-m or 48.5 ft.lbs) @ 7000 RPM,2,6-speed,Single disc,Single disc,187.0 kg (412.3 pounds),,0.3262 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",17.00 litres (4.49 US gallons),3.50 litres (0.92 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson 1200 Sportster,1994,Custom / cruiser," 3.2  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1189.0 ccm (72.55 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 5200 RPM,75.5 Nm (7.7 kgf-m or 55.7 ft.lbs) @ 3600 RPM,2,5-speed,Single disc,Single disc,223.0 kg (491.6 pounds),,0.2242 HP/kg,"737 mm (29.0 inches) If adjustable, lowest setting.",8.50 litres (2.25 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 750 F2,1994,Unspecified category," 3.8  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",747.0 ccm (45.58 cubic inches),"In-line four, four-stroke",73.0 HP (53.3  kW)) @ 8500 RPM,61.8 Nm (6.3 kgf-m or 45.6 ft.lbs) @ 7500 RPM,4,6-speed,Dual disc,Single disc,215.0 kg (474.0 pounds),,0.3395 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa 640,1994,Unspecified category," 2.6  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",350.0 ccm (21.36 cubic inches),"Twin, two-stroke",23.0 HP (16.8  kW)) @ 5250 RPM,31.4 Nm (3.2 kgf-m or 23.1 ft.lbs) @ 4750 RPM,,4-speed,Single disc,Expanding brake,150.0 kg (330.7 pounds),,0.1533 HP/kg,"780 mm (30.7 inches) If adjustable, lowest setting.",17.00 litres (4.49 US gallons),2.50 litres (0.66 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi California 1100 Injection,1994,Unspecified category," 3.2  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",1064.0 ccm (64.93 cubic inches),"V2, four-stroke",75.0 HP (54.7  kW)) @ 6400 RPM,91.2 Nm (9.3 kgf-m or 67.3 ft.lbs) @ 5000 RPM,2,5-speed,Dual disc,Single disc,245.0 kg (540.1 pounds),,0.3061 HP/kg,"720 mm (28.3 inches) If adjustable, lowest setting.",22.50 litres (5.94 US gallons),3.00 litres (0.79 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW K 75 S,1994,Unspecified category," 3.3  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",740.0 ccm (45.15 cubic inches),"In-line three, four-stroke",75.0 HP (54.7  kW)) @ 8500 RPM,66.7 Nm (6.8 kgf-m or 49.2 ft.lbs) @ 6750 RPM,2,5-speed,Dual disc,Single disc,216.0 kg (476.2 pounds),,0.3472 HP/kg,"810 mm (31.9 inches) If adjustable, lowest setting.",21.00 litres (5.55 US gallons),2.00 litres (0.53 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Electra Glide Ultra Classic,1994,Unspecified category," 3.3  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",1338.0 ccm (81.64 cubic inches),"V2, four-stroke",60.0 HP (43.8  kW)) @ 5500 RPM,94.2 Nm (9.6 kgf-m or 69.4 ft.lbs) @ 3600 RPM,2,5-speed,Dual disc,Single disc,347.0 kg (765.0 pounds),,0.1729 HP/kg,"711 mm (28.0 inches) If adjustable, lowest setting.",18.90 litres (4.99 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
