Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Bore x stroke,Fuel system,Ignition,Cooling system,Gearbox,Transmission type,Fuel consumption,Greenhouse gases,Frame type,Front tire,Rear tire,Front brakes,Rear brakes,Dry weight,Power/weight ratio,Overall height,Overall length,Overall width,Wheelbase,Fuel capacity,Starter,Compression,Fuel control,Lubrication system,Clutch,Front suspension,Rear suspension,Diameter,Seat,"Weight incl. oil, gas, etc",Carrying capacity,Wheels,Modifications compared to previous model,Oil capacity,Color options,Comments,Seat height,Exhaust system,Driveline,Electrical,Engine details,Valves per cylinder
DKW Block 300,1932,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,292.0 ccm (17.82 cubic inches),"Single cylinder, two-stroke",,,74.0 x 68.0 mm (2.9 x 2.7 inches),Carburettor. Zweihebel-Framo B,Battery-,Air,4-speed,Chain   (final drive),3.50 litres/100 km (28.6 km/l or 67.21 mpg),81.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,Pressed steel ,3.5-25 ,3.5-25 ,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,1290 mm (50.8 inches),12.50 litres (3.30 US gallons),,,,,,,None,,Solo seat with springs,123.0 kg (271.2 pounds),,Spoked,,,,,,,,,,
BMW R11 Series 3,1932,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,745.0 ccm (45.46 cubic inches),"Two cylinder boxer, four-stroke",18.0 HP (13.1  kW)) @ 3400 RPM,100.0 km/h (62.1 mph),78.0 x 78.0 mm (3.1 x 3.1 inches),Carburettor. Single SUM CK 3/500 F 1,Magneto,Air,3-speed,Shaft drive (cardan)   (final drive),4.50 litres/100 km (22.2 km/l or 52.27 mpg),104.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,Steel-double cradlel,3.50-26.00 ,3.50-26.00 ,Expanding brake (drum brake),,,,940 mm (37.0 inches),2100 mm (82.7 inches),890 mm (35.0 inches),1380 mm (54.3 inches),14.00 litres (3.70 US gallons),Kick,5.5:1,Sidevalves,Forced feed,Two plates-dry,Plate springe,Rigid,55 mm (2.2 inches),,162.0 kg (357.1 pounds),210kg,,,,,,,,,,,
BMW R2 Series2a,1932,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,198.0 ccm (12.08 cubic inches),"Single cylinder, four-stroke",6.0 HP (4.4  kW)) @ 3500 RPM,95.0 km/h (59.0 mph),63.0 x 64.0 mm (2.5 x 2.5 inches),Carburettor. Amal ,Battery,Air,3-speed,Shaft drive (cardan)   (final drive),2.00 litres/100 km (50.0 km/l or 117.61 mpg),46.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,Pressed steel duplex,2.99-25.00 ,2.99-25.00 ,Expanding brake (drum brake),Expanding brake (drum brake),,,950 mm (37.4 inches),1950 mm (76.8 inches),850 mm (33.5 inches),1320 mm (52.0 inches),11.00 litres (2.91 US gallons),Kick,6.7:1,Overhead Valves (OHV),Wet sump ,Dry-single plate-cable operated,Cartridge,Rigid,180 mm (7.1 inches),Solo seat with springs,130.0 kg (286.6 pounds),200kg,,,,,,,,,,,
NSU 501 TS,1932,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,494.0 ccm (30.14 cubic inches),"Single cylinder, four-stroke",11.0 HP (8.0  kW)) @ 4000 RPM,100.0 km/h (62.1 mph),80.0 x 99.0 mm (3.1 x 3.9 inches),Carburettor. Amac,Magneto Bosch,Air,,Chain   (final drive),,,Double steel,3.50-26 ,4-27 ,Expanding brake (drum brake),Expanding brake (drum brake),185.0 kg (407.9 pounds),0.0595 HP/kg,,,,1390 mm (54.7 inches),13.00 litres (3.43 US gallons),Kick,,,,,,,,,,,,,2.00 litres (2.11 US quarts),,,,,,,,
Indian Chief,1932,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1210.0 ccm (73.83 cubic inches),"V2, four-stroke",,,83.0 x 113.0 mm (3.3 x 4.4 inches),Carburettor. Linkert,,,,Chain   (final drive),,,,,,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,1540 mm (60.6 inches),,,,,,,Telescopic,Plungertype with coil springs,,,,,,,,,,,,,,,
Norton 490 CS 1,1932,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,490.0 ccm (29.90 cubic inches),"Single cylinder, four-stroke",,128.8 km/h (80.0 mph),,Carburettor,,,,Chain   (final drive),,,,,,Expanding brake (drum brake),Expanding brake (drum brake),145.0 kg (319.7 pounds),,,,,,,,,Single Overhead Cams (SOHC),,,,,,Solo seat with springs,,,Spoked,,,,,,,,,,
NSU 601 TS,1932,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,592.0 ccm (36.12 cubic inches),"Single cylinder, four-stroke",12.5 HP (9.1  kW)) @ 4250 RPM,105.0 km/h (65.2 mph),87.5 x 99.0 mm (3.4 x 3.9 inches),Carburettor. Amac,Magneto Bosch,Air,,Chain   (final drive),,,Double steel,3.50-26 ,4-27 ,Expanding brake (drum brake),Expanding brake (drum brake),165.0 kg (363.8 pounds),0.0758 HP/kg,1040 mm (40.9 inches),2100 mm (82.7 inches),830 mm (32.7 inches),1390 mm (54.7 inches),13.00 litres (3.43 US gallons),Kick,,,,,,,,Single spring-mounted,,,Spoked,,2.00 litres (2.11 US quarts),,,,,,,,
Dollar 750 V4,1932,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,748.0 ccm (45.64 cubic inches),"V4, four-stroke",17.0 HP (12.4  kW)) @ 3800 RPM,,62.5 x 62.0 mm (2.5 x 2.4 inches),Carburettor,,,3-speed,Chain   (final drive),,,,,,Expanding brake (drum brake),Expanding brake (drum brake),177.8 kg (392.0 pounds),0.0956 HP/kg,,,,,,Kick,,Overhead Valves (OHV),,,Parallelogram,,,,,,Wire spoked,,,Black,French manufacturer.,,,,,,
Harley-Davidson Model RL,1932,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,742.6 ccm (45.31 cubic inches),"V2, four-stroke",,,69.9 x 96.9 mm (2.8 x 3.8 inches),,,,,Chain   (final drive),,,,3-26 ,3-26 ,Expanding brake (drum brake),Expanding brake (drum brake),181.0 kg (399.0 pounds),,,,,,,,,,,,,,,Single spring-mounted,,,Spoked,,,,,,,,,,
Indian 402,1932,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1265.0 ccm (77.19 cubic inches),"In-line four, four-stroke",,153.0 km/h (95.1 mph),,Carburettor,,,,Chain   (final drive),,,Twin downtube,,,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,,,,,,,,Trailing link,Rigid,,Single spring-mounted,,,Spoked,,,,,,,,,,
NSU 201TS,1932,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,199.2 ccm (12.16 cubic inches),"Single cylinder, four-stroke",4.5 HP (3.3  kW)) @ 4000 RPM,65.0 km/h (40.4 mph),56.5 x 80.0 mm (2.2 x 3.1 inches),Carburettor. Amac PJ 30,Magneto Bosch,Air,3-speed,Chain   (final drive),3.00 litres/100 km (33.3 km/l or 78.41 mpg),69.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,,3-26 ,3-26 ,Expanding brake (drum brake),Expanding brake (drum brake),100.0 kg (220.5 pounds),0.0450 HP/kg,920 mm (36.2 inches),2080 mm (81.9 inches),820 mm (32.3 inches),1345 mm (53.0 inches),8.50 litres (2.25 US gallons),Kick,,,,,,,,Single spring-mounted,,,,,,,,"740 mm (29.1 inches) If adjustable, lowest setting.",,,,,
Sunbeam 95L Special,1932,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,493.0 ccm (30.08 cubic inches),"Single cylinder, four-stroke",,,,Carburettor,,,,Chain   (final drive),,,,,,,,,,,,,,,,,Overhead Valves (OHV),,,,,,Single ,,,Spoked,,,,,,,,,,
Coventry Eagle Flying 350,1932,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,348.0 ccm (21.23 cubic inches),"Single cylinder, four-stroke",,97.0 km/h (60.3 mph),,Carburettor,,Air,,Chain   (final drive),,,,,,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,,,,,Sidevalves,,,,,,Single seat,,,,,,,,,,,,,
Harley-Davidson Model BA,1932,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,344.2 ccm (21.00 cubic inches),"Single cylinder, four-stroke",,,,Carburettor. Schebler,,,,Chain   (final drive),,,,,,,,,,,,,,,,,Sidevalves,,,Leading link -coil springs,Rigid-,,Spring-mounted seat,,,,,,,,,,,,,
NSU 301TS,1932,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,298.0 ccm (18.18 cubic inches),"Single cylinder, four-stroke",7.0 HP (5.1  kW)) @ 4000 RPM,85.0 km/h (52.8 mph),66.0 x 88.0 mm (2.6 x 3.5 inches),Carburettor. Amac MD 30,Magneto Bosch,Air,3-speed,Chain   (final drive),3.50 litres/100 km (28.6 km/l or 67.21 mpg),81.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,Double steel,3-25 ,3-25 ,Expanding brake (drum brake),Expanding brake (drum brake),130.0 kg (286.6 pounds),0.0538 HP/kg,920 mm (36.2 inches),1990 mm (78.3 inches),830 mm (32.7 inches),1330 mm (52.4 inches),10.00 litres (2.64 US gallons),Kick,,,,,,,,Single ,,,Spoked,,,,,"690 mm (27.2 inches) If adjustable, lowest setting.",,,,,
Harley-Davidson Model RLD,1932,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,742.0 ccm (45.28 cubic inches),"V2, four-stroke",,,69.9 x 96.9 mm (2.8 x 3.8 inches),Carburettor,,,,Chain   (final drive),,,,,,,,181.0 kg (399.0 pounds),,,,,,,,,,,,Leading link ,Rigid,,Single spring-mounted,,,Spoked,,,,,,,,,,
NSU 501 SS,1932,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,494.0 ccm (30.14 cubic inches),"Single cylinder, four-stroke",20.0 HP (14.6  kW)) @ 4800 RPM,125.0 km/h (77.7 mph),80.0 x 99.0 mm (3.1 x 3.9 inches),Carburettor,,Air,,Chain   (final drive),,,,2.50-26 ,3.25-26 ,Expanding brake (drum brake),Expanding brake (drum brake),158.0 kg (348.3 pounds),0.1266 HP/kg,,,,,11.00 litres (2.91 US gallons),Kick,,,,,,,,Single ,,,Spoked,,,,,,,,,,
Harley-Davidson Model B,1932,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,345.7 ccm (21.09 cubic inches),"Single cylinder, four-stroke",,,73.6 x 82.6 mm (2.9 x 3.3 inches),,,,,Chain   (final drive),,,,,,Expanding brake (drum brake),Expanding brake (drum brake),136.0 kg (299.8 pounds),,,,,,,,,Sidevalves,,,,,,Single spring-mounted,,,Spoked,,,,,,,,,,
Harley-Davidson Model S,1932,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,345.0 ccm (21.05 cubic inches),"Single cylinder, two-stroke",,137.0 km/h (85.1 mph),,Carburettor,,,,Chain   (final drive),,,,2.5-28 ,2.5-28 ,,,,,,,,,,,,Overhead Valves (OHV),,,,,,Single ,,,Spoked,,,,,,No pipes,,,,
Ariel VH 500 Red Hunter,1932,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,497.0 ccm (30.33 cubic inches),"Single cylinder, four-stroke",24.0 HP (17.5  kW)) @ 6000 RPM,140.0 km/h (87.0 mph),86.4 x 85.0 mm (3.4 x 3.3 inches),Carburettor. Amal,Flywheel,Air,4-speed,Chain   (final drive),,,Semi double cradle,3.00-20 ,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),190.0 kg (418.9 pounds),0.1263 HP/kg,,2180 mm (85.8 inches),640 mm (25.2 inches),,14.80 litres (3.91 US gallons),Kick,6.0:1,Overhead Valves (OHV),Dry sump with dual plunger pumps,Dry,Grider forks,Rigid,,,,,Wire spoked.,,3.40 litres (3.59 US quarts),Chrome/red/gold,Designed by Val Page.,,,Burman,6V battery.,,
Harley-Davidson Model DLD,1932,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,742.6 ccm (45.31 cubic inches),"V2, four-stroke",20.0 HP (14.6  kW)) @ 4000 RPM,,69.9 x 96.9 mm (2.8 x 3.8 inches),Carburettor,,,,Chain   (final drive),,,,3-26 ,3-26 ,Expanding brake (drum brake),Expanding brake (drum brake),181.0 kg (399.0 pounds),0.1105 HP/kg,,,,,,,6.0:1,,,,,,,Single spring-mounted,,,Spoked,,,,,,,,,,
Ariel 4F Square Four 600,1932,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,601.0 ccm (36.67 cubic inches),Square four cylinder,23.0 HP (16.8  kW)) @ 5600 RPM,,56.0 x 61.0 mm (2.2 x 2.4 inches),Carburettor,,Air,4-speed,Chain   (final drive),,,Semi-cradle ,3.25-19 ,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),168.0 kg (370.4 pounds),0.1369 HP/kg,,,,1385 mm (54.5 inches),13.25 litres (3.50 US gallons),Kick,6.9:1,Overhead Cams (OHC),,,Spring girders,Rigid,,,,,Wire spoked,,,,Optional sidecar,,2 x 1-into-1,,,Double twin - square 4 cylinder arrangement,2
BMW R4 Series 1,1932,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,398.0 ccm (24.29 cubic inches),"Single cylinder, four-stroke",12.0 HP (8.8  kW)) @ 4000 RPM,100.0 km/h (62.1 mph),84.0 x 78.0 mm (3.3 x 3.1 inches),Carburettor. SUM CK 3/500 Fr,Battery,Air,,Shaft drive (cardan)   (final drive),3.50 litres/100 km (28.6 km/l or 67.21 mpg),81.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,Pressed steel duplex,3.50-26.00 ,3.50-26.00 ,Expanding brake (drum brake),Expanding brake (drum brake),,,950 mm (37.4 inches),1980 mm (78.0 inches),850 mm (33.5 inches),1300 mm (51.2 inches),10.00 litres (2.64 US gallons),Kick,5.7:1,Overhead Valves (OHV),Wet sump ,Dry-single plate-cable operated,Friction shock absorber,Rigid,180 mm (7.1 inches),Solo seat with springs,137.0 kg (302.0 pounds),200kg,,,,,,,,,,,
Rikuo RT 2,1932,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,750.0 ccm (45.77 cubic inches),"V2, four-stroke",22.0 HP (16.1  kW)) @ 4250 RPM,,,Carburettor. Linkert,Generator and battery,Air,4-speed,,,,,,,,,230.0 kg (507.1 pounds),0.0957 HP/kg,,,,,,,,Sidevalves,,Four speed ,Telescopic,,,Spring-mounted seat,,,,,,,,,,,,,
