Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Valves per cylinder,Cooling system,Gearbox,Transmission type,Front brakes,Rear brakes,Dry weight,Power/weight ratio,Seat height,Starter,"Weight incl. oil, gas, etc",Top speed,Compression,Bore x stroke,Fuel system,Fuel control,Ignition,Lubrication system,Fuel consumption,Greenhouse gases,Frame type,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Front tire,Rear tire,Diameter,Overall height,Overall length,Overall width,Wheelbase,Fuel capacity,Oil capacity,Color options,Comments,Engine oil,Oil filter,Chain size,Chain links,Sprockets,Clutch,Exhaust system,Ground clearance,Reserve fuel capacity,Modifications compared to previous model,Brake fluid,Battery,Spark plugs,Idle speed,Belt teeth,Belt width,Pulley teeth,Fork tube size,Max RPM,Rake (fork angle),Trail,0-100 km/h (0-62 mph),1/4 mile (0.4 km),Coolant,Tire pressure front,Tire pressure rear,"60-140 km/h (37-87 mph), highest gear"
Moto Guzzi V 10 Centauro,1996,Naked bike,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,992.0 ccm (60.53 cubic inches),"V2, four-stroke",90.0 HP (65.7  kW)) @ 8200 RPM,98.0 Nm (10.0 kgf-m or 72.3 ft.lbs) @ 5500 RPM,4,Air,5-speed,,Dual disc,Single disc,205.0 kg (451.9 pounds),0.4390 HP/kg,,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XV 535 Virago,1996,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",535.0 ccm (32.65 cubic inches),"V2, four-stroke",44.0 HP (32.1  kW)) @ 7500 RPM,48.0 Nm (4.9 kgf-m or 35.4 ft.lbs) @ 6000 RPM,2,Air,5-speed,,Single disc,Expanding brake,182.0 kg (401.2 pounds),0.2418 HP/kg,"720 mm (28.3 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MuZ Skorpion Tour 660,1996,Naked bike," 3.1  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",660.0 ccm (40.27 cubic inches),"Single cylinder, four-stroke",48.0 HP (35.0  kW)) @ 6250 RPM,56.0 Nm (5.7 kgf-m or 41.3 ft.lbs) @ 5250 RPM,5,,5-speed,Chain   (final drive),Single disc,Single disc,167.0 kg (368.2 pounds),0.2874 HP/kg,"785 mm (30.9 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki ZX-7RR Ninja,1996,Sport," 3.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"In-line four, four-stroke",,,4,Liquid,6-speed,Chain   (final drive),Dual disc,Single disc,200.0 kg (440.9 pounds),,"790 mm (31.1 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSF 1200 N Bandit,1996,Naked bike," 3.3  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1157.0 ccm (70.60 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 8500 RPM,90.7 Nm (9.2 kgf-m or 66.9 ft.lbs) @ 4500 RPM,4,,5-speed,,Dual disc,Single disc,212.0 kg (467.4 pounds),0.4717 HP/kg,"835 mm (32.9 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa 593 Enduro City 250,1996,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,250.0 ccm (15.26 cubic inches),"Single cylinder, two-stroke",27.8 HP (20.3  kW)) @ 7000 RPM,,,,5-speed,Chain   (final drive),Single disc,Single disc,132.0 kg (291.0 pounds),0.2106 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda XRV 750 Africa Twin,1996,Enduro / offroad," 3.1  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",742.0 ccm (45.28 cubic inches),"V2, four-stroke",60.0 HP (43.8  kW)) @ 7500 RPM,61.8 Nm (6.3 kgf-m or 45.6 ft.lbs) @ 6000 RPM,3,,5-speed,Chain   (final drive),Dual disc,Single disc,206.0 kg (454.2 pounds),0.2913 HP/kg,"860 mm (33.9 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki DR 350 SE,1996,Enduro / offroad," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",349.0 ccm (21.30 cubic inches),"Single cylinder, four-stroke",30.1 HP (22.0  kW)) @ 7600 RPM,67.0 Nm (6.8 kgf-m or 49.4 ft.lbs) @ 6200 RPM,4,Air,6-speed,Chain   (final drive),Single disc. Two-piston calipers. ,Single disc. Single-piston caliper. ,130.0 kg (286.6 pounds),0.2315 HP/kg,"890 mm (35.0 inches) If adjustable, lowest setting.",Electric,,146.0 km/h (90.7 mph),9.5:1,79.0 x 71.2 mm (3.1 x 2.8 inches),Carburettor. Mikuni BST33,Single Overhead Cams (SOHC),Digital CDI,Dry sump,5.50 litres/100 km (18.2 km/l or 42.77 mpg),127.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,"Diamond, steel","Telescopic, cartridge-type, 13-way adjustable compression damping and 17-way adjustable rebound damping",280 mm (11.0 inches),"Link-type, fully adjustable spring preload, compression and rebound damping",254 mm (10.0 inches),80/100-21 ,110/90-18 ,220 mm (8.7 inches),1245 mm (49.0 inches),2235 mm (88.0 inches),885 mm (34.8 inches),1450 mm (57.1 inches),9.00 litres (2.38 US gallons),0.60 litres (0.63 US quarts),White,Street legal.,Suzuki ECSTAR 10w40,K&N KN-136,520,110,15/44 (front/rear),,,,,,,,,,,,,,,,,,,,,,
Suzuki GN 250,1996,Naked bike," 3.4  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",20.6 HP (15.0  kW)) @ 8000 RPM,19.0 Nm (1.9 kgf-m or 14.0 ft.lbs) @ 5500 RPM,4,Air,5-speed,Chain   (final drive),Single disc,Expanding brake,129.0 kg (284.4 pounds),0.1597 HP/kg,"740 mm (29.1 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha V-Max 1200,1996,Custom / cruiser," 3.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1198.0 ccm (73.10 cubic inches),"V4, four-stroke",140.0 HP (102.2  kW)) @ 7500 RPM,118.0 Nm (12.0 kgf-m or 87.0 ft.lbs) @ 7500 RPM,4,Liquid,5-speed,Shaft drive (cardan)   (final drive),Dual disc,Single disc,262.0 kg (577.6 pounds),0.5344 HP/kg,"765 mm (30.1 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,1590 mm (62.6 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husaberg FE 600 Elduro,1996,Enduro / offroad," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",595.0 ccm (36.31 cubic inches),"Single cylinder, four-stroke",60.0 HP (43.8  kW)),,4,Liquid,6-speed,Chain   (final drive),Single disc,Single disc,117.0 kg (257.9 pounds),0.5128 HP/kg,"950 mm (37.4 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki VN 400 Classic,1996,Custom / cruiser," 3.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",399.0 ccm (24.35 cubic inches),"V2, four-stroke",33.0 HP (24.1  kW)) @ 8500 RPM,32.0 Nm (3.3 kgf-m or 23.6 ft.lbs) @ 4500 RPM,2,Liquid,5-speed,Chain   (final drive),Single disc. 2-piston calipers,Expanding brake (drum brake),233.0 kg (513.7 pounds),0.1416 HP/kg,"700 mm (27.6 inches) If adjustable, lowest setting.",Electric,,140.0 km/h (87.0 mph),9.8:1,62.0 x 66.2 mm (2.4 x 2.6 inches),Carburettor. Keihin CVK 32 (with accelerating pump),Single Overhead Cams (SOHC),CDA,Wet sump,6.00 litres/100 km (16.7 km/l or 39.20 mpg),139.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,Double Cradle,Telescopic fork,,Swing arm - Monoshock,,130/90-16 ,140/90-16 ,180 mm (7.1 inches),1130 mm (44.5 inches),2370 mm (93.3 inches),930 mm (36.6 inches),1605 mm (63.2 inches),15.00 litres (3.96 US gallons),2.70 litres (2.85 US quarts),,"Made for Japanese market, due to limitation to 400. There was never sold outside Japan. Looks identical to the Kawasaki VN 800 Classic.",,,,,,Wet plates,Double pipes,135 mm (5.3 inches),4.00 litres (1.06 US gallons),Looks identical to the Kawasaki VN 800 Classic.,,,,,,,,,,,,,,,,,
Kawasaki Zephyr 1100,1996,Naked bike," 3.6  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1062.0 ccm (64.80 cubic inches),"In-line four, four-stroke",91.0 HP (66.4  kW)),,4,,6-speed,Chain   (final drive),Dual disc,Single disc,242.0 kg (533.5 pounds),0.3760 HP/kg,"795 mm (31.3 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MuZ Saxon Country 500,1996,Allround," 3.1  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",494.0 ccm (30.14 cubic inches),"Single cylinder, four-stroke",34.0 HP (24.8  kW)),35.0 Nm (3.6 kgf-m or 25.8 ft.lbs) @ 6500 RPM,4,Air,5-speed,Chain   (final drive),Single disc,Expanding brake,149.0 kg (328.5 pounds),0.2282 HP/kg,"820 mm (32.3 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XTZ 660 Ténéré,1996,Enduro / offroad," 3.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",659.0 ccm (40.21 cubic inches),"Single cylinder, four-stroke",48.0 HP (35.0  kW)) @ 6250 RPM,57.0 Nm (5.8 kgf-m or 42.0 ft.lbs) @ 5250 RPM,5,,5-speed,Chain   (final drive),Single disc,Single disc,171.0 kg (377.0 pounds),0.2807 HP/kg,"865 mm (34.1 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MuZ Kobra 850,1996,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,849.0 ccm (51.81 cubic inches),"Twin, four-stroke",92.0 HP (67.2  kW)) @ 7500 RPM,79.0 Nm (8.1 kgf-m or 58.3 ft.lbs) @ 6000 RPM,5,Liquid,5-speed,,Dual disc,Single disc,200.0 kg (440.9 pounds),0.4600 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa 330 Style,1996,Naked bike," 3.4  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",326.0 ccm (19.89 cubic inches),"Twin, two-stroke",22.9 HP (16.7  kW)) @ 5500 RPM,38.2 Nm (3.9 kgf-m or 28.2 ft.lbs) @ 4500 RPM,,Air,4-speed,Chain   (final drive),Single disc,Expanding brake,142.0 kg (313.1 pounds),0.1613 HP/kg,"750 mm (29.5 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XT 600 E,1996,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",595.0 ccm (36.31 cubic inches),"Single cylinder, four-stroke",45.0 HP (32.8  kW)) @ 6500 RPM,48.0 Nm (4.9 kgf-m or 35.4 ft.lbs) @ 5250 RPM,4,Air,5-speed,Chain   (final drive),Single disc,Single disc,156.0 kg (343.9 pounds),0.2885 HP/kg,"855 mm (33.7 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 748 SP,1996,Sport," 3.5  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"V2, four-stroke",,,4,Liquid,6-speed,Chain   (final drive),Dual disc,Single disc,,,"790 mm (31.1 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki GTR 1000,1996,Touring," 4.0  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",997.0 ccm (60.84 cubic inches),"In-line four, four-stroke",93.0 HP (67.9  kW)) @ 9000 RPM,66.7 Nm (6.8 kgf-m or 49.2 ft.lbs) @ 6500 RPM,4,,6-speed,,Dual disc,Single disc,270.0 kg (595.2 pounds),0.3444 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bimota Supermono,1996,Sport," 3.0  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",652.0 ccm (39.79 cubic inches),"Single cylinder, four-stroke",48.0 HP (35.0  kW)) @ 6500 RPM,57.9 Nm (5.9 kgf-m or 42.7 ft.lbs) @ 6000 RPM,4,,5-speed,Chain   (final drive),Single disc,Single disc,145.0 kg (319.7 pounds),0.3310 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi Daytona 1000,1996,Sport," 2.8  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",992.0 ccm (60.53 cubic inches),"V2, four-stroke",95.0 HP (69.3  kW)) @ 8000 RPM,98.0 Nm (10.0 kgf-m or 72.3 ft.lbs) @ 6000 RPM,4,Air,5-speed,,Dual disc,Single disc,205.0 kg (451.9 pounds),0.4634 HP/kg,"785 mm (30.9 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Tiger 900,1996,Enduro / offroad," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",885.0 ccm (54.00 cubic inches),"In-line three, four-stroke",85.0 HP (62.0  kW)) @ 8000 RPM,82.0 Nm (8.4 kgf-m or 60.5 ft.lbs) @ 6000 RPM,4,Liquid,6-speed,,Dual disc,Single disc,209.0 kg (460.8 pounds),0.4067 HP/kg,"850 mm (33.5 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husqvarna TE 610 Enduro,1996,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",577.0 ccm (35.21 cubic inches),"Single cylinder, four-stroke",55.0 HP (40.1  kW)),,4,,6-speed,Chain   (final drive),Single disc,Single disc,117.0 kg (257.9 pounds),0.4701 HP/kg,"885 mm (34.8 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Heritage Softail Classic,1996,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1338.0 ccm (81.64 cubic inches),"V2, four-stroke",57.0 HP (41.6  kW)) @ 5000 RPM,97.0 Nm (9.9 kgf-m or 71.5 ft.lbs) @ 2350 RPM,2,Air,5-speed,Belt   (final drive),Dual disc,Single disc,287.0 kg (632.7 pounds),0.1986 HP/kg,"705 mm (27.8 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Dyna Low Rider,1996,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1338.0 ccm (81.64 cubic inches),"V2, four-stroke",57.0 HP (41.6  kW)) @ 5000 RPM,97.0 Nm (9.9 kgf-m or 71.5 ft.lbs) @ 2350 RPM,2,Air,5-speed,Belt   (final drive),Dual disc,Single disc,272.0 kg (599.7 pounds),0.2096 HP/kg,"754 mm (29.7 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Dyna Wide Glide,1996,Custom / cruiser," 3.9  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1338.0 ccm (81.64 cubic inches),"V2, four-stroke",57.0 HP (41.6  kW)) @ 5000 RPM,97.0 Nm (9.9 kgf-m or 71.5 ft.lbs) @ 2350 RPM,2,Air,5-speed,Belt   (final drive),Single disc. Four-piston calipers. ,Single disc. Four-piston calipers. ,271.0 kg (597.5 pounds),0.2103 HP/kg,"754 mm (29.7 inches) If adjustable, lowest setting.",Electric,295.0 kg (650.4 pounds),,8.5:1,88.8 x 108.0 mm (3.5 x 4.3 inches),"Carburettor. Keihin, 38mm",Overhead Valves (OHV),"Single-fire, non-wasted, map-controlled spark ignition",Dry sump,,,"Steel, tubular, rectangular section backbone",Telescopic fors,,Coil-over shock,,80/90-21 ,130/90-16 ,292 mm (11.5 inches),,,,,19.00 litres (5.02 US gallons),2.80 litres (2.96 US quarts),"Black, red, blue",,SAE 20W-50,K & N  KN-173C,,,, Wet 9-plate,,,,,DOT 5 Silicone,GYZ20HL,NGK BPR5ES-11,1000  RPM,133,1 1/2 in,32/70 (front/rear),41 mm (1.6 inches),,,,,,,,,
Triumph Trident 900,1996,Naked bike," 3.7  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",885.0 ccm (54.00 cubic inches),"In-line three, four-stroke",98.0 HP (71.5  kW)) @ 9000 RPM,83.0 Nm (8.5 kgf-m or 61.2 ft.lbs) @ 6500 RPM,4,Liquid,6-speed,,Dual disc,Single disc,212.0 kg (467.4 pounds),0.4623 HP/kg,"775 mm (30.5 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enfield 350 Bullet,1996,Classic," 3.2  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",346.0 ccm (21.11 cubic inches),"Single cylinder, four-stroke",18.0 HP (13.1  kW)) @ 5625 RPM,,2,Air,4-speed,Chain   (final drive),Expanding brake,Expanding brake,163.0 kg (359.4 pounds),0.1104 HP/kg,"850 mm (33.5 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cagiva E 750 Elefant,1996,Enduro / offroad," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"V2, four-stroke",60.0 HP (43.8  kW)) @ 6500 RPM,60.0 Nm (6.1 kgf-m or 44.3 ft.lbs) @ 5500 RPM,2,,5-speed,Chain   (final drive),Single disc,Single disc,185.0 kg (407.9 pounds),0.3243 HP/kg,"835 mm (32.9 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Bad Boy,1996,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1338.0 ccm (81.64 cubic inches),"V2, four-stroke",57.0 HP (41.6  kW)) @ 5000 RPM,97.0 Nm (9.9 kgf-m or 71.5 ft.lbs) @ 2350 RPM,2,Air,5-speed,Belt   (final drive),Single disc,Single disc,279.0 kg (615.1 pounds),0.2043 HP/kg,"695 mm (27.4 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki ZL 600 Eliminator,1996,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",592.0 ccm (36.12 cubic inches),"In-line four, four-stroke",61.0 HP (44.5  kW)) @ 10500 RPM,45.1 Nm (4.6 kgf-m or 33.3 ft.lbs) @ 7800 RPM,4,Liquid,6-speed,,Single disc,Expanding brake,200.0 kg (440.9 pounds),0.3050 HP/kg,"715 mm (28.1 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
