Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Bore x stroke,Fuel system,Fuel control,Cooling system,Transmission type,Front brakes,Rear brakes,Wheels,Seat,Gearbox,Clutch,Light,Compression,Front tire,Rear tire,Dry weight,Front suspension,Rear suspension,Color options,Starter,Comments,Engine details,Lubrication system,Wheelbase,Fuel capacity,Fuel consumption,Greenhouse gases,Ignition,Frame type,Diameter,"Weight incl. oil, gas, etc",Overall height,Overall length,Overall width,Carrying capacity,Power/weight ratio,Seat height,Oil capacity,Exhaust system,Modifications compared to previous model
DKW E 200,1930,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,199.0 ccm (12.14 cubic inches),"Single cylinder, two-stroke",,65.0 km/h (40.4 mph),63.0 x 64.0 mm (2.5 x 2.5 inches),Carburettor,,Air,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single ,,,,,2.5-26 ,2.5-26 ,83.0 kg (183.0 pounds),,,,,,,,,,,,,,,,,,,,,,,,
NSU 501 TS,1930,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,494.0 ccm (30.14 cubic inches),"Single cylinder, four-stroke",11.0 HP (8.0  kW)) @ 4000 RPM,100.0 km/h (62.1 mph),80.0 x 99.0 mm (3.1 x 3.9 inches),Carburettor. Amac,,Air,Chain   (final drive),Expanding brake (drum brake),Expanding brake (drum brake),,,3-speed,,,,3.50-26 ,4-27 ,185.0 kg (407.9 pounds),,,,Kick,,,,1390 mm (54.7 inches),13.00 litres (3.43 US gallons),,,Magneto Bosch,Double steel,,,1040 mm (40.9 inches),2100 mm (82.7 inches),830 mm (32.7 inches),,0.0595 HP/kg,,2.00 litres (2.11 US quarts),,
Indian 402,1930,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1265.0 ccm (77.19 cubic inches),"In-line four, four-stroke",,153.0 km/h (95.1 mph),,Carburettor,,,Chain   (final drive),Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single spring-mounted,,,,,,,,Trailing link,Rigid,,,,,,,,,,,Twin downtube,,,,,,,,,,,
DKW Schüttoff JS 500,1930,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.0 ccm (30.39 cubic inches),"Single cylinder, four-stroke",,68.0 km/h (42.3 mph),80.0 x 99.0 mm (3.1 x 3.9 inches),Carburettor,Sidevalves,Air,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Two single seats,,,,,3.5-26 ,3.5-26 ,150.0 kg (330.7 pounds),Telescopic,Rigid,,,,,,,,,,,Pressed steel ,,,,,,,,,,,
NSU 201TS,1930,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,199.2 ccm (12.16 cubic inches),"Single cylinder, four-stroke",4.5 HP (3.3  kW)) @ 4000 RPM,65.0 km/h (40.4 mph),56.5 x 80.0 mm (2.2 x 3.1 inches),Carburettor. Amac PJ 30,,Air,Chain   (final drive),Expanding brake (drum brake),Expanding brake (drum brake),,Single spring-mounted,3-speed,,,,3-26 ,3-26 ,100.0 kg (220.5 pounds),,,,Kick,,,,1345 mm (53.0 inches),8.50 litres (2.25 US gallons),3.00 litres/100 km (33.3 km/l or 78.41 mpg),69.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,Magneto Bosch,,,,920 mm (36.2 inches),2080 mm (81.9 inches),820 mm (32.3 inches),,0.0450 HP/kg,"740 mm (29.1 inches) If adjustable, lowest setting.",,,
Indian 101 Scout,1930,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,750.0 ccm (45.77 cubic inches),"V2, four-stroke",,,,Carburettor,Sidevalves,,Chain   (final drive),,,,Solo seat with springs,3-speed,,,,,,,,,,,,,,,,,,,,,167.8 kg (370.0 pounds),,,,,,"667 mm (26.3 inches) If adjustable, lowest setting.",,,
NSU 201T,1930,Sport," 2.8  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",199.2 ccm (12.16 cubic inches),"Single cylinder, four-stroke",4.5 HP (3.3  kW)) @ 4000 RPM,65.0 km/h (40.4 mph),56.5 x 80.0 mm (2.2 x 3.1 inches),Carburettor,,Air,Chain   (final drive),Expanding brake (drum brake),Expanding brake (drum brake),,Single spring-mounted,3-speed,,,,3-26 ,3-26 ,100.0 kg (220.5 pounds),,,,Kick,,,,1345 mm (53.0 inches),8.50 litres (2.25 US gallons),,,Magneto,,,,,,,,0.0450 HP/kg,,,,
Harley-Davidson Model C,1930,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,742.6 ccm (45.31 cubic inches),"Twin, four-stroke",,,69.9 x 96.9 mm (2.8 x 3.8 inches),,,,Chain   (final drive),Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single spring-mounted,,,,,3.00-26 ,3.00-26 ,167.0 kg (368.2 pounds),,,,,,,,,,,,,,,,,,,,,,,,
BMW R 16 series 1,1930,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,736.0 ccm (44.91 cubic inches),"Twin, four-stroke",25.0 HP (18.2  kW)) @ 4000 RPM,120.0 km/h (74.6 mph),83.0 x 68.0 mm (3.3 x 2.7 inches),Carburettor. BMW triple 26mm,Overhead Valves (OHV),,,Expanding brake (drum brake),,Spoked,Spring-mounted seat,,Doble plate-dry,,6.5:1,26-3.5 ,26-3.5 ,,Plate spring,Rigid-,,,,,Forced feed,1380 mm (54.3 inches),14.00 litres (3.70 US gallons),5.00 litres/100 km (20.0 km/l or 47.04 mpg),116.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,Magneto,Pressed steel,200 mm (7.9 inches),165.0 kg (363.8 pounds),950 mm (37.4 inches),2100 mm (82.7 inches),890 mm (35.0 inches),210,,,,,The frame was changed to a pressed steel type- inspired by Ernst Neumann Neander
Harley-Davidson Model BA,1930,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,344.2 ccm (21.00 cubic inches),"Single cylinder, four-stroke",,,,Carburettor. Schebler,Sidevalves,,Chain   (final drive),,,,Spring-mounted seat,,,Headlights electric,,,,,Leading link -coil springs,Rigid-,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Model S,1930,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,345.0 ccm (21.05 cubic inches),"Single cylinder, two-stroke",,137.0 km/h (85.1 mph),,Carburettor,Overhead Valves (OHV),,Chain   (final drive),,,Spoked,Single ,,,,,2.5-28 ,2.5-28 ,,,,,,,,,,,,,,,,,,,,,,,,No pipes,
BMW R11 Series 1,1930,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,745.0 ccm (45.46 cubic inches),"Two cylinder boxer, four-stroke",18.0 HP (13.1  kW)) @ 3400 RPM,95.0 km/h (59.0 mph),78.0 x 78.0 mm (3.1 x 3.1 inches),Carburettor. BMW single 24mm,Sidevalves,Air,Shaft drive (cardan)   (final drive),Expanding brake (drum brake),,,Spring-mounted seat,3-speed,Two plates-dry,,5.5:1,3.25-26.00 ,3.25-26.00 ,,Plate springe,Rigid,,Kick,,,Forced feed,1380 mm (54.3 inches),14.00 litres (3.70 US gallons),4.50 litres/100 km (22.2 km/l or 52.27 mpg),104.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,Magneto,Steel-double cradlel,55 mm (2.2 inches),162.0 kg (357.1 pounds),940 mm (37.0 inches),2100 mm (82.7 inches),890 mm (35.0 inches),210kg,,,,,
