Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Compression,Bore x stroke,Valves per cylinder,Fuel control,Cooling system,Gearbox,Transmission type,Front tire,Rear tire,Front brakes,Rear brakes,"Weight incl. oil, gas, etc",Fuel capacity,Comments,Max RPM,Fuel system,Ignition,Lubrication system,Clutch,Fuel consumption,Greenhouse gases,Exhaust system,Frame type,Front suspension,Rear suspension,Diameter,Dry weight,Power/weight ratio,Overall height,Overall length,Overall width,Ground clearance,Wheelbase,Reserve fuel capacity,Color options,Starter,Seat height,Torque,0-100 km/h (0-62 mph),1/4 mile (0.4 km),"60-140 km/h (37-87 mph), highest gear",Rake (fork angle),Trail,Front wheel travel,Rear wheel travel,Front percentage of weight,Rear percentage of weight,Alternate seat height,Engine details,Wheels,Oil capacity,Electrical,Modifications compared to previous model,Seat,Instruments,Light,Engine oil,Brake fluid,Spark plugs,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Driveline,Chain size
BMW R 75-6,1974,Touring," 3.3  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",745.0 ccm (45.46 cubic inches),"Two cylinder boxer, four-stroke",50.0 HP (36.5  kW)) @ 6200 RPM,181.0 km/h (112.5 mph),9.0:1,82.0 x 70.6 mm (3.2 x 2.8 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),3.25-19 ,4.00-18 ,Single disc,Expanding brake,227.0 kg (500.4 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 860 GT,1974,Sport," 3.5  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",864.0 ccm (52.72 cubic inches),"V2, four-stroke",65.0 HP (47.4  kW)) @ 7000 RPM,180.0 km/h (111.8 mph),9.5:1,86.0 x 74.4 mm (3.4 x 2.9 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.50-18 ,4.00-18 ,Single disc,Expanding brake,235.0 kg (518.1 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rockford Tora,1974,Enduro / offroad," 3.0  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",58.0 ccm (3.54 cubic inches),"Single cylinder, two-stroke",5.8 HP (4.2  kW)) @ 8500 RPM,80.5 km/h (50.0 mph),7.1:1,,4,Rotary valves,Air,4-speed,Shaft drive (cardan)   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),,4.10 litres (1.08 US gallons),"The Rockford Motors Tora series was offered in two models. The Standard and the Deluxe which was the street legal version; the above bike is standard. This bike was manufactured only from 1971-1974. The yearn on this bike above is unspecified. This bike is absolutely rare and hard to find.

",,Carburettor. Y16PT-16mm,A.C. Magneto,Gas/Oil mixture,,,,Single muffler with tail pipe,,Teloscopic forks,"Dual spring, non adjustable",,62.6 kg (138.0 pounds),0.0927 HP/kg,991 mm (39.0 inches),1727 mm (68.0 inches),787 mm (31.0 inches),229 mm (9.0 inches),1143 mm (45.0 inches),,Black/yellow,Kick,"749 mm (29.5 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha DT 250,1974,Enduro / offroad," 3.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",246.0 ccm (15.01 cubic inches),"Single cylinder, two-stroke",20.0 HP (14.6  kW)) @ 6500 RPM,137.0 km/h (85.1 mph),6.8:1,70.0 x 64.0 mm (2.8 x 2.5 inches),,Membrane,Air,5-speed,Chain   (final drive),3.00-21 ,4.00-18 ,Expanding brake,Expanding brake,129.0 kg (284.4 pounds),9.00 litres (2.38 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki 100 G 7 T,1974,Enduro / offroad," 2.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",100.0 ccm (6.10 cubic inches),"Single cylinder, two-stroke",11.5 HP (8.4  kW)) @ 8000 RPM,115.0 km/h (71.5 mph),7.0:1,49.5 x 51.8 mm (1.9 x 2.0 inches),,Rotary valves,Air,5-speed,Chain   (final drive),2.50-18 ,2.75-18 ,Expanding brake,Expanding brake,96.0 kg (211.6 pounds),10.00 litres (2.64 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha RD 250 (5-speed),1974,Naked bike," 2.6  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",247.0 ccm (15.07 cubic inches),"Twin, two-stroke",30.0 HP (21.9  kW)) @ 7500 RPM,155.0 km/h (96.3 mph),6.7:1,54.0 x 54.0 mm (2.1 x 2.1 inches),,Membrane,Air,5-speed,Chain   (final drive),3.00-18 ,3.50-18 ,Single disc,Expanding brake,162.0 kg (357.1 pounds),16.00 litres (4.23 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laverda 1000,1974,Sport touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",980.0 ccm (59.80 cubic inches),"In-line three, four-stroke",78.0 HP (56.9  kW)) @ 7750 RPM,209.0 km/h (129.9 mph),9.0:1,75.0 x 74.0 mm (3.0 x 2.9 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),3.50-18 ,4.00-18 ,Dual disc,Expanding brake,243.0 kg (535.7 pounds),17.50 litres (4.62 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha DT 360,1974,Enduro / offroad," 3.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",352.0 ccm (21.48 cubic inches),"Single cylinder, two-stroke",32.0 HP (23.4  kW)) @ 6000 RPM,133.0 km/h (82.6 mph),6.3:1,80.0 x 70.0 mm (3.1 x 2.8 inches),,Membrane,Air,5-speed,Chain   (final drive),3.00-21 ,4.00-18 ,Expanding brake,Expanding brake,134.0 kg (295.4 pounds),9.00 litres (2.38 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa 250,1974,Touring," 2.9  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",246.0 ccm (15.01 cubic inches),"Twin, two-stroke",17.0 HP (12.4  kW)) @ 5250 RPM,125.0 km/h (77.7 mph),9.3:1,52.0 x 58.0 mm (2.0 x 2.3 inches),,Port control,Air,4-speed,Chain   (final drive),3.00-18 ,3.25-18 ,Expanding brake,Expanding brake,151.0 kg (332.9 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZ 476,1974,Touring,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian ME 100,1974,Enduro / offroad," 3.0  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",97.0 ccm (5.92 cubic inches),"Single cylinder, two-stroke",8.0 HP (5.8  kW)) @ 7500 RPM,88.5 km/h (55.0 mph),7.0:1,53.0 x 44.0 mm (2.1 x 1.7 inches),,Port control,Air,5-speed,Chain   (final drive),3.00-19 ,4.00-17 ,Expanding brake (drum brake),Expanding brake (drum brake),86.2 kg (190.0 pounds),6.05 litres (1.60 US gallons),,8000,Carburettor. Mikuni VM 22,,Wet sump,Wet multi-plate,4.70 litres/100 km (21.3 km/l or 50.05 mpg),109.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,Single exhaust,Steel tube,Telescopic fork,Hydraulic dual shocks,127 mm (5.0 inches),79.4 kg (175.0 pounds),0.1008 HP/kg,610 mm (24.0 inches),2057 mm (81.0 inches),,216 mm (8.5 inches),1270 mm (50.0 inches),0.75 litres (0.20 US gallons),"Metallic green, silver, white, yellow, black, metallic orange, metallic gold, metallic brown, metallic blue, metallic red, orange",Kick,"762 mm (30.0 inches) If adjustable, lowest setting.",5.0 Nm (0.5 kgf-m or 3.7 ft.lbs) @ 6000 RPM,12.00 seconds,20.00 seconds,20.00 seconds,20.0°,37 mm (1.5 inches),152 mm (6.0 inches),76 mm (3.0 inches),40.0,60.0,"762 mm (30.0 inches) If adjustable, highest setting.",,,,,,,,,,,,,,,,,
Yamaha DT 175,1974,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",171.0 ccm (10.43 cubic inches),"Single cylinder, two-stroke",14.0 HP (10.2  kW)) @ 6340 RPM,121.0 km/h (75.2 mph),6.8:1,66.0 x 50.0 mm (2.6 x 2.0 inches),,Membrane,Air,5-speed,Chain   (final drive),2.75-21 ,3.50-18 ,Expanding brake,Expanding brake,107.0 kg (235.9 pounds),7.00 litres (1.85 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gilera 150 Strada,1974,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,152.0 ccm (9.28 cubic inches),"Single cylinder, four-stroke",14.0 HP (10.2  kW)) @ 8500 RPM,115.0 km/h (71.5 mph),10.0:1,59.9 x 54.0 mm (2.4 x 2.1 inches),2,Overhead Valves (OHV),Air,5-speed,Chain   (final drive),2.75-18 ,3.00-18 ,Expanding brake,Expanding brake,123.0 kg (271.2 pounds),11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha RD 250 (6-speed),1974,Classic," 3.5  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",247.0 ccm (15.07 cubic inches),"Twin, two-stroke",30.0 HP (21.9  kW)) @ 7500 RPM,155.0 km/h (96.3 mph),6.7:1,54.0 x 54.0 mm (2.1 x 2.1 inches),,Membrane,Air,6-speed,Chain   (final drive),3.00-18 ,3.50-18 ,Single disc,Expanding brake,162.0 kg (357.1 pounds),16.00 litres (4.23 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 250 Mark 3 D,1974,Sport touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",248.0 ccm (15.13 cubic inches),"Single cylinder, four-stroke",20.0 HP (14.6  kW)) @ 8000 RPM,135.0 km/h (83.9 mph),9.7:1,74.0 x 57.8 mm (2.9 x 2.3 inches),2,Desmodromic valve control,Air,5-speed,Chain   (final drive),3.25-18 ,3.50-18 ,Single disc,Expanding brake,136.0 kg (299.8 pounds),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 350 disc,1974,Naked bike," 2.9  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",325.0 ccm (19.83 cubic inches),"Twin, four-stroke",36.0 HP (26.3  kW)) @ 10500 RPM,165.0 km/h (102.5 mph),9.5:1,64.0 x 50.6 mm (2.5 x 2.0 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-18 ,3.50-18 ,Single disc,Expanding brake,170.0 kg (374.8 pounds),10.00 litres (2.64 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa-CZ 125,1974,Classic," 2.7  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",11.0 HP (8.0  kW)) @ 5750 RPM,100.0 km/h (62.1 mph),8.6:1,52.0 x 58.0 mm (2.0 x 2.3 inches),,Port control,Air,4-speed,Chain   (final drive),2.75-18 ,3.25-18 ,Expanding brake,Expanding brake,120.0 kg (264.6 pounds),11.50 litres (3.04 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ural M 66 (with sidecar),1974,Classic," 3.7  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",650.0 ccm (39.66 cubic inches),"Two cylinder boxer, four-stroke",32.0 HP (23.4  kW)) @ 4500 RPM,105.0 km/h (65.2 mph),7.0:1,78.0 x 68.0 mm (3.1 x 2.7 inches),2,Overhead Valves (OHV),Air,4-speed,Shaft drive (cardan)   (final drive),3.75-19 ,3.75-19 ,Expanding brake,Expanding brake,335.0 kg (738.5 pounds),21.00 litres (5.55 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norton MK2A 850 Commando Roadster,1974,Sport," 3.2  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",828.0 ccm (50.52 cubic inches),"Twin, four-stroke",60.0 HP (43.8  kW)) @ 6250 RPM,189.9 km/h (118.0 mph),8.5:1,77.0 x 89.0 mm (3.0 x 3.5 inches),2,Overhead Valves (OHV),Air,4-speed,Chain   (final drive),,,Single disc,Expanding brake (drum brake),199.6 kg (440.0 pounds),11.36 litres (3.00 US gallons),English bike. Last of the kick start Commandos. Shifts on the right side. 1 up 3 down,7500,Carburettor. Twin Amals,points,Dry sump,Wet multiplate,5.11 litres/100 km (19.6 km/l or 46.03 mpg),118.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,Double chrome pipes,"Double cradle, large back bone steel, with Isolastic vibration system",Telescopic,Twin shocks,,188.2 kg (415.0 pounds),0.3187 HP/kg,,2235 mm (88.0 inches),,152 mm (6.0 inches),1440 mm (56.7 inches),3.79 litres (1.00 US gallons),"Blue, Red, Black",Kick,"787 mm (31.0 inches) If adjustable, lowest setting.",,,13.00 seconds,,,,152 mm (6.0 inches),76 mm (3.0 inches),,,,Same engine as the Interstate,Spoke,3.00 litres (3.17 US quarts),12v dc,Not much change from the 73 model.  The air boxes are more restricted with the mk2A.,,,,,,,,,,,,
Harley-Davidson FX 1200,1974,Sport touring," 3.2  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1206.0 ccm (73.59 cubic inches),"V2, four-stroke",58.0 HP (42.3  kW)) @ 5150 RPM,180.0 km/h (111.8 mph),8.0:1,87.3 x 100.8 mm (3.4 x 4.0 inches),2,Overhead Valves (OHV),Air,4-speed,Chain   (final drive),3.75-19 ,5.10-16 ,Single disc,Single disc,265.0 kg (584.2 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 500 F,1974,Classic," 3.9  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",498.0 ccm (30.39 cubic inches),"In-line four, four-stroke",48.0 HP (35.0  kW)) @ 9000 RPM,179.0 km/h (111.2 mph),9.0:1,56.0 x 50.6 mm (2.2 x 2.0 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.25-19 ,3.50-18 ,Single disc,Expanding brake,202.0 kg (445.3 pounds),14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laverda 750 SF 2,1974,Sport," 3.3  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",743.9 ccm (45.39 cubic inches),"Twin, four-stroke",65.0 HP (47.4  kW)) @ 7000 RPM,,9.7:1,80.0 x 74.0 mm (3.1 x 2.9 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),,,Double disc,Expanding brake (drum brake),,,,7500,Carburettor. dellorto,points,wet sump,wet plate,,,dual chrome exhaust,steel,,,,215.0 kg (474.0 pounds),0.3023 HP/kg,,,,190 mm (7.5 inches),1452 mm (57.2 inches),,,,"790 mm (31.1 inches) If adjustable, lowest setting.",,,,,28.0°,82 mm (3.2 inches),,,,,,,,,,,,,,,,,,,,,,
Dnepr MB 650 M,1974,Classic," 3.1  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",649.0 ccm (39.60 cubic inches),"Two cylinder boxer, four-stroke",32.0 HP (23.4  kW)) @ 5600 RPM,,,78.0 x 68.0 mm (3.1 x 2.7 inches),,,,,Shaft drive (cardan)   (final drive),,,Expanding brake,Expanding brake,,,Military 2 wheel drive motorcycle.,,,,,,,,,,,,,210.0 kg (463.0 pounds),0.1524 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki 250 F 11,1974,Enduro / offroad," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",247.0 ccm (15.07 cubic inches),"Single cylinder, two-stroke",23.5 HP (17.2  kW)) @ 6000 RPM,125.0 km/h (77.7 mph),7.0:1,68.0 x 68.0 mm (2.7 x 2.7 inches),,Port control,Air,5-speed,Chain   (final drive),3.00-21 ,4.00-18 ,Expanding brake,Expanding brake,127.0 kg (280.0 pounds),9.50 litres (2.51 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki 125 KS,1974,Enduro / offroad," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",13.0 HP (9.5  kW)) @ 6500 RPM,110.0 km/h (68.4 mph),7.0:1,56.0 x 50.6 mm (2.2 x 2.0 inches),,Rotary valves,Air,6-speed,Chain   (final drive),2.75-21 ,3.00-18 ,Expanding brake,Expanding brake,97.0 kg (213.8 pounds),7.50 litres (1.98 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 350 Mark 3 D,1974,Classic," 3.7  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",340.0 ccm (20.75 cubic inches),"Single cylinder, four-stroke",26.0 HP (19.0  kW)) @ 8000 RPM,145.0 km/h (90.1 mph),9.5:1,76.0 x 75.0 mm (3.0 x 3.0 inches),2,Desmodromic valve control,Air,5-speed,Chain   (final drive),3.25-18 ,3.50-18 ,Single disc,Expanding brake,137.0 kg (302.0 pounds),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MV Agusta 350 S,1974,Sport," 3.1  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",349.0 ccm (21.30 cubic inches),"Twin, four-stroke",33.0 HP (24.1  kW)) @ 7900 RPM,160.0 km/h (99.4 mph),9.5:1,63.0 x 56.0 mm (2.5 x 2.2 inches),2,Overhead Valves (OHV),Air,5-speed,Chain   (final drive),2.75-18 ,3.25-18 ,Expanding brake,Expanding brake,143.0 kg (315.3 pounds),16.00 litres (4.23 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aermacchi SS 350,1974,Touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",349.0 ccm (21.30 cubic inches),"Single cylinder, four-stroke",,,,,2,,Air,5-speed,Chain   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),,,,,Carburettor. DellOrto,points,,dry plate,,,1 in 2,,,,,,,,,,,,,,Electric & kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 125 SS,1974,Classic," 3.9  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Twin, four-stroke",15.0 HP (10.9  kW)) @ 10500 RPM,121.0 km/h (75.2 mph),9.4:1,44.0 x 41.0 mm (1.7 x 1.6 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),2.50-18 ,2.75-18 ,Expanding brake,Expanding brake,134.0 kg (295.4 pounds),10.00 litres (2.64 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
