Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Compression,Bore x stroke,Valves per cylinder,Fuel control,Cooling system,Gearbox,Transmission type,Front tire,Rear tire,Front brakes,Rear brakes,"Weight incl. oil, gas, etc",Fuel capacity,Torque,Fuel system,Ignition,Clutch,Trail,Front wheel travel,Rear suspension,Rear wheel travel,Dry weight,Power/weight ratio,Seat height,Ground clearance,Comments,Modifications compared to previous model,Exhaust system,Starter,Lubrication system,Fuel consumption,Greenhouse gases,Front suspension,Diameter,Oil capacity,Color options,Engine oil,Oil filter,Brake fluid,Spark plugs,Idle speed,Chain size,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,1/4 mile (0.4 km),Max RPM,0-100 km/h (0-62 mph),Frame type,Rake (fork angle),Overall height,Overall length,Overall width,Wheelbase
Moto Guzzi 1000 S,1990,Classic," 3.0  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",948.0 ccm (57.85 cubic inches),"V2, four-stroke",81.0 HP (59.1  kW)) @ 7400 RPM,207.0 km/h (128.6 mph),9.8:1,88.0 x 78.0 mm (3.5 x 3.1 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),100/90-18 ,120/90-18 ,Dual disc,Single disc,242.0 kg (533.5 pounds),22.50 litres (5.94 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XJ 900 F,1990,Touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",891.0 ccm (54.37 cubic inches),"In-line four, four-stroke",98.0 HP (71.5  kW)) @ 9000 RPM,221.0 km/h (137.3 mph),9.6:1,68.5 x 60.5 mm (2.7 x 2.4 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Shaft drive (cardan)   (final drive),100/90-18 ,120/90-18 ,Dual disc,Single disc,242.0 kg (533.5 pounds),22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 100 GS Paris-Dakar,1990,Allround," 3.5  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",979.0 ccm (59.74 cubic inches),"Two cylinder boxer, four-stroke",60.0 HP (43.8  kW)) @ 6500 RPM,162.0 km/h (100.7 mph),8.5:1,94.0 x 70.6 mm (3.7 x 2.8 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),90/90-21 ,130/80-17 ,Single disc,Expanding brake,250.0 kg (551.2 pounds),35.00 litres (9.25 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husaberg FC 501,1990,Cross / motocross," 2.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",502.0 ccm (30.63 cubic inches),"Single cylinder, four-stroke",55.0 HP (40.1  kW)) @ 8000 RPM,,,,4,,Liquid,6-speed,Chain   (final drive),,,Single disc,Single disc,,,,Carburettor,,,,,,,,,,,,,2 into 1 stainless,Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki 1000 GTR,1990,Sport touring," 3.3  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",997.0 ccm (60.84 cubic inches),"In-line four, four-stroke",92.0 HP (67.2  kW)) @ 9000 RPM,195.0 km/h (121.2 mph),10.2:1,74.0 x 58.0 mm (2.9 x 2.3 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Shaft drive (cardan)   (final drive),110/80-18 ,150/80-16 ,Dual disc,Single disc,307.0 kg (676.8 pounds),28.50 litres (7.53 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FXST 1340 Softail,1990,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1337.0 ccm (81.58 cubic inches),"V2, four-stroke",49.0 HP (35.8  kW)) @ 5000 RPM,,8.5:1,88.8 x 108.0 mm (3.5 x 4.3 inches),2,Overhead Valves (OHV),Air,5-speed,Belt   (final drive),MH 90-19 ,MT 90-16 ,Single disc,Single disc,290.0 kg (639.3 pounds),20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi Mille GT (reduced effect),1990,Touring," 3.3  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",948.0 ccm (57.85 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 6000 RPM,156.0 km/h (96.9 mph),9.2:1,88.0 x 78.0 mm (3.5 x 3.1 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),110/90-18 ,120/90-18 ,Dual disc,Single disc,246.0 kg (542.3 pounds),22.50 litres (5.94 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gilera Saturno 500,1990,Classic," 3.1  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",492.0 ccm (30.02 cubic inches),"Single cylinder, four-stroke",38.0 HP (27.7  kW)) @ 7000 RPM,176.0 km/h (109.4 mph),9.8:1,92.0 x 74.0 mm (3.6 x 2.9 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Chain   (final drive),110/70-17 ,140/70-17 ,Single disc,Single disc,167.0 kg (368.2 pounds),20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Z 550 GT (reduced effect),1990,Touring,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,553.0 ccm (33.74 cubic inches),"In-line four, four-stroke",27.0 HP (19.7  kW)) @ 7300 RPM,132.0 km/h (82.0 mph),9.5:1,58.0 x 52.4 mm (2.3 x 2.1 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Shaft drive (cardan)   (final drive),100/90-19 ,120/90-18 ,Dual disc,Expanding brake,221.0 kg (487.2 pounds),22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha TZR 250,1990,Sport," 3.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",250.0 ccm (15.26 cubic inches),"Twin, two-stroke",50.0 HP (36.5  kW)) @ 10000 RPM,190.0 km/h (118.1 mph),5.9:1,56.4 x 50.0 mm (2.2 x 2.0 inches),,Membrane & power valve,Liquid,6-speed,Chain   (final drive),100/80-17 ,120/80-17 ,Single disc,Single disc,150.0 kg (330.7 pounds),16.00 litres (4.23 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XT 600 E,1990,Enduro / offroad," 3.0  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",595.0 ccm (36.31 cubic inches),"Single cylinder, four-stroke",45.0 HP (32.8  kW)) @ 6500 RPM,148.0 km/h (92.0 mph),8.5:1,95.0 x 84.0 mm (3.7 x 3.3 inches),4,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),90/90-21 ,120/90-17 ,Single disc,Single disc,177.0 kg (390.2 pounds),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW K 75 S,1990,Sport touring," 3.2  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",740.0 ccm (45.15 cubic inches),"In-line three, four-stroke",75.0 HP (54.7  kW)) @ 8500 RPM,199.0 km/h (123.7 mph),11.0:1,67.0 x 70.0 mm (2.6 x 2.8 inches),2,Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Shaft drive (cardan)   (final drive),100/90-18 ,130/90-17 ,Dual disc,Single disc,235.0 kg (518.1 pounds),21.00 litres (5.55 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FLTC 1340 Tour Glide Classic (reduced effect),1990,Touring,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,1337.0 ccm (81.58 cubic inches),"V2, four-stroke",46.0 HP (33.6  kW)) @ 5000 RPM,,8.5:1,88.8 x 108.0 mm (3.5 x 4.3 inches),2,Overhead Valves (OHV),Air,5-speed,Belt   (final drive),MT90-16T ,MT90-16T ,Dual disc,Single disc,360.0 kg (793.7 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda XBR 500,1990,Classic," 4.1  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",498.0 ccm (30.39 cubic inches),"Single cylinder, four-stroke",44.0 HP (32.1  kW)) @ 7000 RPM,171.0 km/h (106.3 mph),8.9:1,92.0 x 75.0 mm (3.6 x 3.0 inches),4,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),100/90-18 ,110/90-18 ,Single disc,Expanding brake,182.0 kg (401.2 pounds),20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 450 S (reduced effect),1990,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,447.0 ccm (27.28 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 7000 RPM,141.0 km/h (87.6 mph),9.1:1,75.0 x 50.6 mm (3.0 x 2.0 inches),3,Overhead Cams (OHC),Air,6-speed,Chain   (final drive),100/90-18 ,110/90-18 ,Dual disc,Expanding brake,185.0 kg (407.9 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda XL 600 V Transalp,1990,Touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",583.0 ccm (35.57 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 8000 RPM,167.0 km/h (103.8 mph),9.2:1,75.0 x 66.0 mm (3.0 x 2.6 inches),3,Overhead Cams (OHC),Liquid,5-speed,Chain   (final drive),90/90-21 ,130/80-17 ,Single disc,Single disc,205.0 kg (451.9 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XT 600 K,1990,Allround," 3.2  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",595.0 ccm (36.31 cubic inches),"Single cylinder, four-stroke",45.0 HP (32.8  kW)) @ 6500 RPM,148.0 km/h (92.0 mph),8.5:1,95.0 x 84.0 mm (3.7 x 3.3 inches),4,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),90/90-21 ,120/90-17 ,Single disc,Single disc,177.0 kg (390.2 pounds),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda NX 250,1990,Enduro / offroad," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",26.0 HP (19.0  kW)) @ 8500 RPM,128.0 km/h (79.5 mph),11.0:1,70.0 x 64.8 mm (2.8 x 2.6 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),100/90-19 ,120/90-16 ,Single disc,Expanding brake,133.0 kg (293.2 pounds),9.00 litres (2.38 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 80 GS,1990,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,797.0 ccm (48.63 cubic inches),"Two cylinder boxer, four-stroke",50.0 HP (36.5  kW)) @ 6500 RPM,150.0 km/h (93.2 mph),8.2:1,84.8 x 70.6 mm (3.3 x 2.8 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),90/90-21 ,130/80-17 ,Single disc,Expanding brake,225.0 kg (496.0 pounds),26.00 litres (6.87 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XT 500,1990,Trial," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 5900 RPM,132.0 km/h (82.0 mph),9.0:1,87.0 x 84.0 mm (3.4 x 3.3 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.25-21 ,4.00-18 ,Expanding brake,Expanding brake,155.0 kg (341.7 pounds),12.00 litres (3.17 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benelli 900 Sei,1990,Classic," 3.2  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",905.0 ccm (55.22 cubic inches),"In-line six, four-stroke",80.0 HP (58.4  kW)) @ 8300 RPM,193.0 km/h (119.9 mph),9.5:1,60.0 x 53.4 mm (2.4 x 2.1 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),100/90-18 ,120/90-18 ,Dual disc,Single disc,249.0 kg (549.0 pounds),17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fantic 125 Sport HP 1,1990,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 8000 RPM,125.0 km/h (77.7 mph),12.0:1,55.2 x 52.0 mm (2.2 x 2.0 inches),,Port control,Liquid,6-speed,Chain   (final drive),3.25-16 ,3.25-18 ,Dual disc,Expanding brake,110.0 kg (242.5 pounds),12.50 litres (3.30 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Electra Glide Ultra Classic,1990,Touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1337.0 ccm (81.58 cubic inches),"V2, four-stroke",64.0 HP (46.7  kW)) @ 5000 RPM,,8.5:1,88.8 x 108.0 mm (3.5 x 4.3 inches),2,Overhead Valves (OHV),Air,5-speed,Belt   (final drive),MT90-16T ,MT90-16T ,Dual disc,Single disc,340.0 kg (749.6 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beta TR 35-260,1990,Trial," 4.1  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",251.0 ccm (15.32 cubic inches),"Single cylinder, two-stroke",12.0 HP (8.8  kW)) @ 5400 RPM,90.0 km/h (55.9 mph),10.3:1,76.0 x 57.5 mm (3.0 x 2.3 inches),,Membrane,Air,6-speed,Chain   (final drive),2.75-21 ,4.00-18 ,Single disc,Single disc,84.0 kg (185.2 pounds),3.80 litres (1.00 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki DR 350 S,1990,Enduro / offroad," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",349.0 ccm (21.30 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 7600 RPM,126.0 km/h (78.3 mph),9.5:1,79.0 x 71.2 mm (3.1 x 2.8 inches),4,Overhead Cams (OHC),Air,6-speed,Chain   (final drive),80/100-21 ,110/90-18 ,Single disc,Single disc,141.0 kg (310.9 pounds),9.00 litres (2.38 US gallons),29.0 Nm (3.0 kgf-m or 21.4 ft.lbs),Carburettor. Mikuni BST33,Digital CDI,,,280 mm (11.0 inches),"Link-type, fully adjustable spring preload, compression and rebound damping",254 mm (10.0 inches),130.0 kg (286.6 pounds),0.2077 HP/kg,,,,,,Kick,Dry sump,5.50 litres/100 km (18.2 km/l or 42.77 mpg),127.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,"Telescopic, cartridge-type, 13-way adjustable compression damping and 17-way adjustable rebound damping",220 mm (8.7 inches),1.90 litres (2.01 US quarts),"Blue/white, yellow/white",SAE 10W-40,HiFlo HF136,DOT 4,DPR9EA9,1200  +/- 100  RPM,520,102,15/41 (front/rear),22 PSI (1.5 Bar or 150 kPa),22 PSI (1.5 Bar or 150 kPa),43 mm (1.7 inches),,,,,,,,,
Honda VT 600 C (reduced effect),1990,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,583.0 ccm (35.57 cubic inches),"V2, four-stroke",27.0 HP (19.7  kW)) @ 5500 RPM,129.0 km/h (80.2 mph),9.2:1,75.0 x 66.0 mm (3.0 x 2.6 inches),3,Overhead Cams (OHC),Liquid,4-speed,Chain   (final drive),100/90-19 ,170/80-15 ,Single disc,Expanding brake,212.0 kg (467.4 pounds),9.00 litres (2.38 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XJ 600 (reduced effect),1990,Touring," 2.9  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",50.0 HP (36.5  kW)) @ 9250 RPM,177.0 km/h (110.0 mph),10.0:1,58.5 x 55.7 mm (2.3 x 2.2 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),90/90-18 ,110/90-18 ,Dual disc,Single disc,212.0 kg (467.4 pounds),20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laverda OR 600 Atlas,1990,Enduro / offroad," 2.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",571.0 ccm (34.84 cubic inches),"Twin, four-stroke",50.0 HP (36.5  kW)) @ 7500 RPM,159.0 km/h (98.8 mph),9.0:1,76.0 x 63.0 mm (3.0 x 2.5 inches),4,Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),90/90-21 ,5.10-17 ,Single disc,Single disc,206.0 kg (454.2 pounds),25.00 litres (6.61 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FLSTC 1340 Heritage Softail Classic,1990,Custom / cruiser," 3.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1337.0 ccm (81.58 cubic inches),"V2, four-stroke",49.0 HP (35.8  kW)) @ 5000 RPM,,8.5:1,88.8 x 108.0 mm (3.5 x 4.3 inches),2,Overhead Valves (OHV),Air,5-speed,Belt   (final drive),MT 90-16 ,MT 90-16 ,Single disc,Single disc,298.0 kg (657.0 pounds),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CBR 600 F (reduced effect),1990,Sport," 3.5  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",598.0 ccm (36.49 cubic inches),"In-line four, four-stroke",50.0 HP (36.5  kW)) @ 9000 RPM,187.0 km/h (116.2 mph),11.0:1,63.0 x 48.0 mm (2.5 x 1.9 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),110/80-17 ,130/80-17 ,Dual disc,Single disc,209.0 kg (460.8 pounds),16.50 litres (4.36 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
