Model,Year,Category,Rating,Displacement,Engine type,Power,Bore x stroke,Fuel control,Cooling system,Transmission type,Front brakes,Rear brakes,Wheels,Seat,Dry weight,Power/weight ratio,Top speed,Fuel system,Gearbox,Front suspension,Rear suspension,Front tire,Rear tire,Seat height,Overall height,Overall length,Overall width,Fuel capacity,Clutch,Diameter,Frame type,Starter,Compression,Ignition,Lubrication system,Wheelbase,Engine details,Exhaust system,"Weight incl. oil, gas, etc",Ground clearance,Oil capacity,Electrical,Fuel consumption,Greenhouse gases,Color options,Comments,Carrying capacity,Valves per cylinder,Light,Driveline,Modifications compared to previous model
Sunbeam S7 500,1950,Sport touring,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,487.0 ccm (29.72 cubic inches),"Twin, four-stroke",24.0 HP (17.5  kW)) @ 5800 RPM,70.0 x 63.5 mm (2.8 x 2.5 inches),Overhead Cams (OHC),Oil & air,Shaft drive (cardan)   (final drive),Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single ,194.0 kg (427.7 pounds),0.1237 HP/kg,121.0 km/h (75.2 mph),Carburettor,,Telescopic,Plungers,4.50-16 ,4.50-16 ,,,,,,Dry singleplate,,Twin cradle,Kick,6.5:1,,Wet sump,1400 mm (55.1 inches),,,,,,,,,"Black/ green
",,,,,,
Harley-Davidson EL,1950,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,999.7 ccm (61.00 cubic inches),"V2, four-stroke",,88.9 x 83.8 mm (3.5 x 3.3 inches),Overhead Valves (OHV),Air,Chain   (final drive),Expanding brake (drum brake),Expanding brake (drum brake),Wire spoked. Firestome or Goodyear tyres.,,250.0 kg (551.2 pounds),,,Carburettor,3-speed,Spring forks ,Hardtail,5.00-16 ,5.00-16 ,,,,,14.19 litres (3.75 US gallons),"Mulitplate, dry",,Steel double loop,,7.0:1,,Ciculation pressure system,1511 mm (59.5 inches),Knucklehead V-twin engine. Hydraulic valve lifters.,,,,3.80 litres (4.02 US quarts),"22 Ah, 6 Volt battery.",,,,Optional 4-speed transmission.,,,,,
Triumph Speed Twin 5T,1950,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.0 ccm (30.39 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 6300 RPM,,Overhead Valves (OHV),,Chain   (final drive),Expanding brake (drum brake),Expanding brake (drum brake),,Dual seat,,,,Carburettor. Amal,,Telescopic,Swingarm with coil-over shocks,,,,,,,,,,,,,Battery/ coil,Dry sump,1400 mm (55.1 inches),,,,,,,,,,,,,,,
Vespa Monthlery,1950,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",,53.0 x 56.0 mm (2.1 x 2.2 inches),,Air,,Expanding brake (drum brake),Expanding brake (drum brake),,Single ,,,136.9 km/h (85.1 mph),Carburettor,,Coil springs-calipers shock absorber,Rubber pad-leaf spring shock absorber,3-10 ,3-10 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zündapp KS 601,1950,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,592.0 ccm (36.12 cubic inches),"Two cylinder boxer, two-stroke",28.0 HP (20.4  kW)) @ 4700 RPM,75.0 x 67.6 mm (3.0 x 2.7 inches),Overhead Valves (OHV),Air,Shaft drive (cardan)   (final drive),Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Two single seats,224.0 kg (493.8 pounds),0.1250 HP/kg,140.0 km/h (87.0 mph),Carburettor. Bing ,4-speed,Telescopic,,3.50-19 ,3.50-19 ,,,,,14.50 litres (3.83 US gallons),,,Tubular,Kick,,,,,,,,,,,,,,,,,,,
Harley-Davidson Model E,1950,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,999.7 ccm (61.00 cubic inches),"V2, four-stroke",,88.9 x 84.1 mm (3.5 x 3.3 inches),Overhead Valves (OHV),Air,Chain   (final drive),Expanding brake (drum brake),Expanding brake (drum brake),Wire spoked. Firestome or Goodyear tyres.,,250.0 kg (551.2 pounds),,,Carburettor,3-speed,Spring forks ,Hardtail,5.00-16 ,5.00-16 ,,,2337 mm (92.0 inches),838 mm (33.0 inches),14.19 litres (3.75 US gallons),,,Steel double loop,,6.5:1,,Ciculation pressure system,1511 mm (59.5 inches),Knucklehead V-twin engine. Hydraulic valve lifters. Aluminium cyliner heads.,,,,3.80 litres (4.02 US quarts),,,,,Optional 4-speed transmission. ,,,,,
BMW R24,1950,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,247.0 ccm (15.07 cubic inches),"Single cylinder, four-stroke",12.0 HP (8.7  kW)) @ 5400 RPM,68.0 x 68.0 mm (2.7 x 2.7 inches),Overhead Valves (OHV),Air,Shaft drive (cardan)   (final drive),Expanding brake (drum brake),Expanding brake (drum brake),,,,,95.0 km/h (59.0 mph),Carburettor. Bing ,4-speed,Cartridge,Rigid,2.99-19 ,2.99-19 ,"710 mm (28.0 inches) If adjustable, lowest setting.",900 mm (35.4 inches),2000 mm (78.7 inches),800 mm (31.5 inches),12.00 litres (3.17 US gallons),Single plate dry-cable operated,180 mm (7.1 inches),Steel-single cradlel,Kick,6.8:1,Battery,Wet sump ,1330 mm (52.4 inches),,,130.0 kg (286.6 pounds),,,,3.50 litres/100 km (28.6 km/l or 67.21 mpg),81.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,
Lambretta 125B,1950,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",4.1 HP (3.0  kW)) @ 4500 RPM,52.0 x 58.0 mm (2.0 x 2.3 inches),,Air,,Expanding brake (drum brake),Expanding brake (drum brake),,Dual seat,54.9 kg (121.0 pounds),0.0747 HP/kg,67.6 km/h (42.0 mph),Carburettor. DellÓrto,3-speed,,,3.5-8 ,"3,5-8 ",,,,,,3 speed- hand changed,,Tubular steel,Electric,6.1:1,Contact breaker  and  points,5%,,,,,,,,,,,,,,,,
Moto Guzzi Dondolino,1950,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.0 ccm (30.39 cubic inches),"Single cylinder, two-stroke",,88.0 x 82.0 mm (3.5 x 3.2 inches),Overhead Valves (OHV),,Chain   (final drive),Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single ,127.0 kg (280.0 pounds),,177.0 km/h (110.0 mph),Carburettor. DellÓrto SSM,,,,,,,,,,19.00 litres (5.02 US gallons),,,,,,Magneto,,,,,,,,,,,,,,,,,
Triumph Speed Twin ,1950,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.0 ccm (30.39 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 6300 RPM,,Overhead Valves (OHV),,Chain   (final drive),Expanding brake (drum brake),Expanding brake (drum brake),,,158.8 kg (350.0 pounds),0.1701 HP/kg,,Carburettor. Amal,,Telescopic,Rigid-optional sprung hub,,,,,,,,,,,,,Lucas altrnator,,1400 mm (55.1 inches),360 degree paprallel,,,,,,,,,,,,,,
Nimbus 2510,1950,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,750.0 ccm (45.77 cubic inches),"In-line four, four-stroke",,,Overhead Cams (OHC),,,,,,Two single seats,,,,Carburettor,3-speed,Telescopic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R25,1950,Allround," 3.0  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",247.0 ccm (15.07 cubic inches),"Single cylinder, four-stroke",12.0 HP (8.8  kW)) @ 5600 RPM,68.0 x 68.0 mm (2.7 x 2.7 inches),Overhead Valves (OHV),Air,Shaft drive (cardan)   (final drive),Expanding brake (drum brake),Expanding brake (drum brake),,,,,80.0 km/h (49.7 mph),Carburettor. Bing ,4-speed,Cartridge,Pushrod,3.25-19 ,3.25-19 ,,710 mm (28.0 inches),2073 mm (81.6 inches),750 mm (29.5 inches),12.00 litres (3.17 US gallons),Single plate dry-cable operated,160 mm (6.3 inches),Steel-single cradlel,Kick,6.5:1,Battery,Wet sump ,,,,140.0 kg (308.6 pounds),92 mm (3.6 inches),,,3.50 litres/100 km (28.6 km/l or 67.21 mpg),81.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,290,,,,
Matchless G3 350,1950,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,347.0 ccm (21.17 cubic inches),"Single cylinder, four-stroke",18.0 HP (13.1  kW)) @ 5750 RPM,69.0 x 93.0 mm (2.7 x 3.7 inches),,Air,Chain   (final drive),Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,,,129.0 km/h (80.2 mph),Carburettor. Amal,4-speed,Telescopic,Two schock,3.25-19 ,3.50-19 ,,,,,19.00 litres (5.02 US gallons),Wet multiplate,178 mm (7.0 inches),,Kick,6.5:1,,Dry sump,1436 mm (56.5 inches),,,179.0 kg (394.6 pounds),,,,,,,,,,,,
NSU 101 OSB,1950,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,98.0 ccm (5.98 cubic inches),"Single cylinder, four-stroke",5.8 HP (4.2  kW)) @ 6500 RPM,50.0 x 50.0 mm (2.0 x 2.0 inches),,Air,Chain   (final drive),Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single spring-mounted,85.0 kg (187.4 pounds),0.0682 HP/kg,85.0 km/h (52.8 mph),Carburettor,,,,2.50-19 ,2.50-19 ,,,,,8.00 litres (2.11 US gallons),,,Pressed steel,Kick,7.0:1,,,,,,,,,,,,,,,,,,
Velocette Mac ,1950,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,349.0 ccm (21.30 cubic inches),"Single cylinder, four-stroke",18.0 HP (13.1  kW)) @ 5500 RPM,68.0 x 96.0 mm (2.7 x 3.8 inches),Overhead Valves (OHV),Air,Chain   (final drive),Expanding brake (drum brake),Expanding brake (drum brake),,Dual seat,161.0 kg (354.9 pounds),0.1118 HP/kg,120.7 km/h (75.0 mph),Carburettor,4-speed,,,3.25-19 ,3.50-19 ,"700 mm (27.6 inches) If adjustable, lowest setting.",,,,11.00 litres (2.91 US gallons),,152 mm (6.0 inches),,Kick,6.8:1,,,1276 mm (50.2 inches),,,,,,,,,,,,,,,
Indian Scout 440,1950,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,440.0 ccm (26.85 cubic inches),"Twin, four-stroke",,,Overhead Valves (OHV),Air,Chain   (final drive),,,,Spring-mounted seat,,,,,,,,,,,,,,,,,,,,Magneto,,,,,,,,,,,,,,,,,
Hercules 211,1950,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,98.0 ccm (5.98 cubic inches),"Single cylinder, two-stroke",2.3 HP (1.6  kW)) @ 3500 RPM,48.0 x 52.0 mm (1.9 x 2.0 inches),,Air,Chain   (final drive),Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single ,68.0 kg (149.9 pounds),0.0331 HP/kg,60.0 km/h (37.3 mph),Carburettor,,Telescopic,Rigid,2.50-26 ,2.50-26 ,,,,,,,,,Kick,,,,,,,,,,,,,,,,,,,
Norton Dominator Model 7,1950,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,497.0 ccm (30.33 cubic inches),"Twin, four-stroke",,66.0 x 72.6 mm (2.6 x 2.9 inches),Overhead Valves (OHV),Air,Chain   (final drive),Expanding brake (drum brake),Expanding brake (drum brake),,Solo seat with springs,200.0 kg (440.9 pounds),,,Carburettor,,,,3-21 ,3-21 ,"787 mm (31.0 inches) If adjustable, lowest setting.",,,,17.00 litres (4.49 US gallons),Wet multiplate,,,Kick,6.7:1,Magneto,,1410 mm (55.5 inches),,,,,,,,,,,,,,,
Ariel 4G Square Four Mark I,1950,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,995.0 ccm (60.71 cubic inches),Square four cylinder,35.0 HP (25.5  kW)) @ 5500 RPM,65.0 x 78.0 mm (2.6 x 3.1 inches),Overhead Valves (OHV),Air,Chain   (final drive),Expanding brake (drum brake),Expanding brake (drum brake),Wire spoked,Solo seat,197.0 kg (434.3 pounds),0.1777 HP/kg,144.8 km/h (90.0 mph),Carburettor. SU MC2 carburettor,4-speed,Oil damped telescopic,Plunger-link spring,3.25-19 ,4.00-18 ,,,2083 mm (82.0 inches),,16.00 litres (4.23 US gallons),,178 mm (7.0 inches),Tubular single loop,Kick,6.0:1,,Dry sump with dual oil pump.,1422 mm (56.0 inches),Double twin cylinder arranged as a square. ,Dual two-into-one,,,,,,,Red/silver,Also called ´Squariel´. Designed by Edward Turner. ,,2,30 Watt headlamp.,,
BMW R51 2,1950,Allround," 3.3  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",494.0 ccm (30.14 cubic inches),"Two cylinder boxer, four-stroke",24.1 HP (17.6  kW)) @ 5600 RPM,68.0 x 68.0 mm (2.7 x 2.7 inches),Overhead Valves (OHV),Air,Shaft drive (cardan)   (final drive),Expanding brake (drum brake). Half hub,Expanding brake (drum brake). Half hub,,Solo seat with springs,,,135.0 km/h (83.9 mph),Carburettor. Bing 22mm,4-speed,Cartridge,Twin shock-Swingarm,3.50-19.00 ,3.50-19.00 ,,720 mm (28.3 inches),2130 mm (83.9 inches),815 mm (32.1 inches),14.00 litres (3.70 US gallons),Dry-single plate-cable operated,200 mm (7.9 inches),Steel single cradle,Kick,6.4:1,Battery,Wet sump ,1400 mm (55.1 inches),,,185.0 kg (407.9 pounds),120 mm (4.7 inches),,,4.10 litres/100 km (24.4 km/l or 57.37 mpg),95.1 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,210kg,,,,
Ariel KH 500 Red Hunter,1950,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.0 ccm (30.39 cubic inches),"Twin, four-stroke",28.0 HP (20.5  kW)) @ 6500 RPM,56.0 x 86.0 mm (2.2 x 3.4 inches),Overhead Valves (OHV),Air,Chain   (final drive),Expanding brake (drum brake),Expanding brake (drum brake),Wire spoked,Solo seat,177.0 kg (390.2 pounds),0.1584 HP/kg,145.0 km/h (90.1 mph),Carburettor,4-speed,Telescopic forks,Rigid,3.00-20 ,3.50-19 ,,,,,17.00 litres (4.49 US gallons),Dry plate,,Duplex frame,Kick,7.5:1,Lucas,Dry sump,1422 mm (56.0 inches),,2-into-2 pipes,,,,,,,Red,Ariel was owned by BSA since 1944.,,,,,
Harley-Davidson FL Hydra Glide,1950,Touring," 4.0  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1208.0 ccm (73.71 cubic inches),"V2, four-stroke",55.0 HP (40.1  kW)) @ 4800 RPM,87.0 x 102.0 mm (3.4 x 4.0 inches),Overhead Valves (OHV),Air,Chain   (final drive),Expanding brake (drum brake),Expanding brake (drum brake),,,267.0 kg (588.6 pounds),0.2060 HP/kg,160.9 km/h (100.0 mph),Carburettor,4-speed,Hydraulic telescopic forks ,Hardtail,5.00-16 ,5.00-16 ,,,,,14.19 litres (3.75 US gallons),,,Steel double downtube,,7.0:1,,,1510 mm (59.4 inches),,,,,3.80 litres (4.02 US quarts),6 Volt battery.,,,"Black, red, blue",,,,,,
Harley-Davidson Servi-Car GE,1950,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,740.0 ccm (45.15 cubic inches),"V2, four-stroke",24.0 HP (17.5  kW)) @ 4400 RPM,70.0 x 97.0 mm (2.8 x 3.8 inches),Sidevalves,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single spring-mounted,,,101.0 km/h (62.8 mph),,,Leading link-Springer type,,5.10-16 ,5.10-16 ,,,2540 mm (100.0 inches),1219 mm (48.0 inches),12.87 litres (3.40 US gallons),,,,Electric,,,,1549 mm (61.0 inches),,,,,,,,,,,,,,,
Ariel MK1 Square Four,1950,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,997.0 ccm (60.84 cubic inches),"Single cylinder, four-stroke",40.0 HP (29.2  kW)) @ 5800 RPM,,Overhead Valves (OHV),Air,Chain   (final drive),Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,193.0 kg (425.5 pounds),0.2073 HP/kg,,Carburettor,,,,3.25-19 ,4-18 ,,,2100 mm (82.7 inches),,23.00 litres (6.08 US gallons),,203 mm (8.0 inches),Tubular single loop,,,,,1422 mm (56.0 inches),,,,,,,,,,,,,,,
Lambretta 125C,1950,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",4.3 HP (3.1  kW)) @ 4500 RPM,52.0 x 58.0 mm (2.0 x 2.3 inches),,Air,,Expanding brake (drum brake),Expanding brake (drum brake),,Dual seat,79.8 kg (176.0 pounds),0.0539 HP/kg,67.6 km/h (42.0 mph),Carburettor. DellÓrto MA 16,3-speed,,,4-8 ,4-8 ,,,,,,3 speed- hand changed,,Tubular steel,Electric,6.1:1,Contact breaker  and  points,5%,,,,,,,,,,,,,,,,
Rikuo RT 2,1950,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,750.0 ccm (45.77 cubic inches),"V2, four-stroke",22.0 HP (16.1  kW)) @ 4250 RPM,,Sidevalves,Air,,,,,Spring-mounted seat,230.0 kg (507.1 pounds),0.0957 HP/kg,,Carburettor. Linkert,4-speed,Telescopic,,,,,,,,,Four speed ,,,,,Generator and battery,,,,,,,,,,,,,,,,,
Sunbeam S8 500,1950,Sport touring,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,487.0 ccm (29.72 cubic inches),"Twin, four-stroke",24.0 HP (17.5  kW)) @ 6000 RPM,70.0 x 63.5 mm (2.8 x 2.5 inches),Single Overhead Cams (SOHC),Oil & air,Shaft drive (cardan)   (final drive),Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Two single seats,187.0 kg (412.3 pounds),0.1283 HP/kg,120.0 km/h (74.6 mph),Carburettor,,Telescopic,Plungers,4.50-16 ,4.50-16 ,,,,,,Dry singleplate,,Twin cradle,Kick,6.5:1,,Wet sump,1400 mm (55.1 inches),,,,,,,,,,,,,,,
Vespa Circuito,1950,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",,56.5 x 50.0 mm (2.2 x 2.0 inches),,Air,Chain   (final drive),Expanding brake (drum brake),Expanding brake (drum brake),,,,,100.0 km/h (62.1 mph),Carburettor,,Coil springs,Rubber stopper,3.50-8 ,3.50-8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ariel NH 350 Red Hunter,1950,Allround," 3.0  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",346.0 ccm (21.11 cubic inches),"Single cylinder, four-stroke",19.5 HP (14.2  kW)) @ 5800 RPM,72.0 x 85.0 mm (2.8 x 3.3 inches),Overhead Valves (OHV),Air,Chain   (final drive),Expanding brake (drum brake),Expanding brake (drum brake),,Dual seat,159.0 kg (350.5 pounds),0.1226 HP/kg,117.0 km/h (72.7 mph),Carburettor. Monoblack,4-speed,Telescopic fork,Plungers,3.00-20 ,3.25-19 ,,,2180 mm (85.8 inches),640 mm (25.2 inches),11.00 litres (2.91 US gallons),"Dry, multiplate",,Semi-double cradle,Kick,6.2:1,Flywheel,,,,1-into-1 pipes,,,,6V system.,,,Red,,,,,,
Gilera Saturno Turismo,1950,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.8 ccm (30.43 cubic inches),"Single cylinder, four-stroke",18.0 HP (13.1  kW)),84.0 x 90.0 mm (3.3 x 3.5 inches),Overhead Valves (OHV),Air,Chain   (final drive),Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,168.0 kg (370.4 pounds),0.1071 HP/kg,,Carburettor. DellÓrto RDF28,4-speed,Girder forks,,3.25-19 ,3.25-19 ,,,,,14.00 litres (3.70 US gallons),,,,,6.0:1,,,1470 mm (57.9 inches),,,,,,,,,,,,,,,
Harley-Davidson ES,1950,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1000.0 ccm (61.02 cubic inches),"V2, four-stroke",,88.9 x 83.8 mm (3.5 x 3.3 inches),Overhead Valves (OHV),Air,Chain   (final drive),Expanding brake (drum brake),Expanding brake (drum brake),Wire spoked. Firestome or Goodyear tyres.,,250.0 kg (551.2 pounds),,,Carburettor,3-speed,Spring forks ,Hardtail,5.00-16 ,5.00-16 ,,,2337 mm (92.0 inches),,14.19 litres (3.75 US gallons),"Mulitplate, dry",,Steel double loop,Kick,6.5:1,,,1511 mm (59.5 inches),Hydraulic valve lifters. Aluminium cyliner heads.,,,,3.50 litres (3.7 US quarts),"22 Ah, 6 Volt battery.",,,,Sidecar gearing.,,,,,
