Model,Year,Category,Rating,Displacement,Engine type,Power,Compression,Fuel system,Fuel control,Ignition,Lubrication system,Cooling system,Gearbox,Transmission type,Clutch,Exhaust system,Frame type,Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Rear brakes,"Weight incl. oil, gas, etc",Color options,Starter,Modifications compared to previous model,Top speed,Bore x stroke,Valves per cylinder,Fuel capacity,Max RPM,Rake (fork angle),Trail,Seat height,Overall height,Overall length,Overall width,Ground clearance,Wheelbase,Reserve fuel capacity,Torque,1/4 mile (0.4 km),Diameter,Dry weight,Power/weight ratio,Fuel consumption,Greenhouse gases,Oil capacity,Engine oil,Oil filter,Brake fluid,Battery,Spark plugs,Idle speed,Chain size,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,Front wheel travel,Rear wheel travel,Comments,0-100 km/h (0-62 mph),Front percentage of weight,Rear percentage of weight
Gilera NGR 250,1987,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,249.0 ccm (15.19 cubic inches),"Single cylinder, two-stroke",33.0 HP (24.1  kW)) @ 7500 RPM,13.5:1,,Rotary valves,,,Liquid,5-speed,Chain   (final drive),,,,,,100/90-16 ,110/90-18 ,Dual disc,Single disc,160.0 kg (352.7 pounds),,,,155.0 km/h (96.3 mph),71.5 x 62.0 mm (2.8 x 2.4 inches),,22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 100 RS,1987,Touring," 3.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",979.0 ccm (59.74 cubic inches),"Two cylinder boxer, four-stroke",60.0 HP (43.8  kW)) @ 6500 RPM,8.4:1,,Overhead Valves (OHV),,,Air,5-speed,Shaft drive (cardan)   (final drive),,,,,,90/90-18 ,120/90-18 ,Dual disc,Expanding brake,243.0 kg (535.7 pounds),,,,186.0 km/h (115.6 mph),94.0 x 70.6 mm (3.7 x 2.8 inches),2,22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Z 750 GT,1987,Classic,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,739.0 ccm (45.09 cubic inches),"In-line four, four-stroke",78.0 HP (56.9  kW)) @ 9500 RPM,9.5:1,,Double Overhead Cams/Twin Cam (DOHC),,,Air,5-speed,Shaft drive (cardan)   (final drive),,,,,,100/90-19 ,120/90-18 ,Dual disc,Single disc,243.0 kg (535.7 pounds),,,,198.0 km/h (123.0 mph),66.0 x 54.0 mm (2.6 x 2.1 inches),2,24.50 litres (6.47 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maico GP 500 E,1987,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,488.0 ccm (29.78 cubic inches),"Single cylinder, two-stroke",62.0 HP (45.3  kW)) @ 7000 RPM,13.5:1,,Membrane,,,Liquid,5-speed,Chain   (final drive),,,,,,3.00-21 ,4.10-18 ,Single disc,Single disc,109.0 kg (240.3 pounds),,,,,86.5 x 83.0 mm (3.4 x 3.3 inches),,10.00 litres (2.64 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX-R 1100 (reduced effect),1987,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1052.0 ccm (64.19 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 8700 RPM,10.0:1,,Double Overhead Cams/Twin Cam (DOHC),,,Air,5-speed,Chain   (final drive),,,,,,110/80-18 ,150/70-18 ,Dual disc,Single disc,225.0 kg (496.0 pounds),,,,228.0 km/h (141.7 mph),76.0 x 58.0 mm (3.0 x 2.3 inches),4,19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha FJ 1200 (reduced effect),1987,Sport touring," 3.2  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1188.0 ccm (72.49 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 8500 RPM,9.7:1,,Double Overhead Cams/Twin Cam (DOHC),,,Air,5-speed,Chain   (final drive),,,,,,120/80-16 ,150/80-16 ,Dual disc,Single disc,259.0 kg (571.0 pounds),,,,231.0 km/h (143.5 mph),77.0 x 63.8 mm (3.0 x 2.5 inches),4,24.00 litres (6.34 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW K 75,1987,Sport touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",740.0 ccm (45.15 cubic inches),"In-line three, four-stroke",75.0 HP (54.7  kW)) @ 8500 RPM,11.0:1,,Double Overhead Cams/Twin Cam (DOHC),,,Liquid,5-speed,Shaft drive (cardan)   (final drive),,,,,,100/90-18 ,120/90-18 ,Dual disc,Expanding brake,236.0 kg (520.3 pounds),,,,200.0 km/h (124.3 mph),67.0 x 70.0 mm (2.6 x 2.8 inches),2,21.00 litres (5.55 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CBX 650 E (reduced effect),1987,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,656.0 ccm (40.03 cubic inches),"In-line four, four-stroke",50.0 HP (36.5  kW)) @ 8000 RPM,9.5:1,,Double Overhead Cams/Twin Cam (DOHC),,,Air,6-speed,Shaft drive (cardan)   (final drive),,,,,,100/90-19 ,130/90-16 ,Dual disc,Expanding brake,220.0 kg (485.0 pounds),,,,175.0 km/h (108.7 mph),60.0 x 58.0 mm (2.4 x 2.3 inches),4,18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki DR 250 S,1987,Enduro / offroad," 2.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)) @ 7800 RPM,9.0:1,,Overhead Cams (OHC),,,Air,5-speed,Chain   (final drive),,,,,,3.00-21 ,4.00-18 ,Single disc,Expanding brake,129.0 kg (284.4 pounds),,,,117.0 km/h (72.7 mph),72.0 x 61.2 mm (2.8 x 2.4 inches),4,9.50 litres (2.51 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki DR 600 S (reduced effect),1987,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,590.0 ccm (36.00 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 6200 RPM,9.5:1,,Overhead Cams (OHC),,,Air,5-speed,Chain   (final drive),,,,,,100/80-21 ,130/80-17 ,Single disc,Expanding brake,160.0 kg (352.7 pounds),,,,131.0 km/h (81.4 mph),94.0 x 85.0 mm (3.7 x 3.3 inches),4,20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki DR 100,1987,Enduro / offroad," 3.0  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",99.0 ccm (6.04 cubic inches),"Single cylinder, four-stroke",,10.0:1,"Carburettor. MIKUNI VM20SS, single",Overhead Cams (OHC),SUZUKI ´PEI´,Wet Sump,Air,6-speed,Chain   (final drive),Wet multi-plate type,,,"Teloscopic, coil spring, oil dampened","Full-floating suspension system, spring 5-way adjustable",3.00-17 ,4.00-15 ,Expanding brake (drum brake),Expanding brake (drum brake),,,Kick,,83.0 km/h (51.6 mph),51.0 x 48.8 mm (2.0 x 1.9 inches),2,5.60 litres (1.48 US gallons),8000,28.0°,86 mm (3.4 inches),"740 mm (29.1 inches) If adjustable, lowest setting.",1065 mm (41.9 inches),1790 mm (70.5 inches),785 mm (30.9 inches),225 mm (8.9 inches),1215 mm (47.8 inches),1.00 litres (0.26 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GN250,1987,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",250.0 ccm (15.26 cubic inches),"Single cylinder, four-stroke",25.0 HP (18.2  kW)),,,Overhead Cams (OHC),,,Air,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki RG 500 Gamma,1987,Sport," 3.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",498.0 ccm (30.39 cubic inches),"In-line four, two-stroke",95.0 HP (69.3  kW)) @ 9500 RPM,7.0:1,,Rotary valves & variable discharge openings,,,Liquid,6-speed,Chain   (final drive),,,,,,110/90-16 ,120/90-17 ,Dual disc,Single disc,181.0 kg (399.0 pounds),,,,228.0 km/h (141.7 mph),56.0 x 50.6 mm (2.2 x 2.0 inches),,22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XT 600,1987,Enduro / offroad," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",595.0 ccm (36.31 cubic inches),"Single cylinder, four-stroke",44.0 HP (32.1  kW)) @ 6500 RPM,8.5:1,,Overhead Cams (OHC),,,Air,5-speed,Chain   (final drive),,,,,,3.00-21 ,4.60-18 ,Single disc,Expanding brake,154.0 kg (339.5 pounds),,,,146.0 km/h (90.7 mph),95.0 x 84.0 mm (3.7 x 3.3 inches),4,11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VFR 400 NC24,1987,Sport touring," 3.9  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",399.0 ccm (24.35 cubic inches),"V4, four-stroke",59.0 HP (43.1  kW)) @ 12800 RPM,11.3:1,Carburettor. 4 x 29mm Keihin,Double Overhead Cams/Twin Cam (DOHC),Transistor,,Liquid,6-speed,Chain   (final drive),Wet Plate,4-2-1,Aluminium Twin Spar Frame,"41mm Telescopic, coil spring, oil damped, rebound damping force air adjustable (8psi - 11psi)","Pro-Arm Mono shock, fully adjustable",100/90-H16 ,130/70-H18 ,Double disc. Nissin 2 pot caliper,Single disc. Nissin 1 pot caliper,193.0 kg (425.5 pounds),,Electric,Single sided swingarm,210.0 km/h (130.5 mph),55.0 x 42.0 mm (2.2 x 1.7 inches),4,16.00 litres (4.23 US gallons),15000,,,"785 mm (30.9 inches) If adjustable, lowest setting.",,,,,1345 mm (53.0 inches),,39.0 Nm (4.0 kgf-m or 28.8 ft.lbs) @ 10000 RPM,13.05 seconds,220 mm (8.7 inches),165.0 kg (363.8 pounds),0.3576 HP/kg,,,,,,,,,,,,,,,,,,,,,
Honda VF 1000 F (reduced effect),1987,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,998.0 ccm (60.90 cubic inches),"V4, four-stroke",100.0 HP (73.0  kW)) @ 9000 RPM,10.5:1,,Double Overhead Cams/Twin Cam (DOHC),,,Liquid,5-speed,Chain   (final drive),,,,,,100/90-18 ,140/80-17 ,Dual disc,Single disc,272.0 kg (599.7 pounds),,,,225.0 km/h (139.8 mph),71.0 x 53.6 mm (2.8 x 2.1 inches),4,23.00 litres (6.08 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX-R 1100,1987,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",1052.0 ccm (64.19 cubic inches),"In-line four, four-stroke",130.0 HP (94.9  kW)) @ 9500 RPM,10.0:1,Carburettor. 4 x 34 mm Mikuni Flatslide CV ,Double Overhead Cams/Twin Cam (DOHC),Digital,Wet sump,Air,5-speed,Chain   (final drive),"Wet, multiple discs, cable operated",,Lightweight aluminum alloy castings. Rectangular-section extrusions in a twin-downtube arrangement,"41mm Telescopic fork, 4-way preload, 3-way anti-dive adjustable","Full-floater monoshock, 4-way rebound damping adjustable",110/80-18 ,150/70-18 ,Double disc. Four-piston calipers. ,Single disc,225.0 kg (496.0 pounds),"Blue/White, Red/White",Electric,,249.0 km/h (154.7 mph),76.0 x 58.0 mm (3.0 x 2.3 inches),4,19.00 litres (5.02 US gallons),,26.5°,117 mm (4.6 inches),"795 mm (31.3 inches) If adjustable, lowest setting.",,2115 mm (83.3 inches),719 mm (28.3 inches),,1460 mm (57.5 inches),,103.0 Nm (10.5 kgf-m or 76.0 ft.lbs),,220 mm (8.7 inches),197.0 kg (434.3 pounds),0.6599 HP/kg,970.00 litres/100 km (0.1 km/l or 0.24 mpg),"22,504.0 CO2 g/km. (CO2 - Carbon dioxide emission) ",3.70 litres (3.91 US quarts),SAE 10W-40,ProFilter  PF-138B,DOT 4,YB14L-A2,"NGK JR9B, NGK DR9EIX",1100  +/- 100  RPM,532,114,14/46 (front/rear),36 PSI (2.5 Bar or 250 kPa),36 PSI (2.5 Bar or 250 kPa),41 mm (1.6 inches),,,,,,
Laverda 1000 RGS 2,1987,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,980.0 ccm (59.80 cubic inches),"In-line three, four-stroke",82.0 HP (59.9  kW)) @ 7900 RPM,9.0:1,,Double Overhead Cams/Twin Cam (DOHC),,,Air,5-speed,Chain   (final drive),,,,,,100/90-18 ,120/90-18 ,Dual disc,Single disc,269.0 kg (593.0 pounds),,,,225.0 km/h (139.8 mph),75.0 x 74.0 mm (3.0 x 2.9 inches),2,22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha FJ 1200,1987,Sport touring," 3.9  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1188.0 ccm (72.49 cubic inches),"In-line four, four-stroke",130.0 HP (94.9  kW)) @ 9000 RPM,9.7:1,,Double Overhead Cams/Twin Cam (DOHC),,,Air,5-speed,Chain   (final drive),,,,,,120/80-16 ,150/80-16 ,Dual disc,Single disc,259.0 kg (571.0 pounds),,,,,77.0 x 63.8 mm (3.0 x 2.5 inches),4,24.00 litres (6.34 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda XL 600 R (reduced effect),1987,Enduro / offroad," 2.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",589.0 ccm (35.94 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 5500 RPM,8.5:1,,Overhead Cams (OHC),,,Air,5-speed,Chain   (final drive),,,,,,3.00-21 ,5.10-17 ,Single disc,Expanding brake,146.0 kg (321.9 pounds),,,,135.0 km/h (83.9 mph),100.0 x 75.0 mm (3.9 x 3.0 inches),4,12.00 litres (3.17 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW K 100 LT,1987,Touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",987.0 ccm (60.23 cubic inches),"In-line four, four-stroke",90.0 HP (65.7  kW)) @ 8000 RPM,10.2:1,,Double Overhead Cams/Twin Cam (DOHC),,,Liquid,5-speed,Shaft drive (cardan)   (final drive),,,,,,100/90-18 ,130/90-17 ,Dual disc,Single disc,273.0 kg (601.9 pounds),,,,215.0 km/h (133.6 mph),67.0 x 70.0 mm (2.6 x 2.8 inches),2,22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki VS 1400 Intruder,1987,Touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1360.0 ccm (82.99 cubic inches),"V2, four-stroke",68.0 HP (49.6  kW)) @ 4800 RPM,9.3:1,,Overhead Cams (OHC),,,Air,4-speed,Shaft drive (cardan)   (final drive),,,,,,110/90-19 ,170/80-15 ,Single disc,Single disc,260.0 kg (573.2 pounds),,,,167.0 km/h (103.8 mph),94.0 x 98.0 mm (3.7 x 3.9 inches),3,13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dnepr MT 16 (with sidecar),1987,Touring,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,650.0 ccm (39.66 cubic inches),"Two cylinder boxer, four-stroke",38.0 HP (27.7  kW)) @ 5900 RPM,8.5:1,,Overhead Valves (OHV),,,Air,4-speed with reverse,Shaft drive (cardan)   (final drive),,,,,,3.75-19 ,3.75-19 ,Expanding brake,Expanding brake,365.0 kg (804.7 pounds),,,,125.0 km/h (77.7 mph),78.0 x 68.0 mm (3.1 x 2.7 inches),2,19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 80,1987,Classic," 4.0  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",797.0 ccm (48.63 cubic inches),"Two cylinder boxer, four-stroke",50.0 HP (36.5  kW)) @ 6500 RPM,8.2:1,,Overhead Valves (OHV),,,Air,5-speed,Shaft drive (cardan)   (final drive),,,,,,90/90-18 ,120/90-18 ,Single disc,Expanding brake,207.0 kg (456.4 pounds),,,,181.0 km/h (112.5 mph),84.8 x 70.6 mm (3.3 x 2.8 inches),2,22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KMX 125,1987,Cross / motocross," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 8500 RPM,8.0:1,,Membrane & variable discharge openings,,,Liquid,6-speed,Chain   (final drive),,,,,,2.75-21 ,4.10-18 ,Single disc,Single disc,118.0 kg (260.1 pounds),,,,107.0 km/h (66.5 mph),54.0 x 54.0 mm (2.1 x 2.1 inches),,9.00 litres (2.38 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 65 (reduced effect),1987,Sport touring," 3.2  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",649.0 ccm (39.60 cubic inches),"Two cylinder boxer, four-stroke",27.0 HP (19.7  kW)) @ 5500 RPM,8.4:1,,Overhead Valves (OHV),,,Air,5-speed,Shaft drive (cardan)   (final drive),,,,,,90/90-18 ,120/90-18 ,Single disc,Expanding brake,205.0 kg (451.9 pounds),,,,147.0 km/h (91.3 mph),82.0 x 61.5 mm (3.2 x 2.4 inches),2,22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda GL 1200 DX Gold Wing,1987,Touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1181.0 ccm (72.06 cubic inches),"Four cylinder boxer, four-stroke",94.0 HP (68.6  kW)) @ 7000 RPM,9.0:1,,Overhead Cams (OHC),,,Liquid,5-speed,Shaft drive (cardan)   (final drive),,,,,,130/90-16 ,150/90-15 ,Dual disc,Single disc,333.0 kg (734.1 pounds),,,,191.0 km/h (118.7 mph),75.5 x 66.0 mm (3.0 x 2.6 inches),2,22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson XLH Sportster 883 Evolution De Luxe,1987,Sport touring," 2.3  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",883.0 ccm (53.88 cubic inches),"V2, four-stroke",46.0 HP (33.6  kW)) @ 6000 RPM,9.0:1,,Overhead Valves (OHV),,,Air,4-speed,Chain   (final drive),,,,,,MJ 90-19 ,MT 90-16 ,Single disc,Single disc,222.0 kg (489.4 pounds),,,,149.0 km/h (92.6 mph),76.2 x 96.8 mm (3.0 x 3.8 inches),2,8.50 litres (2.25 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki RG 400 Gamma,1987,Sport," 3.2  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",400.0 ccm (24.41 cubic inches),"V4, two-stroke",59.0 HP (43.1  kW)) @ 9000 RPM,,Carburettor. 4xFlat slide Mikunis,Rotary valves,electronic,Oil injection,Liquid,6-speed,Chain   (final drive),Wet plate,Expansion chambers and mufflers,Aluminium box section,Telescopic forks,Suzuki full floater monoshock,110/90-16 ,120/90-17 ,Double disc. Four piston calipers,Single disc. Twin piston caliper,,Red/gray or blue/white,Kick,,230.0 km/h (142.9 mph),,,22.00 litres (5.81 US gallons),10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
