Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Top speed,Bore x stroke,Valves per cylinder,Fuel system,Gearbox,Transmission type,Front wheel travel,Rear wheel travel,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Dry weight,Power/weight ratio,Seat height,Wheelbase,Fuel capacity,Cooling system,Starter,"Weight incl. oil, gas, etc",Compression,Ignition,Lubrication system,Clutch,Fuel consumption,Greenhouse gases,Frame type,Trail,Front suspension,Rear suspension,Alternate seat height,Overall height,Reserve fuel capacity,Oil capacity,Electrical,Engine oil,Oil filter,Brake fluid,Coolant,Spark plugs,Idle speed,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,Overall length,Overall width,0-100 km/h (0-62 mph),"60-140 km/h (37-87 mph), highest gear",Front percentage of weight,Fuel control,Rake (fork angle),Ground clearance,Color options,Chain size,Max RPM,Exhaust system,Comments,Driveline,Battery,Rear percentage of weight,Engine details,Modifications compared to previous model
Malaguti Madison 250,2001,Scooter," 3.8  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",19.0 HP (13.9  kW)) @ 7000 RPM,21.0 Nm (2.1 kgf-m or 15.5 ft.lbs) @ 5750 RPM,,,,,,,,,,,,,,156.0 kg (343.9 pounds),0.1218 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Electra Glide Ultra Classic,2001,Touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1449.0 ccm (88.42 cubic inches),"V2, four-stroke",67.0 HP (48.9  kW)) @ 5200 RPM,110.0 Nm (11.2 kgf-m or 81.1 ft.lbs) @ 3500 RPM,165.0 km/h (102.5 mph),95.3 x 101.6 mm (3.8 x 4.0 inches),2,Injection,5-speed,Belt   (final drive),117 mm (4.6 inches),76 mm (3.0 inches),,,Dual disc,292 mm (11.5 inches),Single disc,,,"692 mm (27.2 inches) If adjustable, lowest setting.",1612 mm (63.5 inches),18.90 litres (4.99 US gallons),Air,Electric,385.0 kg (848.8 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XVS 1100 A Drag Star Classic,2001,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1063.0 ccm (64.86 cubic inches),"V2, four-stroke",62.0 HP (45.3  kW)) @ 5750 RPM,85.0 Nm (8.7 kgf-m or 62.7 ft.lbs) @ 2500 RPM,167.0 km/h (103.8 mph),95.0 x 75.0 mm (3.7 x 3.0 inches),2,Carburettor,5-speed,Shaft drive (cardan)   (final drive),140 mm (5.5 inches),113 mm (4.4 inches),130/90-S16 ,170/80-S15 ,Dual disc,282 mm (11.1 inches),Single disc,265.0 kg (584.2 pounds),0.2340 HP/kg,"710 mm (28.0 inches) If adjustable, lowest setting.",1645 mm (64.8 inches),17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 850 RT,2001,Touring," 3.1  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",848.0 ccm (51.74 cubic inches),"Two cylinder boxer, four-stroke",70.0 HP (51.1  kW)) @ 7000 RPM,,170.0 km/h (105.6 mph),,,,,,,,,,Dual disc,,Single disc,216.0 kg (476.2 pounds),0.3241 HP/kg,,1487 mm (58.5 inches),21.00 litres (5.55 US gallons),Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW F 650 GS,2001,Enduro / offroad," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",652.0 ccm (39.79 cubic inches),"Single cylinder, four-stroke",50.0 HP (36.5  kW)) @ 6500 RPM,60.0 Nm (6.1 kgf-m or 44.3 ft.lbs) @ 5000 RPM,,100.0 x 83.0 mm (3.9 x 3.3 inches),,Injection,5-speed,Chain   (final drive),170 mm (6.7 inches),165 mm (6.5 inches),100/90-S19 ,130/80-S17 ,Single disc. Two-piston calipers. ,240 mm (9.4 inches),Single disc. Single-piston caliper. ,,,"750 mm (29.5 inches) If adjustable, lowest setting.",1479 mm (58.2 inches),17.30 litres (4.57 US gallons),Liquid,,201.0 kg (443.1 pounds),11.5:1,Capacitor Discharge Ignition system ,Wet sump,"Multiple-disc clutch in oil bath, mechanically operated",4.70 litres/100 km (21.3 km/l or 50.05 mpg),109.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,Bridge-type steel section frame with bolted-on rear section,123 mm (4.8 inches),41mm Telescopic fork with stabilizer bridge,Spring setting and rebound stage damping continuously adjustable,"820 mm (32.3 inches) If adjustable, highest setting.",870 mm (34.3 inches),4.50 litres (1.19 US gallons),2.30 litres (2.43 US quarts),12V / 12Ah battery.,SAE 15W-50,K & N KN-151,DOT 4,1.00 litres (0.26 US gallons),"NGK DR8EB, NGK DR8EIX",1350  +/- 50  RPM,112,16/47 (front/rear),28 PSI (1.9 Bar or 190 kPa),30 PSI (2.1 Bar or 210 kPa),41 mm (1.6 inches),,,,,,,,,,,,,,,,,,
Triumph Speed Triple,2001,Naked bike," 3.9  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",955.0 ccm (58.27 cubic inches),"In-line three, four-stroke",110.0 HP (80.3  kW)) @ 9200 RPM,,230.0 km/h (142.9 mph),79.0 x 65.0 mm (3.1 x 2.6 inches),4,Injection,6-speed,Chain   (final drive),120 mm (4.7 inches),140 mm (5.5 inches),120/70-ZR17 ,190/50-ZR17 ,Dual disc,220 mm (8.7 inches),Single disc,196.0 kg (432.1 pounds),0.5612 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",1440 mm (56.7 inches),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XJ 600 S Diversion,2001,Allround," 3.5  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",61.0 HP (44.5  kW)) @ 8500 RPM,53.0 Nm (5.4 kgf-m or 39.1 ft.lbs) @ 7500 RPM,180.0 km/h (111.8 mph),58.5 x 55.7 mm (2.3 x 2.2 inches),2,Carburettor,6-speed,Chain   (final drive),140 mm (5.5 inches),110 mm (4.3 inches),110/80-H17 ,130/70-H18 ,Dual disc,245 mm (9.6 inches),Single disc,195.0 kg (429.9 pounds),0.3128 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",1445 mm (56.9 inches),17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki VZ 800 Marauder,2001,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",805.0 ccm (49.12 cubic inches),"V2, four-stroke",53.0 HP (38.7  kW)) @ 6500 RPM,66.0 Nm (6.7 kgf-m or 48.7 ft.lbs) @ 5000 RPM,160.0 km/h (99.4 mph),83.0 x 74.4 mm (3.3 x 2.9 inches),4,Carburettor,5-speed,Chain   (final drive),140 mm (5.5 inches),102 mm (4.0 inches),130/90-16 ,150/90-15 ,Single disc,180 mm (7.1 inches),Expanding brake,204.0 kg (449.7 pounds),0.2598 HP/kg,"700 mm (27.6 inches) If adjustable, lowest setting.",1645 mm (64.8 inches),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VTR 1000 F Firestorm,2001,Sport," 3.5  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",996.0 ccm (60.78 cubic inches),"V2, four-stroke",98.0 HP (71.5  kW)) @ 8500 RPM,90.0 Nm (9.2 kgf-m or 66.4 ft.lbs) @ 6500 RPM,240.0 km/h (149.1 mph),98.0 x 66.0 mm (3.9 x 2.6 inches),4,Carburettor,6-speed,Chain   (final drive),109 mm (4.3 inches),124 mm (4.9 inches),120/70-ZR17 ,180/55-ZR17 ,Dual disc,220 mm (8.7 inches),Single disc,192.0 kg (423.3 pounds),0.5104 HP/kg,"810 mm (31.9 inches) If adjustable, lowest setting.",1430 mm (56.3 inches),19.00 litres (5.02 US gallons),Liquid,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CA 125 Rebel,2001,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Twin, four-stroke",11.0 HP (8.0  kW)) @ 9500 RPM,9.0 Nm (0.9 kgf-m or 6.6 ft.lbs) @ 6000 RPM,,,,,5-speed,,,,,,Single disc,,,137.0 kg (302.0 pounds),0.0803 HP/kg,"675 mm (26.6 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Sportster 883 Hugger,2001,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",883.0 ccm (53.88 cubic inches),"V2, four-stroke",53.0 HP (38.7  kW)) @ 6000 RPM,67.0 Nm (6.8 kgf-m or 49.4 ft.lbs) @ 4400 RPM,168.0 km/h (104.4 mph),76.2 x 96.8 mm (3.0 x 3.8 inches),2,Carburettor,5-speed,Belt   (final drive),104 mm (4.1 inches),54 mm (2.1 inches),,,Single disc,292 mm (11.5 inches),Single disc,,,"687 mm (27.0 inches) If adjustable, lowest setting.",1505 mm (59.3 inches),12.50 litres (3.30 US gallons),Air,Electric,235.0 kg (518.1 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda Silver Wing 600,2001,Scooter," 3.0  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",582.0 ccm (35.51 cubic inches),"Twin, four-stroke",49.0 HP (35.8  kW)) @ 7500 RPM,50.0 Nm (5.1 kgf-m or 36.9 ft.lbs) @ 6000 RPM,,,,,,,,,,,,,,204.0 kg (449.7 pounds),0.2402 HP/kg,"740 mm (29.1 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piaggio X9 500,2001,Scooter," 3.5  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",460.0 ccm (28.07 cubic inches),"Single cylinder, four-stroke",39.0 HP (28.5  kW)) @ 7250 RPM,40.0 Nm (4.1 kgf-m or 29.5 ft.lbs) @ 5500 RPM,,,,,,,,,,,,,,,,"785 mm (30.9 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husqvarna WRE 125,2001,Enduro / offroad," 3.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",,,,,,,6-speed,Chain   (final drive),,,,,Single disc,,Single disc,108.0 kg (238.1 pounds),,"880 mm (34.6 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki ZRX 1200,2001,Naked bike," 3.9  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1164.0 ccm (71.03 cubic inches),"In-line four, four-stroke",122.0 HP (89.1  kW)) @ 8500 RPM,112.0 Nm (11.4 kgf-m or 82.6 ft.lbs) @ 7000 RPM,230.0 km/h (142.9 mph),79.0 x 59.4 mm (3.1 x 2.3 inches),4,Carburettor,5-speed,Chain   (final drive),120 mm (4.7 inches),123 mm (4.8 inches),120/70-ZR17 ,180/55-ZR17 ,Dual disc,250 mm (9.8 inches),Single disc,227.0 kg (500.4 pounds),0.5374 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",1465 mm (57.7 inches),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM LC4 Adventure 640,2001,Enduro / offroad," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",625.0 ccm (38.14 cubic inches),"Single cylinder, four-stroke",49.0 HP (35.8  kW)) @ 7500 RPM,52.0 Nm (5.3 kgf-m or 38.4 ft.lbs) @ 5500 RPM,165.0 km/h (102.5 mph),101.0 x 78.0 mm (4.0 x 3.1 inches),4,Carburettor,5-speed,Chain   (final drive),270 mm (10.6 inches),320 mm (12.6 inches),90/90-21 ,140/80-18 ,Single disc,220 mm (8.7 inches),Single disc,154.0 kg (339.5 pounds),0.3182 HP/kg,"935 mm (36.8 inches) If adjustable, lowest setting.",1510 mm (59.4 inches),28.00 litres (7.40 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki SV 650,2001,Naked bike," 3.9  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",645.0 ccm (39.36 cubic inches),"V2, four-stroke",70.0 HP (51.1  kW)) @ 9000 RPM,62.0 Nm (6.3 kgf-m or 45.7 ft.lbs) @ 7500 RPM,201.0 km/h (124.9 mph),81.0 x 62.6 mm (3.2 x 2.5 inches),4,Carburettor,6-speed,Chain   (final drive),130 mm (5.1 inches),125 mm (4.9 inches),120/60-ZR17 ,160/60-ZR17 ,Dual disc,240 mm (9.4 inches),Single disc,165.0 kg (363.8 pounds),0.4242 HP/kg,"805 mm (31.7 inches) If adjustable, lowest setting.",1420 mm (55.9 inches),16.00 litres (4.23 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 1200 Classic,2001,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1170.0 ccm (71.39 cubic inches),"Two cylinder boxer, four-stroke",61.0 HP (44.5  kW)) @ 5000 RPM,98.0 Nm (10.0 kgf-m or 72.3 ft.lbs) @ 3000 RPM,172.0 km/h (106.9 mph),101.0 x 73.0 mm (4.0 x 2.9 inches),4,Injection,5-speed,Shaft drive (cardan)   (final drive),144 mm (5.7 inches),100 mm (3.9 inches),100/90-ZR18 ,170/80-ZR15 ,Dual disc,285 mm (11.2 inches),Single disc,,,"740 mm (29.1 inches) If adjustable, lowest setting.",1650 mm (65.0 inches),17.00 litres (4.49 US gallons),Air,Electric,256.0 kg (564.4 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cagiva Navigator,2001,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",996.0 ccm (60.78 cubic inches),"V2, four-stroke",97.0 HP (70.8  kW)) @ 8400 RPM,88.0 Nm (9.0 kgf-m or 64.9 ft.lbs) @ 7000 RPM,210.0 km/h (130.5 mph),98.0 x 66.0 mm (3.9 x 2.6 inches),4,Injection,6-speed,Chain   (final drive),150 mm (5.9 inches),160 mm (6.3 inches),110/80-18 ,150/70-17 ,Dual disc,240 mm (9.4 inches),Single disc,210.0 kg (463.0 pounds),0.4619 HP/kg,"850 mm (33.5 inches) If adjustable, lowest setting.",1530 mm (60.2 inches),20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sachs ZZ 125,2001,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",15.0 HP (10.9  kW)) @ 8000 RPM,13.0 Nm (1.3 kgf-m or 9.6 ft.lbs) @ 7750 RPM,106.0 km/h (65.9 mph),56.0 x 50.7 mm (2.2 x 2.0 inches),,Carburettor,6-speed,Chain   (final drive),240 mm (9.4 inches),250 mm (9.8 inches),110/70-ZR17 ,150/60-ZR17 ,Single disc,220 mm (8.7 inches),Single disc,118.0 kg (260.1 pounds),0.1271 HP/kg,"850 mm (33.5 inches) If adjustable, lowest setting.",1420 mm (55.9 inches),14.60 litres (3.86 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati ST 4,2001,Sport touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",916.0 ccm (55.89 cubic inches),"V2, four-stroke",105.0 HP (76.6  kW)),89.0 Nm (9.1 kgf-m or 65.6 ft.lbs),,,,,6-speed,,,,,,Dual disc,,Single disc,215.0 kg (474.0 pounds),0.4884 HP/kg,"820 mm (32.3 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midual Roadster 900,2001,Naked bike,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,875.0 ccm (53.39 cubic inches),"V2, four-stroke",90.0 HP (65.7  kW)),83.0 Nm (8.5 kgf-m or 61.2 ft.lbs),,,,,5-speed,Chain   (final drive),,,,,Dual disc,,Single disc,185.0 kg (407.9 pounds),0.4865 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 748,2001,Sport," 3.3  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"V2, four-stroke",97.0 HP (70.8  kW)) @ 11000 RPM,74.0 Nm (7.5 kgf-m or 54.6 ft.lbs) @ 9000 RPM,240.0 km/h (149.1 mph),88.0 x 61.5 mm (3.5 x 2.4 inches),4,Injection,6-speed,Chain   (final drive),127 mm (5.0 inches),130 mm (5.1 inches),120/60-ZR17 ,180/55->R17 ,Dual disc,220 mm (8.7 inches),Single disc,196.0 kg (432.1 pounds),0.4949 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",1410 mm (55.5 inches),17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati Monster 600,2001,Naked bike," 3.5  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",583.0 ccm (35.57 cubic inches),"V2, four-stroke",54.0 HP (39.4  kW)) @ 8000 RPM,51.0 Nm (5.2 kgf-m or 37.6 ft.lbs) @ 7000 RPM,180.0 km/h (111.8 mph),80.0 x 58.0 mm (3.1 x 2.3 inches),2,Carburettor,5-speed,Chain   (final drive),120 mm (4.7 inches),144 mm (5.7 inches),120/60-ZR17 ,160/60-ZR17 ,Single disc,245 mm (9.6 inches),Single disc,178.0 kg (392.4 pounds),0.3034 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",1430 mm (56.3 inches),16.00 litres (4.23 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
