Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Compression,Bore x stroke,Valves per cylinder,Fuel control,Cooling system,Gearbox,Transmission type,Front tire,Rear tire,Front brakes,Rear brakes,"Weight incl. oil, gas, etc",Fuel capacity,Max RPM,Fuel system,Ignition,Clutch,Fuel consumption,Greenhouse gases,Exhaust system,Frame type,Dry weight,Power/weight ratio,Color options,Starter,Rake (fork angle),Trail,Front suspension,Rear suspension,Overall height,Overall length,Overall width,Modifications compared to previous model,Lubrication system,Seat height,Alternate seat height,Ground clearance,Wheelbase,Torque,1/4 mile (0.4 km),Diameter,Wheels,Carrying capacity,Rear wheel travel,Oil capacity,Electrical,Engine oil,Oil filter,Brake fluid,Battery,Spark plugs,Idle speed,Chain size,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,Front wheel travel,Reserve fuel capacity,Driveline,Comments,Engine details,Coolant
Harley-Davidson XLH 1000 Sportster,1982,Custom / cruiser," 3.1  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",997.0 ccm (60.84 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 6000 RPM,170.0 km/h (105.6 mph),8.8:1,81.0 x 96.8 mm (3.2 x 3.8 inches),2,Overhead Valves (OHV),Air,4-speed,Chain   (final drive),MJ 90-19 ,MT 90-16 ,Dual disc,Single disc,246.0 kg (542.3 pounds),8.50 litres (2.25 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda ST70C,1982,"Minibike, cross"," 3.1  See the detailed rating of the fun-factor, engine performance, racing track capabilities, etc. Compare with any other bike.",72.0 ccm (4.39 cubic inches),"Single cylinder, four-stroke",5.4 HP (3.9  kW)),65.0 km/h (40.4 mph),8.8:1,47.0 x 41.4 mm (1.9 x 1.6 inches),2,Overhead Cams (OHC),Air,3-speed,Chain   (final drive),3.50-10´ ,3.50-10´ ,Expanding brake (drum brake),Expanding brake (drum brake),,2.50 litres (0.66 US gallons),,Carburettor,,,,,,,69.0 kg (152.1 pounds),0.0777 HP/kg,Candy Saphire Blue PB-3C,,25.0°,58 mm (2.3 inches),Oil damper,Oil dampers,960 mm (37.8 inches),1510 mm (59.4 inches),570 mm (22.4 inches),Front suspension is an oil damper not a spring damper as previous models.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha DT 50 MX,1982,Trial," 2.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",50.0 ccm (3.05 cubic inches),"Single cylinder, two-stroke",3.1 HP (2.3  kW)),,,,,Port control,Air,5-speed,Chain   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),85.0 kg (187.4 pounds),,,Carburettor,key,,,,Gaenelli,,81.0 kg (178.6 pounds),0.0383 HP/kg,Red and white and black and blue,Electric & kick,,,,Monoshock,,,,,Oil pump,"790 mm (31.1 inches) If adjustable, lowest setting.","790 mm (31.1 inches) If adjustable, highest setting.",255 mm (10.0 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda GL 1100 Gold Wing Interstate,1982,Touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1084.0 ccm (66.15 cubic inches),"Four cylinder boxer, four-stroke",83.0 HP (60.6  kW)) @ 7500 RPM,195.0 km/h (121.2 mph),9.2:1,75.0 x 61.4 mm (3.0 x 2.4 inches),2,Overhead Cams (OHC),Liquid,5-speed,Shaft drive (cardan)   (final drive),110/90-19 ,130/90-17 ,Dual disc,Single disc,330.0 kg (727.5 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KE 175,1982,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",175.0 ccm (10.68 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 7500 RPM,113.0 km/h (70.2 mph),6.0:1,62.5 x 57.0 mm (2.5 x 2.2 inches),,Membrane,Air,5-speed,Chain   (final drive),2.75-21 ,3.50-18 ,Expanding brake,Expanding brake,116.0 kg (255.7 pounds),9.50 litres (2.51 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 80 ST,1982,Allround," 3.8  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",797.0 ccm (48.63 cubic inches),"Two cylinder boxer, four-stroke",50.0 HP (36.5  kW)) @ 6500 RPM,172.0 km/h (106.9 mph),8.2:1,84.8 x 70.6 mm (3.3 x 2.8 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),100/90-19 ,120/90-18 ,Single disc,Expanding brake,197.0 kg (434.3 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki GPZ 1100 (reduced effect),1982,Sport touring," 3.2  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1089.0 ccm (66.45 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 8750 RPM,240.0 km/h (149.1 mph),9.5:1,72.5 x 66.0 mm (2.9 x 2.6 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),3.25-19 ,4.25-18 ,Dual disc,Single disc,266.0 kg (586.4 pounds),20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 1100 R (reduced effect),1982,Allround," 3.5  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",1062.0 ccm (64.80 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 9000 RPM,234.0 km/h (145.4 mph),10.0:1,70.0 x 69.0 mm (2.8 x 2.7 inches),4,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),100/90-18 ,130/80-18 ,Dual disc,Single disc,259.0 kg (571.0 pounds),26.00 litres (6.87 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda MB5,1982,Sport," 3.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",50.0 ccm (3.05 cubic inches),"Single cylinder, two-stroke",7.0 HP (5.1  kW)),,,,,,,,,,,,,,,,Carburettor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zündapp KS 175,1982,Sport touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",163.0 ccm (9.95 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 7400 RPM,126.0 km/h (78.3 mph),8.7:1,62.0 x 54.0 mm (2.4 x 2.1 inches),,Port control,Liquid,5-speed,Chain   (final drive),2.75-18 ,3.25-18 ,Single disc,Expanding brake,121.0 kg (266.8 pounds),14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 650 RC (reduced effect),1982,Custom / cruiser," 3.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",627.0 ccm (38.26 cubic inches),"In-line four, four-stroke",50.0 HP (36.5  kW)) @ 8000 RPM,175.0 km/h (108.7 mph),9.0:1,59.8 x 55.8 mm (2.4 x 2.2 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.50-19 ,130 90-16 ,,Expanding brake,220.0 kg (485.0 pounds),14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malanca 125 E 2 C Sport,1982,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Twin, two-stroke",17.0 HP (12.4  kW)) @ 9300 RPM,120.0 km/h (74.6 mph),10.0:1,43.0 x 43.0 mm (1.7 x 1.7 inches),,Port control,Air,5-speed,Chain   (final drive),80/90-18 ,80/90-18 ,Dual disc,Single disc,115.0 kg (253.5 pounds),11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph T 140 E Bonneville,1982,Classic," 3.5  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",744.0 ccm (45.40 cubic inches),"Twin, four-stroke",49.0 HP (35.8  kW)) @ 6500 RPM,176.0 km/h (109.4 mph),9.0:1,76.0 x 82.0 mm (3.0 x 3.2 inches),2,Overhead Valves (OHV),Air,5-speed,Chain   (final drive),4.10-19 ,4.10-18 ,Single disc,Single disc,206.0 kg (454.2 pounds),18.50 litres (4.89 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XV 750 SE,1982,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 6500 RPM,164.0 km/h (101.9 mph),8.7:1,83.0 x 69.2 mm (3.3 x 2.7 inches),2,Overhead Cams (OHC),Air,5-speed,Shaft drive (cardan)   (final drive),3.50-19 ,130/90-16 ,Single disc,Expanding brake,227.0 kg (500.4 pounds),12.00 litres (3.17 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph TSX,1982,Touring," 3.3  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",744.0 ccm (45.40 cubic inches),"Twin, four-stroke",49.0 HP (35.8  kW)) @ 6500 RPM,162.0 km/h (100.7 mph),8.0:1,76.0 x 82.0 mm (3.0 x 3.2 inches),2,Overhead Valves (OHV),Air,5-speed,Chain   (final drive),MJ 90-19 ,MT 90-16 ,Single disc,Single disc,200.0 kg (440.9 pounds),10.50 litres (2.77 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Z 250 LTD,1982,Classic," 3.2  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",246.0 ccm (15.01 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)) @ 7000 RPM,116.0 km/h (72.1 mph),8.9:1,70.0 x 64.0 mm (2.8 x 2.5 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),2.75-18 ,4.60-16 ,Expanding brake,Expanding brake,143.0 kg (315.3 pounds),8.00 litres (2.11 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XJ 750 Seca,1982,Sport touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",748.0 ccm (45.64 cubic inches),"In-line four, four-stroke",82.0 HP (59.9  kW)) @ 9000 RPM,204.0 km/h (126.8 mph),9.2:1,65.0 x 56.4 mm (2.6 x 2.2 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Shaft drive (cardan)   (final drive),3.25-19 ,120/90-18 ,Dual disc,Expanding brake,241.0 kg (531.3 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XT 500,1982,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 5900 RPM,132.0 km/h (82.0 mph),9.0:1,87.0 x 84.0 mm (3.4 x 3.3 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.25-21 ,4.00-18 ,Expanding brake,Expanding brake,155.0 kg (341.7 pounds),9.00 litres (2.38 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benelli 654 Sport,1982,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,604.0 ccm (36.86 cubic inches),"In-line four, four-stroke",50.0 HP (36.5  kW)) @ 8700 RPM,165.0 km/h (102.5 mph),9.3:1,60.0 x 53.4 mm (2.4 x 2.1 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.25-18 ,3.50-18 ,Dual disc,Single disc,203.0 kg (447.5 pounds),22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Morini 500 T,1982,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,478.0 ccm (29.17 cubic inches),"V2, four-stroke",42.0 HP (30.7  kW)) @ 7500 RPM,165.0 km/h (102.5 mph),11.2:1,69.0 x 64.0 mm (2.7 x 2.5 inches),2,Overhead Valves (OHV),Air,5-speed,Chain   (final drive),100/90-18 ,4.00-18 ,Dual disc,Single disc,184.0 kg (405.7 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CBX 550 F (reduced effect),1982,Sport touring,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,572.0 ccm (34.90 cubic inches),"In-line four, four-stroke",50.0 HP (36.5  kW)) @ 8500 RPM,182.0 km/h (113.1 mph),9.5:1,59.2 x 52.0 mm (2.3 x 2.0 inches),4,Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),3.60-18 ,4.10-18 ,Dual disc,Single disc,209.0 kg (460.8 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motobi 254,1982,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,231.0 ccm (14.10 cubic inches),"In-line four, four-stroke",27.0 HP (19.7  kW)) @ 10600 RPM,156.0 km/h (96.9 mph),10.5:1,44.0 x 38.0 mm (1.7 x 1.5 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),2.75-18 ,3.00-18 ,Single disc,Expanding brake,130.0 kg (286.6 pounds),8.00 litres (2.11 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha CA50M,1982,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",,72.0 km/h (44.7 mph),7.0:1,40.0 x 39.2 mm (1.6 x 1.5 inches),,Port control,Air,Automatic,Belt   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),63.0 kg (138.9 pounds),3.80 litres (1.00 US gallons),,Carburettor,CDI,"Dry, Centrifugal automatic",,,,Steel tube underbone,,,,Electric & kick,27.0°,75 mm (3.0 inches),"Bottom link coil sprung, oil dampened","Coil sprung, oil dampened",1005 mm (39.6 inches),1660 mm (65.4 inches),620 mm (24.4 inches),,Yamaha Autolube,,,110 mm (4.3 inches),1130 mm (44.5 inches),,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CL 250 S,1982,Trial," 3.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",248.0 ccm (15.13 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)) @ 6500 RPM,109.0 km/h (67.7 mph),9.3:1,74.0 x 57.8 mm (2.9 x 2.3 inches),4,Overhead Cams (OHC),Air,6-speed,Chain   (final drive),3.00-19 ,3.50-18 ,Expanding brake,Expanding brake,145.0 kg (319.7 pounds),11.50 litres (3.04 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XS 1100 S,1982,Classic," 4.0  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",1101.0 ccm (67.18 cubic inches),"In-line four, four-stroke",95.0 HP (69.3  kW)) @ 8000 RPM,217.0 km/h (134.8 mph),9.2:1,71.5 x 68.6 mm (2.8 x 2.7 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Shaft drive (cardan)   (final drive),3.50-19 ,4.50-17 ,Dual disc,Single disc,276.0 kg (608.5 pounds),24.00 litres (6.34 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CX 500,1982,Touring," 3.9  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",497.0 ccm (30.33 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 9000 RPM,176.0 km/h (109.4 mph),10.0:1,78.0 x 52.0 mm (3.1 x 2.0 inches),4,Overhead Valves (OHV),Liquid,5-speed,Shaft drive (cardan)   (final drive),3.25-19 ,3.75-18 ,Dual disc,Expanding brake,221.0 kg (487.2 pounds),17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XT 550 (reduced effect),1982,Enduro / offroad," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",558.0 ccm (34.05 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 5500 RPM,129.0 km/h (80.2 mph),8.5:1,92.0 x 84.0 mm (3.6 x 3.3 inches),4,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-21 ,4.60-18 ,Expanding brake,Expanding brake,145.0 kg (319.7 pounds),12.00 litres (3.17 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Z 650 SR D-4,1982,Touring," 2.9  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",652.0 ccm (39.79 cubic inches),"In-line four, four-stroke",61.7 HP (45.0  kW)) @ 9000 RPM,,,,2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),,,Double disc,Single disc,,,,Carburettor. Mikuni 4 x 28 mm,,,,,4 in 2,,235.0 kg (518.1 pounds),0.2625 HP/kg,Luminous Wine Red,Electric,,,,,,,,,Wet sump,,,,1440 mm (56.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,
Laverda 500 SFC,1982,Sport," 3.1  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",496.0 ccm (30.27 cubic inches),"Twin, four-stroke",45.0 HP (32.8  kW)) @ 8200 RPM,182.0 km/h (113.1 mph),9.2:1,72.0 x 61.0 mm (2.8 x 2.4 inches),4,Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),100/90-18 ,110/90-18 ,Dual disc,Single disc,194.0 kg (427.7 pounds),14.50 litres (3.83 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Morini 400 S,1982,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,396.0 ccm (24.16 cubic inches),"V2, four-stroke",37.0 HP (27.0  kW)) @ 8040 RPM,165.0 km/h (102.5 mph),11.0:1,66.5 x 57.0 mm (2.6 x 2.2 inches),2,Overhead Valves (OHV),Air,6-speed,Chain   (final drive),100/90-18 ,3.50-18 ,Dual disc,Single disc,156.0 kg (343.9 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Morini 500 S,1982,Sport touring," 3.2  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",478.0 ccm (29.17 cubic inches),"V2, four-stroke",42.0 HP (30.7  kW)) @ 7500 RPM,170.0 km/h (105.6 mph),11.2:1,69.0 x 64.0 mm (2.7 x 2.5 inches),2,Overhead Valves (OHV),Air,5-speed,Chain   (final drive),100/90-18 ,4.00-18 ,Dual disc,Single disc,184.0 kg (405.7 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
