Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Compression,Bore x stroke,Valves per cylinder,Fuel control,Cooling system,Gearbox,Transmission type,Front tire,Rear tire,Front brakes,Rear brakes,"Weight incl. oil, gas, etc",Fuel capacity,Fuel system,Ignition,Lubrication system,Clutch,Exhaust system,Reserve fuel capacity,Starter,Torque,Front suspension,Rear suspension,Dry weight,Power/weight ratio,Overall height,Overall length,Overall width,Ground clearance,Wheelbase,Color options,Frame type,Diameter,Max RPM,Front wheel travel,Rear wheel travel,Rake (fork angle),Trail,Comments,Modifications compared to previous model,0-100 km/h (0-62 mph),Fuel consumption,Greenhouse gases,Oil capacity,Front percentage of weight,Rear percentage of weight,Seat height,Engine oil,Oil filter,Brake fluid,Battery,Spark plugs,Chain size,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,Driveline,Electrical,Idle speed,Wheels,Factory warranty
Hercules K 125 Military,1978,Enduro / offroad," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",12.5 HP (9.1  kW)) @ 7000 RPM,94.0 km/h (58.4 mph),9.0:1,54.0 x 54.0 mm (2.1 x 2.1 inches),,Port control,Air,5-speed,Chain   (final drive),3.25-18 ,3.50-18 ,Expanding brake,Expanding brake,135.0 kg (297.6 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dnepr MT 10 (with sidecar),1978,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,650.0 ccm (39.66 cubic inches),"Two cylinder boxer, four-stroke",25.0 HP (18.2  kW)) @ 5200 RPM,110.0 km/h (68.4 mph),7.8:1,78.0 x 68.0 mm (3.1 x 2.7 inches),2,Overhead Valves (OHV),Air,4-speed with reverse,Shaft drive (cardan)   (final drive),3.75-19 ,3.75-19 ,Expanding brake,Expanding brake,350.0 kg (771.6 pounds),21.00 litres (5.55 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KH 250,1978,Classic," 2.9  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"In-line three, two-stroke",26.0 HP (19.0  kW)) @ 7000 RPM,138.0 km/h (85.7 mph),7.5:1,45.0 x 52.3 mm (1.8 x 2.1 inches),,Port control,Air,5-speed,Chain   (final drive),3.00-18 ,3.50-18 ,Single disc,Expanding brake,175.0 kg (385.8 pounds),14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XS 650,1978,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",654.0 ccm (39.91 cubic inches),"Twin, four-stroke",50.0 HP (36.5  kW)) @ 6800 RPM,181.0 km/h (112.5 mph),8.4:1,75.0 x 74.0 mm (3.0 x 2.9 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Dual disc,Expanding brake,221.0 kg (487.2 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GT 750,1978,Touring," 3.3  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",739.0 ccm (45.09 cubic inches),"In-line three, two-stroke",63.0 HP (46.0  kW)) @ 6500 RPM,192.0 km/h (119.3 mph),6.7:1,70.0 x 64.0 mm (2.8 x 2.5 inches),,Port control,Liquid,5-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Dual disc,Expanding brake,251.0 kg (553.4 pounds),17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 45,1978,Touring," 3.3  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",473.0 ccm (28.86 cubic inches),"Two cylinder boxer, four-stroke",35.0 HP (25.5  kW)) @ 7250 RPM,160.0 km/h (99.4 mph),9.2:1,70.0 x 61.5 mm (2.8 x 2.4 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),3.25-18 ,4.00-18 ,Single disc,Expanding brake,206.0 kg (454.2 pounds),22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MV Agusta 125 S,1978,Classic," 3.1  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",123.0 ccm (7.51 cubic inches),"Single cylinder, four-stroke",9.0 HP (6.6  kW)) @ 8200 RPM,111.0 km/h (69.0 mph),9.0:1,53.0 x 56.0 mm (2.1 x 2.2 inches),2,Overhead Valves (OHV),Air,5-speed,Chain   (final drive),2.75-18 ,3.00-18 ,Single disc,Expanding brake,108.0 kg (238.1 pounds),14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph T 140 V Tiger,1978,Classic," 3.2  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",744.0 ccm (45.40 cubic inches),"Twin, four-stroke",45.0 HP (32.8  kW)) @ 6000 RPM,172.0 km/h (106.9 mph),7.9:1,76.0 x 82.0 mm (3.0 x 3.2 inches),2,Overhead Valves (OHV),Air,5-speed,Chain   (final drive),3.25-19 ,4.10-18 ,Single disc,Single disc,197.0 kg (434.3 pounds),18.50 litres (4.89 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bultaco Streaker 125,1978,Classic," 3.0  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",119.0 ccm (7.26 cubic inches),"Single cylinder, two-stroke",10.0 HP (7.3  kW)) @ 9000 RPM,116.0 km/h (72.1 mph),12.0:1,54.2 x 51.5 mm (2.1 x 2.0 inches),,Port control,Air,6-speed,Chain   (final drive),2.50-18 ,2.75-18 ,Single disc,Single disc,94.0 kg (207.2 pounds),10.50 litres (2.77 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IZH Planeta Sport,1978,Sport," 2.9  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",340.0 ccm (20.75 cubic inches),"Single cylinder, two-stroke",26.0 HP (19.0  kW)) @ 6500 RPM,140.0 km/h (87.0 mph),10.0:1,76.0 x 75.0 mm (3.0 x 3.0 inches),,Port control,Air,4-speed,Chain   (final drive),3.00-19 ,3.50-18 ,Expanding brake,Expanding brake,145.0 kg (319.7 pounds),14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Münch 4-1200 TTS,1978,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1289.0 ccm (78.65 cubic inches),"In-line four, four-stroke",98.0 HP (71.5  kW)) @ 6600 RPM,194.0 km/h (120.5 mph),9.1:1,78.5 x 66.6 mm (3.1 x 2.6 inches),2,Overhead Cams (OHC),Air,4-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Dual disc,Single disc,298.0 kg (657.0 pounds),24.00 litres (6.34 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson XLS 1000 Low Rider,1978,Custom / cruiser," 2.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",997.0 ccm (60.84 cubic inches),"V2, four-stroke",57.0 HP (41.6  kW)) @ 6000 RPM,180.0 km/h (111.8 mph),9.0:1,81.0 x 96.8 mm (3.2 x 3.8 inches),2,Overhead Valves (OHV),Air,4-speed,Chain   (final drive),3.75-19 ,4.25-18 ,Dual disc,Single disc,240.0 kg (529.1 pounds),13.50 litres (3.57 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Z 200,1978,Allround," 2.6  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",198.0 ccm (12.08 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)) @ 8000 RPM,121.0 km/h (75.2 mph),9.0:1,66.0 x 58.0 mm (2.6 x 2.3 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),2.75-18 ,3.25-17 ,Single disc,Expanding brake,154.0 kg (339.5 pounds),14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MV Agusta 500 S,1978,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,495.0 ccm (30.20 cubic inches),"Twin, four-stroke",43.0 HP (31.4  kW)) @ 8200 RPM,162.0 km/h (100.7 mph),9.0:1,75.0 x 56.0 mm (3.0 x 2.2 inches),2,Overhead Valves (OHV),Air,5-speed,Chain   (final drive),3.00-18 ,3.50-18 ,Dual disc,Single disc,158.0 kg (348.3 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki SP 370,1978,Enduro / offroad," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",370.0 ccm (22.58 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 7500 RPM,129.0 km/h (80.2 mph),8.9:1,85.0 x 65.2 mm (3.3 x 2.6 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-21 ,4.00-18 ,Expanding brake,Expanding brake,135.0 kg (297.6 pounds),8.50 litres (2.25 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki TS 400 Hustler,1978,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,396.0 ccm (24.16 cubic inches),"Single cylinder, two-stroke",34.0 HP (24.8  kW)) @ 6000 RPM,,6.8:1,81.0 x 75.0 mm (3.2 x 3.0 inches),,,Air,,Chain   (final drive),3-21 ,4-18 ,Expanding brake (drum brake),Expanding brake (drum brake),,8.30 litres (2.19 US gallons),Injection. Mikuni 58SS,PEI,,"Wet, multiplate",,,Kick,40.0 Nm (4.1 kgf-m or 29.5 ft.lbs) @ 5500 RPM,Telescopic,"Swingarm , Dual Shocks",124.0 kg (273.4 pounds),0.2742 HP/kg,1130 mm (44.5 inches),2240 mm (88.2 inches),889 mm (35.0 inches),191 mm (7.5 inches),1425 mm (56.1 inches),Black/Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GP 125,1978,Naked bike," 2.6  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",10.0 HP (7.3  kW)) @ 8000 RPM,117.0 km/h (72.7 mph),6.9:1,56.0 x 50.0 mm (2.2 x 2.0 inches),,Rotary valves,Air,5-speed,Chain   (final drive),2.75-18 ,3.00-18 ,Single disc,Expanding brake,103.0 kg (227.1 pounds),10.00 litres (2.64 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MV Agusta 1100 Grand Prix,1978,Sport," 3.1  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",1066.0 ccm (65.05 cubic inches),"In-line four, four-stroke",119.0 HP (86.9  kW)) @ 10200 RPM,237.0 km/h (147.3 mph),10.5:1,74.0 x 62.0 mm (2.9 x 2.4 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),3.50-18 ,4.00-18 ,Dual disc,Single disc,243.0 kg (535.7 pounds),26.00 litres (6.87 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Z 750,1978,Classic," 3.4  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",745.0 ccm (45.46 cubic inches),"Twin, four-stroke",50.0 HP (36.5  kW)) @ 7000 RPM,176.0 km/h (109.4 mph),8.5:1,78.0 x 78.0 mm (3.1 x 3.1 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Single disc,Single disc,235.0 kg (518.1 pounds),14.50 litres (3.83 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda XL 250,1978,Enduro / offroad," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",248.0 ccm (15.13 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)) @ 7000 RPM,115.0 km/h (71.5 mph),9.1:1,74.0 x 57.8 mm (2.9 x 2.3 inches),4,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-21 ,4.00-18 ,Expanding brake,Expanding brake,148.0 kg (326.3 pounds),9.50 litres (2.51 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XS 500,1978,Naked bike," 3.2  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",499.0 ccm (30.45 cubic inches),"Twin, four-stroke",49.0 HP (35.8  kW)) @ 8250 RPM,118.0 km/h (73.3 mph),8.5:1,73.0 x 59.6 mm (2.9 x 2.3 inches),4,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Single disc,Single disc,210.0 kg (463.0 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MuZ TS 125,1978,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",10.0 HP (7.3  kW)) @ 6300 RPM,100.0 km/h (62.1 mph),10.0:1,52.0 x 58.0 mm (2.0 x 2.3 inches),,Port control,Air,4-speed,Chain   (final drive),2.75-18 ,3.00-18 ,Expanding brake,Expanding brake,127.0 kg (280.0 pounds),12.50 litres (3.30 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laverda Alpino 500 S,1978,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,497.0 ccm (30.33 cubic inches),"Twin, four-stroke",44.0 HP (32.1  kW)) @ 9500 RPM,169.0 km/h (105.0 mph),,72.0 x 61.0 mm (2.8 x 2.4 inches),,Double Overhead Cams/Twin Cam (DOHC),Air,,Chain   (final drive),90/90-17 ,110/90-18 ,Double disc,Single disc,,13.50 litres (3.57 US gallons),Carburettor. Dell´Orto 2x32mm,CDI,,,,,,44.7 Nm (4.6 kgf-m or 33.0 ft.lbs) @ 5200 RPM,Telescopic,Marzocchi 5-Way Adjustable Shocks,175.0 kg (385.8 pounds),0.2514 HP/kg,,,,,,Black,Steel Loop,260 mm (10.2 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 250 T,1978,Touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",250.0 ccm (15.26 cubic inches),"Twin, four-stroke",17.0 HP (12.4  kW)) @ 8500 RPM,117.0 km/h (72.7 mph),9.4:1,62.0 x 41.4 mm (2.4 x 1.6 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.60-18 ,4.10-18 ,Single disc,Expanding brake,185.0 kg (407.9 pounds),14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XS 750 E,1978,Touring," 3.9  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",747.0 ccm (45.58 cubic inches),"In-line three, four-stroke",74.0 HP (54.0  kW)) @ 8400 RPM,198.0 km/h (123.0 mph),9.2:1,68.0 x 68.6 mm (2.7 x 2.7 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Shaft drive (cardan)   (final drive),3.25-19 ,4.00-18 ,Dual disc,Single disc,257.0 kg (566.6 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda XL 125,1978,Allround," 3.6  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",10.0 HP (7.3  kW)) @ 9400 RPM,100.0 km/h (62.1 mph),9.4:1,56.5 x 49.5 mm (2.2 x 1.9 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),2.75-21 ,3.50-18 ,Expanding brake,Expanding brake,109.0 kg (240.3 pounds),6.00 litres (1.59 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sanglas 400 F,1978,Naked bike," 3.0  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",422.0 ccm (25.75 cubic inches),"Single cylinder, four-stroke",24.0 HP (17.5  kW)) @ 5800 RPM,136.0 km/h (84.5 mph),7.5:1,82.5 x 79.0 mm (3.2 x 3.1 inches),2,Overhead Valves (OHV),Air,4-speed,Chain   (final drive),3.25-18 ,3.50-18 ,Dual disc,Expanding brake,186.0 kg (410.1 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 125 RS,1978,Cross / motocross," 2.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 7500 RPM,120.0 km/h (74.6 mph),11.8:1,54.0 x 54.0 mm (2.1 x 2.1 inches),,Port control,Air,6-speed,Chain   (final drive),2.75-17 ,3.00-17 ,Single disc,Single disc,111.0 kg (244.7 pounds),12.00 litres (3.17 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha RS 200,1978,Classic," 2.8  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",195.0 ccm (11.90 cubic inches),"Twin, two-stroke",,128.7 km/h (80.0 mph),,,,,Air,5-speed,Chain   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),,,Carburettor,,pump,,double,,Electric & kick,,,,,,,,,,,,crmo steel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 900 SD Darmah,1978,Super motard," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",864.0 ccm (52.72 cubic inches),"V2, four-stroke",70.0 HP (51.1  kW)) @ 7000 RPM,200.0 km/h (124.3 mph),9.4:1,86.0 x 74.4 mm (3.4 x 2.9 inches),2,Desmodromic valve control,Air,5-speed,Chain   (final drive),3.50-18 ,4.25-18 ,Dual disc,Single disc,240.0 kg (529.1 pounds),16.00 litres (4.23 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GT 250 X 7,1978,Classic," 3.1  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",247.0 ccm (15.07 cubic inches),"Twin, two-stroke",27.0 HP (19.7  kW)) @ 8000 RPM,149.0 km/h (92.6 mph),6.7:1,54.0 x 54.0 mm (2.1 x 2.1 inches),,Membrane,Air,6-speed,Chain   (final drive),3.00-18 ,3.50-18 ,Single disc,Expanding brake,145.0 kg (319.7 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Z 650,1978,Touring," 4.2  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",652.0 ccm (39.79 cubic inches),"In-line four, four-stroke",66.0 HP (48.2  kW)) @ 8500 RPM,190.0 km/h (118.1 mph),9.5:1,62.0 x 54.0 mm (2.4 x 2.1 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Dual disc,Expanding brake,220.0 kg (485.0 pounds),16.50 litres (4.36 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
