Model,Year,Category,Rating,Displacement,Engine type,Compression,Bore x stroke,Fuel system,Cooling system,Gearbox,Front wheel travel,Rear wheel travel,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Dry weight,Overall height,Overall length,Overall width,Wheelbase,Fuel capacity,Reserve fuel capacity,Starter,Power,Torque,Top speed,Valves per cylinder,Transmission type,Front suspension,Rear suspension,Power/weight ratio,Seat height,Fuel control,Ground clearance,Ignition,Driveline,"Weight incl. oil, gas, etc",Oil capacity,Engine oil,Brake fluid,Coolant,Spark plugs,Idle speed,Tire pressure front,Tire pressure rear,Fork tube size,Lubrication system,Clutch,Fuel consumption,Greenhouse gases,Rake (fork angle),Trail,Oil filter,Battery,Sprockets,Belt teeth,Belt width,Pulley teeth,Comments,Alternate seat height,Front percentage of weight,Rear percentage of weight,Frame type,Exhaust system,Color options,0-100 km/h (0-62 mph),1/4 mile (0.4 km),Max RPM,Modifications compared to previous model,Chain size,Chain links,Carrying capacity,Engine details,Seat
Kawasaki VN 1500 Classic Fi,2002,Custom / cruiser," 3.9  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1471.0 ccm (89.76 cubic inches),"V2, four-stroke",,,Injection,,5-speed,,,,,Single disc,,,299.0 kg (659.2 pounds),,,,,,,Electric,65.0 HP (47.4  kW)),,,4,,,,0.2174 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati ST 4 S,2002,Sport touring," 3.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",996.0 ccm (60.78 cubic inches),"V2, four-stroke",11.5:1,98.0 x 66.0 mm (3.9 x 2.6 inches),Injection,Liquid,6-speed,130 mm (5.1 inches),148 mm (5.8 inches),120/70-ZR17 ,180/55-ZR17 ,Dual disc,245 mm (9.6 inches),Single disc,212.0 kg (467.4 pounds),1180 mm (46.5 inches),2070 mm (81.5 inches),,1430 mm (56.3 inches),21.00 litres (5.55 US gallons),6.00 litres (1.59 US gallons),Electric,117.0 HP (85.4  kW)) @ 8750 RPM,98.0 Nm (10.0 kgf-m or 72.3 ft.lbs) @ 7000 RPM,,4,Chain   (final drive),,,0.5519 HP/kg,"820 mm (32.3 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VTX 1800 S,2002,Custom / cruiser," 4.0  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1795.0 ccm (109.53 cubic inches),"V2, four-stroke",9.0:1,101.0 x 112.0 mm (4.0 x 4.4 inches),,Liquid,5-speed,130 mm (5.1 inches),99 mm (3.9 inches),150/80-17 ,180/70-15 ,Dual disc,316 mm (12.4 inches),Single disc,335.2 kg (739.0 pounds),,,,1715 mm (67.5 inches),24.10 litres (6.37 US gallons),,,107.0 HP (78.1  kW)) @ 5000 RPM,163.0 Nm (16.6 kgf-m or 120.2 ft.lbs) @ 3000 RPM,,3,Shaft drive (cardan)   (final drive),,,0.3192 HP/kg,"693 mm (27.3 inches) If adjustable, lowest setting.",Single Overhead Cams (SOHC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 850 R,2002,Naked bike," 3.5  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",848.0 ccm (51.74 cubic inches),"Two cylinder boxer, four-stroke",,87.5 x 70.5 mm (3.4 x 2.8 inches),,,,120 mm (4.7 inches),135 mm (5.3 inches),120/70-ZR17 ,160/60-ZR18 ,,,,235.0 kg (518.1 pounds),,,,,18.00 litres (4.76 US gallons),4.00 litres (1.06 US gallons),Electric,70.0 HP (51.1  kW)) @ 7000 RPM,77.0 Nm (7.9 kgf-m or 56.8 ft.lbs) @ 5500 RPM,187.0 km/h (116.2 mph),4,Shaft drive (cardan)   (final drive),,,0.2979 HP/kg,"760 mm (29.9 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gilera Zulu 50,2002,Enduro / offroad," 4.0  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",49.9 ccm (3.04 cubic inches),"Single cylinder, two-stroke",,,,Liquid,6-speed,,,90/90-21 ,130/80-17 ,Single disc,185 mm (7.3 inches),Single disc,96.0 kg (211.6 pounds),,,,,6.00 litres (1.59 US gallons),,,,,,,,,,,"845 mm (33.3 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda FTR,2002,Naked bike," 3.8  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",223.0 ccm (13.61 cubic inches),"Single cylinder, four-stroke",9.0:1,65.5 x 66.2 mm (2.6 x 2.6 inches),Carburettor,Air,5-speed,,,120/90-18 65P ,120/90-18 65P ,Single disc,,Expanding brake,119.0 kg (262.4 pounds),1115 mm (43.9 inches),2080 mm (81.9 inches),910 mm (35.8 inches),1395 mm (54.9 inches),7.20 litres (1.90 US gallons),,,19.0 HP (13.9  kW)) @ 7000 RPM,21.0 Nm (2.1 kgf-m or 15.5 ft.lbs) @ 6000 RPM,,,,,,0.1597 HP/kg,"780 mm (30.7 inches) If adjustable, lowest setting.",Overhead Cams (OHC),180 mm (7.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha YP 250 Majesty,2002,Scooter," 3.2  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",10.0:1,69.0 x 66.8 mm (2.7 x 2.6 inches),,Liquid,,100 mm (3.9 inches),90 mm (3.5 inches),110/90-12 64L ,130/70-12 62L ,Single disc,230 mm (9.1 inches),Single disc,156.0 kg (343.9 pounds),1350 mm (53.1 inches),2140 mm (84.3 inches),780 mm (30.7 inches),1500 mm (59.1 inches),,,,,,,,,,,,"730 mm (28.7 inches) If adjustable, lowest setting.",,156 mm (6.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia RS 125,2002,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",124.8 ccm (7.62 cubic inches),"Single cylinder, two-stroke",12.5:1,54.0 x 54.5 mm (2.1 x 2.1 inches),Carburettor,Liquid,6-speed,120 mm (4.7 inches),120 mm (4.7 inches),110/70-17 ,150/60-17 ,Single disc,220 mm (8.7 inches),Single disc,114.0 kg (251.3 pounds),1090 mm (42.9 inches),1960 mm (77.2 inches),615 mm (24.2 inches),1345 mm (53.0 inches),14.00 litres (3.70 US gallons),3.00 litres (0.79 US gallons),,,,,,Chain   (final drive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buell X1 Lightning,2002,Naked bike," 3.7  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1203.0 ccm (73.41 cubic inches),"V2, four-stroke",10.0:1,88.8 x 96.8 mm (3.5 x 3.8 inches),Injection,Air,5-speed,119 mm (4.7 inches),117 mm (4.6 inches),120/70-ZR17 ,170/60-ZR17 ,Single disc,230 mm (9.1 inches),Single disc,200.0 kg (440.9 pounds),,,,1397 mm (55.0 inches),15.80 litres (4.17 US gallons),1.90 litres (0.50 US gallons),Electric,101.0 HP (73.7  kW)) @ 6000 RPM,122.0 Nm (12.4 kgf-m or 90.0 ft.lbs) @ 5500 RPM,,2,Belt   (final drive),,,0.5050 HP/kg,"787 mm (31.0 inches) If adjustable, lowest setting.",,125 mm (4.9 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAS GAS EC 300,2002,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",294.7 ccm (17.98 cubic inches),"Single cylinder, two-stroke",,72.0 x 72.0 mm (2.8 x 2.8 inches),Carburettor,Liquid,6-speed,295 mm (11.6 inches),320 mm (12.6 inches),,,Single disc,220 mm (8.7 inches),Single disc,,,,,1475 mm (58.1 inches),9.50 litres (2.51 US gallons),,,50.6 HP (36.9  kW)) @ 7340 RPM,49.2 Nm (5.0 kgf-m or 36.3 ft.lbs) @ 6890 RPM,,,Chain   (final drive),,,,"940 mm (37.0 inches) If adjustable, lowest setting.",,340 mm (13.4 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda Shadow Slasher 400,2002,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",398.0 ccm (24.29 cubic inches),"V2, four-stroke",10.3:1,64.0 x 62.0 mm (2.5 x 2.4 inches),Carburettor,Liquid,5-speed,,,110/80-19 59S ,160/80-15 M/C 74S ,Single disc,,Expanding brake,217.0 kg (478.4 pounds),1060 mm (41.7 inches),2310 mm (90.9 inches),795 mm (31.3 inches),1625 mm (64.0 inches),13.00 litres (3.43 US gallons),,,33.0 HP (24.1  kW)) @ 7500 RPM,35.0 Nm (3.6 kgf-m or 25.8 ft.lbs) @ 5500 RPM,,3,,,,0.1521 HP/kg,"645 mm (25.4 inches) If adjustable, lowest setting.",Overhead Cams (OHC),130 mm (5.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CLR CityFly,2002,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",,,,Air,5-speed,,,,,Single disc. 2-piston calipers,240 mm (9.4 inches),,119.0 kg (262.4 pounds),,,,1380 mm (54.3 inches),12.00 litres (3.17 US gallons),,,11.0 HP (8.1  kW)) @ 8250 RPM,10.2 Nm (1.0 kgf-m or 7.5 ft.lbs) @ 6500 RPM,65.0 km/h (40.4 mph),,Chain   (final drive),,,0.0927 HP/kg,"815 mm (32.1 inches) If adjustable, lowest setting.",Overhead Valves (OHV),,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati ST 4,2002,Sport touring," 3.3  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",916.0 ccm (55.89 cubic inches),"V2, four-stroke",11.0:1,94.0 x 66.0 mm (3.7 x 2.6 inches),Injection,Liquid,6-speed,130 mm (5.1 inches),148 mm (5.8 inches),120/70-ZR17 ,180/55-ZR17 ,Dual disc,245 mm (9.6 inches),Single disc,215.0 kg (474.0 pounds),1180 mm (46.5 inches),2070 mm (81.5 inches),,1430 mm (56.3 inches),21.00 litres (5.55 US gallons),6.00 litres (1.59 US gallons),Electric,105.0 HP (76.6  kW)) @ 9000 RPM,89.0 Nm (9.1 kgf-m or 65.6 ft.lbs) @ 7500 RPM,,4,Chain   (final drive),,,0.4884 HP/kg,"820 mm (32.3 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CBR 954 RR,2002,Sport," 3.9  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",954.0 ccm (58.21 cubic inches),"In-line four, four-stroke",11.5:1,75.0 x 54.0 mm (3.0 x 2.1 inches),,Liquid,6-speed,120 mm (4.7 inches),135 mm (5.3 inches),120/70-ZR17 ,190/50-ZR17 ,Dual disc,220 mm (8.7 inches),Single disc,167.8 kg (369.9 pounds),,,,1400 mm (55.1 inches),21.80 litres (5.76 US gallons),4.00 litres (1.06 US gallons),,,,,4,Chain   (final drive),,,,"815 mm (32.1 inches) If adjustable, lowest setting.",Double Overhead Cams/Twin Cam (DOHC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husqvarna SM 400 R,2002,Super motard," 3.0  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",399.5 ccm (24.38 cubic inches),"Single cylinder, four-stroke",,91.5 x 60.8 mm (3.6 x 2.4 inches),Carburettor,Liquid,5-speed,,,120/70-17 ,150/60-17 ,Single disc,220 mm (8.7 inches),Single disc,117.5 kg (259.0 pounds),,,,1460 mm (57.5 inches),8.00 litres (2.11 US gallons),,Electric & kick,,,,4,Chain   (final drive),,,,"850 mm (33.5 inches) If adjustable, lowest setting.",,325 mm (12.8 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha VMX 1200 V-Max,2002,Custom / cruiser," 3.3  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1198.0 ccm (73.10 cubic inches),"V4, four-stroke",10.5:1,76.0 x 66.0 mm (3.0 x 2.6 inches),,Liquid,,140 mm (5.5 inches),113 mm (4.4 inches),100/90-V18 61V ,150/90-B15 M/C 74V ,Dual disc,282 mm (11.1 inches),Single disc,270.0 kg (595.2 pounds),1160 mm (45.7 inches),2300 mm (90.6 inches),795 mm (31.3 inches),1590 mm (62.6 inches),,,Electric,102.0 HP (74.5  kW)) @ 8000 RPM,103.2 Nm (10.5 kgf-m or 76.1 ft.lbs) @ 3000 RPM,,,,,,0.3778 HP/kg,"765 mm (30.1 inches) If adjustable, lowest setting.",,145 mm (5.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSF 1200 S Bandit,2002,Naked bike," 3.9  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1157.0 ccm (70.60 cubic inches),"In-line four, four-stroke",9.5:1,79.0 x 59.0 mm (3.1 x 2.3 inches),Carburettor,Oil & air,5-speed,,,120/70-ZR17 ,180/55-ZR17 ,Dual disc,,Single disc,220.0 kg (485.0 pounds),1220 mm (48.0 inches),2070 mm (81.5 inches),765 mm (30.1 inches),1430 mm (56.3 inches),20.00 litres (5.28 US gallons),,,,,,4,Chain   (final drive),,,,"790 mm (31.1 inches) If adjustable, lowest setting.",Double Overhead Cams/Twin Cam (DOHC),130 mm (5.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gilera DNA 125,2002,Scooter," 3.6  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",,,,Liquid,,,,120/70-14 ,140/60-14 ,Single disc,240 mm (9.4 inches),Single disc,125.0 kg (275.6 pounds),,,,,10.00 litres (2.64 US gallons),,Electric,,,,,,,,,"780 mm (30.7 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 400 SS,2002,Naked bike," 2.5  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",397.0 ccm (24.22 cubic inches),"Single cylinder, four-stroke",8.8:1,85.0 x 70.0 mm (3.3 x 2.8 inches),Carburettor,Air,5-speed,,,100/90-19 M/C 57S ,110/90-18 M/C 61S ,Single disc,,Expanding brake,139.0 kg (306.4 pounds),1125 mm (44.3 inches),2165 mm (85.2 inches),780 mm (30.7 inches),1405 mm (55.3 inches),11.00 litres (2.91 US gallons),,,29.0 HP (21.2  kW)) @ 7000 RPM,31.0 Nm (3.2 kgf-m or 22.9 ft.lbs) @ 5500 RPM,,4,,,,0.2086 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",Overhead Cams (OHC),160 mm (6.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 998 R,2002,Sport," 3.3  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",999.0 ccm (60.96 cubic inches),"V2, four-stroke",12.3:1,104.0 x 58.8 mm (4.1 x 2.3 inches),Injection,Liquid,6-speed,120 mm (4.7 inches),130 mm (5.1 inches),120/70-ZR17 ,190/50-ZR17 ,Dual disc,220 mm (8.7 inches),Single disc,183.0 kg (403.4 pounds),1080 mm (42.5 inches),2030 mm (79.9 inches),,1410 mm (55.5 inches),17.00 litres (4.49 US gallons),4.00 litres (1.06 US gallons),Electric,139.0 HP (101.5  kW)) @ 10000 RPM,105.0 Nm (10.7 kgf-m or 77.4 ft.lbs) @ 8000 RPM,,4,Chain   (final drive),,,0.7596 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha YZF 600 R Thundercat,2002,Sport," 4.0  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",12.0:1,62.0 x 49.6 mm (2.4 x 2.0 inches),,Liquid,,120 mm (4.7 inches),120 mm (4.7 inches),120/70-ZR17 ,160/60-ZR17 ,Dual disc,245 mm (9.6 inches),Single disc,187.0 kg (412.3 pounds),1190 mm (46.9 inches),2145 mm (84.4 inches),725 mm (28.5 inches),1415 mm (55.7 inches),,,Electric,100.1 HP (73.1  kW)) @ 11500 RPM,65.0 Nm (6.6 kgf-m or 47.9 ft.lbs) @ 9500 RPM,,,,,,0.5353 HP/kg,"805 mm (31.7 inches) If adjustable, lowest setting.",,135 mm (5.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
