Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Compression,Bore x stroke,Fuel control,Cooling system,Gearbox,Transmission type,Front tire,Rear tire,Front brakes,Rear brakes,"Weight incl. oil, gas, etc",Fuel capacity,Comments,Valves per cylinder,Torque,Max RPM,Fuel system,Ignition,Lubrication system,Clutch,Fuel consumption,Greenhouse gases,Exhaust system,Frame type,Rake (fork angle),Trail,Front suspension,Dry weight,Power/weight ratio,Seat height,Overall height,Overall length,Overall width,Ground clearance,Wheelbase,Reserve fuel capacity,Color options,Starter,Front wheel travel,Rear suspension,Rear wheel travel,Diameter,Oil capacity,Electrical,1/4 mile (0.4 km),Modifications compared to previous model,Wheels,Alternate seat height,Carrying capacity
Honda GL 1000 Gold Wing,1977,Touring," 3.9  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",999.0 ccm (60.96 cubic inches),"Four cylinder boxer, four-stroke",82.0 HP (59.9  kW)) @ 7500 RPM,196.0 km/h (121.8 mph),9.2:1,72.0 x 61.4 mm (2.8 x 2.4 inches),Overhead Cams (OHC),Liquid,5-speed,Shaft drive (cardan)   (final drive),3.50-19 ,4.50-17 ,Dual disc,Single disc,295.0 kg (650.4 pounds),19.00 litres (5.02 US gallons),,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha RD 400 C,1977,Classic," 4.0  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",399.0 ccm (24.35 cubic inches),"Twin, two-stroke",43.0 HP (31.4  kW)) @ 7100 RPM,171.0 km/h (106.3 mph),6.2:1,64.0 x 62.0 mm (2.5 x 2.4 inches),Membrane,Air,6-speed,Chain   (final drive),3.00-18 ,3.50-18 ,Single disc,Single disc,177.0 kg (390.2 pounds),16.50 litres (4.36 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KZ750,1977,Sport touring," 3.2  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",745.0 ccm (45.46 cubic inches),"Twin, four-stroke",55.0 HP (40.1  kW)) @ 7000 RPM,,8.5:1,78.0 x 78.0 mm (3.1 x 3.1 inches),Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),3.25H-19 4PR ,4.00H-18 4PR ,Single disc. Single piston floating,Single disc. Single piston floating,,14.50 litres (3.83 US gallons),European spec,2,60.0 Nm (6.1 kgf-m or 44.3 ft.lbs) @ 3000 RPM,7500,Carburettor. Mikuni BS 38 x 2,Battery and coil,Forced lubrication wet sump,"Wet, multi-disc",,,Double stainless steel pipes,"Tubular steel, double cradle",26.5°,105 mm (4.1 inches),Telescopic fork,218.0 kg (480.6 pounds),0.2523 HP/kg,"845 mm (33.3 inches) If adjustable, lowest setting.",1115 mm (43.9 inches),2180 mm (85.8 inches),815 mm (32.1 inches),155 mm (6.1 inches),1450 mm (57.1 inches),,Red,Electric & kick,140 mm (5.5 inches),Swing arm,80 mm (3.1 inches),230 mm (9.1 inches),4.00 litres (4.23 US quarts),,,,,,
Kawasaki KE-250,1977,Enduro / offroad," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",250.0 ccm (15.26 cubic inches),"Single cylinder, two-stroke",27.0 HP (19.7  kW)) @ 6600 RPM,128.0 km/h (79.5 mph),,,,,5-speed,Chain   (final drive),3.00-21 ,4.00-18 ,Expanding brake (drum brake),Expanding brake (drum brake),,8.71 litres (2.30 US gallons),,,25.0 Nm (2.5 kgf-m or 18.4 ft.lbs) @ 4600 RPM,7000,Carburettor. Mikuni VM28SS,CDI,,,,,,,,,,120.2 kg (265.0 pounds),0.2246 HP/kg,"836 mm (32.9 inches) If adjustable, lowest setting.",,2189 mm (86.2 inches),,239 mm (9.4 inches),,,"Emerald green, Red.",Kick,,,,,0.70 litres (0.74 US quarts),6volts,,,,,
MuZ TS 125,1977,Allround," 3.4  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",10.0 HP (7.3  kW)) @ 6300 RPM,100.0 km/h (62.1 mph),10.0:1,52.0 x 58.0 mm (2.0 x 2.3 inches),Port control,Air,4-speed,Chain   (final drive),2.75-18 ,3.00-18 ,Expanding brake,Expanding brake,127.0 kg (280.0 pounds),12.50 litres (3.30 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson SX 175,1977,Classic," 2.8  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",174.0 ccm (10.62 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 6750 RPM,113.0 km/h (70.2 mph),10.7:1,61.0 x 59.6 mm (2.4 x 2.3 inches),Port control,Air,5-speed,Chain   (final drive),3.00-19 ,3.50-18 ,Expanding brake,Expanding brake,127.0 kg (280.0 pounds),10.50 litres (2.77 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph T 140 V Tiger,1977,Classic," 3.3  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",744.0 ccm (45.40 cubic inches),"Twin, four-stroke",45.0 HP (32.8  kW)) @ 6000 RPM,172.0 km/h (106.9 mph),7.9:1,76.0 x 82.0 mm (3.0 x 3.2 inches),Overhead Valves (OHV),Air,5-speed,Chain   (final drive),3.25-19 ,4.10-18 ,Single disc,Single disc,197.0 kg (434.3 pounds),18.50 litres (4.89 US gallons),,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 500 GTV,1977,Touring," 3.0  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",497.0 ccm (30.33 cubic inches),"Twin, four-stroke",39.0 HP (28.5  kW)) @ 7500 RPM,165.0 km/h (102.5 mph),9.6:1,78.0 x 52.0 mm (3.1 x 2.0 inches),Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.25-18 ,3.50-18 ,Dual disc,Single disc,195.0 kg (429.9 pounds),14.00 litres (3.70 US gallons),,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Van Veen OCR 1000,1977,Classic," 3.3  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",996.0 ccm (60.78 cubic inches),Dual disk Wankel,100.0 HP (73.0  kW)) @ 6500 RPM,213.0 km/h (132.4 mph),9.0:1,,,Liquid,4-speed,Shaft drive (cardan)   (final drive),110/90-18 ,120/90-18 ,Dual disc,Single disc,330.0 kg (727.5 pounds),24.00 litres (6.34 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda ST 70 DAX,1977,Scooter," 3.7  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",72.0 ccm (4.39 cubic inches),"Single cylinder, four-stroke",5.2 HP (3.8  kW)) @ 8000 RPM,75.0 km/h (46.6 mph),8.8:1,47.0 x 41.4 mm (1.9 x 1.6 inches),Overhead Cams (OHC),Air,3-speed,Chain   (final drive),3.50-10 ,3.50-10 ,Expanding brake,Expanding brake,77.0 kg (169.8 pounds),2.50 litres (0.66 US gallons),,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 400 F,1977,Classic," 3.9  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",408.0 ccm (24.90 cubic inches),"In-line four, four-stroke",37.0 HP (27.0  kW)) @ 8500 RPM,158.0 km/h (98.2 mph),9.4:1,51.0 x 50.0 mm (2.0 x 2.0 inches),Overhead Cams (OHC),Air,6-speed,Chain   (final drive),3.00-18 ,3.50-18 ,Single disc,Expanding brake,184.0 kg (405.7 pounds),14.00 litres (3.70 US gallons),,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MV Agusta 125 S,1977,Allround," 2.7  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",123.0 ccm (7.51 cubic inches),"Single cylinder, four-stroke",9.0 HP (6.6  kW)) @ 8200 RPM,111.0 km/h (69.0 mph),9.0:1,53.0 x 56.0 mm (2.1 x 2.2 inches),Overhead Valves (OHV),Air,5-speed,Chain   (final drive),2.75-18 ,3.00-18 ,Single disc,Expanding brake,108.0 kg (238.1 pounds),14.00 litres (3.70 US gallons),,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GT 380,1977,Classic," 2.4  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",371.0 ccm (22.64 cubic inches),"In-line three, two-stroke",27.0 HP (19.7  kW)) @ 6500 RPM,145.0 km/h (90.1 mph),7.0:1,54.0 x 54.0 mm (2.1 x 2.1 inches),Port control,Air,6-speed,Chain   (final drive),3.00-19 ,3.50-18 ,Single disc,Expanding brake,190.0 kg (418.9 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FXE 1200 Super Glide,1977,Classic," 3.2  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",1206.0 ccm (73.59 cubic inches),"V2, four-stroke",58.0 HP (42.3  kW)) @ 5150 RPM,177.0 km/h (110.0 mph),8.0:1,87.3 x 100.8 mm (3.4 x 4.0 inches),Overhead Valves (OHV),Air,4-speed,Chain   (final drive),3.75-19 ,5.10-16 ,Single disc,Single disc,275.0 kg (606.3 pounds),19.00 litres (5.02 US gallons),,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MM VZ 3,1977,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",8.0 HP (5.8  kW)) @ 5900 RPM,90.0 km/h (55.9 mph),9.0:1,52.0 x 58.0 mm (2.0 x 2.3 inches),Port control,Air,4-speed,Chain   (final drive),3.00-18 ,3.00-18 ,Expanding brake,Expanding brake,108.0 kg (238.1 pounds),11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 750 SS,1977,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,748.0 ccm (45.64 cubic inches),"V2, four-stroke",63.0 HP (46.0  kW)) @ 7000 RPM,200.0 km/h (124.3 mph),9.5:1,80.0 x 74.4 mm (3.1 x 2.9 inches),Desmodromic valve control,Air,5-speed,Chain   (final drive),3.50-18 ,120/90-18 ,Dual disc,Single disc,210.0 kg (463.0 pounds),18.00 litres (4.76 US gallons),,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 750 A Hondamatic,1977,Classic," 3.2  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",750.0 ccm (45.77 cubic inches),"In-line four, four-stroke",,,,,Single Overhead Cams (SOHC),Air,Automatic,Chain   (final drive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 100 RS,1977,Classic," 3.8  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",979.0 ccm (59.74 cubic inches),"Two cylinder boxer, four-stroke",70.0 HP (51.1  kW)) @ 7250 RPM,193.0 km/h (119.9 mph),9.5:1,94.0 x 70.6 mm (3.7 x 2.8 inches),Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),3.25-19 ,4.00-18 ,Dual disc,Single disc,247.0 kg (544.5 pounds),24.00 litres (6.34 US gallons),,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GT 250,1977,Naked bike," 3.3  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",247.0 ccm (15.07 cubic inches),"Twin, two-stroke",32.0 HP (23.4  kW)) @ 8500 RPM,149.0 km/h (92.6 mph),,54.0 x 54.0 mm (2.1 x 2.1 inches),Port control,Air,6-speed,Chain   (final drive),3.00-18 ,3.50-18 ,Single disc,Expanding brake,155.0 kg (341.7 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha DT 400,1977,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",397.0 ccm (24.22 cubic inches),"Single cylinder, two-stroke",21.0 HP (15.3  kW)) @ 5600 RPM,136.0 km/h (84.5 mph),6.4:1,85.0 x 70.0 mm (3.3 x 2.8 inches),Membrane,Air,5-speed,Chain   (final drive),3.00-21 ,4.00-18 ,Expanding brake,Expanding brake,141.0 kg (310.9 pounds),9.00 litres (2.38 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph T140 V Bonneville SIlver Jubilee,1977,Classic," 3.7  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",750.0 ccm (45.77 cubic inches),"Twin, four-stroke",45.0 HP (32.8  kW)),177.0 km/h (110.0 mph),7.9:1,76.0 x 82.0 mm (3.0 x 3.2 inches),Overhead Valves (OHV),Air,5-speed,Chain   (final drive),3.25-19 ,4.00-18 ,"Single disc. Twin piston caliper, Hard chromed cast iron disk","Single disc. Twin piston caliper, Hard chromed cast iron disk",190.5 kg (420.0 pounds),10.59 litres (2.80 US gallons),I believe there was a USA and a Eureopean variant of this bike. The difference being: USA 2.8 gallon tank and high handlebars. Eureopean version had 4gall tank and low bars.,2,,7200,Carburettor. Twin 30mm Amal Concentric,Twin Coil and Points,Dry Sump,Wet multi-plate,4.70 litres/100 km (21.3 km/l or 50.05 mpg),109.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,"Twin downswept with balance pipe, Dual silencers.",Twin Downtube Cradle. Oil in frame.,27.0°,113 mm (4.4 inches),Telescopic slider type,179.2 kg (395.0 pounds),0.2512 HP/kg,"787 mm (31.0 inches) If adjustable, lowest setting.",,2223 mm (87.5 inches),838 mm (33.0 inches),,1422 mm (56.0 inches),,Silver With Red and Blue pinstriping.,Kick,170 mm (6.7 inches),Twin Girling Shocks on Swinging Arm,89 mm (3.5 inches),254 mm (10.0 inches),2.20 litres (2.32 US quarts),,13.70 seconds,"Differed froom standard Bonneville of the day in that it was a certified limited edition with custom paintwork and decals. Red and Blue pinstripes on both rims, tank and side covers and Chromed Engine Covers.",,,
Suzuki GT 185,1977,Classic," 2.9  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",185.0 ccm (11.29 cubic inches),"Twin, two-stroke",15.0 HP (10.9  kW)) @ 7500 RPM,126.0 km/h (78.3 mph),7.0:1,49.0 x 49.0 mm (1.9 x 1.9 inches),Port control,Air,5-speed,Chain   (final drive),2.75-18 ,3.00-18 ,Single disc,Expanding brake,131.0 kg (288.8 pounds),10.00 litres (2.64 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XS 750,1977,Touring," 3.3  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",747.0 ccm (45.58 cubic inches),"In-line three, four-stroke",64.0 HP (46.7  kW)) @ 7500 RPM,189.0 km/h (117.4 mph),8.5:1,68.0 x 68.6 mm (2.7 x 2.7 inches),Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Shaft drive (cardan)   (final drive),3.25-19 ,4.00-18 ,Dual disc,Single disc,257.0 kg (566.6 pounds),18.00 litres (4.76 US gallons),,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dnepr MT 10 (with sidecar),1977,Touring," 3.0  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",650.0 ccm (39.66 cubic inches),"Two cylinder boxer, four-stroke",25.0 HP (18.2  kW)) @ 5200 RPM,110.0 km/h (68.4 mph),7.8:1,78.0 x 68.0 mm (3.1 x 2.7 inches),Overhead Valves (OHV),Air,4-speed with reverse,Shaft drive (cardan)   (final drive),3.75-19 ,3.75-19 ,Expanding brake,Expanding brake,350.0 kg (771.6 pounds),21.00 litres (5.55 US gallons),,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson SXT 125,1977,Enduro / offroad," 2.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",13.0 HP (9.5  kW)) @ 7000 RPM,105.0 km/h (65.2 mph),10.8:1,56.0 x 50.0 mm (2.2 x 2.0 inches),Port control,Air,5-speed,Chain   (final drive),3.00-19 ,3.50-18 ,Expanding brake,Expanding brake,112.0 kg (246.9 pounds),10.50 litres (2.77 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa 50 - 20 - Yezdi  - Colt,1977,Classic," 3.1  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",60.0 ccm (3.66 cubic inches),"Single cylinder, two-stroke",3.6 HP (2.6  kW)) @ 6000 RPM,,8.2:1,,,Air,3-speed,Chain   (final drive),,,,,,,,,,,,Kick start,,"Double plate, cork lined with 5 springs, running in oil bath.",,,,Profile Welded Tubes,,,Telescopic,,,,,,,,,,,,90 mm (3.5 inches),,55 mm (2.2 inches),,,,,,,,
Suzuki TS 100 B,1977,Enduro / offroad," 2.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",97.0 ccm (5.92 cubic inches),"Single cylinder, two-stroke",10.8 HP (7.9  kW)) @ 7000 RPM,110.0 km/h (68.4 mph),6.5:1,49.0 x 51.8 mm (1.9 x 2.0 inches),Rotary valves,Air,5-speed,Chain   (final drive),2.75-21 ,4.10-18 ,Expanding brake (drum brake),Expanding brake (drum brake),,7.00 litres (1.85 US gallons),,,11.4 Nm (1.2 kgf-m or 8.4 ft.lbs) @ 6000 RPM,,Carburettor. VM19SC,Flywheel magneto,Suzuki ´CCI´,Wet multi-plate,,,,,30.0°,125 mm (4.9 inches),"Telescopic, oil dampened",92.0 kg (202.8 pounds),0.1174 HP/kg,,1060 mm (41.7 inches),2000 mm (78.7 inches),850 mm (33.5 inches),195 mm (7.7 inches),1245 mm (49.0 inches),,,Kick,,"Swinging arm, oil dampened, spring 5-way adjustable",,,,,,,,,
WSK M21W2B Kobuz,1977,Touring," 2.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",174.0 ccm (10.62 cubic inches),"Single cylinder, two-stroke",14.0 HP (10.2  kW)) @ 6000 RPM,,9.0:1,61.0 x 59.0 mm (2.4 x 2.3 inches),,Air,4-speed,Chain   (final drive),3.00-18 ,3.00-18 ,Expanding brake (drum brake),Expanding brake (drum brake),,10.00 litres (2.64 US gallons),,,16.0 Nm (1.6 kgf-m or 11.8 ft.lbs),,Carburettor. GM26U Pegaz,Battery,Mixture 1:30,Wet 4-plate,3.00 litres/100 km (33.3 km/l or 78.41 mpg),69.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,Single stainless steel pipes,"Single, steel welded tubes",,,Coil springs with oil shock absorbers in fork,112.0 kg (246.9 pounds),0.1250 HP/kg,,1070 mm (42.1 inches),2020 mm (79.5 inches),700 mm (27.6 inches),,1320 mm (52.0 inches),2.00 litres (0.53 US gallons),Orange/grey/black,Kick,150 mm (5.9 inches),Trailing arms with two coil springs and oil shock absorbers,90 mm (3.5 inches),135 mm (5.3 inches),,"6/12 V, alternator 50 W",,,,,
Laverda 750 SF 3,1977,Sport touring," 2.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",744.0 ccm (45.40 cubic inches),"Twin, four-stroke",50.0 HP (36.5  kW)) @ 7000 RPM,185.0 km/h (115.0 mph),8.5:1,80.0 x 74.0 mm (3.1 x 2.9 inches),Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.50-18 ,4.00-18 ,Dual disc,Single disc,230.0 kg (507.1 pounds),19.00 litres (5.02 US gallons),,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benelli 250 Quattro,1977,Enduro / offroad," 1.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",231.0 ccm (14.10 cubic inches),"In-line four, four-stroke",27.0 HP (19.7  kW)) @ 10500 RPM,150.0 km/h (93.2 mph),11.5:1,44.0 x 38.0 mm (1.7 x 1.5 inches),Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-18 ,3.25-18 ,Single disc,Expanding brake,125.0 kg (275.6 pounds),11.50 litres (3.04 US gallons),,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
