Model,Year,Category,Rating,Displacement,Engine type,Bore x stroke,Fuel system,Ignition,Lubrication system,Cooling system,Gearbox,Transmission type,Clutch,Driveline,Frame type,Rake (fork angle),Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Dry weight,Seat height,Ground clearance,Wheelbase,Fuel capacity,Color options,Starter,Engine details,Power,Torque,Compression,Valves per cylinder,Fuel control,Fuel consumption,Greenhouse gases,Trail,"Weight incl. oil, gas, etc",Overall height,Overall length,Overall width,Factory warranty,Comments,Top speed,Wheels,Power/weight ratio,Electrical,Exhaust system,Carrying capacity,Seat,Instruments,Emission details,Reserve fuel capacity,Light,Oil capacity,0-100 km/h (0-62 mph),Modifications compared to previous model,Engine oil,Brake fluid,Spark plugs,Idle speed,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,Front percentage of weight,Alternate seat height,Max RPM,1/4 mile (0.4 km),Oil filter,Battery
Yamaha PW50,2012,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",40.0 x 39.2 mm (1.6 x 1.5 inches),,CDI,,Air,Automatic,Shaft drive (cardan)   (final drive),Automatic,,,,Telescopic fork,61 mm (2.4 inches),Unit swingarm,51 mm (2.0 inches),2.50-10 ,2.50-10 ,Expanding brake (drum brake),,Expanding brake (drum brake),,"485 mm (19.1 inches) If adjustable, lowest setting.",104 mm (4.1 inches),856 mm (33.7 inches),2.01 litres (0.53 US gallons),Blue/White,Electric,Reed-valve inducted,,,6.0:1,,,,,,38.6 kg (85.0 pounds),714 mm (28.1 inches),1245 mm (49.0 inches),574 mm (22.6 inches),3 moths,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TGB Bullet RR 50,2012,Scooter," 3.1  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.3 ccm (3.01 cubic inches),"Single cylinder, two-stroke",41.0 x 37.4 mm (1.6 x 1.5 inches),,CDI,,Air,Automatic,Belt   (final drive),,C.V.T,Steel,,,,,,130/60-13 ,130/60-13 ,Single disc,,Single disc,95.0 kg (209.4 pounds),,,,6.80 litres (1.80 US gallons),"White/black, Red/black",Electric & kick,,4.7 HP (3.4  kW)) @ 7000 RPM,,7.8:1,,Single Overhead Cams (SOHC),,,,,1155 mm (45.5 inches),1830 mm (72.0 inches),670 mm (26.4 inches),,Made in Taiwan.,,,0.0494 HP/kg,12V 4AH battery.,,,,,,,,,,,,,,,,,,,,,,,,,
BMW F 800 ST,2012,Sport touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",798.0 ccm (48.69 cubic inches),"Twin, four-stroke",82.0 x 75.6 mm (3.2 x 3.0 inches),Injection. Electronic intake pipe injection / digital engine management (BMS-K),,Dry sump,Liquid,6-speed,Belt   (final drive),"Multiple-disc clutch in oil bath, mechanically operated",Belt drive with shock damper,"Bridge-type aluminium frame, load-bearing engine",25.8°,"Telescopic fork,  43 mm",140 mm (5.5 inches),"Cast aluminium single-sided swing arm with eccentric adjustment for rear axle, central spring strut, spring pre-load hydraulically adjustable (continuously variable) at handwheel, rebound damping adjustable",140 mm (5.5 inches),120/70-ZR17 ,180/55-ZR17 ,Double disc. Optional ABS.,265 mm (10.4 inches),Single disc. Optional ABS.,182.0 kg (401.2 pounds),"840 mm (33.1 inches) If adjustable, lowest setting.",,1466 mm (57.7 inches),16.00 litres (4.23 US gallons),"Blue, black",Electric,,83.8 HP (61.2  kW)) @ 8000 RPM,86.0 Nm (8.8 kgf-m or 63.4 ft.lbs) @ 5800 RPM,12.0:1,4,Double Overhead Cams/Twin Cam (DOHC),3.40 litres/100 km (29.4 km/l or 69.18 mpg),78.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,95 mm (3.7 inches),204.0 kg (449.7 pounds),1155 mm (45.5 inches),2082 mm (82.0 inches),860 mm (33.9 inches),,,,Cast aluminium,0.4605 HP/kg,"12 V / 14 Ah, maintenance-free battery.",,,,,"Closed-loop 3-way catalytic converter, emission standard EU-3",4.00 litres (1.06 US gallons),,,,,,,,,,,,,,,,,,,
Clipic New City,2012,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",,Carburettor,	 Electromagnetic Flywheel,Direct,Air,Automatic,,,,,,Hydraulic fork,,Twin shock,,130/60-13 ,130/60-13 ,Single disc,225 mm (8.9 inches),Expanding brake (drum brake),111.0 kg (244.7 pounds),"800 mm (31.5 inches) If adjustable, lowest setting.",,,7.00 litres (1.85 US gallons),"Orange, black",Electric,,,,,,,,,,118.0 kg (260.1 pounds),1100 mm (43.3 inches),1950 mm (76.8 inches),720 mm (28.3 inches),,Clipic is a Spanish brand.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tiger Boxer 200R,2012,Allround," 3.2  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",199.0 ccm (12.14 cubic inches),"Single cylinder, four-stroke",,Carburettor,C.D.I.,,Oil & air,5-speed,Chain   (final drive),,,,,Conventional fork,,Twin shocks,,90/80-17 ,100/80-17 ,Single disc,,Single disc,119.0 kg (262.4 pounds),,,,12.00 litres (3.17 US gallons),Orange,Electric,,,,,,Single Overhead Cams (SOHC),,,,,,2010 mm (79.1 inches),,,From Thailaind.,,6-spoke black wheels,,,Black,,,,,,,,,,,,,,,,,,,,,,,,
Generic Toxic 50 Sport,2012,Scooter," 3.6  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.2 ccm (3.00 cubic inches),"Single cylinder, two-stroke",,Carburettor,,,Air,Automatic,Belt   (final drive),,CVT,,,,,,,,,Single disc,,Expanding brake (drum brake),,,,1300 mm (51.2 inches),,Red,Electric & kick,,3.2 HP (2.4  kW)) @ 6250 RPM,3.8 Nm (0.4 kgf-m or 2.8 ft.lbs) @ 6000 RPM,,,,,,,,,,,,,,Black 5-spoke whhels,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha Grizzly 700 FI Auto. 4x4,2012,ATV," 4.0  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",686.0 ccm (41.86 cubic inches),"Single cylinder, four-stroke",102.0 x 84.0 mm (4.0 x 3.3 inches),"Injection. Yamaha Fuel Injection (YFI), 44mm",32-Bit ECU,,Liquid,Automatic,Shaft drive (cardan)   (final drive),,"Yamaha On-Comman ; 3-way locking differential; 2WD, 4WD, locked 4WD; shaft",,,Independent double wishbone,127 mm (5.0 inches),Independent double wishbone,127 mm (5.0 inches),25/8-12 ,25/10-12 ,Double disc. Hydraulic. ,,Double disc. Hydraulic. ,,"904 mm (35.6 inches) If adjustable, lowest setting.",274 mm (10.8 inches),1250 mm (49.2 inches),20.06 litres (5.30 US gallons),,,Gear-driven crankshaft balancer shaft and rubber-damper engine mounts,,,10.0:1,4,Single Overhead Cams (SOHC),,,,293.9 kg (648.0 pounds),1240 mm (48.8 inches),2065 mm (81.3 inches),1181 mm (46.5 inches),,,,,,,,,,"Digital LCD multifunction display: speedometer, odometer, dual tripmeter, hour meter, clock, fuel gauge, gear position, and EFI function",,,Dual headlights and 21/5W brakelight,,,Gas charged rear shocks offer a quality damping feel and excellent performance over a long period of time.,,,,,,,,,,,,,,,
Enfield Thunderbird TwinSpark,2012,Classic," 3.5  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",346.0 ccm (21.11 cubic inches),"Single cylinder, four-stroke",70.0 x 90.0 mm (2.8 x 3.5 inches),"Carburettor. UCAL 29mm, Constant Vacuum Carburettor",Transistorised Coil Ignition,Wet sump,Air,5-speed,Chain   (final drive),Wet mulitiplate,,"Single downtube, using engine as stressed member",,Telescopic With Hydraulic Damping.,130 mm (5.1 inches),Swing arm With Gas Shock Absorbers.,80 mm (3.1 inches),3.25-19 ,3.50-19 ,Single disc,153 mm (6.0 inches),Expanding brake (drum brake),163.0 kg (359.4 pounds),,135 mm (5.3 inches),1370 mm (53.9 inches),13.50 litres (3.57 US gallons),"Black, red, silver",Electric & kick,"Roya Enfield Unit Construction Engine, twin sparks",19.8 HP (14.5  kW)) @ 5600 RPM,28.0 Nm (2.9 kgf-m or 20.7 ft.lbs) @ 4000 RPM,7.3:1,,Overhead Valves (OHV),,,,187.0 kg (412.3 pounds),1080 mm (42.5 inches),2150 mm (84.6 inches),820 mm (32.3 inches),,Royal Enfield bikes are made in India.,120.0 km/h (74.6 mph),,0.1215 HP/kg,12V,,,Dual seat,,,,35W/35W Halogen headlamp,,,,,,,,,,,,,,,,,,
Bennche Gray Wolf 700,2012,ATV," 2.7  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",686.0 ccm (41.86 cubic inches),"Single cylinder, four-stroke",102.0 x 84.0 mm (4.0 x 3.3 inches),Injection,ECU,,Liquid,Automatic,Shaft drive (cardan)   (final drive),,On-Demand 2WD/4WD; Locking Differential. Automatic L-H-N-R-P.,,,Independent Double Wishbone,,Independent Double Wishbone,,25/8-12 ,25/10-12 ,Single disc,,Single disc,328.9 kg (725.0 pounds),"859 mm (33.8 inches) If adjustable, lowest setting.",257 mm (10.1 inches),1351 mm (53.2 inches),16.28 litres (4.30 US gallons),"Orange, Camouflage",Electric,,33.5 HP (24.5  kW)),,9.2:1,,,,,,,,2230 mm (87.8 inches),1123 mm (44.2 inches),12 Months Limited Warranty,,,,0.1019 HP/kg,12 volts 16 amp battery,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia Shiver 750 ABS,2012,Naked bike," 3.4  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",749.9 ccm (45.76 cubic inches),"V2, four-stroke",92.0 x 56.4 mm (3.6 x 2.2 inches),Injection. Ride by Wire integrated engine control system. ,"Digital electronic, integrated with the injection",Wet sump,Liquid,6-speed,Chain   (final drive),"Multi-plate in oil bath, hydraulically operated.","Primary drive: Spur gears, transmission ratio: 60/31 (1.75)  Final drive: Chain Transmission ratio: 16/44",Modular tubular steel frame fastened to aluminium side plates by high strength bolts. Removable rear subframe. ,25.7°,43 mm upside-down fork.,120 mm (4.7 inches),Aluminium alloy swingarm with reinforcement truss.  Hydraulic shock absorber adjustable in spring preload and rebound damping. ,130 mm (5.1 inches),120/70-ZR17 ,180/55-ZR17 ,Double disc. Continental two channel ABS ,240 mm (9.4 inches),Single disc,193.0 kg (425.5 pounds),"810 mm (31.9 inches) If adjustable, lowest setting.",,1440 mm (56.7 inches),15.00 litres (3.96 US gallons),"Silver, black",Electric,Longitudinal 90° V-twin,95.0 HP (69.3  kW)) @ 9000 RPM,,11.0:1,4,Double Overhead Cams/Twin Cam (DOHC),,,109 mm (4.3 inches),,1135 mm (44.7 inches),2265 mm (89.2 inches),800 mm (31.5 inches),,,,Aluminium alloy. Front: 3.50 X 17´. Rear: 6.00 X 17´ ,0.4922 HP/kg,,2 into 1 exhaust system in 100% stainless steel with three-way catalytic converter and lambda probe ,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha DS250 DragStar,2012,Custom / cruiser," 3.2  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"V2, four-stroke",49.0 x 66.0 mm (1.9 x 2.6 inches),Carburettor. BDS26,TCI,,Air,5-speed,Chain   (final drive),Wet multiple plate coil springs,Constant mesh,Double cradle,35.0°,Telescopic fork,140 mm (5.5 inches),Swingarm,100 mm (3.9 inches),80/100-18 ,130/90-15 ,Single disc,130 mm (5.1 inches),Expanding brake (drum brake),,"670 mm (26.4 inches) If adjustable, lowest setting.",150 mm (5.9 inches),1530 mm (60.2 inches),11.00 litres (2.91 US gallons),"Midnight black, blue/white",Electric,,20.8 HP (15.2  kW)) @ 8000 RPM,20.7 Nm (2.1 kgf-m or 15.3 ft.lbs) @ 6000 RPM,10.0:1,2,Single Overhead Cams (SOHC),,,135 mm (5.3 inches),160.0 kg (352.7 pounds),1075 mm (42.3 inches),2320 mm (91.3 inches),910 mm (35.8 inches),,Sold in Japan.,,,,"12V, 6Ah battery",,,Dual seat,,,,"Halogen bulb 12V, 60/55W headlight",1.80 litres (1.9 US quarts),,,,,,,,,,,,,,,,,
Moto Guzzi California 90 Anniversary,2012,Classic," 3.1  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",1064.0 ccm (64.93 cubic inches),"V2, four-stroke",92.0 x 80.0 mm (3.6 x 3.1 inches),Injection. Magneti Marelli IAW alfa-n system Multipoint phased sequential injection;,Magneti Marelli IAW 15RC electronic digital ignition with inductive spark,"Forced lobes, with geared pump and pressure regulator",Air,5-speed,Shaft drive (cardan)   (final drive),"Single disc, dry, with mechanical control","Primary drive: helical gears, ratio 17/21 = 1: 1.235. Secondary drive: shaft drive, ratio 8/33 = 1:4.125",Detachable tubular duplex cradle in special high-strengh steel,29.0°,"Marzocchi hydraulic telescopic fork,  45 mm",140 mm (5.5 inches),Swing arm with 2 hydraulic shock absorbers,96 mm (3.8 inches),110/90-18 ,150/70-17 ,"Double disc. Two Brembo Oro series stainless steel flooating discs, with 4 piston calipers",282 mm (11.1 inches),"Single disc. Brembo stainless steel fixed disc, with 2 piston calipers",250.8 kg (553.0 pounds),"780 mm (30.7 inches) If adjustable, lowest setting.",190 mm (7.5 inches),1560 mm (61.4 inches),19.00 litres (5.02 US gallons),California Metallic Orange/Diamond White,Electric,90° V-Twin. 2 overhead valves moved by light alloy push–rod sand rocker arm with mechanical tappets.,74.0 HP (54.0  kW)) @ 6400 RPM,88.0 Nm (9.0 kgf-m or 64.9 ft.lbs) @ 5000 RPM,9.8:1,2,Overhead Valves (OHV),,,116 mm (4.6 inches),,1389 mm (54.7 inches),2362 mm (93.0 inches),813 mm (32.0 inches),,Windshield,,,0.2950 HP/kg,,2 into 2 exhaust; three-way catalyzer with Lambda sensor (Euro 3) ,,,,Euro 3.,4.00 litres (1.06 US gallons),,,,,,,,,,,,,,,,,,,
Kawasaki KX 85-I Monster Energy,2012,Cross / motocross,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,84.0 ccm (5.13 cubic inches),"Single cylinder, two-stroke",48.5 x 45.8 mm (1.9 x 1.8 inches),Carburettor. Keihin PWK28,,,Liquid,6-speed,Chain   (final drive),,,High-tensile steel perimeter design with subframe member,27.0°,36mm inverted telescopic cartridge fork with 18 position compression damping adjustment/ 10.8 in.,275 mm (10.8 inches),UNI-TRAK  single shock system with 4 position compression and 20 position damping adjustment plus adjustable spring preload/ 10.8 in.,275 mm (10.8 inches),70/100-17 ,90/100-14 ,Single disc. Hydraulic,184 mm (7.2 inches),Single disc,,"841 mm (33.1 inches) If adjustable, lowest setting.",340 mm (13.4 inches),1255 mm (49.4 inches),5.68 litres (1.50 US gallons),Green,Kick,,,,10.0:1,,,,,89 mm (3.5 inches),69.0 kg (152.1 pounds),1054 mm (41.5 inches),1821 mm (71.7 inches),734 mm (28.9 inches),,Limited edition.,,,,,Pro-Circuit silencer,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki Gemma,2012,Scooter," 3.6  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",69.0 x 66.8 mm (2.7 x 2.6 inches),Injection,Transistorzed,Wet sump,Liquid,Automatic,Belt   (final drive),Automatic centrifugal,V-belt,Pipe underbone,27.0°,,,,,120/80-14 ,150/70-13 ,Single disc. Hydraulic,,Single disc. Hydraulic,205.0 kg (451.9 pounds),"705 mm (27.8 inches) If adjustable, lowest setting.",135 mm (5.3 inches),1690 mm (66.5 inches),12.00 litres (3.17 US gallons),"Gold, white, purple, black, red, silver",Electric,,22.0 HP (16.1  kW)) @ 7500 RPM,22.0 Nm (2.2 kgf-m or 16.2 ft.lbs) @ 5500 RPM,11.3:1,4,Double Overhead Cams/Twin Cam (DOHC),2.78 litres/100 km (36.0 km/l or 84.61 mpg),64.5 CO2 g/km. (CO2 - Carbon dioxide emission) ,100 mm (3.9 inches),,1085 mm (42.7 inches),2280 mm (89.8 inches),810 mm (31.9 inches),,Sold in Japan.,,Spoke wheel.,0.1073 HP/kg,,Three-way catalytic muffler,,,,,,,1.50 litres (1.59 US quarts),,,,,,,,,,,,,,,,,
Aprilia RSV4 R APRC,2012,Sport," 3.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",999.6 ccm (61.00 cubic inches),"V4, four-stroke",78.0 x 52.3 mm (3.1 x 2.1 inches),"Injection. Airbox with front dynamic air intakes.  4 Weber-Marelli 48-mm throttle bodies with 8 injectors and latest generation Ride-by-Wire engine management.   Choice of three different engine maps selectable by the rider with bike in motion: T (Track), S (Sport),","Magneti Marelli digital electronic ignition system integrated in engine control system, with one spark plug per cylinder and â€œstick-coilâ€-type coils",Wet sump lubrication system with oil radiator and two oil pumps (lubrication and cooling),Liquid,6-speed,Chain   (final drive),Multiplate wet clutch with mechanical slipper system,"Primary drive: Straight cut gears and integrated flexible coupling, drive ratio: 73/44 (1,659).  Final drive: Chain: Drive ratio: 40/16 (2.5) or 42/16 (2.625)",Aluminium dual beam chassis with pressed and cast sheet elements. Sachs steering damper ,24.5°,Upside-down Showa fork with Ã˜ 43 mm stanchions. Forged aluminium radial calliper mounting brackets. Completely adjustable spring preload and hydraulic compression and rebound damping. Wheel travel: 120 mm,120 mm (4.7 inches),"Twin sided aluminium swingarm; mixed low thickness and sheet casting technology. Sachs piggy back monoshock with completely adjustable: spring preload, wheelbase, hydraulic compression and rebound damping. APS progressive linkage.",130 mm (5.1 inches),120/70-17 ,190/55-17 ,Double disc,220 mm (8.7 inches),Single disc,184.0 kg (405.7 pounds),"845 mm (33.3 inches) If adjustable, lowest setting.",,,17.00 litres (4.49 US gallons),"Black, White",Electric,Longitudinal 65° V-4 cylinder,180.0 HP (131.4  kW)) @ 12500 RPM,115.0 Nm (11.7 kgf-m or 84.8 ft.lbs) @ 10000 RPM,13.0:1,4,Double Overhead Cams/Twin Cam (DOHC),,,105 mm (4.1 inches),,,,,,,,"Front: Aluminium alloy with 6 split spokes, 3.5”X17” Rear: Aluminium alloy with 5 split spokes, 6”X17”",0.9783 HP/kg,Flywheel mounted 420W alternator with rare earth magnets ,"4 into 2 into 1 layout, single oxygen sensor, lateral single silencer with engine control unit-controlled butterfly valve and integrated trivalent catalytic converter (Euro 3)",,,,,4.00 litres (1.06 US gallons),,,,,,,,,,,,,,,,,,,
Nipponia NB 125E,2012,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.9 ccm (7.62 cubic inches),"Single cylinder, four-stroke",,Carburettor,,,Air,5-speed,Chain   (final drive),,,Steel,,,,,,2.75-18 ,3.00-18 ,Single disc,,Expanding brake (drum brake),120.0 kg (264.6 pounds),,,,11.00 litres (2.91 US gallons),"Red, Blue",Electric & kick,,10.1 HP (7.3  kW)) @ 9000 RPM,7.8 Nm (0.8 kgf-m or 5.8 ft.lbs) @ 8000 RPM,,,Single Overhead Cams (SOHC),2.00 litres/100 km (50.0 km/l or 117.61 mpg),46.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,"Nipponia is sold in Greece, Japan, Brazil, Dominican Republic, Venezuela and China.",90.0 km/h (55.9 mph),,0.0838 HP/kg,12V-90W generator,,,,,,,,,,,,,,,,,,,,,,,,,
Arctic Cat 550i GT,2012,ATV,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,545.0 ccm (33.26 cubic inches),"Single cylinder, four-stroke",92.0 x 82.0 mm (3.6 x 3.2 inches),Injection. EFI,,,Liquid,Automatic,Belt   (final drive),,On-the-fly 2wd/4wd W/diff Lock,,,Double A-Arm,254 mm (10.0 inches),Double A-Arm,254 mm (10.0 inches),25/8-12 ,25/10-12 ,Single disc. Hydraulic,,Single disc. Hydraulic,313.0 kg (690.0 pounds),,279 mm (11.0 inches),1334 mm (52.5 inches),,"Sunset Orange, Steel Blue, Camo ",,,,,,4,Single Overhead Cams (SOHC),,,,,1219 mm (48.0 inches),2197 mm (86.5 inches),1206 mm (47.5 inches),,Electronic Power Steering,,Aluminum rims,,,,"Front Rack Capacity 100 lbs / 45.4 kg. Rear Rack Capacity 200 lbs / 90.8 kg. Towing Capacity 1,050 lbs / 476.3 kg",,Digital,,,,,,,,,,,,,,,,,,,,,
Aprilia Shiver 750,2012,Naked bike," 3.1  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",749.9 ccm (45.76 cubic inches),"V2, four-stroke",92.0 x 56.4 mm (3.6 x 2.2 inches),Injection. Ride by Wire integrated engine control system. ,"Digital electronic, integrated with the injection",Wet sump,Liquid,6-speed,Chain   (final drive),"Multi-plate in oil bath, hydraulically operated.","Primary drive: Spur gears, transmission ratio: 60/31 (1.75)  Final drive: Chain Transmission ratio: 16/44",Modular tubular steel frame fastened to aluminium side plates by high strength bolts. Removable rear subframe. ,25.7°,43 mm upside-down fork. 120 mm wheel travel.,,Aluminium alloy swingarm with reinforcement truss.  Hydraulic shock absorber adjustable in spring preload and rebound damping. Wheel travel: 130 mm.,,120/70-17 ,180/55-17 ,Double disc. Stainless steel floating discs. Four piston radial calipers. Metal braided brake line,240 mm (9.4 inches),Single disc,,"810 mm (31.9 inches) If adjustable, lowest setting.",,1440 mm (56.7 inches),15.00 litres (3.96 US gallons),"Silver, black,  white",Electric,Longitudinal 90° V-twin,95.0 HP (69.3  kW)) @ 9000 RPM,,11.0:1,4,Double Overhead Cams/Twin Cam (DOHC),,,109 mm (4.3 inches),,1135 mm (44.7 inches),2265 mm (89.2 inches),800 mm (31.5 inches),,,,,,,2 into 1 exhaust system in 100% stainless steel with three-way catalytic converter and lambda probe ,,,,,,,,,,,,,,,,,,,,,,,,
Benelli ZenZero 350,2012,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,313.0 ccm (19.10 cubic inches),"Single cylinder, four-stroke",,Injection,Digital transistorised with electronic advance.,Wet sump,Liquid,,Belt   (final drive),Automatic centrifugal dry clutch,Gears reduction in oil bath. Primary drive: V belt.,Steel trestle with a double cradle in  high  tensile strength steel tube,,Hydraulic telescopic fork,,Floating engine with double hydraulic rear dumper,,120/70-16 ,140/70-15 ,Single disc,256 mm (10.1 inches),Single disc,170.0 kg (374.8 pounds),,160 mm (6.3 inches),1545 mm (60.8 inches),13.50 litres (3.57 US gallons),,Electric,,21.0 HP (15.3  kW)) @ 7000 RPM,23.7 Nm (2.4 kgf-m or 17.5 ft.lbs) @ 2400 RPM,10.6:1,2,,,,,180.0 kg (396.8 pounds),,2174 mm (85.6 inches),,,,,,0.1235 HP/kg,,,,,,,5.00 litres (1.32 US gallons),,,,,,,,,,,,,,,,,,,
Kasinski Soft 50,2012,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.5 ccm (3.02 cubic inches),"Single cylinder, four-stroke",39.0 x 41.4 mm (1.5 x 1.6 inches),Carburettor. PD 27,CDI,Wet sump,Air,4-speed,Chain   (final drive),Wet multidisk,,,,Telescopic fork,,"Dual shocks, adjustable",,2.50-17 ,2.75-17 ,Expanding brake (drum brake),,Expanding brake (drum brake),90.0 kg (198.4 pounds),,120 mm (4.7 inches),1230 mm (48.4 inches),3.50 litres (0.92 US gallons),"Red, grey",Electric & kick,,3.5 HP (2.6  kW)) @ 8000 RPM,,,4,Single Overhead Cams (SOHC),,,,,1060 mm (41.7 inches),1920 mm (75.6 inches),680 mm (26.8 inches),,,,,0.0389 HP/kg,12 V 6 Ah battery,,,,,,,,0.90 litres (0.95 US quarts),,Brazilian scooter.,,,,,,,,,,,,,,,
CF Moto Jet Max 250,2012,Scooter," 3.3  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",72.0 x 61.2 mm (2.8 x 2.4 inches),Injection. EFI,ECU,Pressure  and  splash,Liquid,Automatic,Belt   (final drive),,,,,Telescopic fork,90 mm (3.5 inches),Cantilever,,120/70-15 ,140/60-14 ,Single disc,,Single disc,200.0 kg (440.9 pounds),"718 mm (28.3 inches) If adjustable, lowest setting.",120 mm (4.7 inches),,,"White, silver, gray, black",Electric,,22.1 HP (16.2  kW)) @ 8000 RPM,21.0 Nm (2.1 kgf-m or 15.5 ft.lbs) @ 6500 RPM,10.5:1,,Single Overhead Cams (SOHC),,,,,1366 mm (53.8 inches),2259 mm (88.9 inches),798 mm (31.4 inches),,,,Cast aluminium,0.1107 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha Star Stratoliner S,2012,Touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1851.9 ccm (113.00 cubic inches),"V2, four-stroke",100.0 x 118.0 mm (3.9 x 4.6 inches),Injection. Twin-Bore electronic fuel injection;throttle position sensor,TCI: Transistor Controlled Ignition,,Air,5-speed,Belt   (final drive),"Wet, multidisc",,Aluminum,29.0°,46mm telescopic fork,130 mm (5.1 inches),Single shock,109 mm (4.3 inches),130/70-18 ,190/60-17 ,Double disc. Hydraulic,320 mm (12.6 inches),Single disc,,"706 mm (27.8 inches) If adjustable, lowest setting.",,1715 mm (67.5 inches),17.03 litres (4.50 US gallons),Intense Black,Electric,48° V-twin,,,9.5:1,,Overhead Valves (OHV),5.60 litres/100 km (17.9 km/l or 42.00 mpg),129.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,,363.8 kg (802.0 pounds),1514 mm (59.6 inches),2581 mm (101.6 inches),1100 mm (43.3 inches),1 Year (Limited Factory Warranty),Windshield,,12-spoke cast,,,,,Sculpted seat ,"Analog speedometer, tachometer and fuel gauge, along with twin digital tripmeters and odometer.",,,,,,,,,,,,,,,,,,,,,
Yamaha Grizzly 450 Auto 4x4 EPS,2012,ATV,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,421.0 ccm (25.69 cubic inches),"Single cylinder, four-stroke",84.5 x 75.0 mm (3.3 x 3.0 inches),Carburettor. Mikuni  33mm BSR,,,Liquid,Automatic,Shaft drive (cardan)   (final drive),,"Yamaha On-Command  pushbutton; 3-way locking differential; 2WD, 4WD, locked 4WD; shaft drive",,,Independent double wishbone,160 mm (6.3 inches),Independent double wishbone,180 mm (7.1 inches),25/8-12 ,25/10-12 ,Double disc. Hydraulic,,Sealed multidisc. Hydraulic,,"841 mm (33.1 inches) If adjustable, lowest setting.",274 mm (10.8 inches),1232 mm (48.5 inches),15.14 litres (4.00 US gallons),"Hunter Green, Steel Blue, Realtree® AP™ Camouflage",Electric,Gear-driven crankshaft balancer shaft and rubber-damper engine mounts,,,10.0:1,4,Single Overhead Cams (SOHC),,,,281.2 kg (620.0 pounds),1120 mm (44.1 inches),1994 mm (78.5 inches),1092 mm (43.0 inches),6 Month (Limited Factory Warranty),,,,,,,,,"Digital LCD multifunction display: speedometer, odometer, dual tripmeter, hour meter, clock, gear position and fuel gauge",,,Dual 30W Krypton multireflector headlights  and  21W/5W brakelight,,,,,,,,,,,,,,,,,,
