Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Top speed,0-100 km/h (0-62 mph),Compression,Bore x stroke,Valves per cylinder,Fuel system,Fuel control,Ignition,Cooling system,Gearbox,Transmission type,Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Rear brakes,"Weight incl. oil, gas, etc",Overall length,Wheelbase,Fuel capacity,Starter,Frame type,Rake (fork angle),Trail,Rear wheel travel,Diameter,Dry weight,Power/weight ratio,Seat height,Ground clearance,Oil capacity,Engine oil,Brake fluid,Spark plugs,Idle speed,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,Exhaust system,Color options,Max RPM,Reserve fuel capacity,Overall height,Overall width,Comments,Lubrication system,Clutch,Front wheel travel,Fuel consumption,Greenhouse gases,"60-140 km/h (37-87 mph), highest gear",Modifications compared to previous model,Wheels,Seat,Instruments,Light,Carrying capacity,Factory warranty
Yamaha XS 750 US. Custom,1980,Custom / cruiser," 2.9  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",747.0 ccm (45.58 cubic inches),"In-line three, four-stroke",69.0 HP (50.4  kW)) @ 8500 RPM,,175.0 km/h (108.7 mph),,9.2:1,68.0 x 68.6 mm (2.7 x 2.7 inches),2,,Double Overhead Cams/Twin Cam (DOHC),,Air,5-speed,Shaft drive (cardan)   (final drive),,,3.25-19 ,4.00-18 ,Dual disc,Single disc,252.0 kg (555.6 pounds),,,19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 80 GS,1980,Allround," 3.5  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",797.0 ccm (48.63 cubic inches),"Two cylinder boxer, four-stroke",50.0 HP (36.5  kW)) @ 6500 RPM,,173.0 km/h (107.5 mph),,8.2:1,84.8 x 70.6 mm (3.3 x 2.8 inches),2,,Overhead Valves (OHV),,Air,5-speed,Shaft drive (cardan)   (final drive),,,3.00-21 ,4.00-18 ,Single disc,Expanding brake,196.0 kg (432.1 pounds),,,19.50 litres (5.15 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benelli 125 Sport,1980,Sport," 3.1  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Twin, two-stroke",18.0 HP (13.1  kW)) @ 8100 RPM,,130.0 km/h (80.8 mph),,10.3:1,42.5 x 44.0 mm (1.7 x 1.7 inches),,,Port control,,Air,5-speed,Chain   (final drive),,,2.75-18 ,3.00-18 ,Single disc,Expanding brake,125.0 kg (275.6 pounds),,,13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 750 F,1980,Classic," 4.0  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"In-line four, four-stroke",78.0 HP (56.9  kW)) @ 9000 RPM,,203.0 km/h (126.1 mph),,9.0:1,62.0 x 62.0 mm (2.4 x 2.4 inches),4,,Double Overhead Cams/Twin Cam (DOHC),,Air,5-speed,Chain   (final drive),,,3.25-19 ,4.00-18 ,Dual disc,Single disc,253.0 kg (557.8 pounds),,,20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson XLH 1000 Sportster,1980,Sport," 3.2  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",997.0 ccm (60.84 cubic inches),"V2, four-stroke",55.0 HP (40.1  kW)) @ 5800 RPM,,180.0 km/h (111.8 mph),,9.0:1,81.0 x 96.8 mm (3.2 x 3.8 inches),2,,Overhead Valves (OHV),,Air,4-speed,Chain   (final drive),,,3.75-19 ,4.25-18 ,Dual disc,Single disc,240.0 kg (529.1 pounds),,,9.00 litres (2.38 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 65,1980,Touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",649.0 ccm (39.60 cubic inches),"Two cylinder boxer, four-stroke",50.0 HP (36.5  kW)) @ 7250 RPM,,175.0 km/h (108.7 mph),,9.2:1,82.0 x 61.5 mm (3.2 x 2.4 inches),2,,Overhead Valves (OHV),,Air,5-speed,Shaft drive (cardan)   (final drive),,,3.25-18 ,4.00-18 ,Single disc,Expanding brake,204.0 kg (449.7 pounds),,,22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malanca 125 E 2 C Super Sport,1980,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Twin, two-stroke",22.0 HP (16.1  kW)) @ 10300 RPM,,140.0 km/h (87.0 mph),,12.0:1,43.0 x 43.0 mm (1.7 x 1.7 inches),,,Port control,,Air,5-speed,Chain   (final drive),,,2.75-18 ,3.00-18 ,Dual disc,Single disc,115.0 kg (253.5 pounds),,,11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Morini 125 T,1980,Classic,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,123.0 ccm (7.51 cubic inches),"Single cylinder, four-stroke",9.0 HP (6.6  kW)) @ 9000 RPM,,110.0 km/h (68.4 mph),,11.7:1,59.0 x 45.0 mm (2.3 x 1.8 inches),2,,Overhead Valves (OHV),,Air,6-speed,Chain   (final drive),,,2.75-18 ,3.00-18 ,Single disc,Expanding brake,115.0 kg (253.5 pounds),,,12.00 litres (3.17 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha DT 250 MX,1980,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",246.0 ccm (15.01 cubic inches),"Single cylinder, two-stroke",16.0 HP (11.7  kW)) @ 5400 RPM,,109.0 km/h (67.7 mph),,6.7:1,70.0 x 64.0 mm (2.8 x 2.5 inches),,,Membrane,,Air,5-speed,Chain   (final drive),,,3.00-21 ,4.00-18 ,Expanding brake,Expanding brake,135.0 kg (297.6 pounds),,,9.00 litres (2.38 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FLTC 1340 Tour Glide Classic,1980,Touring," 3.3  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1337.0 ccm (81.58 cubic inches),"V2, four-stroke",70.0 HP (51.1  kW)) @ 5800 RPM,,165.0 km/h (102.5 mph),,7.4:1,88.8 x 108.0 mm (3.5 x 4.3 inches),2,,Overhead Valves (OHV),,Air,5-speed,Chain   (final drive),,,5.10-16 ,5.10-16 ,Dual disc,Single disc,355.0 kg (782.6 pounds),,,19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XT 500,1980,Enduro / offroad," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 5900 RPM,,132.0 km/h (82.0 mph),,9.0:1,87.0 x 84.0 mm (3.4 x 3.3 inches),2,,Overhead Cams (OHC),,Air,5-speed,Chain   (final drive),,,3.25-21 ,4.00-18 ,Expanding brake,Expanding brake,155.0 kg (341.7 pounds),,,9.00 litres (2.38 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX 400,1980,Naked bike," 3.0  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",399.0 ccm (24.35 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 8000 RPM,,151.0 km/h (93.8 mph),,9.0:1,67.0 x 56.6 mm (2.6 x 2.2 inches),4,,Double Overhead Cams/Twin Cam (DOHC),,Air,6-speed,Chain   (final drive),,,3.00-18 ,3.75-18 ,Single disc,Expanding brake,194.0 kg (427.7 pounds),,,14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha TZ 125 G,1980,Sport," 2.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",,,,,,,,Carburettor. MIKUNI  38 MM,,,Liquid,6-speed,Chain   (final drive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Z 400 G,1980,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,390.0 ccm (23.80 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 7200 RPM,,141.0 km/h (87.6 mph),,9.5:1,64.0 x 62.0 mm (2.5 x 2.4 inches),2,,Overhead Cams (OHC),,Air,6-speed,Chain   (final drive),,,3.00-18 ,3.50-18 ,Single disc,Expanding brake,182.0 kg (401.2 pounds),,,14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maico MD 250 WK,1980,Cross / motocross," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",245.0 ccm (14.95 cubic inches),"Single cylinder, two-stroke",27.0 HP (19.7  kW)) @ 7000 RPM,,151.0 km/h (93.8 mph),,11.7:1,76.0 x 54.0 mm (3.0 x 2.1 inches),,,Rotary valves,,Liquid,6-speed,Chain   (final drive),,,3.00-18 ,3.25-18 ,Single disc,Single disc,132.0 kg (291.0 pounds),,,17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zündapp KS 175,1980,Classic," 3.4  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",163.0 ccm (9.95 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 7400 RPM,,126.0 km/h (78.3 mph),,7.8:1,62.0 x 54.0 mm (2.4 x 2.1 inches),,,Port control,,Liquid,5-speed,Chain   (final drive),,,2.75-18 ,3.25-18 ,Single disc,Expanding brake,121.0 kg (266.8 pounds),,,14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CM 200 T,1980,Classic," 3.9  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",194.0 ccm (11.84 cubic inches),"Twin, four-stroke",17.0 HP (12.4  kW)) @ 9000 RPM,,119.0 km/h (73.9 mph),,8.8:1,53.0 x 44.0 mm (2.1 x 1.7 inches),2,,Overhead Cams (OHC),,Air,4-speed,Chain   (final drive),,,3.00-17 ,3.50-16 ,Expanding brake,Expanding brake,138.0 kg (304.2 pounds),,,11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 650 C (reduced effect),1980,Custom / cruiser," 3.1  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",627.0 ccm (38.26 cubic inches),"In-line four, four-stroke",50.0 HP (36.5  kW)) @ 8000 RPM,,175.0 km/h (108.7 mph),,9.0:1,59.8 x 55.8 mm (2.4 x 2.2 inches),2,,Overhead Cams (OHC),,Air,5-speed,Chain   (final drive),,,3.50-19 ,130/90-16 ,Single disc,Expanding brake,220.0 kg (485.0 pounds),,,14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CX 500 (reduced effect),1980,Touring," 2.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",497.0 ccm (30.33 cubic inches),"V2, four-stroke",27.0 HP (19.7  kW)) @ 6500 RPM,,148.0 km/h (92.0 mph),,10.0:1,78.0 x 52.0 mm (3.1 x 2.0 inches),4,,Overhead Valves (OHV),,Liquid,5-speed,Shaft drive (cardan)   (final drive),,,3.25-19 ,3.75-18 ,Dual disc,Expanding brake,221.0 kg (487.2 pounds),,,17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dnepr MT 10 (with sidecar),1980,Custom / cruiser," 2.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",650.0 ccm (39.66 cubic inches),"Two cylinder boxer, four-stroke",25.0 HP (18.2  kW)) @ 5200 RPM,,110.0 km/h (68.4 mph),,7.8:1,78.0 x 68.0 mm (3.1 x 2.7 inches),2,,Overhead Valves (OHV),,Air,4-speed with reverse,Shaft drive (cardan)   (final drive),,,3.50-18 ,4.00-18 ,Expanding brake,Expanding brake,350.0 kg (771.6 pounds),,,21.00 litres (5.55 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Z 250 C,1980,Classic," 3.3  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",246.0 ccm (15.01 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)) @ 7000 RPM,,126.0 km/h (78.3 mph),,8.9:1,70.0 x 64.0 mm (2.8 x 2.5 inches),2,,Overhead Cams (OHC),,Air,5-speed,Chain   (final drive),,,2.75-18 ,4.60-16 ,Expanding brake,Expanding brake,132.0 kg (291.0 pounds),,,9.00 litres (2.38 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benelli 350 RS,1980,Classic," 3.0  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",345.0 ccm (21.05 cubic inches),"In-line four, four-stroke",27.0 HP (19.7  kW)) @ 9200 RPM,,148.0 km/h (92.0 mph),,10.0:1,50.0 x 44.0 mm (2.0 x 1.7 inches),2,,Overhead Cams (OHC),,Air,5-speed,Chain   (final drive),,,90/90-18 ,100/90-18 ,Single disc,Expanding brake,200.0 kg (440.9 pounds),,,16.00 litres (4.23 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FLT 1340 Tour Glide,1980,Sport touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1337.0 ccm (81.58 cubic inches),"V2, four-stroke",70.0 HP (51.1  kW)) @ 5800 RPM,,165.0 km/h (102.5 mph),,7.4:1,88.8 x 108.0 mm (3.5 x 4.3 inches),2,,Overhead Valves (OHV),,Air,5-speed,Chain   (final drive),,,5.10-16 ,5.10-16 ,Dual disc,Single disc,355.0 kg (782.6 pounds),,,19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benelli 500 LS,1980,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.0 ccm (30.39 cubic inches),"In-line four, four-stroke",44.0 HP (32.1  kW)) @ 8500 RPM,,173.0 km/h (107.5 mph),,10.2:1,56.0 x 50.6 mm (2.2 x 2.0 inches),2,,Overhead Cams (OHC),,Air,5-speed,Chain   (final drive),,,3.50-18 ,4.10-18 ,Dual disc,Expanding brake,230.0 kg (507.1 pounds),,,19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KZ 250 LTD,1980,Naked bike," 3.1  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",246.0 ccm (15.01 cubic inches),"Single cylinder, four-stroke",,,,,,,,Carburettor. CV32,Single Overhead Cams (SOHC),Battery and Coil,Air,5-speed,Chain   (final drive),Extended forks,,,,Expanding brake (drum brake),Expanding brake (drum brake),,,1336 mm (52.6 inches),7.94 litres (2.10 US gallons),Electric,,,,,,126.6 kg (279.0 pounds),,"721 mm (28.4 inches) If adjustable, lowest setting.",,,,,,,,,,,,Single Megaphone Exhaust,"Luminous Dark Blue, Candy Persimmon Red",,,,,,,,,,,,,,,,,,
Sanglas 400 Y,1980,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,392.0 ccm (23.92 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 7100 RPM,,140.0 km/h (87.0 mph),,9.2:1,69.0 x 52.4 mm (2.7 x 2.1 inches),2,,Overhead Cams (OHC),,Air,6-speed,Chain   (final drive),,,3.25-18 ,3.50-18 ,Dual disc,Single disc,177.0 kg (390.2 pounds),,,18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GS 550 L,1980,Classic," 3.6  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",549.0 ccm (33.50 cubic inches),"In-line four, four-stroke",48.0 HP (35.0  kW)) @ 9200 RPM,,158.0 km/h (98.2 mph),,8.6:1,56.0 x 55.8 mm (2.2 x 2.2 inches),2,,Double Overhead Cams/Twin Cam (DOHC),,Air,6-speed,Chain   (final drive),,,3.25-19 ,3.75-18 ,Dual disc,Single disc,223.0 kg (491.6 pounds),,,13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benelli 900 Sei,1980,Classic," 3.4  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",905.0 ccm (55.22 cubic inches),"In-line six, four-stroke",80.0 HP (58.4  kW)) @ 8300 RPM,,193.0 km/h (119.9 mph),,9.5:1,60.0 x 53.4 mm (2.4 x 2.1 inches),2,,Overhead Cams (OHC),,Air,5-speed,Chain   (final drive),,,100/90-18 ,120/90-18 ,Dual disc,Single disc,249.0 kg (549.0 pounds),,,17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hercules K 125 Military,1980,Cross / motocross," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",12.5 HP (9.1  kW)) @ 7000 RPM,,94.0 km/h (58.4 mph),,9.0:1,54.0 x 54.0 mm (2.1 x 2.1 inches),,,Port control,,Air,5-speed,Chain   (final drive),,,3.25-18 ,3.50-18 ,Expanding brake,Expanding brake,135.0 kg (297.6 pounds),,,15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
