Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Compression,Bore x stroke,Valves per cylinder,Fuel control,Cooling system,Gearbox,Transmission type,Front tire,Rear tire,Front brakes,Rear brakes,"Weight incl. oil, gas, etc",Fuel capacity,Max RPM,Fuel system,Starter,Ignition,Lubrication system,Clutch,Fuel consumption,Greenhouse gases,Frame type,Rake (fork angle),Trail,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Dry weight,Power/weight ratio,Seat height,Overall height,Overall length,Overall width,Ground clearance,Wheelbase,Reserve fuel capacity,Oil capacity,Color options,Torque,Exhaust system,Diameter,Comments,Driveline,Electrical,0-100 km/h (0-62 mph),1/4 mile (0.4 km),Wheels,Seat,Modifications compared to previous model,Engine oil,Oil filter,Brake fluid,Battery,Spark plugs,Chain size,Chain links,Sprockets,Fork tube size
Yamaha DT 125 E,1979,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",10.0 HP (7.3  kW)) @ 6800 RPM,110.0 km/h (68.4 mph),7.1:1,56.0 x 50.0 mm (2.2 x 2.0 inches),,Membrane,Air,5-speed,Chain   (final drive),2.75-21 ,3.25-18 ,Expanding brake,Expanding brake,119.0 kg (262.4 pounds),7.00 litres (1.85 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Z 1000 MK II,1979,Sport touring," 3.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1015.0 ccm (61.94 cubic inches),"In-line four, four-stroke",94.0 HP (68.6  kW)) @ 8000 RPM,211.0 km/h (131.1 mph),8.7:1,70.0 x 66.0 mm (2.8 x 2.6 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Dual disc,Single disc,264.0 kg (582.0 pounds),16.50 litres (4.36 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha RD 200,1979,Classic," 3.2  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",195.0 ccm (11.90 cubic inches),"Twin, two-stroke",17.0 HP (12.4  kW)) @ 7700 RPM,122.0 km/h (75.8 mph),7.1:1,52.0 x 46.0 mm (2.0 x 1.8 inches),,Membrane,Air,5-speed,Chain   (final drive),2.75-18 ,3.25-18 ,Single disc,Expanding brake,132.0 kg (291.0 pounds),11.50 litres (3.04 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CM 185 T,1979,Allround," 3.6  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",181.0 ccm (11.04 cubic inches),"Twin, four-stroke",10.0 HP (7.3  kW)) @ 7500 RPM,93.0 km/h (57.8 mph),9.0:1,53.0 x 41.0 mm (2.1 x 1.6 inches),2,Overhead Cams (OHC),Air,4-speed,Chain   (final drive),3.00-17 ,3.50-16 ,Expanding brake,Expanding brake,137.0 kg (302.0 pounds),11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha SR 500 G (cast wheels),1979,Classic," 4.1  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 6000 RPM,135.0 km/h (83.9 mph),9.0:1,87.0 x 84.0 mm (3.4 x 3.3 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.50-19 ,4.00-18 ,Single disc,Expanding brake,174.0 kg (383.6 pounds),12.00 litres (3.17 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CX 500 Custom (reduced effect),1979,Sport touring," 3.1  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",497.0 ccm (30.33 cubic inches),"V2, four-stroke",27.0 HP (19.7  kW)) @ 6500 RPM,140.0 km/h (87.0 mph),10.0:1,78.0 x 52.0 mm (3.1 x 2.0 inches),4,Overhead Valves (OHV),Liquid,5-speed,Shaft drive (cardan)   (final drive),3.50-19 ,130/90-16 ,Dual disc,Expanding brake,216.0 kg (476.2 pounds),11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XS 650 Special,1979,Sport touring," 3.3  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",654.0 ccm (39.91 cubic inches),"Twin, four-stroke",48.0 HP (35.0  kW)) @ 7100 RPM,156.0 km/h (96.9 mph),8.4:1,75.0 x 74.0 mm (3.0 x 2.9 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.50-19 ,130/90-16 ,Single disc,Single disc,221.0 kg (487.2 pounds),12.00 litres (3.17 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XS 250,1979,Classic," 3.5  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Twin, four-stroke",17.0 HP (12.4  kW)) @ 8100 RPM,115.0 km/h (71.5 mph),9.6:1,55.0 x 52.4 mm (2.2 x 2.1 inches),2,Overhead Cams (OHC),Air,6-speed,Chain   (final drive),3.00-18 ,3.50-18 ,Single disc,Expanding brake,178.0 kg (392.4 pounds),17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KZ 400 H LTD,1979,Custom / cruiser," 3.0  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",398.0 ccm (24.29 cubic inches),"Twin, four-stroke",36.0 HP (26.3  kW)) @ 8500 RPM,,9.5:1,64.0 x 62.0 mm (2.5 x 2.4 inches),2,Single Overhead Cams (SOHC),Air,6-speed,Chain   (final drive),,,Single disc,Expanding brake (drum brake),,12.00 litres (3.17 US gallons),,Carburettor. Keihin VN32SS x 2,Electric & kick,Battery  and  coil,forced lubrication (wet sump),wet muti disc,3.85 litres/100 km (26.0 km/l or 61.10 mpg),89.3 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,112 mm (4.4 inches),,,,,170.0 kg (374.8 pounds),0.2118 HP/kg,,1180 mm (46.5 inches),2080 mm (81.9 inches),810 mm (31.9 inches),140 mm (5.5 inches),1390 mm (54.7 inches),2.00 litres (0.53 US gallons),,,31.2 Nm (3.2 kgf-m or 23.0 ft.lbs) @ 7000 RPM,2 in to 2,,,,,,,,,,,,,,,,,,
Moto Guzzi V 35,1979,Scooter," 2.9  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",346.0 ccm (21.11 cubic inches),"V2, four-stroke",27.0 HP (19.7  kW)) @ 7600 RPM,148.0 km/h (92.0 mph),10.8:1,66.0 x 50.6 mm (2.6 x 2.0 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),3.00-18 ,3.25-18 ,Dual disc,Single disc,175.0 kg (385.8 pounds),16.00 litres (4.23 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MV Agusta 850 Magni,1979,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,837.0 ccm (51.07 cubic inches),"In-line four, four-stroke",110.0 HP (80.3  kW)) @ 9000 RPM,,10.3:1,68.6 x 55.9 mm (2.7 x 2.2 inches),,Double Overhead Cams/Twin Cam (DOHC),Air,,,110/80-18 ,150/70-18 ,Double disc,Double disc,,18.90 litres (4.99 US gallons),,Carburettor. Dell´Orto ,,,,,,,Steel ,,,"Telescopic, Forcelle",,Dual Koni Shocks Preload Adjustable,,200.0 kg (440.9 pounds),0.5498 HP/kg,,,,,,,,,Red,,,280 mm (11.0 inches),,,,,,,,,,,,,,,,,
Suzuki SP 370,1979,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",370.0 ccm (22.58 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 7500 RPM,129.0 km/h (80.2 mph),8.9:1,85.0 x 65.2 mm (3.3 x 2.6 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-21 ,4.00-18 ,Expanding brake,Expanding brake,135.0 kg (297.6 pounds),8.50 litres (2.25 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB750F SuperSport,1979,Sport," 3.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",749.0 ccm (45.70 cubic inches),"In-line four, four-stroke",72.0 HP (52.6  kW)),,9.0:1,62.0 x 62.0 mm (2.4 x 2.4 inches),4,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),,,Double disc,Single disc,,20.06 litres (5.30 US gallons),9500,Carburettor. Keihin VB42B,Electric,Electronic,Wet sump,,,,,,,,,,,230.0 kg (507.0 pounds),0.3131 HP/kg,"810 mm (31.9 inches) If adjustable, lowest setting.",1140 mm (44.9 inches),2195 mm (86.4 inches),866 mm (34.1 inches),140 mm (5.5 inches),1519 mm (59.8 inches),4.50 litres (1.19 US gallons),3.50 litres (3.7 US quarts),"Black, Silver",,,,,,,,,,,,,,,,,,,,
Triumph TR 7 RV Tiger (reduced effect),1979,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,744.0 ccm (45.40 cubic inches),"Twin, four-stroke",26.0 HP (19.0  kW)) @ 5000 RPM,145.0 km/h (90.1 mph),7.4:1,76.0 x 82.0 mm (3.0 x 3.2 inches),2,Overhead Valves (OHV),Air,5-speed,Chain   (final drive),4.10-19 ,4.10-18 ,Single disc,Single disc,197.0 kg (434.3 pounds),18.50 litres (4.89 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malanca 125 E 2 C Super Sport,1979,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Twin, two-stroke",22.0 HP (16.1  kW)) @ 10300 RPM,140.0 km/h (87.0 mph),12.0:1,43.0 x 43.0 mm (1.7 x 1.7 inches),,Port control,Air,5-speed,Chain   (final drive),2.75-18 ,3.00-18 ,Dual disc,Single disc,115.0 kg (253.5 pounds),11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KE 125,1979,Enduro / offroad," 2.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",10.0 HP (7.3  kW)) @ 6300 RPM,94.0 km/h (58.4 mph),6.5:1,56.0 x 50.6 mm (2.2 x 2.0 inches),,Rotary valves,Air,6-speed,Chain   (final drive),2.75-21 ,3.50-18 ,Expanding brake,Expanding brake,110.0 kg (242.5 pounds),9.50 litres (2.51 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cagiva SST 125,1979,Allround," 1.8  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",10.0 HP (7.3  kW)) @ 7000 RPM,104.0 km/h (64.6 mph),10.8:1,56.0 x 50.6 mm (2.2 x 2.0 inches),,Port control,Air,5-speed,Chain   (final drive),3.00-19 ,3.50-18 ,Single disc,Expanding brake,116.0 kg (255.7 pounds),10.50 litres (2.77 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha DT 175 MX,1979,Enduro / offroad," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",171.0 ccm (10.43 cubic inches),"Single cylinder, two-stroke",15.0 HP (10.9  kW)) @ 7500 RPM,115.0 km/h (71.5 mph),6.8:1,66.0 x 50.0 mm (2.6 x 2.0 inches),,Membrane,Air,6-speed,Chain   (final drive),2.75-21 ,3.50-18 ,Expanding brake,Expanding brake,111.0 kg (244.7 pounds),7.00 litres (1.85 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bultaco Streaker 125,1979,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,119.0 ccm (7.26 cubic inches),"Single cylinder, two-stroke",10.0 HP (7.3  kW)) @ 9000 RPM,116.0 km/h (72.1 mph),12.0:1,54.2 x 51.2 mm (2.1 x 2.0 inches),,Port control,Air,6-speed,Chain   (final drive),2.50-18 ,2.75-18 ,Single disc,Single disc,94.0 kg (207.2 pounds),10.50 litres (2.77 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FXE 1200 Super Glide,1979,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1206.0 ccm (73.59 cubic inches),"V2, four-stroke",58.0 HP (42.3  kW)) @ 5150 RPM,177.0 km/h (110.0 mph),8.0:1,87.3 x 100.8 mm (3.4 x 4.0 inches),2,Overhead Valves (OHV),Air,4-speed,Chain   (final drive),3.75-19 ,5.10-16 ,Dual disc,Single disc,275.0 kg (606.3 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki RM 80,1979,Cross / motocross," 2.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",79.0 ccm (4.82 cubic inches),"Single cylinder, two-stroke",14.5 HP (10.6  kW)) @ 11000 RPM,,,,,,Air,,,3.00-21 ,4.10-18 ,Expanding brake (drum brake). Single Leading Shoe,Expanding brake (drum brake). Single Leading Shoe,,,,Carburettor. Mikuni,Kick,Magneto,,Wet Plate,,,Tubular Steel,,,Long Travel Offroad ´Zonker´ Air Forks,,Tru-Trac Dual Adjustable Shock With Swing Arm,,61.7 kg (136.0 pounds),0.2351 HP/kg,"719 mm (28.3 inches) If adjustable, lowest setting.",970 mm (38.2 inches),1715 mm (67.5 inches),775 mm (30.5 inches),,1171 mm (46.1 inches),,,Suzuki Screaming Yellow on Black,,Suzuki Offroad Pipe with Spark Arrestor,110 mm (4.3 inches),This is all the information that I have been able to accumulate over the period of about one year. Any additional spec sheet information would be appreciated.,,,,,,,,,,,,,,,,
BMW R 45,1979,Classic," 3.1  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",473.0 ccm (28.86 cubic inches),"Two cylinder boxer, four-stroke",35.0 HP (25.5  kW)) @ 7250 RPM,160.0 km/h (99.4 mph),9.2:1,70.0 x 61.5 mm (2.8 x 2.4 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),3.25-18 ,4.00-18 ,Single disc,Expanding brake,206.0 kg (454.2 pounds),22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Z 250,1979,Classic," 3.5  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 10000 RPM,145.0 km/h (90.1 mph),9.5:1,55.0 x 52.4 mm (2.2 x 2.1 inches),2,Overhead Cams (OHC),Air,6-speed,Chain   (final drive),3.00-18 ,3.50-18 ,Single disc,Single disc,167.0 kg (368.2 pounds),13.50 litres (3.57 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
