Model,Year,Category,Rating,Displacement,Engine type,Power,Compression,Bore x stroke,Valves per cylinder,Fuel control,Cooling system,Gearbox,Transmission type,Front tire,Rear tire,Front brakes,Rear brakes,"Weight incl. oil, gas, etc",Fuel capacity,Top speed,Fuel system,Starter,Torque,Ignition,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Seat height,Wheelbase,Color options,Max RPM,Clutch,Fuel consumption,Greenhouse gases,Exhaust system,Dry weight,Power/weight ratio,Overall height,Overall length,Overall width,Lubrication system,Frame type,Reserve fuel capacity,1/4 mile (0.4 km),Diameter,Ground clearance,0-100 km/h (0-62 mph),Oil capacity,Rake (fork angle),Trail,Comments,Engine oil,Brake fluid,Spark plugs,Idle speed,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,Oil filter,Battery,Belt teeth,Belt width,Pulley teeth,Coolant,Chain size
Moto Morini 501 Excalibur,1991,Custom / cruiser," 3.2  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",507.0 ccm (30.94 cubic inches),"V2, four-stroke",41.0 HP (29.9  kW)) @ 8500 RPM,11.5:1,71.0 x 64.0 mm (2.8 x 2.5 inches),2,Overhead Valves (OHV),Air,6-speed,Chain   (final drive),100/90-18 ,130/90-16 ,Single disc,Single disc,193.0 kg (425.5 pounds),17.00 litres (4.49 US gallons),149.0 km/h (92.6 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XT 600 E (reduced effect),1991,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,595.0 ccm (36.31 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 6000 RPM,8.5:1,95.0 x 84.0 mm (3.7 x 3.3 inches),4,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),90/90-21 ,120/90-17 ,Single disc,Single disc,177.0 kg (390.2 pounds),13.00 litres (3.43 US gallons),133.0 km/h (82.6 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dnepr MT-11,1991,Classic," 3.1  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",650.0 ccm (39.66 cubic inches),"Twin, four-stroke",32.0 HP (23.4  kW)),,,,Standing valves,Air,4-speed,Shaft drive (cardan)   (final drive),,,,,,,,Carburettor,Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia Pegaso 125,1991,Allround," 3.3  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",23.0 HP (16.8  kW)) @ 10250 RPM,15.0:1,54.0 x 54.5 mm (2.1 x 2.1 inches),,Membrane & variable discharge openings,Liquid,6-speed,Chain   (final drive),100/90-19 ,120/80-17 ,Single disc,Single disc,140.0 kg (308.6 pounds),11.50 litres (3.04 US gallons),125.0 km/h (77.7 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husqvarna 250 WRK,1991,Enduro / offroad," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 5500 RPM,13.5:1,70.0 x 64.8 mm (2.8 x 2.6 inches),,Membrane & variable discharge openings,Liquid,6-speed,Chain   (final drive),90/90-21 ,140/80-18 ,Single disc,Expanding brake,101.0 kg (222.7 pounds),8.50 litres (2.25 US gallons),110.0 km/h (68.4 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki VN-15 SE (reduced effect),1991,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1470.0 ccm (89.70 cubic inches),"V2, four-stroke",60.0 HP (43.8  kW)) @ 4300 RPM,9.0:1,102.0 x 90.0 mm (4.0 x 3.5 inches),4,Overhead Cams (OHC),Liquid,4-speed,Shaft drive (cardan)   (final drive),100/90-19 ,150/90-15 ,Single disc,Single disc,281.0 kg (619.5 pounds),16.00 litres (4.23 US gallons),180.0 km/h (111.8 mph),Carburettor. Keihin,Electric,117.0 Nm (11.9 kgf-m or 86.3 ft.lbs) @ 3300 RPM,CDI,Centre axle fork,150 mm (5.9 inches),Dual shocks ,100 mm (3.9 inches),"750 mm (29.5 inches) If adjustable, lowest setting.",1665 mm (65.6 inches),"Black, red, silver",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maico GS 600,1991,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,562.0 ccm (34.29 cubic inches),"Single cylinder, four-stroke",49.0 HP (35.8  kW)) @ 6800 RPM,9.6:1,94.0 x 81.0 mm (3.7 x 3.2 inches),4,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-21 ,130/80-18 ,Single disc,Single disc,135.0 kg (297.6 pounds),10.00 litres (2.64 US gallons),140.0 km/h (87.0 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XV 250,1991,Touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",249.0 ccm (15.19 cubic inches),"V2, four-stroke",22.0 HP (16.1  kW)) @ 8000 RPM,10.0:1,49.0 x 66.0 mm (1.9 x 2.6 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-18 ,130/90-15 ,Single disc,Expanding brake,154.0 kg (339.5 pounds),9.50 litres (2.51 US gallons),121.0 km/h (75.2 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki DR 650 RS (reduced effect),1991,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",640.0 ccm (39.05 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 5800 RPM,9.7:1,95.0 x 90.4 mm (3.7 x 3.6 inches),4,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),90/90-21 ,120/90-17 ,Single disc,Single disc,184.0 kg (405.7 pounds),20.00 litres (5.28 US gallons),130.0 km/h (80.8 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yangtze 750 Spezial B (with sidecar),1991,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,745.0 ccm (45.46 cubic inches),"Two cylinder boxer, four-stroke",24.0 HP (17.5  kW)) @ 4500 RPM,5.7:1,78.0 x 78.0 mm (3.1 x 3.1 inches),2,Standing valves,Air,4-speed with reverse,Shaft drive (cardan)   (final drive),3.75-19 ,3.75-19 ,Expanding brake,Expanding brake,350.0 kg (771.6 pounds),23.00 litres (6.08 US gallons),90.0 km/h (55.9 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husqvarna 350 TE,1991,Enduro / offroad," 3.0  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",349.0 ccm (21.30 cubic inches),"Single cylinder, four-stroke",42.0 HP (30.7  kW)) @ 9200 RPM,10.2:1,84.0 x 63.0 mm (3.3 x 2.5 inches),4,Overhead Cams (OHC),Liquid,5-speed,Chain   (final drive),90/90-21 ,140/80-18 ,Single disc,Single disc,130.0 kg (286.6 pounds),9.00 litres (2.38 US gallons),138.0 km/h (85.7 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda XRV 750 Africa Twin (reduced effect),1991,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,742.0 ccm (45.28 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 7000 RPM,9.0:1,81.0 x 72.0 mm (3.2 x 2.8 inches),3,Overhead Cams (OHC),Liquid,5-speed,Chain   (final drive),90/90-21 ,130/90-17 ,Dual disc,Single disc,237.0 kg (522.5 pounds),24.00 litres (6.34 US gallons),164.0 km/h (101.9 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki Bandit 400,1991,Sport touring," 3.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",398.0 ccm (24.29 cubic inches),"In-line four, four-stroke",50.0 HP (36.5  kW)) @ 10600 RPM,11.8:1,56.0 x 40.4 mm (2.2 x 1.6 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),110/70-17 ,150/70-17 ,Dual disc,Single disc,190.0 kg (418.9 pounds),16.00 litres (4.23 US gallons),172.0 km/h (106.9 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XT 600 E,1991,Enduro / offroad," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",595.0 ccm (36.31 cubic inches),"Single cylinder, four-stroke",45.0 HP (32.8  kW)) @ 6500 RPM,8.5:1,95.0 x 84.0 mm (3.7 x 3.3 inches),4,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),90/90-21 ,120/90-17 ,Single disc,Single disc,177.0 kg (390.2 pounds),13.00 litres (3.43 US gallons),148.0 km/h (92.0 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dnepr MT 11 (with sidecar),1991,Classic," 3.1  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",650.0 ccm (39.66 cubic inches),"Two cylinder boxer, four-stroke",38.0 HP (27.7  kW)) @ 5900 RPM,8.5:1,78.0 x 68.0 mm (3.1 x 2.7 inches),2,Overhead Valves (OHV),Air,4-speed with reverse,Shaft drive (cardan)   (final drive),3.75-19 ,3.75-19 ,Expanding brake,Expanding brake,350.0 kg (771.6 pounds),19.00 litres (5.02 US gallons),125.0 km/h (77.7 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Trident 900,1991,Allround," 4.2  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",884.0 ccm (53.94 cubic inches),"In-line three, four-stroke",100.0 HP (73.0  kW)) @ 9500 RPM,10.6:1,76.0 x 65.0 mm (3.0 x 2.6 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),120/70-17 ,160/60-18 ,Dual disc,Single disc,249.0 kg (549.0 pounds),25.00 litres (6.61 US gallons),215.0 km/h (133.6 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ural M 67-6,1991,Touring,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,650.0 ccm (39.66 cubic inches),"Two cylinder boxer, four-stroke",38.0 HP (27.7  kW)) @ 5700 RPM,7.0:1,78.0 x 68.0 mm (3.1 x 2.7 inches),2,Overhead Valves (OHV),Air,4-speed,Shaft drive (cardan)   (final drive),4.00-18 ,4.00-18 ,Expanding brake,Expanding brake,215.0 kg (474.0 pounds),19.00 litres (5.02 US gallons),140.0 km/h (87.0 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norton F 1,1991,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,588.0 ccm (35.88 cubic inches),Dual disk Wankel,95.0 HP (69.3  kW)) @ 9500 RPM,9.0:1,,,,Liquid,5-speed,Chain   (final drive),120/70-17 ,170/60-17 ,Dual disc,Single disc,229.0 kg (504.9 pounds),21.00 litres (5.55 US gallons),231.0 km/h (143.5 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki VX 800,1991,Naked bike," 3.8  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",805.0 ccm (49.12 cubic inches),"V2, four-stroke",61.0 HP (44.5  kW)) @ 6800 RPM,10.0:1,83.0 x 74.4 mm (3.3 x 2.9 inches),4,Overhead Cams (OHC),Liquid,5-speed,Shaft drive (cardan)   (final drive),110/80-18 ,150/70-17 ,Single disc,Single disc,238.0 kg (524.7 pounds),19.00 litres (5.02 US gallons),186.0 km/h (115.6 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KLR 250,1991,Allround," 3.4  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",23.0 HP (16.8  kW)) @ 9000 RPM,11.0:1,74.0 x 58.0 mm (2.9 x 2.3 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),3.00-21 ,4.60-17 ,Single disc,Expanding brake,134.0 kg (295.4 pounds),11.00 litres (2.91 US gallons),135.0 km/h (83.9 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki ZZ-R 500,1991,Sport touring," 3.3  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",484.0 ccm (29.53 cubic inches),"In-line four, four-stroke",71.1 HP (51.9  kW)),,,4,,Liquid,6-speed,Chain   (final drive),120/60-ZR17 ,160/60-ZR17 ,Double disc,Single disc,,18.00 litres (4.76 US gallons),214.0 km/h (133.0 mph),Carburettor,Electric,,,,,,,,,,16000,Wet plate,5.00 litres/100 km (20.0 km/l or 47.04 mpg),116.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,Double stainless steel pipes,217.0 kg (478.4 pounds),0.3275 HP/kg,1170 mm (46.1 inches),2075 mm (81.7 inches),700 mm (27.6 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson XLH Sportster 883 De Luxe (reduced effect),1991,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,883.0 ccm (53.88 cubic inches),"V2, four-stroke",24.0 HP (17.5  kW)) @ 4800 RPM,9.0:1,76.2 x 96.8 mm (3.0 x 3.8 inches),2,Overhead Valves (OHV),Air,4-speed,Belt   (final drive),MJ 90-19 ,MT 90-16 ,Single disc,Single disc,222.0 kg (489.4 pounds),8.50 litres (2.25 US gallons),133.0 km/h (82.6 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hero Honda Hunk,1991,Sport touring,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,150.0 ccm (9.15 cubic inches),"Single cylinder, four-stroke",,,,2,,Air,,,,,,,,,,Carburettor,,12.8 Nm (1.3 kgf-m or 9.4 ft.lbs) @ 6500 RPM,,,,,,,,Blazing red,12000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki DR 650 RSE,1991,Enduro / offroad," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",640.0 ccm (39.05 cubic inches),"Single cylinder, four-stroke",46.0 HP (33.6  kW)) @ 6800 RPM,9.7:1,95.0 x 90.4 mm (3.7 x 3.6 inches),4,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),90/90-21 ,120/90-17 ,Single disc,Single disc,195.0 kg (429.9 pounds),20.00 litres (5.28 US gallons),156.0 km/h (96.9 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX 600 F (reduced effect),1991,Naked bike,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",50.0 HP (36.5  kW)) @ 10000 RPM,11.3:1,62.6 x 48.7 mm (2.5 x 1.9 inches),4,Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),110/80-17 ,140/80-17 ,Dual disc,Single disc,223.0 kg (491.6 pounds),20.00 litres (5.28 US gallons),180.0 km/h (111.8 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Electra Glide Ultra Classic,1991,Touring," 3.9  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1337.0 ccm (81.58 cubic inches),"V2, four-stroke",64.0 HP (46.7  kW)) @ 5000 RPM,8.5:1,88.8 x 108.0 mm (3.5 x 4.3 inches),2,Overhead Valves (OHV),Air,5-speed,Belt   (final drive),MT90-16T ,MT90-16T ,Dual disc,Single disc,340.0 kg (749.6 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha DT200R,1991,Enduro / offroad," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",200.0 ccm (12.20 cubic inches),"Single cylinder, two-stroke",,,,2,,Liquid,6-speed,Chain   (final drive),,120/90-18 ,Single disc,Single disc,,10.00 litres (2.64 US gallons),,Carburettor. Mikuni,Kick,,,,,,,,,,,wet plate,,,single pipe,,,,,,wet sump,Aluminum,3.00 litres (0.79 US gallons),,,,,,,,,,,,,,,,,,,,,,,,
Yangtze 750 Standard A (with sidecar),1991,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,745.0 ccm (45.46 cubic inches),"Two cylinder boxer, four-stroke",22.0 HP (16.1  kW)) @ 4500 RPM,5.7:1,78.0 x 78.0 mm (3.1 x 3.1 inches),2,Standing valves,Air,4-speed,Shaft drive (cardan)   (final drive),3.75-19 ,3.75-19 ,Expanding brake,Expanding brake,350.0 kg (771.6 pounds),23.00 litres (6.08 US gallons),90.0 km/h (55.9 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XT 350,1991,Enduro / offroad," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",346.0 ccm (21.11 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)) @ 7000 RPM,9.0:1,86.0 x 59.6 mm (3.4 x 2.3 inches),4,Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),3.00-21 ,110/80-18 ,Single disc,Expanding brake,150.0 kg (330.7 pounds),12.00 litres (3.17 US gallons),116.0 km/h (72.1 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chang-Jiang 750 J-1 (with sidecar),1991,Classic," 3.0  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",745.0 ccm (45.46 cubic inches),"Two cylinder boxer, four-stroke",27.0 HP (19.7  kW)) @ 5000 RPM,7.0:1,78.0 x 78.0 mm (3.1 x 3.1 inches),2,Overhead Valves (OHV),Air,4-speed with reverse,Shaft drive (cardan)   (final drive),3.75-19 ,3.75-19 ,Single disc,Expanding brake,370.0 kg (815.7 pounds),24.00 litres (6.34 US gallons),110.0 km/h (68.4 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi Mille GT,1991,Classic," 3.0  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",948.0 ccm (57.85 cubic inches),"V2, four-stroke",71.0 HP (51.8  kW)) @ 6800 RPM,9.5:1,88.0 x 78.0 mm (3.5 x 3.1 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),110/90-18 ,120/90-18 ,Dual disc,Single disc,252.0 kg (555.6 pounds),22.50 litres (5.94 US gallons),180.0 km/h (111.8 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Daytona 1000,1991,Sport touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",998.0 ccm (60.90 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 9800 RPM,11.0:1,76.0 x 55.0 mm (3.0 x 2.2 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),120/70-17 ,160/60-18 ,Dual disc,Single disc,268.0 kg (590.8 pounds),25.00 litres (6.61 US gallons),239.0 km/h (148.5 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
