Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Top speed,Valves per cylinder,Cooling system,Gearbox,Transmission type,Front brakes,Rear brakes,Dry weight,Power/weight ratio,Seat height,Alternate seat height,Starter,Max RPM,Fuel consumption,Greenhouse gases,Fuel capacity,Compression,Fuel control,0-100 km/h (0-62 mph),Bore x stroke,Fuel system,Front tire,Rear tire,Wheelbase,Reserve fuel capacity,Color options,Comments,Ignition,Driveline,Rake (fork angle),Trail,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Diameter,Wheels,"Weight incl. oil, gas, etc",Oil filter,Battery,Spark plugs,Belt teeth,Belt width,Lubrication system,Clutch,Frame type,1/4 mile (0.4 km),Ground clearance,Exhaust system,Oil capacity,Engine oil,Brake fluid,Coolant,Idle speed,Chain size,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,Overall length,Electrical,Overall height,Overall width,Carrying capacity
Honda F6C Valkyrie,1998,Custom / cruiser," 4.0  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1520.0 ccm (92.75 cubic inches),"Six cylinder boxer, four-stroke",100.0 HP (73.0  kW)) @ 6000 RPM,130.0 Nm (13.3 kgf-m or 95.9 ft.lbs) @ 5000 RPM,210.0 km/h (130.5 mph),2,Liquid,5-speed,Shaft drive (cardan)   (final drive),Dual disc,,309.0 kg (681.2 pounds),0.3236 HP/kg,"740 mm (29.1 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cagiva 900 I.E.,1998,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",904.0 ccm (55.16 cubic inches),"V2, four-stroke",73.0 HP (53.3  kW)) @ 8000 RPM,78.0 Nm (8.0 kgf-m or 57.5 ft.lbs) @ 5500 RPM,200.0 km/h (124.3 mph),2,Air,6-speed,Chain   (final drive),Single disc,Single disc,193.0 kg (425.5 pounds),0.3782 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson XL 883 C Sportster Custom,1998,Custom / cruiser," 3.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",883.0 ccm (53.88 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 6000 RPM,66.0 Nm (6.7 kgf-m or 48.7 ft.lbs) @ 4100 RPM,150.0 km/h (93.2 mph),2,Air,5-speed,Belt   (final drive),Single disc,,228.0 kg (502.7 pounds),0.2193 HP/kg,"688 mm (27.1 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husqvarna WRE,1998,Enduro / offroad," 2.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",15.0 HP (10.9  kW)),,,,Liquid,6-speed,Chain   (final drive),,,120.0 kg (264.6 pounds),0.1250 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda XLR 125R,1998,Enduro / offroad," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",,,,2,Air,,,,,,,,,,,,,,9.2:1,Single Overhead Cams (SOHC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 748 Biposto,1998,Sport," 3.1  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"V2, four-stroke",97.0 HP (70.8  kW)) @ 11000 RPM,75.0 Nm (7.6 kgf-m or 55.3 ft.lbs) @ 9000 RPM,245.0 km/h (152.2 mph),4,,6-speed,Chain   (final drive),Dual disc,Single disc,196.0 kg (432.1 pounds),0.4949 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CBR 900 RR Fireblade,1998,Sport," 4.0  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",918.0 ccm (56.02 cubic inches),"In-line four, four-stroke",130.0 HP (94.9  kW)) @ 10500 RPM,92.0 Nm (9.4 kgf-m or 67.9 ft.lbs) @ 8500 RPM,275.0 km/h (170.9 mph),4,Liquid,6-speed,Chain   (final drive),Dual disc,Single disc,180.0 kg (396.8 pounds),0.7222 HP/kg,"810 mm (31.9 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda NX 125 TC Trans City,1998,Super motard," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",13.0 HP (9.5  kW)) @ 8500 RPM,12.0 Nm (1.2 kgf-m or 8.9 ft.lbs) @ 7000 RPM,,,Air,6-speed,Chain   (final drive),Single disc,,120.0 kg (264.6 pounds),0.1083 HP/kg,"850 mm (33.5 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa 350 Chopper,1998,Custom / cruiser," 3.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",350.0 ccm (21.36 cubic inches),"Twin, two-stroke",23.0 HP (16.8  kW)) @ 5250 RPM,32.0 Nm (3.3 kgf-m or 23.6 ft.lbs) @ 4750 RPM,,,Air,4-speed,Chain   (final drive),Single disc,Single disc,149.0 kg (328.5 pounds),0.1544 HP/kg,"750 mm (29.5 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki DR 125 SE,1998,Enduro / offroad," 3.1  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",12.0 HP (8.8  kW)) @ 9800 RPM,9.0 Nm (0.9 kgf-m or 6.6 ft.lbs) @ 8600 RPM,,,Air,6-speed,Chain   (final drive),Single disc,Expanding brake,101.0 kg (222.7 pounds),0.1188 HP/kg,"840 mm (33.1 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VFR 400 NC 30,1998,Sport," 3.3  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",399.0 ccm (24.35 cubic inches),"V4, four-stroke",59.0 HP (43.1  kW)) @ 12500 RPM,39.0 Nm (4.0 kgf-m or 28.8 ft.lbs) @ 10000 RPM,208.0 km/h (129.2 mph),,Liquid,,Chain   (final drive),Double disc. dual with four piston calipers,Single disc. single dual piston calipers,182.0 kg (401.2 pounds),0.3242 HP/kg,"755 mm (29.7 inches) If adjustable, lowest setting.",,Electric,,,,15.00 litres (3.96 US gallons),,Double Overhead Cams/Twin Cam (DOHC),4.00 seconds,55.0 x 0.0 mm (2.2 x  inches),Carburettor,120/60-17 ,150/60-18 ,1345 mm (53.0 inches),3.00 litres (0.79 US gallons),Red white and blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Dyna Wide Glide,1998,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1338.0 ccm (81.64 cubic inches),"V2, four-stroke",56.0 HP (40.9  kW)) @ 5000 RPM,99.0 Nm (10.1 kgf-m or 73.0 ft.lbs) @ 2350 RPM,165.0 km/h (102.5 mph),2,Air,5-speed,Belt   (final drive),Single disc,,271.0 kg (597.5 pounds),0.2066 HP/kg,"679 mm (26.7 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBK Flame,1998,Scooter," 2.8  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",9.0 HP (6.6  kW)) @ 7500 RPM,,,,,,,,,,,"755 mm (29.7 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa 250 Master - Tempo,1998,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,250.0 ccm (15.26 cubic inches),"Single cylinder, two-stroke",26.0 HP (19.0  kW)) @ 7000 RPM,32.0 Nm (3.3 kgf-m or 23.6 ft.lbs) @ 4750 RPM,,,Liquid,5-speed,Chain   (final drive),Single disc,Single disc,132.0 kg (291.0 pounds),0.1970 HP/kg,"750 mm (29.5 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Sprint Executive,1998,Sport touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",885.0 ccm (54.00 cubic inches),"In-line three, four-stroke",95.0 HP (69.3  kW)) @ 8600 RPM,80.0 Nm (8.2 kgf-m or 59.0 ft.lbs) @ 8600 RPM,225.0 km/h (139.8 mph),3,Liquid,6-speed,Chain   (final drive),Dual disc,Single disc,215.0 kg (474.0 pounds),0.4419 HP/kg,"780 mm (30.7 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 1100 GS,1998,Allround," 4.1  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",1085.0 ccm (66.21 cubic inches),"Two cylinder boxer, four-stroke",80.0 HP (58.4  kW)) @ 6750 RPM,97.0 Nm (9.9 kgf-m or 71.5 ft.lbs) @ 5250 RPM,,,,5-speed,Shaft drive (cardan)   (final drive),Dual disc,Single disc,,,"840 mm (33.1 inches) If adjustable, lowest setting.","860 mm (33.9 inches) If adjustable, highest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSF 1200 N Bandit,1998,Naked bike," 3.5  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1157.0 ccm (70.60 cubic inches),"In-line four, four-stroke",98.0 HP (71.5  kW)) @ 8500 RPM,91.0 Nm (9.3 kgf-m or 67.1 ft.lbs) @ 4500 RPM,225.0 km/h (139.8 mph),4,,5-speed,Chain   (final drive),Dual disc,Single disc,214.0 kg (471.8 pounds),0.4579 HP/kg,"835 mm (32.9 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 916 Senna,1998,Sport," 3.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",916.0 ccm (55.89 cubic inches),"V2, four-stroke",105.0 HP (76.6  kW)) @ 9000 RPM,90.0 Nm (9.2 kgf-m or 66.4 ft.lbs) @ 7000 RPM,250.0 km/h (155.3 mph),4,Liquid,6-speed,Chain   (final drive),Dual disc,Single disc,198.0 kg (436.5 pounds),0.5303 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 600 SS,1998,Sport," 3.5  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",583.0 ccm (35.57 cubic inches),"V2, four-stroke",53.0 HP (38.7  kW)),48.0 Nm (4.9 kgf-m or 35.4 ft.lbs) @ 7000 RPM,190.0 km/h (118.1 mph),2,Air,5-speed,Chain   (final drive),Single disc,Single disc,172.0 kg (379.2 pounds),0.3081 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Ultra Classic Electra Glide,1998,Touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1338.0 ccm (81.64 cubic inches),"V2, four-stroke",59.0 HP (43.1  kW)) @ 5200 RPM,97.0 Nm (9.9 kgf-m or 71.5 ft.lbs) @ 3000 RPM,145.0 km/h (90.1 mph),2,Air,5-speed,Belt   (final drive),Dual disc,,350.0 kg (771.6 pounds),0.1686 HP/kg,"692 mm (27.2 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,Can be delivered with sidecar fitted.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 900 SS FE,1998,Sport," 4.0  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",904.0 ccm (55.16 cubic inches),"V2, four-stroke",80.0 HP (58.4  kW)) @ 8000 RPM,78.0 Nm (8.0 kgf-m or 57.5 ft.lbs) @ 6500 RPM,220.0 km/h (136.7 mph),2,Oil & air,6-speed,Chain   (final drive),Dual disc,Single disc,185.0 kg (407.9 pounds),0.4324 HP/kg,"780 mm (30.7 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Electra Glide Road King,1998,Touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1338.0 ccm (81.64 cubic inches),"V2, four-stroke",60.0 HP (43.8  kW)) @ 5000 RPM,104.0 Nm (10.6 kgf-m or 76.7 ft.lbs) @ 3000 RPM,150.0 km/h (93.2 mph),2,Air,5-speed,Belt   (final drive),Dual disc,,321.0 kg (707.7 pounds),0.1869 HP/kg,"692 mm (27.2 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi Centauro,1998,Naked bike," 3.8  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",992.0 ccm (60.53 cubic inches),"V2, four-stroke",95.0 HP (69.3  kW)) @ 8200 RPM,88.0 Nm (9.0 kgf-m or 64.9 ft.lbs) @ 5800 RPM,215.0 km/h (133.6 mph),2,Air,5-speed,Shaft drive (cardan)   (final drive),Dual disc,Single disc,224.0 kg (493.8 pounds),0.4241 HP/kg,"735 mm (28.9 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi Nevada 750,1998,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,744.0 ccm (45.40 cubic inches),"V2, four-stroke",48.0 HP (35.0  kW)) @ 6200 RPM,60.0 Nm (6.1 kgf-m or 44.3 ft.lbs) @ 3200 RPM,170.0 km/h (105.6 mph),2,Air,5-speed,Shaft drive (cardan)   (final drive),Dual disc,Single disc,182.0 kg (401.2 pounds),0.2637 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 900 SS,1998,Sport," 3.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",904.0 ccm (55.16 cubic inches),"V2, four-stroke",84.0 HP (61.3  kW)) @ 7500 RPM,81.0 Nm (8.3 kgf-m or 59.7 ft.lbs) @ 7000 RPM,230.0 km/h (142.9 mph),2,Air,6-speed,Chain   (final drive),Dual disc,Single disc,188.0 kg (414.5 pounds),0.4468 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZ 125,1998,Allround," 2.8  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",10.0 HP (7.3  kW)),,,,Air,4-speed,Chain   (final drive),,,136.0 kg (299.8 pounds),0.0735 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki VN 800 C Classic,1998,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",805.0 ccm (49.12 cubic inches),"V2, four-stroke",55.0 HP (40.1  kW)) @ 7000 RPM,64.0 Nm (6.5 kgf-m or 47.2 ft.lbs) @ 3300 RPM,170.0 km/h (105.6 mph),4,Liquid,5-speed,Chain   (final drive),Single disc,Expanding brake (drum brake),235.0 kg (518.1 pounds),0.2340 HP/kg,"710 mm (28.0 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buell S1 Lightning,1998,Naked bike," 3.6  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1203.0 ccm (73.41 cubic inches),"V2, four-stroke",86.0 HP (62.8  kW)) @ 6000 RPM,107.0 Nm (10.9 kgf-m or 78.9 ft.lbs) @ 5400 RPM,200.0 km/h (124.3 mph),2,Air,5-speed,Belt   (final drive),Single disc,Single disc,193.0 kg (425.5 pounds),0.4456 HP/kg,"749 mm (29.5 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 125 LC2,1998,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",14.0 HP (10.2  kW)) @ 7500 RPM,11.0 Nm (1.1 kgf-m or 8.1 ft.lbs) @ 6800 RPM,,,Liquid,6-speed,Chain   (final drive),Single disc,Single disc,121.0 kg (266.8 pounds),0.1157 HP/kg,"860 mm (33.9 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki AN 125,1998,Scooter," 3.6  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",10.0 HP (7.3  kW)) @ 8000 RPM,,,,Air,,,,,99.0 kg (218.3 pounds),0.1010 HP/kg,"765 mm (30.1 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cagiva Super City 125,1998,Super motard," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",15.0 HP (10.9  kW)) @ 9500 RPM,17.0 Nm (1.7 kgf-m or 12.5 ft.lbs) @ 9200 RPM,,,Liquid,6-speed,Chain   (final drive),Single disc,Single disc,125.0 kg (275.6 pounds),0.1200 HP/kg,"870 mm (34.3 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 1100 R,1998,Naked bike," 3.9  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1085.0 ccm (66.21 cubic inches),"Two cylinder boxer, four-stroke",80.0 HP (58.4  kW)) @ 6750 RPM,97.0 Nm (9.9 kgf-m or 71.5 ft.lbs) @ 5250 RPM,200.0 km/h (124.3 mph),4,Air,5-speed,Shaft drive (cardan)   (final drive),Dual disc,Single disc,214.0 kg (471.8 pounds),0.3738 HP/kg,"760 mm (29.9 inches) If adjustable, lowest setting.","800 mm (31.5 inches) If adjustable, highest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
