Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Compression,Bore x stroke,Valves per cylinder,Fuel control,Cooling system,Gearbox,Transmission type,Front tire,Rear tire,Front brakes,Rear brakes,"Weight incl. oil, gas, etc",Fuel capacity,Torque,Clutch,Front suspension,Rear suspension,Diameter,Overall length,Overall width,Wheelbase,Color options,Fuel system,Ignition,Lubrication system,Exhaust system,Frame type,Front wheel travel,Rear wheel travel,Dry weight,Power/weight ratio,Seat height,Overall height,Ground clearance,Reserve fuel capacity,Starter,Comments,1/4 mile (0.4 km),Max RPM,Driveline,Fuel consumption,Greenhouse gases,Rake (fork angle),Trail,Factory warranty,Front percentage of weight,Rear percentage of weight,Modifications compared to previous model,Oil capacity,Electrical,Engine oil,Spark plugs,Idle speed,Chain size,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,0-100 km/h (0-62 mph),Alternate seat height
Honda VT 500 C,1984,Sport touring," 3.3  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",491.0 ccm (29.96 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 9000 RPM,160.0 km/h (99.4 mph),10.5:1,71.0 x 62.0 mm (2.8 x 2.4 inches),3,Overhead Cams (OHC),Liquid,6-speed,Shaft drive (cardan)   (final drive),3.50-18 ,130/90-16 ,Single disc,Expanding brake,201.0 kg (443.1 pounds),11.50 litres (3.04 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XV 1000 SE Midnight Special,1984,Custom / cruiser," 3.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",981.0 ccm (59.86 cubic inches),"V2, four-stroke",68.0 HP (49.6  kW)) @ 6500 RPM,172.0 km/h (106.9 mph),8.3:1,95.0 x 69.2 mm (3.7 x 2.7 inches),2,Overhead Cams (OHC),Air,5-speed,Shaft drive (cardan)   (final drive),3.50-19 ,130/90-16 ,Dual disc,Expanding brake,240.0 kg (529.1 pounds),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KLR 600 E,1984,Allround," 3.8  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",564.0 ccm (34.42 cubic inches),"Single cylinder, four-stroke",42.0 HP (30.7  kW)) @ 7000 RPM,146.0 km/h (90.7 mph),9.5:1,96.0 x 78.0 mm (3.8 x 3.1 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Chain   (final drive),3.00-21 ,5.10-17 ,Single disc,Expanding brake,155.0 kg (341.7 pounds),11.50 litres (3.04 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malanca 125 E 2 CS ob one 6 N,1984,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Twin, two-stroke",26.0 HP (19.0  kW)) @ 10800 RPM,136.0 km/h (84.5 mph),11.0:1,43.0 x 43.0 mm (1.7 x 1.7 inches),,Port control,Liquid,6-speed,Chain   (final drive),2.75-18 ,3.00-18 ,Dual disc,Single disc,107.0 kg (235.9 pounds),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda V30 Magna,1984,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",498.0 ccm (30.39 cubic inches),"V4, four-stroke",64.0 HP (46.7  kW)) @ 10500 RPM,197.0 km/h (122.4 mph),11.0:1,60.0 x 44.0 mm (2.4 x 1.7 inches),4,Double Overhead Cams/Twin Cam (DOHC),,6-speed,Chain   (final drive),,,Single disc. 2-piston calipers,Expanding brake (drum brake),,14.00 litres (3.70 US gallons),43.0 Nm (4.4 kgf-m or 31.7 ft.lbs) @ 10500 RPM,Wet clutch,,,,,,1483 mm (58.4 inches),Black or Red,Carburettor. Four 32mm CV,Solid State,,Double stainless steel pipes,,,,180.0 kg (396.9 pounds),0.3555 HP/kg,"759 mm (29.9 inches) If adjustable, lowest setting.",,,,Electric,,12.79 seconds,12500,Sealed O-rind chain,5.19 litres/100 km (19.3 km/l or 45.32 mpg),120.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,35.1°,112 mm (4.4 inches),,,,,,,,,,,,,,,,,
Honda GL 650 (reduced effect),1984,Touring," 3.1  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",673.0 ccm (41.07 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 7000 RPM,165.0 km/h (102.5 mph),9.8:1,82.5 x 63.0 mm (3.2 x 2.5 inches),4,Overhead Valves (OHV),Liquid,5-speed,Shaft drive (cardan)   (final drive),3.50-19 ,130/90-16 ,Dual disc,Expanding brake,249.0 kg (549.0 pounds),17.50 litres (4.62 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XZ 550,1984,Touring," 3.2  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",553.0 ccm (33.74 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 9000 RPM,178.0 km/h (110.6 mph),10.5:1,80.0 x 55.0 mm (3.1 x 2.2 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Shaft drive (cardan)   (final drive),90/90-18 ,4.25/85-18 ,Dual disc,Expanding brake,221.0 kg (487.2 pounds),17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Morini 125 T,1984,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,123.0 ccm (7.51 cubic inches),"Single cylinder, four-stroke",9.0 HP (6.6  kW)) @ 9000 RPM,110.0 km/h (68.4 mph),11.7:1,59.0 x 45.0 mm (2.3 x 1.8 inches),2,Overhead Valves (OHV),Air,6-speed,Chain   (final drive),2.75-18 ,3.00-18 ,Single disc,Expanding brake,115.0 kg (253.5 pounds),12.00 litres (3.17 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benelli 654 Sport,1984,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,604.0 ccm (36.86 cubic inches),"In-line four, four-stroke",50.0 HP (36.5  kW)) @ 8700 RPM,165.0 km/h (102.5 mph),9.3:1,60.0 x 53.4 mm (2.4 x 2.1 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.25-18 ,3.50-18 ,Dual disc,Single disc,203.0 kg (447.5 pounds),22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson XLH 1000 Sportster,1984,Sport touring," 3.0  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",997.0 ccm (60.84 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 6000 RPM,170.0 km/h (105.6 mph),8.8:1,81.0 x 96.8 mm (3.2 x 3.8 inches),2,Overhead Valves (OHV),Air,4-speed,Chain   (final drive),MJ 90-19 ,MT 90-16 ,Single disc,Single disc,246.0 kg (542.3 pounds),8.50 litres (2.25 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VF 700 S Sabre,1984,Naked bike," 3.9  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",699.0 ccm (42.65 cubic inches),"V4, four-stroke",82.0 HP (59.9  kW)),,10.5:1,70.0 x 45.4 mm (2.8 x 1.8 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,,Shaft drive (cardan)   (final drive),,,,,,,,,,,,,,,,Carburettor,,,double chrome steel pipes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi V 65 II,1984,Touring,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,643.0 ccm (39.24 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 6900 RPM,173.0 km/h (107.5 mph),10.0:1,80.0 x 64.0 mm (3.1 x 2.5 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),100/90-18 ,110/90-18 ,Dual disc,Single disc,188.0 kg (414.5 pounds),15.50 litres (4.10 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CBX 750 F,1984,Naked bike," 3.5  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",747.0 ccm (45.58 cubic inches),"In-line four, four-stroke",91.0 HP (66.4  kW)) @ 9500 RPM,211.0 km/h (131.1 mph),9.3:1,67.0 x 53.0 mm (2.6 x 2.1 inches),4,Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),110/90-16 ,130/80-18 ,Dual disc,Single disc,241.0 kg (531.3 pounds),22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi V 65 SP,1984,Sport touring," 3.1  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",643.0 ccm (39.24 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 6900 RPM,178.0 km/h (110.6 mph),10.0:1,80.0 x 64.0 mm (3.1 x 2.5 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),100/90-18 ,110/90-18 ,Dual disc,Single disc,192.0 kg (423.3 pounds),15.50 litres (4.10 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda GL 1200 DX Gold Wing,1984,Touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1181.0 ccm (72.06 cubic inches),"Four cylinder boxer, four-stroke",94.0 HP (68.6  kW)) @ 7000 RPM,191.0 km/h (118.7 mph),9.0:1,75.5 x 66.0 mm (3.0 x 2.6 inches),2,Overhead Cams (OHC),Liquid,5-speed,Shaft drive (cardan)   (final drive),130/90-16 ,150/90-15 ,Dual disc,Single disc,333.0 kg (734.1 pounds),22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 300 GS Enduro Sport,1984,Enduro / offroad," 2.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",273.0 ccm (16.66 cubic inches),"Single cylinder, two-stroke",16.0 HP (11.7  kW)) @ 6500 RPM,110.0 km/h (68.4 mph),15.0:1,71.0 x 69.0 mm (2.8 x 2.7 inches),,Membrane,Liquid,5-speed,Chain   (final drive),3.00-21 ,4.50-18 ,Single disc,Expanding brake,117.0 kg (257.9 pounds),9.50 litres (2.51 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki GPZ 1100 (reduced effect),1984,Sport," 2.9  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",1089.0 ccm (66.45 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 8750 RPM,240.0 km/h (149.1 mph),9.5:1,72.5 x 66.0 mm (2.9 x 2.6 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),110/90-18 ,130/90-17 ,Dual disc,Single disc,266.0 kg (586.4 pounds),20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 450 N (reduced effect),1984,Custom / cruiser," 2.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",447.0 ccm (27.28 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 7000 RPM,141.0 km/h (87.6 mph),9.1:1,75.0 x 50.6 mm (3.0 x 2.0 inches),3,Overhead Cams (OHC),Air,6-speed,Chain   (final drive),3.60-19 ,4.10-18 ,Dual disc,Expanding brake,189.0 kg (416.7 pounds),17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CX 650 E,1984,Classic," 3.9  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",673.0 ccm (41.07 cubic inches),"V2, four-stroke",65.0 HP (47.4  kW)) @ 8000 RPM,190.0 km/h (118.1 mph),9.8:1,82.5 x 63.0 mm (3.2 x 2.5 inches),4,Overhead Valves (OHV),Liquid,5-speed,Shaft drive (cardan)   (final drive),100/90-18 ,120/90-18 ,Dual disc,Single disc,235.0 kg (518.1 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KZ 550 LTD,1984,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",553.0 ccm (33.74 cubic inches),"In-line four, four-stroke",,,9.2:1,,2,Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Shaft drive (cardan)   (final drive),100/90-19 ,130/90-16 ,Single disc,Expanding brake (drum brake),,13.20 litres (3.49 US gallons),,Wet plate,Telescopic,Air shocks w/ oil damping,,,,,Black with red decals,Carburettor. Teikei 26mm CV,,Wet sump,4 to 2 stainless pipes,CrMo Steel,109 mm (4.3 inches),97 mm (3.8 inches),195.0 kg (430.0 pounds),,,,,,Electric,,,,,,,29.0°,,,,,,,,,,,,,,,,,,
Honda MTX 200 RW,1984,Enduro / offroad," 2.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",194.0 ccm (11.84 cubic inches),"Single cylinder, two-stroke",26.5 HP (19.3  kW)) @ 7500 RPM,121.0 km/h (75.2 mph),7.5:1,67.0 x 55.0 mm (2.6 x 2.2 inches),,Membrane,Liquid,6-speed,Chain   (final drive),2.75-21 ,4.10-18 ,Expanding brake,Expanding brake,116.0 kg (255.7 pounds),9.00 litres (2.38 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
