Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Bore x stroke,Fuel system,Ignition,Cooling system,Transmission type,Frame type,Front tire,Rear tire,Front brakes,Rear brakes,Wheels,Dry weight,Power/weight ratio,Overall height,Overall length,Overall width,Wheelbase,Starter,Fuel control,Seat,Compression,Lubrication system,Fuel consumption,Greenhouse gases,Front suspension,Rear suspension,Diameter,Fuel capacity,Carrying capacity,Gearbox,Clutch,"Weight incl. oil, gas, etc",Oil capacity,Engine details,Valves per cylinder,Driveline,Exhaust system,Seat height,Color options,Electrical,Light
NSU 251 OSL,1935,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,242.0 ccm (14.77 cubic inches),"Single cylinder, four-stroke",9.0 HP (6.6  kW)) @ 5000 RPM,100.0 km/h (62.1 mph),64.0 x 75.0 mm (2.5 x 3.0 inches),Carburettor. Amal or Graetzin,Battery-Bosch,Air,Chain   (final drive),Open double steel,3-19 ,3-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,126.0 kg (277.8 pounds),0.0714 HP/kg,1000 mm (39.4 inches),2000 mm (78.7 inches),760 mm (29.9 inches),1285 mm (50.6 inches),Kick,,Single spring-mounted,,,2.30 litres/100 km (43.5 km/l or 102.27 mpg),53.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,11.50 litres (3.04 US gallons),,4-speed,,,1.50 litres (1.59 US quarts),,,,,,,,
Harley-Davidson Servi-Car GE,1935,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,740.0 ccm (45.15 cubic inches),"V2, four-stroke",24.0 HP (17.5  kW)) @ 4400 RPM,101.0 km/h (62.8 mph),70.0 x 97.0 mm (2.8 x 3.8 inches),,,,,,5.10-16 ,5.10-16 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,,,,2540 mm (100.0 inches),1219 mm (48.0 inches),1549 mm (61.0 inches),,Sidevalves,Single spring-mounted,,,,,Leading link-Springer type,,,12.87 litres (3.40 US gallons),,,,,,,,,,,,,
Ariel 4F Square Four 600,1935,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,601.0 ccm (36.67 cubic inches),Square four cylinder,23.0 HP (16.8  kW)) @ 5600 RPM,140.0 km/h (87.0 mph),56.0 x 61.0 mm (2.2 x 2.4 inches),Carburettor,,Air,Chain   (final drive),Tubular single loop,3.25-19 ,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Wire spoked,168.0 kg (370.4 pounds),0.1369 HP/kg,,,,1385 mm (54.5 inches),Kick,Overhead Cams (OHC),,6.9:1,,,,Spring girders,Rigid,,13.25 litres (3.50 US gallons),,4-speed,,,,Double twin - square 4 cylinder arrangement,2,Burman gearbox,2 x 1-into-1 pipes,,,,
BMW R2 Series 4,1935,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,198.0 ccm (12.08 cubic inches),"Single cylinder, four-stroke",8.0 HP (5.9  kW)) @ 4500 RPM,95.0 km/h (59.0 mph),63.0 x 64.0 mm (2.5 x 2.5 inches),Carburettor. Amal 18mm,,Air,Shaft drive (cardan)   (final drive),Pressed steel duplex,2.99-25.00 ,2.99-25.00 ,Expanding brake (drum brake),Expanding brake (drum brake),,,,950 mm (37.4 inches),1950 mm (76.8 inches),850 mm (33.5 inches),1303 mm (51.3 inches),Kick,Overhead Valves (OHV),,6.7:1,Wet sump ,2.75 litres/100 km (36.4 km/l or 85.53 mpg),63.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,Cartridge,Rigid,180 mm (7.1 inches),11.00 litres (2.91 US gallons),,3-speed,Dry-single plate-cable operated,130.0 kg (286.6 pounds),,,,,,,,,
Velocette Mac ,1935,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,349.0 ccm (21.30 cubic inches),"Single cylinder, four-stroke",18.0 HP (13.1  kW)) @ 5500 RPM,120.7 km/h (75.0 mph),68.0 x 96.0 mm (2.7 x 3.8 inches),Carburettor,Magneto,Air,Chain   (final drive),Single cradle,3.25-19 ,3.50-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,161.0 kg (354.9 pounds),0.1118 HP/kg,990 mm (39.0 inches),2130 mm (83.9 inches),700 mm (27.6 inches),1276 mm (50.2 inches),Kick,Overhead Valves (OHV),Dual seat,6.8:1,,,,Hydralic telescopic forks,Swingarm,152 mm (6.0 inches),11.00 litres (2.91 US gallons),,4-speed,Wet multiplate,,,,,,,"700 mm (27.6 inches) If adjustable, lowest setting.",,,
Zündapp K 600,1935,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,598.0 ccm (36.49 cubic inches),"Four cylinder boxer, four-stroke",15.0 HP (10.9  kW)) @ 4300 RPM,100.0 km/h (62.1 mph),53.0 x 66.6 mm (2.1 x 2.6 inches),Carburettor. Amal,,Air,Shaft drive (cardan)   (final drive),,3.50-19 ,3.50-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,193.0 kg (425.5 pounds),0.0777 HP/kg,,,,,Kick,,Two single seats,,,,,Telescopic,Rigid,,,,,,,,,,,,,,,
Maico F100 Piccolo Derby,1935,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,98.0 ccm (5.98 cubic inches),"Single cylinder, two-stroke",,,48.0 x 54.0 mm (1.9 x 2.1 inches),Carburettor. Single ,,Air,Chain   (final drive),,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,,,,,,,,,Single spring-mounted,,,,,Coil springs-dual,None,,,,,,,,,,,,,,,
Indian 402,1935,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1265.0 ccm (77.19 cubic inches),"In-line four, four-stroke",,153.0 km/h (95.1 mph),,Carburettor,,,Chain   (final drive),Twin downtube,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,,,,,,,,,Single spring-mounted,,,,,Trailing link,Rigid,,,,,,,,,,,,,,,
Norton 490 CS 1,1935,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,490.0 ccm (29.90 cubic inches),"Single cylinder, four-stroke",,128.8 km/h (80.0 mph),,Carburettor,,,Chain   (final drive),,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,145.0 kg (319.7 pounds),,,,,,,Single Overhead Cams (SOHC),Solo seat with springs,,,,,,,,,,,,,,,,,,,,,
Rudge Ulster 500,1935,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",45.0 HP (32.8  kW)) @ 5300 RPM,160.9 km/h (100.0 mph),85.0 x 88.0 mm (3.3 x 3.5 inches),Carburettor,,Air,Chain   (final drive),,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,,,,,,,,Overhead Valves (OHV),Single spring-mounted,,,,,,,,,,,,,,,,,,,,,
Indian Chief,1935,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,1210.0 ccm (73.83 cubic inches),"V2, four-stroke",,,83.0 x 113.0 mm (3.3 x 4.4 inches),Carburettor. Linkert,,,Chain   (final drive),,,,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,,1540 mm (60.6 inches),,,,,,,,Telescopic,Plungertype with coil springs,,,,,,,,,,,,,,,
BMW R12 Twin carb,1935,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,745.0 ccm (45.46 cubic inches),"Two cylinder boxer, four-stroke",20.0 HP (14.6  kW)) @ 4000 RPM,120.0 km/h (74.6 mph),78.0 x 78.0 mm (3.1 x 3.1 inches),Carburettor. Amal,,Air,,Steel-doble cradle,3.50-19 ,3.5-19 ,Expanding brake (drum brake). Single,Expanding brake (drum brake),,,,940 mm (37.0 inches),2100 mm (82.7 inches),900 mm (35.4 inches),,Kick,Overhead Valves (OHV),Spring-mounted seat,5.2:1,Wet sump ,4.50 litres/100 km (22.2 km/l or 52.27 mpg),104.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,Cartrige,Rigid-,200 mm (7.9 inches),14.00 litres (3.70 US gallons),300,4-speed,Dry multiplate-cable operated,185.0 kg (407.9 pounds),,,,,,,,,
Ariel VH 500 Red Hunter,1935,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,497.0 ccm (30.33 cubic inches),"Single cylinder, four-stroke",24.0 HP (17.5  kW)) @ 6000 RPM,140.0 km/h (87.0 mph),86.4 x 85.0 mm (3.4 x 3.3 inches),Carburettor. Amal,,Air,Chain   (final drive),Semi double cradle,3.00-20 ,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Wire spoked. Red/chrome rims.,190.0 kg (418.9 pounds),0.1263 HP/kg,,2180 mm (85.8 inches),,,Kick,Overhead Valves (OHV),Single seat with springs,6.0:1,Dry sump with dual plunger pumps,,,Grider forks,Rigid,,14.80 litres (3.91 US gallons),,4-speed,Dry,,3.40 litres (3.59 US quarts),,,Burman,,,Chrome/red/gold,6V battery.,
Zündapp K 800,1935,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,791.0 ccm (48.27 cubic inches),"Four cylinder boxer, four-stroke",20.0 HP (14.6  kW)) @ 4300 RPM,120.0 km/h (74.6 mph),62.0 x 66.6 mm (2.4 x 2.6 inches),Carburettor. Amal 22mm,,Air,Shaft drive (cardan)   (final drive),,3.50-19 ,3.50-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,193.0 kg (425.5 pounds),0.1036 HP/kg,,,,,,,Two single seats,,,,,,Rigid,,12.50 litres (3.30 US gallons),,4-speed,,,,,,,,,,,
NSU 351 OSL,1935,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,346.0 ccm (21.11 cubic inches),"Single cylinder, four-stroke",18.0 HP (13.1  kW)) @ 5020 RPM,110.0 km/h (68.4 mph),75.0 x 79.0 mm (3.0 x 3.1 inches),Carburettor. Graetzin KE 25/43,,Air,Chain   (final drive),Open double steel,3.25-19 ,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,110.0 kg (242.5 pounds),0.1636 HP/kg,940 mm (37.0 inches),2020 mm (79.5 inches),770 mm (30.3 inches),1420 mm (55.9 inches),Kick,,Single spring-mounted,,,,,,,,12.30 litres (3.25 US gallons),,4-speed,,,,,,,,,,,
Zündapp K 500,1935,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.0 ccm (30.39 cubic inches),"Two cylinder boxer, four-stroke",16.0 HP (11.7  kW)) @ 4500 RPM,105.0 km/h (65.2 mph),69.0 x 66.6 mm (2.7 x 2.6 inches),Carburettor. Bing 22mm,,Air,Shaft drive (cardan)   (final drive),,3.50-19 ,3.50-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,180.0 kg (396.8 pounds),0.0889 HP/kg,,,,,Kick,,Two single seats,,,,,Telescopic,Rigid,,,,4-speed,,,,,,,,,,,
Rikuo RT 2,1935,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,750.0 ccm (45.77 cubic inches),"V2, four-stroke",22.0 HP (16.1  kW)) @ 4250 RPM,,,Carburettor. Linkert,Generator and battery,Air,,,,,,,,230.0 kg (507.1 pounds),0.0957 HP/kg,,,,,,Sidevalves,Spring-mounted seat,,,,,Telescopic,,,,,4-speed,Four speed ,,,,,,,,,,
BMW Kompressor,1935,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,492.0 ccm (30.02 cubic inches),"Two cylinder boxer, four-stroke",,220.0 km/h (136.7 mph),66.0 x 72.0 mm (2.6 x 2.8 inches),Carburettor. DellÓrto,,,Shaft drive (cardan)   (final drive),Tubular steal duplex cradle,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,,,,,,,,Double Overhead Cams/Twin Cam (DOHC),Dual seat,,,,,Telescopic,Rigid-optional sprung hub,,,,,,138.0 kg (304.2 pounds),,Supercharged with aluminium cylinders-magnesium  block,,,,,,,
NSU 201 OSL,1935,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,198.0 ccm (12.08 cubic inches),"Single cylinder, four-stroke",8.0 HP (5.8  kW)) @ 4100 RPM,90.0 km/h (55.9 mph),58.0 x 75.0 mm (2.3 x 3.0 inches),Carburettor. Amal,Battery-Bosch,Air,Chain   (final drive),Open double steel,3-19 ,3-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,120.0 kg (264.6 pounds),0.0667 HP/kg,1000 mm (39.4 inches),2000 mm (78.7 inches),760 mm (29.9 inches),1285 mm (50.6 inches),Kick,,Single spring-mounted,,,2.30 litres/100 km (43.5 km/l or 102.27 mpg),53.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,11.50 litres (3.04 US gallons),,4-speed,,,,,,,,,,,
Coventry Eagle Flying 350,1935,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,348.0 ccm (21.23 cubic inches),"Single cylinder, four-stroke",,97.0 km/h (60.3 mph),,Carburettor,,Air,Chain   (final drive),,,,,,,,,,,,,,Sidevalves,Single seat,,,,,,,,,,,,,,,,,,,,,
DKW SB 500A,1935,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,494.0 ccm (30.14 cubic inches),"Twin, two-stroke",,115.0 km/h (71.5 mph),68.0 x 68.0 mm (2.7 x 2.7 inches),Carburettor. Bing,,,Chain   (final drive),,3.50-19 ,3.50-19 ,Expanding brake (drum brake),Expanding brake (drum brake),,235.0 kg (518.1 pounds),,,2125 mm (83.7 inches),,1385 mm (54.5 inches),Electric,,,5.7:1,,3.50 litres/100 km (28.6 km/l or 67.21 mpg),81.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,Girder fork coil spring,Rigid-,200 mm (7.9 inches),13.00 litres (3.43 US gallons),,,Foot-operated-oil bath multidisc,,,Combined two 247cc cylinders on a single block,,,,"675 mm (26.6 inches) If adjustable, lowest setting.",,,Twin headlights
