Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Compression,Bore x stroke,Valves per cylinder,Fuel system,Fuel control,Ignition,Lubrication system,Cooling system,Gearbox,Transmission type,Clutch,Frame type,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Dry weight,Power/weight ratio,Seat height,Overall height,Overall length,Overall width,Ground clearance,Wheelbase,Fuel capacity,Color options,Starter,Instruments,Comments,Driveline,Carrying capacity,Wheels,Engine details,Fuel consumption,Greenhouse gases,Exhaust system,Rake (fork angle),Trail,"Weight incl. oil, gas, etc",Oil capacity,Light,Top speed,Emission details,Factory warranty,Reserve fuel capacity,Seat,Electrical,0-100 km/h (0-62 mph),Alternate seat height,Max RPM,Modifications compared to previous model,Oil filter,Brake fluid,Coolant,Battery,Spark plugs,Idle speed,Belt teeth,Belt width,Pulley teeth,Tire pressure front,Tire pressure rear,Fork tube size,Engine oil,Chain size,1/4 mile (0.4 km),Chain links,Sprockets
Sym Jet 4 150,2014,Scooter," 3.1  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",149.0 ccm (9.09 cubic inches),"Single cylinder, four-stroke",,,,,2,Carburettor,Single Overhead Cams (SOHC),,,Air,Automatic,Belt   (final drive),,Pipe under bone,Telescope fork,,Unit swing arm,,120/60-13 ,120/70-12 ,Single disc,190 mm (7.5 inches),Expanding brake (drum brake),109.0 kg (240.3 pounds),,,1040 mm (40.9 inches),1900 mm (74.8 inches),665 mm (26.2 inches),,1330 mm (52.4 inches),5.20 litres (1.37 US gallons),"Red, black",Electric & kick,,Taiwanese brand.,CVT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sym Joyride 200i evo,2014,Scooter," 3.2  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",171.2 ccm (10.45 cubic inches),"Single cylinder, four-stroke",14.8 HP (10.8  kW)) @ 8000 RPM,13.2 Nm (1.4 kgf-m or 9.8 ft.lbs) @ 6500 RPM,,,4,Injection. EFI ,Overhead Cams (OHC),,,Air,Automatic,Belt   (final drive),,Pipe under bone,Telescopic fork,,Unit Swing Arm With 5-way Preload,,100/80-12 ,130/70-12 ,Single disc,220 mm (8.7 inches),Single disc,156.0 kg (343.9 pounds),0.0948 HP/kg,,1390 mm (54.7 inches),2100 mm (82.7 inches),760 mm (29.9 inches),,1495 mm (58.9 inches),7.60 litres (2.01 US gallons),"Mat Black, White/Mat Grey, Black, Silver/Grey, White, Mat Grey",Electric & kick,,Made in Taiwan,CVT,,,,2.78 litres/100 km (36.0 km/l or 84.61 mpg),64.5 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,12V 55W / 60W headlights,,,,,,12 V 8Ah (MF) battery.,,,,,,,,,,,,,,,,,,,,,
Yamaha FJR1300ES,2014,Sport touring," 3.9  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1298.0 ccm (79.20 cubic inches),"In-line four, four-stroke",107.5 HP (78.5  kW)) @ 8000 RPM,138.0 Nm (14.1 kgf-m or 101.8 ft.lbs) @ 7000 RPM,10.8:1,79.0 x 66.2 mm (3.1 x 2.6 inches),4,Injection,Double Overhead Cams/Twin Cam (DOHC),TCI: Transistor Controlled Ignition,,Liquid,5-speed,Shaft drive (cardan)   (final drive),,"Aluminium, Diamond Shaped","Upside-down telescopic fork, Ø 48 mm tube, adjustable preload, compression and rebound damping",135 mm (5.3 inches),Linked monoshock with spring preload adjustment,125 mm (4.9 inches),120/70-ZR17 ,180/55-ZR17 ,Double disc. Hydraulic,282 mm (11.1 inches),Single disc. Hydraulic,,,"805 mm (31.7 inches) If adjustable, lowest setting.",1326 mm (52.2 inches),2230 mm (87.8 inches),749 mm (29.5 inches),130 mm (5.1 inches),1544 mm (60.8 inches),24.98 litres (6.60 US gallons),"Bronze, black",Electric,,"An electronically adjustable suspension has been adopted that adjusts it to fit different riding conditions and bring greater convenience to touring. This system provides a choice of four settings for preload, including “One Up,” “One Up with Luggage,” “Two Up,” and “Two Up with Luggage,” adding a choice of “Soft,” “Standard” and “Hard” for damping force adjustment for each setting. In addition, this damping force can be fine tuned three positions firmer or softer from standard within each “Soft”, “Standard” and “Hard” setting. Windshield.",Constant mesh,,,,6.53 litres/100 km (15.3 km/l or 36.02 mpg),151.5 CO2 g/km. (CO2 - Carbon dioxide emission) ,,26.0°,109 mm (4.3 inches),296.0 kg (652.6 pounds),4.90 litres (5.18 US quarts),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda Shadow RS,2014,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",745.0 ccm (45.46 cubic inches),"V2, four-stroke",,,9.6:1,79.0 x 76.0 mm (3.1 x 3.0 inches),3,"Injection. PGM-FI with automatic enrichment circuit, one 34mm throttle body",Single Overhead Cams (SOHC),"Digital with 3-D mapping, two spark plugs per cylinder",,Liquid,5-speed,Chain   (final drive),,,41mm fork,117 mm (4.6 inches),Dual shocks with five-position spring-preload adjustability,89 mm (3.5 inches),100/90-19 ,150/80-16 ,Double disc. Two-piston calipers. ,296 mm (11.7 inches),Expanding brake (drum brake),,,"747 mm (29.4 inches) If adjustable, lowest setting.",,,,,1560 mm (61.4 inches),9.84 litres (2.60 US gallons),Black,Electric,,Model ID: VT750RS,O-ring-sealed chain,,,52 degrees V-twin,4.20 litres/100 km (23.8 km/l or 56.00 mpg),97.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,,32.3°,134 mm (5.3 inches),228.2 kg (503.0 pounds),,,,Meets current EPA standards. Models sold in California meet current CARB standards and may differ slightly due to emissions equipment.,One year. Unlimited milage. Transferable.,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Sprint GT,2014,Sport touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1050.0 ccm (64.07 cubic inches),"In-line three, four-stroke",130.0 HP (94.9  kW)) @ 9200 RPM,108.0 Nm (11.0 kgf-m or 79.7 ft.lbs) @ 6300 RPM,12.0:1,79.0 x 79.0 mm (3.1 x 3.1 inches),4,Injection. Multipoint sequential electronic fuel injection with SAI,Double Overhead Cams/Twin Cam (DOHC),Digital-inductive type vis engine management system,,Liquid,6-speed,Chain   (final drive),Wet. multi-plate,"Aluminum beam perimeter. Single-sided, aluminium alloy with eccentric chain adjuster swin arm.",Showa 43mm cartridge forks with dual rate springs and adjustable preload. 127mm travel,,Showa monoshock with adjustable preload and rebound damping. 152mm rear wheel travel,,150/80-R16 ,180/55-ZR17 ,"Double disc. ABS.  Floating discs, Nissin 4-piston calipers",255 mm (10.0 inches),Single disc. ABS. Nissin 2-piston sliding caliper.,,,"815 mm (32.1 inches) If adjustable, lowest setting.",1210 mm (47.6 inches),2260 mm (89.0 inches),760 mm (29.9 inches),,1537 mm (60.5 inches),20.00 litres (5.28 US gallons),"Champagne, Cranberry Red",Electric,"Analogue speedometer, trip computer, clock and analogue tachometer",Small windscreen,X ring chain,"Saddle bags, top box",Cast aluminum alloy 5-spoke,,5.88 litres/100 km (17.0 km/l or 40.00 mpg),136.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,Stainless steel 3 into 1. side mounted stainless steel exhaust,23.5°,84 mm (3.3 inches),265.0 kg (584.2 pounds),3.50 litres (3.7 US quarts),,,,Two-year unlimited mileage,,,,,,,,,,,,,,,,,,,,,,,,
Sukida Jaguar 125,2014,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",10.2 HP (7.4  kW)) @ 9000 RPM,8.6 Nm (0.9 kgf-m or 6.3 ft.lbs) @ 7000 RPM,,56.5 x 49.5 mm (2.2 x 1.9 inches),,Carburettor,,CDI,,Air,,,,Steel,Telescopic fork,,Dual shocks,,2.75-18 ,3.00-18 ,Single disc,,Expanding brake (drum brake),106.0 kg (233.7 pounds),0.0961 HP/kg,,1010 mm (39.8 inches),1920 mm (75.6 inches),765 mm (30.1 inches),130 mm (5.1 inches),1225 mm (48.2 inches),14.00 litres (3.70 US gallons),Black/grey/green,Electric & kick,,Chinese brand.,,,,,,,,,,,,,90.0 km/h (55.9 mph),,,,,12V/6.5Ah/7Ah battery.,,,,,,,,,,,,,,,,,,,,,
Suzuki Intruder 250LC,2014,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,245.0 ccm (14.95 cubic inches),"V2, four-stroke",,,,,3,Injection,Single Overhead Cams (SOHC),,,Air,5-speed,Chain   (final drive),,,"37mm telescopic, coil spring, oil damped",,"Dual shock, oil damped, with adjustable spring preload",,,,Single disc. Single-piston caliper,275 mm (10.8 inches),Expanding brake (drum brake),,,"685 mm (27.0 inches) If adjustable, lowest setting.",1110 mm (43.7 inches),2240 mm (88.2 inches),880 mm (34.6 inches),,1520 mm (59.8 inches),12.00 litres (3.17 US gallons),Pearl Black and Grey,Electric,,,,5 litre underseat storage compartment.,,,,,,,,159.0 kg (350.5 pounds),,,,,Two-year unlimited kilometre warranty,,,,,,,,,,,,,,,,,,,,,,,,
Znen X6 50,2014,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.6 ccm (3.03 cubic inches),"Single cylinder, four-stroke",2.7 HP (2.0  kW)) @ 7000 RPM,3.0 Nm (0.3 kgf-m or 2.2 ft.lbs) @ 5000 RPM,10.2:1,,,Carburettor,,,,Liquid,Automatic,Belt   (final drive),,Steel,,,,,120/70-12 ,120/70-12 ,Single disc,,Expanding brake (drum brake),101.0 kg (222.7 pounds),0.0265 HP/kg,,1165 mm (45.9 inches),1905 mm (75.0 inches),720 mm (28.3 inches),,,7.60 litres (2.01 US gallons),Orange,Electric,,Model id:  ZN50QT-41. Brand sometimes called ZN-Motor. Made in China. ,,,,,,,,,,,,,45.0 km/h (28.0 mph),,,,,12V9A battery.,,,,,,,,,,,,,,,,,,,,,
E-Tropolis Retro Lithium,2014,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,,Electric,2.7 HP (2.0  kW)),,,,,,,,,Air,1-speed,,No clutch,Steel,,,,,,,Single disc,,Single disc,107.0 kg (235.9 pounds),0.0250 HP/kg,"780 mm (30.7 inches) If adjustable, lowest setting.",1040 mm (40.9 inches),1860 mm (73.2 inches),690 mm (27.2 inches),100 mm (3.9 inches),,,"Black, white, red, yellow",Electric,Digital,"Range 70km. Lithium ion battery, 60V 36 Ah. Charging time 6-8 h. Climbing capacity up to 20%. German brand also written Etropolis.",,,,,,,,,,,,,45.0 km/h (28.0 mph),Zero emissions,24 months.,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki Gladius 400 ABS,2014,Naked bike,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,398.0 ccm (24.29 cubic inches),"V2, four-stroke",55.0 HP (40.1  kW)),41.0 Nm (4.2 kgf-m or 30.2 ft.lbs) @ 8500 RPM,11.5:1,72.0 x 49.0 mm (2.8 x 1.9 inches),,Injection,Double Overhead Cams/Twin Cam (DOHC),,Wet sump,Oil & air,6-speed,Chain   (final drive),Wet multi-plate coil spring,Diamond type,"Telescopic, coil spring, oil damped",125 mm (4.9 inches),"Link type, coil spring, oil damped, spring preload 7-step adjustable",130 mm (5.1 inches),120/70-ZR17 ,160/60-ZR17 ,Double disc. 2-piston caliper. ABS.,240 mm (9.4 inches),"Single disc. 1-piston caliper, ABS.",,,"785 mm (30.9 inches) If adjustable, lowest setting.",1090 mm (42.9 inches),2130 mm (83.9 inches),760 mm (29.9 inches),150 mm (5.9 inches),1445 mm (56.9 inches),14.50 litres (3.83 US gallons),"Black, Black/White, Red, Blue/white",Electric,,,,,,90 degree  V-twin,,,,,,206.0 kg (454.2 pounds),,,,,1 Year Limited Warranty,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia SR Motard 50,2014,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,49.4 ccm (3.01 cubic inches),"Single cylinder, four-stroke",4.6 HP (3.3  kW)) @ 9500 RPM,3.8 Nm (0.4 kgf-m or 2.8 ft.lbs) @ 8000 RPM,,40.0 x 39.3 mm (1.6 x 1.5 inches),4,Carburettor. Keihin NCV F20,,,Wet sump.,Air,Automatic,Belt   (final drive),Automatic centrifugal dry clutch,Single cradle structure in tubular steel with pressed reinforcements,Hydraulic telescopic fork with straight stanchions  “ wheel travel: 86mm,86 mm (3.4 inches),"Single arm with engine crankcase as swinging element, served by a single shock  “ wheel travel 76mm",82 mm (3.2 inches),120/70-14 ,120/70-14 ,Single disc. Two-piston floating caliper,150 mm (5.9 inches),Expanding brake (drum brake),106.0 kg (233.7 pounds),0.0430 HP/kg,"775 mm (30.5 inches) If adjustable, lowest setting.",,1953 mm (76.9 inches),720 mm (28.3 inches),,1350 mm (53.1 inches),7.00 litres (1.85 US gallons),"Black, White",Electric & kick,,,,,,,,,,,,,,,,Euro 2,2-year unlimited-mileage warranty,1.50 litres (0.40 US gallons),,Generator: 300 W ,,,,,,,,,,,,,,,,,,,,,
Govecs GO T 3.4,2014,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,,Electric,,114.0 Nm (11.6 kgf-m or 84.1 ft.lbs),,,,,,,,Air,1-speed,Belt   (final drive),,Steel,Telescopic fork,,Monoshock,,130/60-R13 ,130/60-R13 ,Single disc. Hydraulic,,Single disc. Hydraulic,115.0 kg (253.5 pounds),,"790 mm (31.1 inches) If adjustable, lowest setting.",,,,,1300 mm (51.2 inches),,,Electric,,Panasonic Lithium 72V battery. Charging time 4-5 hours. Approx. 2 hours to 80% charging. Range 50-70 km. A plus version is availble with a top speed of 62 km/h.,,Top box. Up to 200 litre capacity.,,Brushless motor,,,,,,,,,80.0 km/h (49.7 mph),No emission,24 months,,,,,,,,,,,,,,,,,,,,,,,,
Sym Jet 4 50 R Naked,2014,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,49.4 ccm (3.01 cubic inches),"Single cylinder, two-stroke",,,,,,Carburettor,,,,Air,Automatic,Belt   (final drive),,Pipe under bone,Telescopic fork,,Unit swing,,120/60-13 ,130/70-12 ,Single disc,226 mm (8.9 inches),Expanding brake (drum brake),109.0 kg (240.3 pounds),,,1140 mm (44.9 inches),1900 mm (74.8 inches),655 mm (25.8 inches),,1300 mm (51.2 inches),5.20 litres (1.37 US gallons),"Red, Blue, Mat grey",,Analogue,Made in Taiwan.,CVT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia SR Motard 125,2014,Scooter," 3.2  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",9.1 HP (6.7  kW)) @ 8500 RPM,8.2 Nm (0.8 kgf-m or 6.0 ft.lbs) @ 7500 RPM,11.5:1,57.0 x 48.6 mm (2.2 x 1.9 inches),2,Injection. EFI,Single Overhead Cams (SOHC),,Wet sump.,Air,Automatic,Belt   (final drive),Automatic centrifugal dry clutch,Single cradle structure in tubular steel with pressed reinforcements,Hydraulic telescopic fork with straight stanchions,86 mm (3.4 inches),Single arm with engine crankcase as swinging element,82 mm (3.2 inches),120/70-14 ,120/70-14 ,Single disc,140 mm (5.5 inches),Expanding brake (drum brake),122.0 kg (269.0 pounds),0.0748 HP/kg,"775 mm (30.5 inches) If adjustable, lowest setting.",,1953 mm (76.9 inches),720 mm (28.3 inches),,,7.00 litres (1.85 US gallons),"Black, white",Electric,,,,,,Piaggio LEADER engine,,,,,,,,,,Euro 3,,1.50 litres (0.40 US gallons),,Generator: 300 W ,,,,,,,,,,,,,,,,,,,,,
Govecs GO T 2.4,2014,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,,Electric,,54.0 Nm (5.5 kgf-m or 39.8 ft.lbs),,,,,,,,Air,1-speed,Belt   (final drive),,Steel,Telescopic fork,,Monoshock,,130/60-R13 ,130/60-R13 ,Single disc. Hydraulic,,Single disc. Hydraulic,115.0 kg (253.5 pounds),,"790 mm (31.1 inches) If adjustable, lowest setting.",,,,,1300 mm (51.2 inches),,White,Electric,,Lithium-Polymer 72V battery. Charging time 4-5 hours. Approx. 2 hours to 80% charging. Range 30-50 km. A plus version is availble with a top speed of 62 km/h.,,Top box. Up to 200 litre capacity.,,Brushless motor,,,,,,,,,45.0 km/h (28.0 mph),No emission,24 months,,,,,,,,,,,,,,,,,,,,,,,,
GAS GAS EC Racing 300F,2014,Enduro / offroad," 3.1  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",290.0 ccm (17.70 cubic inches),"Single cylinder, four-stroke",,,,83.0 x 53.6 mm (3.3 x 2.1 inches),5,Carburettor. Keihin fcr-mx37,Double Overhead Cams/Twin Cam (DOHC),Electronic,,Liquid,5-speed,Chain   (final drive),Multidisc in oil bath,Chrom-Molybdenum frame with B-profil,Marzocchi ø48 mm inverted front fork with closed cartridge ,305 mm (12.0 inches),Öhlins hydraulic mono-shock absorber,298 mm (11.7 inches),90/90-21 ,140/80-18 ,Single disc. Two-piston calipers. ,220 mm (8.7 inches),Single disc. Single-piston caliper. ,108.0 kg (238.1 pounds),,"950 mm (37.4 inches) If adjustable, lowest setting.",1260 mm (49.6 inches),2200 mm (86.6 inches),830 mm (32.7 inches),,1490 mm (58.7 inches),6.30 litres (1.66 US gallons),Black/red/white,Electric & kick,,Spanish bike.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tauris Freccia 125 4T,2014,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.7 ccm (7.61 cubic inches),"Single cylinder, four-stroke",7.9 HP (5.8  kW)) @ 7500 RPM,,,,,Carburettor,,,,Air,Automatic,Belt   (final drive),,Steel,,,,,120/70-13 ,120/70-12 ,Single disc,,Single disc,92.0 kg (202.8 pounds),0.0860 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",1165 mm (45.9 inches),1925 mm (75.8 inches),675 mm (26.6 inches),,,5.50 litres (1.45 US gallons),"Red, white, black",Electric,,Retro scooter sold in Austria and some other EU countries.,CVT automatic,Top box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda Valkyrie ABS,2014,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,1832.0 ccm (111.79 cubic inches),"Six cylinder boxer, four-stroke",,,9.8:1,74.0 x 71.0 mm (2.9 x 2.8 inches),2,Injection. Programmed Fuel Injection (PGM-FI),Single Overhead Cams (SOHC),Computer-controlled digital with three-dimensional mapping,,Liquid,5-speed,Shaft drive (cardan)   (final drive),Multi-plate with diaphragm spring in oil bath,,"45mm cartridge fork with anti-dive system, 4.8 inches travel",,Pro Arm® single-side swingarm with Pro-Link® single shock with computer-controlled spring preload adjustment with two memory presets; 4.1 inches travel,,130/60-19 ,180/55-17 ,"Double disc. ABS, three-piston caliper",316 mm (12.4 inches),"Single disc. ABS, three-piston caliper.",,,"740 mm (29.1 inches) If adjustable, lowest setting.",1455 mm (57.3 inches),2630 mm (103.5 inches),945 mm (37.2 inches),,1689 mm (66.5 inches),24.98 litres (6.60 US gallons),"Blue Metallic, Black, Dark Red Metallic",Electric,,Model id: GL1800.,"Overdrive, electric reverse.","Saddle bags, top box, glovebox",,,6.72 litres/100 km (14.9 km/l or 35.00 mpg),155.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,,29.2°,114 mm (4.5 inches),345.2 kg (761.0 pounds),,,,,,,Urethane. Waterproof cover.,,,,,,,,,,,,,,,,,,,,,,
Bajaj Pulsar 150,2014,Sport," 2.8  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",149.0 ccm (9.09 cubic inches),"Single cylinder, four-stroke",15.1 HP (11.0  kW)) @ 9000 RPM,12.5 Nm (1.3 kgf-m or 9.2 ft.lbs) @ 6500 RPM,,,,,,CDI,,Air,,,,,"Telescopic, with anti-friction bush ",130 mm (5.1 inches),"5 way adjustable, Nitrox shock absorber",101 mm (4.0 inches),90/90-17 ,120/80-17 ,Single disc,130 mm (5.1 inches),Expanding brake (drum brake),,,,1060 mm (41.7 inches),2055 mm (80.9 inches),755 mm (29.7 inches),,1320 mm (52.0 inches),15.00 litres (3.96 US gallons),"Black/white, blue, red, black",Electric,,,,,,,,,,,,144.0 kg (317.5 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda FourTrax Recon,2014,ATV,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,229.0 ccm (13.97 cubic inches),"Single cylinder, four-stroke",,,,68.5 x 62.2 mm (2.7 x 2.4 inches),,Carburettor. 22mm carburetor,Overhead Valves (OHV),CD with electronic advance,,Air,5-speed,Shaft drive (cardan)   (final drive),Automatic,,Independent double-wishbone,130 mm (5.1 inches),Swingarm with single shock,124 mm (4.9 inches),22/7-11 ,22/10-9 ,Double disc. Hydraulic. ,229 mm (9.0 inches),Expanding brake (drum brake),,,"792 mm (31.2 inches) If adjustable, lowest setting.",1069 mm (42.1 inches),1905 mm (75.0 inches),1034 mm (40.7 inches),152 mm (6.0 inches),1130 mm (44.5 inches),9.08 litres (2.40 US gallons),"Red, Olive",Electric,,Model ID: TRX250TM,Direct rear driveshaft,,,,,,,,,196.0 kg (432.0 pounds),,,,,1 year,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Speedmaster,2014,Custom / cruiser," 3.0  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",865.0 ccm (52.78 cubic inches),"Twin, four-stroke",61.0 HP (44.5  kW)) @ 6800 RPM,72.0 Nm (7.3 kgf-m or 53.1 ft.lbs) @ 3300 RPM,9.2:1,90.0 x 68.0 mm (3.5 x 2.7 inches),,Injection. Multipoint sequential electronic fuel injection with SAI,Double Overhead Cams/Twin Cam (DOHC),Digital-inductive type via engine management system,,Air,5-speed,Chain   (final drive),Wet. multi-plate,"Tubular steel cradle. Twin-sided, tubular steel swingarm.",KYB 41mm forks with  polished lowers. 120mm travel,,KYB chromed spring twin shocks with adjustable preload. 96mm rear wheel travel,,100/90-R19 ,170/80-B15 ,Double disc. Nissin 2-piston floating calipers,285 mm (11.2 inches),Single disc. Nissin 2-piston floating calipers,,,"690 mm (27.2 inches) If adjustable, lowest setting.",1133 mm (44.6 inches),2367 mm (93.2 inches),825 mm (32.5 inches),,1606 mm (63.2 inches),19.30 litres (5.10 US gallons),"Jet Black, Matt Graphite",Electric,Analogue speedometer and tachometer with odometer and trip information ,,X ring chain,,Cast aluminum alloy 5-spoke,270º firing interval,4.90 litres/100 km (20.4 km/l or 48.00 mpg),113.7 CO2 g/km. (CO2 - Carbon dioxide emission) ,Stainless steel twin-walled headers. twin chromed exhaust,33.8°,170 mm (6.7 inches),250.0 kg (551.2 pounds),4.50 litres (4.76 US quarts),,,,2 year warranty unlimited mileage,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Street Glide Special,2014,Touring," 2.3  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1688.0 ccm (103.00 cubic inches),"V2, four-stroke",,135.6 Nm (13.8 kgf-m or 100.0 ft.lbs) @ 3250 RPM,9.7:1,98.4 x 111.3 mm (3.9 x 4.4 inches),,Injection. ESPFI,,"Single-fire, non-wasted, map-controlled spark ignition ",Dry sump,Oil & air,6-speed,Belt   (final drive),Multi-plate with diaphragm spring in oil bath,"Steel, square-section backbone with twin downtubes.","41.3 mm telescopic, cartridge-style damping,",117 mm (4.6 inches),"Short, air-adjustable shock",51 mm (2.0 inches),130/60-B19 ,180/65-BW16 ,Double disc. 4-piston,292 mm (11.5 inches),Single disc. 2-piston,355.2 kg (783.0 pounds),,"663 mm (26.1 inches) If adjustable, lowest setting.",,2451 mm (96.5 inches),,119 mm (4.7 inches),1613 mm (63.5 inches),22.71 litres (6.00 US gallons),"Sand Cammo Denim, Black Denim,Charcoal Pearl,Morocco Gold Pearl,Blackened Cayenne Sunglo,Mysterious Red Sunglo,Amber Whiskey, Vivid Black",Electric,"Fairing-mounted electronic speedometer with odometer; time-of-day clock on CD player/stereo; dual trip meter; low fuel indicator light and mileage countdown feature; low oil pressure indicator light; engine diagnostics readout; LED indicator lights; 6-speed indicator light Tachometer with fuel, voltage, oil pressure and ambient air temperature gauges",Windshield,"Chain, 34/46 ratio",Saddle bags,,Twin Cam 103™ with Integrated Oil-Cooler,5.60 litres/100 km (17.9 km/l or 42.00 mpg),129.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,,26.0°,170 mm (6.7 inches),367.9 kg (811.0 pounds),3.80 litres (4.02 US quarts),"High beam, running lights, front fender light, directional light bar, neutral, low oil pressure, engine diagnostics, turn signals, security system (optional), 6-speed, low fuel warning, cruise control (optional), ABS (optional)",,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW K 1600 GTL,2014,Touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1649.0 ccm (100.62 cubic inches),"In-line six, four-stroke",160.0 HP (116.8  kW)) @ 7750 RPM,175.0 Nm (17.8 kgf-m or 129.1 ft.lbs) @ 5250 RPM,12.2:1,72.0 x 67.5 mm (2.8 x 2.7 inches),4,"Injection. Electronic intake pipe injection, digital engine management (BMS-X)",Double Overhead Cams/Twin Cam (DOHC),,Dry sump,Liquid,6-speed,Shaft drive (cardan)   (final drive),Multiple disc clutch in oil bath,"Bridge-type frame, cast aluminium, load-bearing engine",BMW Motorrad Duolever,125 mm (4.9 inches),Travel front/rear:,135 mm (5.3 inches),120/70-ZR17 ,190/55-ZR17 ,Double disc. Four-piston calipers. ,320 mm (12.6 inches),Single disc. Two-piston calipers. ,321.0 kg (707.7 pounds),0.4984 HP/kg,"750 mm (29.5 inches) If adjustable, lowest setting.",1465 mm (57.7 inches),2489 mm (98.0 inches),1000 mm (39.4 inches),,1680 mm (66.1 inches),26.50 litres (7.00 US gallons),"Beige, grey, red",Electric,,,Cardan Shaft,Saddle bags. Topbox.,Aluminium,,4.60 litres/100 km (21.7 km/l or 51.13 mpg),106.7 CO2 g/km. (CO2 - Carbon dioxide emission) ,,27.8°,108 mm (4.3 inches),348.0 kg (767.2 pounds),,,,"Closed loop 3-way catalytic converter, emission standard EU-3",,4.00 litres (1.06 US gallons),,"12 V/19 Ah, maintenance free battery.",,,,,,,,,,,,,,,,,,,,,
