Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Compression,Bore x stroke,Valves per cylinder,Fuel control,Cooling system,Gearbox,Transmission type,Front tire,Rear tire,Front brakes,Rear brakes,"Weight incl. oil, gas, etc",Fuel capacity,Torque,0-100 km/h (0-62 mph),1/4 mile (0.4 km),"60-140 km/h (37-87 mph), highest gear",Max RPM,Fuel system,Ignition,Lubrication system,Clutch,Fuel consumption,Greenhouse gases,Exhaust system,Frame type,Rake (fork angle),Trail,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Seat height,Alternate seat height,Overall height,Overall length,Overall width,Ground clearance,Wheelbase,Reserve fuel capacity,Color options,Starter,Diameter,Dry weight,Power/weight ratio,Oil capacity,Modifications compared to previous model,Engine oil,Brake fluid,Battery,Spark plugs,Idle speed,Belt teeth,Belt width,Pulley teeth,Tire pressure front,Tire pressure rear,Fork tube size,Oil filter,Coolant,Comments,Front percentage of weight,Rear percentage of weight,Electrical
Dnepr MT 16 (with sidecar),1986,Classic,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,650.0 ccm (39.66 cubic inches),"Two cylinder boxer, four-stroke",38.0 HP (27.7  kW)) @ 5900 RPM,125.0 km/h (77.7 mph),8.5:1,78.0 x 68.0 mm (3.1 x 2.7 inches),2,Overhead Valves (OHV),Air,4-speed with reverse,Shaft drive (cardan)   (final drive),3.75-19 ,3.75-19 ,Expanding brake,Expanding brake,365.0 kg (804.7 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX 550 EF,1986,Allround," 3.1  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",572.0 ccm (34.90 cubic inches),"In-line four, four-stroke",64.0 HP (46.7  kW)) @ 10000 RPM,194.0 km/h (120.5 mph),10.0:1,60.0 x 50.6 mm (2.4 x 2.0 inches),4,Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),100/90-16 ,110/90-18 ,Dual disc,Single disc,220.0 kg (485.0 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi V 75,1986,Sport touring," 2.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",744.0 ccm (45.40 cubic inches),"V2, four-stroke",59.0 HP (43.1  kW)) @ 7300 RPM,188.0 km/h (116.8 mph),10.2:1,80.0 x 74.0 mm (3.1 x 2.9 inches),4,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),100/90-16 ,120/80-18 ,Dual disc,Single disc,200.0 kg (440.9 pounds),17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XV 700 SS,1986,Custom / cruiser," 3.0  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",699.0 ccm (42.65 cubic inches),"V2, four-stroke",56.0 HP (40.9  kW)) @ 7000 RPM,170.0 km/h (105.6 mph),9.0:1,80.2 x 69.2 mm (3.2 x 2.7 inches),2,Overhead Cams (OHC),Air,5-speed,Shaft drive (cardan)   (final drive),100/90-19 ,140/90-15 ,Double disc. Single piston calipers,Expanding brake (drum brake),238.0 kg (524.7 pounds),13.00 litres (3.43 US gallons),58.8 Nm (6.0 kgf-m or 43.4 ft.lbs) @ 6000 RPM,,,,9500,Carburettor. Hitachi 40 mm,Transistor Controlled Ignition (TCI),Wet sump,Wet plate,5.00 litres/100 km (20.0 km/l or 47.04 mpg),116.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,Double chromed pipes with common mid-chamber,Backbone pressed steel - engine is a stressed member,32.0°,,Telescopic forks,145 mm (5.7 inches),Dual Kayaba Shocks,,"710 mm (28.0 inches) If adjustable, lowest setting.",,,2235 mm (88.0 inches),840 mm (33.1 inches),145 mm (5.7 inches),,3.00 litres (0.79 US gallons),,Electric,267 mm (10.5 inches),225.0 kg (496.0 pounds),0.2489 HP/kg,3.00 litres (3.17 US quarts),"Spoked wheel, improved starter with bendix solenoid.",,,,,,,,,,,,,,,,,
Yamaha SRX 6,1986,Naked bike," 3.7  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",608.0 ccm (37.10 cubic inches),"Single cylinder, four-stroke",42.0 HP (30.7  kW)) @ 6500 RPM,170.0 km/h (105.6 mph),8.5:1,96.0 x 84.0 mm (3.8 x 3.3 inches),4,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),100/80-18 ,120/80-18 ,Dual disc,Single disc,172.0 kg (379.2 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GS 550 L,1986,Sport touring," 2.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",572.0 ccm (34.90 cubic inches),"In-line four, four-stroke",68.0 HP (49.6  kW)) @ 10000 RPM,,,,4,Double Overhead Cams/Twin Cam (DOHC),Oil & air,6-speed,Chain   (final drive),,,Single disc,Expanding brake (drum brake),,9.08 litres (2.40 US gallons),50.0 Nm (5.1 kgf-m or 36.9 ft.lbs) @ 8000 RPM,,,,10500,Carburettor,,,,4.70 litres/100 km (21.3 km/l or 50.05 mpg),109.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,4 INTO 2,,,,,,,,,,,,,,,3.40 litres (0.90 US gallons),,Electric,,,,,,,,,,,,,,,,,,,,,,
BMW R 80 GS Paris-Dakar,1986,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,797.0 ccm (48.63 cubic inches),"Two cylinder boxer, four-stroke",50.0 HP (36.5  kW)) @ 6500 RPM,164.0 km/h (101.9 mph),8.2:1,84.8 x 70.6 mm (3.3 x 2.8 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),3.00-21 ,4.00-18 ,Single disc,Expanding brake,219.0 kg (482.8 pounds),33.50 litres (8.85 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CM 200 T (reduced effect),1986,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,194.0 ccm (11.84 cubic inches),"Twin, four-stroke",10.0 HP (7.3  kW)) @ 7000 RPM,100.0 km/h (62.1 mph),8.8:1,53.0 x 44.0 mm (2.1 x 1.7 inches),2,Overhead Cams (OHC),Air,4-speed,Chain   (final drive),3.00-17 ,3.50-16 ,Expanding brake,Expanding brake,138.0 kg (304.2 pounds),11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FXST 1340 Softail,1986,Sport touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1337.0 ccm (81.58 cubic inches),"V2, four-stroke",58.0 HP (42.3  kW)) @ 5000 RPM,170.0 km/h (105.6 mph),8.5:1,88.8 x 108.0 mm (3.5 x 4.3 inches),2,Overhead Valves (OHV),Air,5-speed,Belt   (final drive),MH90-21 ,130/90-16 ,Single disc. 0,Single disc. Single-piston caliper. ,290.0 kg (639.3 pounds),19.00 litres (5.02 US gallons),,,,,,Carburettor. 40mm Keihin CV,"Single-fire, non-wasted, map-controlled spark  ignition",,,,,,,,,38mm Telescopic air assistance,175 mm (6.9 inches),Dual shocks preload adjustable,91 mm (3.6 inches),"680 mm (26.8 inches) If adjustable, lowest setting.",,,,,,,,"Black, blue, red",Electric,292 mm (11.5 inches),280.0 kg (617.3 pounds),0.2071 HP/kg,2.80 litres (2.96 US quarts),,SAE 20W-50,DOT 5 Silicone,YTX20H-BS,NGK BPR5ES-11,1000  RPM,132,1 1/2 in,32/70 (front/rear),30 PSI (2.1 Bar or 210 kPa),36 PSI (2.5 Bar or 250 kPa),41 mm (1.6 inches),,,,,,
Suzuki DR 250 S,1986,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)) @ 7800 RPM,117.0 km/h (72.7 mph),9.0:1,72.0 x 61.2 mm (2.8 x 2.4 inches),4,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-21 ,4.00-18 ,Single disc,Expanding brake,129.0 kg (284.4 pounds),9.50 litres (2.51 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maico GME 500,1986,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",488.0 ccm (29.78 cubic inches),"Single cylinder, two-stroke",61.0 HP (44.5  kW)) @ 7000 RPM,,12.0:1,86.5 x 83.0 mm (3.4 x 3.3 inches),,Membrane,Liquid,5-speed,Chain   (final drive),3.00-21 ,4.10-18 ,Single disc,Expanding brake,109.0 kg (240.3 pounds),10.00 litres (2.64 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW K 75 C,1986,Allround," 3.5  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",740.0 ccm (45.15 cubic inches),"In-line three, four-stroke",75.0 HP (54.7  kW)) @ 8500 RPM,200.0 km/h (124.3 mph),11.0:1,67.0 x 70.0 mm (2.6 x 2.8 inches),2,Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Shaft drive (cardan)   (final drive),100/90-18 ,120/90-18 ,Dual disc,Expanding brake,236.0 kg (520.3 pounds),21.00 litres (5.55 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi V 1000 California II,1986,Touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",948.0 ccm (57.85 cubic inches),"V2, four-stroke",67.0 HP (48.9  kW)) @ 6700 RPM,159.0 km/h (98.8 mph),9.2:1,88.0 x 78.0 mm (3.5 x 3.1 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),120/90-18 ,120/90-18 ,Dual disc,Single disc,276.0 kg (608.5 pounds),23.00 litres (6.08 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda XL 600 LM,1986,Enduro / offroad," 3.1  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",591.0 ccm (36.06 cubic inches),"Single cylinder, four-stroke",44.0 HP (32.1  kW)) @ 6500 RPM,144.0 km/h (89.5 mph),8.8:1,97.0 x 80.0 mm (3.8 x 3.1 inches),4,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-21 ,5.10-17 ,Single disc,Expanding brake,189.0 kg (416.7 pounds),28.00 litres (7.40 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KLR 250 (reduced effect),1986,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)) @ 9000 RPM,133.0 km/h (82.6 mph),11.0:1,74.0 x 58.0 mm (2.9 x 2.3 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),3.00-21 ,4.60-17 ,Single disc,Expanding brake,134.0 kg (295.4 pounds),11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki DR 600 S,1986,Enduro / offroad," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",590.0 ccm (36.00 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 6200 RPM,131.0 km/h (81.4 mph),9.5:1,94.0 x 85.0 mm (3.7 x 3.3 inches),4,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),100/80-21 ,130/80-17 ,Single disc,Expanding brake,160.0 kg (352.7 pounds),20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX 550 EU,1986,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,512.0 ccm (31.24 cubic inches),"In-line four, four-stroke",50.0 HP (36.5  kW)) @ 9600 RPM,182.0 km/h (113.1 mph),8.6:1,60.0 x 50.6 mm (2.4 x 2.0 inches),4,Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),100/90-16 ,110/90-18 ,Dual disc,Single disc,211.0 kg (465.2 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XJ700XS,1986,Custom / cruiser," 3.3  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",697.3 ccm (42.55 cubic inches),"In-line four, four-stroke",86.0 HP (62.8  kW)) @ 9500 RPM,,11.2:1,68.0 x 48.0 mm (2.7 x 1.9 inches),5,Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Shaft drive (cardan)   (final drive),100/90-19 ,130/90-16 ,Double disc,Expanding brake (drum brake),232.0 kg (511.5 pounds),13.00 litres (3.43 US gallons),67.7 Nm (6.9 kgf-m or 49.9 ft.lbs) @ 8000 RPM,,11.79 seconds,,10000,Carburettor. (4) Standard side-draft 33 mm Mikuni CV,TCI,Wet Sump,Wet/multi-disc,5.70 litres/100 km (17.5 km/l or 41.27 mpg),132.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,,Double Cradle,31.5°,120 mm (4.7 inches),Telescopic fork,150 mm (5.9 inches),Swing arm w/ coil springs,99 mm (3.9 inches),"760 mm (29.9 inches) If adjustable, lowest setting.",,1160 mm (45.7 inches),2235 mm (88.0 inches),775 mm (30.5 inches),145 mm (5.7 inches),1520 mm (59.8 inches),3.00 litres (0.79 US gallons),,Electric,,215.0 kg (474.0 pounds),0.4000 HP/kg,3.50 litres (3.7 US quarts),,,,,,,,,,,,,,,,,,
BMW K 100,1986,Touring," 4.0  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",987.0 ccm (60.23 cubic inches),"In-line four, four-stroke",90.0 HP (65.7  kW)) @ 8000 RPM,218.0 km/h (135.5 mph),10.2:1,67.0 x 70.0 mm (2.6 x 2.8 inches),2,Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Shaft drive (cardan)   (final drive),100/90-18 ,130/90-17 ,Dual disc,Single disc,243.0 kg (535.7 pounds),22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 750 Paso,1986,Classic," 3.3  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"V2, four-stroke",73.0 HP (53.3  kW)) @ 7900 RPM,201.0 km/h (124.9 mph),10.0:1,88.0 x 61.5 mm (3.5 x 2.4 inches),2,Desmodromic valve control,Air,5-speed,Chain   (final drive),130/60-16 ,160/60-16 ,Dual disc,Single disc,222.0 kg (489.4 pounds),22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XZ 550,1986,Touring," 2.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",553.0 ccm (33.74 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 9000 RPM,178.0 km/h (110.6 mph),10.5:1,80.0 x 55.0 mm (3.1 x 2.2 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Shaft drive (cardan)   (final drive),90/90-18 ,4.25/85-18 ,Dual disc,Expanding brake,221.0 kg (487.2 pounds),17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha SR 500,1986,Classic," 2.9  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 6000 RPM,142.0 km/h (88.2 mph),9.0:1,87.0 x 84.0 mm (3.4 x 3.3 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.50-18 ,4.00-18 ,Single disc,Expanding brake,167.0 kg (368.2 pounds),12.00 litres (3.17 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM XC 600 E Enduro Sport,1986,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,562.0 ccm (34.29 cubic inches),"Single cylinder, four-stroke",34.0 HP (24.8  kW)) @ 6500 RPM,128.0 km/h (79.5 mph),9.6:1,94.0 x 81.0 mm (3.7 x 3.2 inches),4,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-21 ,130/80-18 ,Single disc,Expanding brake,159.0 kg (350.5 pounds),14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XS 400 DOHC (reduced effect),1986,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,399.0 ccm (24.35 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 8000 RPM,143.0 km/h (88.9 mph),9.7:1,69.0 x 53.4 mm (2.7 x 2.1 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),3.00-18 ,4.10-18 ,Single disc,Expanding brake,187.0 kg (412.3 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gilera NGR 250 (reduced effect),1986,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,249.0 ccm (15.19 cubic inches),"Single cylinder, two-stroke",27.0 HP (19.7  kW)) @ 6750 RPM,138.0 km/h (85.7 mph),12.5:1,71.5 x 62.0 mm (2.8 x 2.4 inches),,Rotary valves,Liquid,5-speed,Chain   (final drive),100/90-16 ,110/90-18 ,Dual disc,Single disc,160.0 kg (352.7 pounds),22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 125 T 2 (reduced effect),1986,Allround," 3.9  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",125.0 ccm (7.63 cubic inches),"Twin, four-stroke",10.0 HP (7.3  kW)) @ 10500 RPM,100.0 km/h (62.1 mph),9.4:1,44.0 x 41.0 mm (1.7 x 1.6 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-18 ,3.25-18 ,Single disc,Expanding brake,126.0 kg (277.8 pounds),10.00 litres (2.64 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benelli 250 2 C,1986,Classic,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,231.0 ccm (14.10 cubic inches),"Twin, two-stroke",17.0 HP (12.4  kW)) @ 7600 RPM,125.0 km/h (77.7 mph),10.0:1,56.0 x 47.0 mm (2.2 x 1.9 inches),,Port control,Air,5-speed,Chain   (final drive),3.00-18 ,3.25-18 ,Single disc,Expanding brake,134.0 kg (295.4 pounds),17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
