Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Compression,Fuel system,Fuel control,Ignition,Lubrication system,Cooling system,Gearbox,Transmission type,Clutch,Fuel consumption,Greenhouse gases,Frame type,Front suspension,Rear suspension,Rear tire,Front brakes,Diameter,Rear brakes,Wheels,Overall height,Overall length,Overall width,Wheelbase,Fuel capacity,Starter,Bore x stroke,Front tire,Dry weight,Seat height,Ground clearance,Color options,Seat,Power/weight ratio,"Weight incl. oil, gas, etc",Comments,Valves per cylinder,Torque,Exhaust system,Rake (fork angle),Trail,Oil capacity,Electrical,Alternate seat height,Engine details,1/4 mile (0.4 km),Max RPM,Front wheel travel,Rear wheel travel,Instruments,0-100 km/h (0-62 mph),Modifications compared to previous model,Light,Carrying capacity
Triumph Trident 750,1968,Naked bike,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,749.0 ccm (45.70 cubic inches),"In-line three, four-stroke",60.0 HP (43.8  kW)) @ 7250 RPM,193.0 km/h (119.9 mph),9.0:1,Carburettor. Amal MK1,Double Overhead Cams/Twin Cam (DOHC),,,Air,4-speed,Chain   (final drive),Wet multiplate,,,Duplex cradle,Telescopic fork,Dual shocks,4.10-19 ,Expanding brake (drum brake),178 mm (7.0 inches),Expanding brake (drum brake),,1005 mm (39.6 inches),2184 mm (86.0 inches),840 mm (33.1 inches),,19.00 litres (5.02 US gallons),Kick,67.0 x 70.0 mm (2.6 x 2.8 inches),3.25-19 ,225.0 kg (496.0 pounds),"813 mm (32.0 inches) If adjustable, lowest setting.",165 mm (6.5 inches),,Dual ,0.2667 HP/kg,,,2,,,,,,,,,,,,,,,,,
Harley-Davidson XLCH Sportster,1968,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,883.0 ccm (53.88 cubic inches),"V2, four-stroke",,,,Carburettor,Overhead Valves (OHV),,,,,Chain   (final drive),,,,,Telescopic,Swingarm with coil-over shocks,,Expanding brake (drum brake),,Expanding brake (drum brake),,,,,,,,,,,,,,Single seat,,,,,,,,,,,,,,,,,,,,,
BSA A65 Star,1968,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,654.0 ccm (39.91 cubic inches),"Twin, four-stroke",54.0 HP (39.4  kW)) @ 4500 RPM,,,Carburettor. Amal,Overhead Valves (OHV),,,Air,,Chain   (final drive),,,,,Telescopic,Swingarm with coil-over shocks,,Expanding brake (drum brake),,Expanding brake (drum brake),,,,,1400 mm (55.1 inches),15.14 litres (4.00 US gallons),,,,,,,,Dual seat,,,,,,,,,,,,,,,,,,,,,
Honda CB 250 K,1968,Classic," 3.4  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Twin, four-stroke",30.0 HP (21.9  kW)),150.0 km/h (93.2 mph),9.0:1,Carburettor. Keihin,Overhead Cams (OHC),"2 sets points, bobine",Forged and wet sump,Air,5-speed,Chain   (final drive),"Wet, multi plate type",,,Semy double cradle steel frame.,Telescopic fork,Swinging arm pre-load adjustable schocks,3.25-18 ,Expanding brake (drum brake),,Expanding brake (drum brake),,1075 mm (42.3 inches),2090 mm (82.3 inches),775 mm (30.5 inches),1320 mm (52.0 inches),12.00 litres (3.17 US gallons),Electric & kick,56.0 x 50.0 mm (2.2 x 2.0 inches),3.00-18 ,,,150 mm (5.9 inches),Bleu/white,,,160.0 kg (352.7 pounds),,2,21.0 Nm (2.1 kgf-m or 15.5 ft.lbs) @ 9500 RPM,Double chrome pipes and dampers,27.0°,85 mm (3.3 inches),2.00 litres (2.11 US quarts),12 volt,,,,,,,,,,,
Kawasaki A1 Samurai,1968,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,247.0 ccm (15.07 cubic inches),"Twin, two-stroke",31.0 HP (22.6  kW)) @ 8000 RPM,,,Carburettor,Rotary valves,,,Air,5-speed,Chain   (final drive),,,,,Telescopic,Swingarm ,3.25-18 ,Expanding brake (drum brake),,Expanding brake (drum brake),Spoked,,,,,,,,3-18 ,145.0 kg (319.7 pounds),,,,Dual ,0.2138 HP/kg,,,,,,,,,,,,,,,,,,,,
CZ 360,1968,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,360.0 ccm (21.97 cubic inches),"Single cylinder, two-stroke",,48.3 km/h (30.0 mph),,Carburettor. Jikov,,Dual plug,,,,Chain   (final drive),,,,,,,,,,,,,,,,,,,,106.1 kg (234.0 pounds),,,,Single seat,,,,,,Chrome pipe,,,,,,,,,,,,,,,
Ducati Scrambler,1968,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,436.0 ccm (26.60 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 6500 RPM,130.0 km/h (80.8 mph),9.3:1,Carburettor. Dellorto VHB 29AB with 29mm choke,,Coil,Wet sump forced lubrication with gear pump,Air,,Chain   (final drive),Wet multiplate,,,Steel,Front hydraulic telescopic forks,Swinging arm with adjustable shocks,4.00-18 ,Expanding brake (drum brake),,Expanding brake (drum brake),,,2120 mm (83.5 inches),940 mm (37.0 inches),1380 mm (54.3 inches),11.40 litres (3.01 US gallons),,87.0 x 75.0 mm (3.4 x 3.0 inches),3.50-19 ,150.0 kg (330.7 pounds),"770 mm (30.3 inches) If adjustable, lowest setting.",,,Dual seat,0.1800 HP/kg,,,,,,,,,6V-70 alternator and 6volt 13.5Ah battery,,,,,,,,,,,
Zündapp 50 Racer,1968,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,50.0 ccm (3.05 cubic inches),"Single cylinder, two-stroke",,,,Carburettor,,,,Air,,Chain   (final drive),,,,,,,,Expanding brake (drum brake). Duplex,,Expanding brake (drum brake). Simplex,Spoked,,,,,,,,,,,,,Single ,,,,,,,,,,,,,,,,,,,,,
Norton Dunstall,1968,Cross / motocross,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,745.0 ccm (45.46 cubic inches),"Twin, two-stroke",,,,Carburettor,Overhead Valves (OHV),,,Air,,Chain   (final drive),,,,,,,,Expanding brake (drum brake),,Expanding brake (drum brake),Spoked,,,,1410 mm (55.5 inches),,,,,,"800 mm (31.5 inches) If adjustable, lowest setting.",,,Single ,,,,,,,,,,,,,,,,,,,,,
Lambretta LI 125 Special,1968,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",7.1 HP (5.2  kW)) @ 5550 RPM,80.5 km/h (50.0 mph),8.0:1,Carburettor. DellÓrto,,,,Air,,,,,,,,,3.50-10 ,Expanding brake (drum brake),,Expanding brake (drum brake),,1060 mm (41.7 inches),1825 mm (71.9 inches),710 mm (28.0 inches),1290 mm (50.8 inches),,Kick,52.0 x 58.0 mm (2.0 x 2.3 inches),3.50-10 ,103.9 kg (229.0 pounds),,,,Dual ,0.0684 HP/kg,,,,,,,,,,,,,,,,,,,,
Norton Mercury 650,1968,Allround," 3.1  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",646.0 ccm (39.42 cubic inches),"Twin, two-stroke",,,9.0:1,Carburettor,,Coil,,Air,,Chain   (final drive),,,,,Telescopic,Swingarm ,,Expanding brake (drum brake),,Expanding brake (drum brake),Spoked,,,,,,Kick,68.0 x 89.0 mm (2.7 x 3.5 inches),,185.0 kg (407.9 pounds),,,,Dual ,,,,,,,,,,,,,,,,,,,,,
Honda CB 160,1968,Sport," 3.5  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",161.0 ccm (9.82 cubic inches),"Twin, four-stroke",16.5 HP (12.0  kW)) @ 10000 RPM,,,,Overhead Valves (OHV),,,,,,,,,,,,,,,,,,,,,,,,,294.0 kg (648.2 pounds),,,,Dual seat,0.0561 HP/kg,,,,,,,,,,,,,,,,,,,,
Zündapp 517 KS 50,1968,Sport," 3.3  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",49.9 ccm (3.04 cubic inches),"Single cylinder, two-stroke",,,,Carburettor. Bing,,,,Air,,Chain   (final drive),,,,,Telescopic,Two schock,,Single disc,,Expanding brake (drum brake),,,,,,12.50 litres (3.30 US gallons),,39.0 x 41.8 mm (1.5 x 1.6 inches),,86.0 kg (189.6 pounds),,,,,,,,,,,,,,,,,,,,,,,,,
Velocette Venom,1968,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",34.0 HP (24.8  kW)) @ 6200 RPM,,,Carburettor,Overhead Valves (OHV),,,Air,,Chain   (final drive),,,,,Telescopic,Swingarm with coil-over shocks,,Expanding brake (drum brake),,Expanding brake (drum brake),,,,,1391 mm (54.8 inches),,,86.0 x 86.0 mm (3.4 x 3.4 inches),,177.0 kg (390.2 pounds),,,,,0.1921 HP/kg,,,,,,,,,,,,,,,,,,,,
Bultaco TSS,1968,Cross / motocross,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",,,13.5:1,Carburettor,,,,,,Chain   (final drive),,,,,,,2.75-18 ,,,,Spoked,,,,,,,,2.75-18 ,,,,,Single Seat,,,,,,,,,,,"710 mm (28.0 inches) If adjustable, highest setting.",,,,,,,,,,
Moto Guzzi V7 700,1968,Naked bike," 3.1  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",700.0 ccm (42.71 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 6000 RPM,164.0 km/h (101.9 mph),9.0:1,Carburettor. DellÓrto,,,,Air,,Shaft drive (cardan)   (final drive),Dry multiplate,,,,Telescopic,,4-18 ,Expanding brake (drum brake). Duplex,200 mm (7.9 inches),Expanding brake (drum brake). Simplex,,1050 mm (41.3 inches),2245 mm (88.4 inches),795 mm (31.3 inches),1470 mm (57.9 inches),20.00 litres (5.28 US gallons),,80.0 x 70.0 mm (3.1 x 2.8 inches),4-18 ,,"790 mm (31.1 inches) If adjustable, lowest setting.",,,Dual ,,,,,,,,,,,,,,,,,,,,,
Vespa 180 Supersport,1968,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,181.1 ccm (11.05 cubic inches),"Single cylinder, two-stroke",10.0 HP (7.3  kW)) @ 6250 RPM,106.5 km/h (66.2 mph),7.7:1,Carburettor,Rotary valves,,,Air,4-speed,Chain   (final drive),,,,,,,3.50-10 ,Expanding brake (drum brake),,Expanding brake (drum brake),,,,,1230 mm (48.4 inches),,,,3.50-10 ,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi V7 Polizia Stradale,1968,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,703.0 ccm (42.90 cubic inches),"V2, four-stroke",35.0 HP (25.5  kW)) @ 5000 RPM,,,Carburettor,,,,Air,,Shaft drive (cardan)   (final drive),Dry multiplate,,,,,,,Expanding brake (drum brake),,Expanding brake (drum brake),,,,,,,,,,,,,,Single Seat,,,,,,,,,,,,,,,,,,,,,
Vespa 200 Rally,1968,Scooter," 3.0  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",200.0 ccm (12.20 cubic inches),"Single cylinder, two-stroke",,,,Carburettor. DellÓrto ,Rotary valves,,,Air,4-speed,Chain   (final drive),,,,,,,,Expanding brake (drum brake),150 mm (5.9 inches),Expanding brake (drum brake),,,,,1230 mm (48.4 inches),,Electric,,,,,,,Dual ,,,,,,,,,,,,,,,,,,,,,
Aermacchi 250 Ala Verde Serie 2,1968,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,246.2 ccm (15.02 cubic inches),"Single cylinder, four-stroke",18.0 HP (13.1  kW)) @ 7000 RPM,,8.5:1,Carburettor. DellÓrto UB24 BS2,,Bobine,,Air,4-speed,Chain   (final drive),Wet multiplate,,,,Telescopic -Geriani,Swingarm-two shocks,3.25-18 ,Expanding brake (drum brake). Simplex,180 mm (7.1 inches),Expanding brake (drum brake). Simplex,Spoked,910 mm (35.8 inches),1938 mm (76.3 inches),762 mm (30.0 inches),1321 mm (52.0 inches),17.00 litres (4.49 US gallons),Kick,66.0 x 72.0 mm (2.6 x 2.8 inches),3.25-19 ,135.0 kg (297.6 pounds),,,,Dual ,0.1333 HP/kg,,,,,,,,,,,,,,,,,,,,
Kawasaki A7 Avenger,1968,Naked bike," 3.1  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",338.0 ccm (20.62 cubic inches),"Twin, two-stroke",42.0 HP (30.7  kW)) @ 8000 RPM,160.0 km/h (99.4 mph),,Carburettor,Rotary valves,,,Air,,Chain   (final drive),,,,,Telescopic,Swingarm ,,Expanding brake (drum brake),,Expanding brake (drum brake),Spoked,,,,,,,,,158.0 kg (348.3 pounds),,,,Dual ,0.2658 HP/kg,,,,,,,,,,,,,,,,,,,,
Honda CL 350,1968,Allround," 3.7  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",325.0 ccm (19.83 cubic inches),"Twin, four-stroke",33.0 HP (24.1  kW)) @ 9500 RPM,160.9 km/h (100.0 mph),9.5:1,Carburettor. Two 28 mm variable venturi,Overhead Cams (OHC),Contact breaker,Wet sump,Air,5-speed,Chain   (final drive),Wet 8 plate 140 mm,2.24 litres/100 km (44.6 km/l or 105.01 mpg),52.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,Pressed/tubular semi-double cradle,Oil damped telescopic fork,Pressurized gas damped swing arm,3.50-18 ,Expanding brake (drum brake). Two leading shoe,160 mm (6.3 inches),Expanding brake (drum brake). Single cam,Chrome spoke,1090 mm (42.9 inches),2101 mm (82.7 inches),831 mm (32.7 inches),1321 mm (52.0 inches),9.08 litres (2.40 US gallons),Electric & kick,64.0 x 50.6 mm (2.5 x 2.0 inches),3.00-19 ,,"795 mm (31.3 inches) If adjustable, lowest setting.",180 mm (7.1 inches),"Candy Blue/White, Candy Red/White, Daytona Orange/White",,,156.5 kg (345.0 pounds),"I previously submitted this before I was finished, it would not let me submit again. So I changed the year to 1968 to submit again, but it is a 1969.",2,26.4 Nm (2.7 kgf-m or 19.5 ft.lbs) @ 8000 RPM,Upswept twin crossover,,,2.00 litres (2.11 US quarts),12v 12 ah battery and coil,,Vertical parallel twin aluminum alloy,14.30 seconds,10500,117 mm (4.6 inches),73 mm (2.9 inches),Nippon Seiki speedometer and tachometer,,,,
Jawa Californian 350,1968,Sport," 3.5  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",343.0 ccm (20.93 cubic inches),"Twin, two-stroke",28.0 HP (20.4  kW)) @ 5250 RPM,120.0 km/h (74.6 mph),,Carburettor,,,,Air,,Chain   (final drive),,,,,Telescopic,Swingarm,3.25-19 ,,,,Spoked,,,,,,,58.0 x 65.0 mm (2.3 x 2.6 inches),3.25-19 ,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi V7 Sport 750 Special,1968,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,750.0 ccm (45.77 cubic inches),"V2, four-stroke",45.0 HP (32.8  kW)) @ 6000 RPM,,,Carburettor. DellÓrto,,,,,4-speed,Shaft drive (cardan)   (final drive),,,,,Telescopic,Swingarm- hydralich,,Expanding brake (drum brake),,Expanding brake (drum brake),,,,,,20.00 litres (5.28 US gallons),,,,230.0 kg (507.1 pounds),,,,Dual ,0.1957 HP/kg,,,,,,,,,,,,,,,,,,,,
Honda Dream 305,1968,Allround," 3.2  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",305.0 ccm (18.61 cubic inches),"Twin, two-stroke",23.0 HP (16.8  kW)) @ 7500 RPM,138.4 km/h (86.0 mph),,Carburettor. Keihin,Overhead Cams (OHC),,,Air,,Chain   (final drive),,,,,Leading link enclosed coil over-shoks,Swingarm with coil-over shocks,,Expanding brake (drum brake),,Expanding brake (drum brake),Spoked,,,,,,,60.0 x 54.0 mm (2.4 x 2.1 inches),,159.0 kg (350.5 pounds),,,,,0.1447 HP/kg,,,,,,,,,,,,,,,,,,,,
Puch 250 SGS 67,1968,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,248.0 ccm (15.13 cubic inches),"Single cylinder, two-stroke",16.5 HP (12.0  kW)) @ 5800 RPM,110.0 km/h (68.4 mph),6.5:1,Carburettor,,,,,4-speed,Chain   (final drive),,,,,Telescopic,Swingarm,3.50-16 ,,,,,,,,,,,78.0 x 45.0 mm (3.1 x 1.8 inches),3-16 ,,,,,,,,,,16.8 Nm (1.7 kgf-m or 12.4 ft.lbs) @ 3300 RPM,,,,,,,,,,,,,,,,
Lambretta SX 150,1968,Scooter," 3.0  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",150.0 ccm (9.15 cubic inches),"Single cylinder, two-stroke",8.8 HP (6.4  kW)) @ 5600 RPM,96.6 km/h (60.0 mph),7.0:1,Carburettor. DellÓrto,,,,Air,,,,,,,,,3.50-10 ,Expanding brake (drum brake),,Expanding brake (drum brake),,,,,,,Kick,57.0 x 58.0 mm (2.2 x 2.3 inches),3.50-10 ,109.8 kg (242.0 pounds),,,,Dual ,0.0797 HP/kg,,,,,,,,,,,,,,,,,,,,
Gilera Ekstra 4,1968,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,305.0 ccm (18.61 cubic inches),"Twin, four-stroke",15.0 HP (10.9  kW)) @ 8000 RPM,125.0 km/h (77.7 mph),,Carburettor. DellÓrto ,,,,Air,,,,,,,,,,,150 mm (5.9 inches),,,970 mm (38.2 inches),2030 mm (79.9 inches),650 mm (25.6 inches),1330 mm (52.4 inches),19.00 litres (5.02 US gallons),,,,,"750 mm (29.5 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,
Triumph Tina,1968,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,100.0 ccm (6.10 cubic inches),"Single cylinder, two-stroke",,72.0 km/h (44.7 mph),7.0:1,,Overhead Cams (OHC),,,,,Belt   (final drive),,,,,,,,Expanding brake (drum brake),,Expanding brake (drum brake),,,,,,,,,,65.0 kg (143.3 pounds),,,,Dual ,,,,,,,,,,,,,,,,,,,,,
Kreidler Florett RS,1968,Sport," 3.3  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",50.0 ccm (3.05 cubic inches),"Single cylinder, two-stroke",5.3 HP (3.9  kW)) @ 7250 RPM,80.0 km/h (49.7 mph),,Carburettor. Bing,,,,Air,,Chain   (final drive),,,,Steel single cradle,Telescopic,Swingarm with coil-over shocks,,Expanding brake (drum brake),,Expanding brake (drum brake),,,,,,,,,,59.0 kg (130.0 pounds),,,,Single seat,0.0899 HP/kg,,,,,,,,,,,,,,,,,,,,
MV Agusta 600 Turismo,1968,Sport touring,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,592.0 ccm (36.12 cubic inches),"In-line four, four-stroke",52.3 HP (38.2  kW)) @ 8000 RPM,185.0 km/h (115.0 mph),9.3:1,Carburettor. Dell´Orto,Double Overhead Cams/Twin Cam (DOHC),Coil,Wet Sump,Air,5-speed,Shaft drive (cardan)   (final drive),"Wet, multiplate",,,Half Duplex,Telehydraulic,Swingarm with Hydraulic Dampers,4.00-18 ,Single disc,200 mm (7.9 inches),Expanding brake (drum brake),,,2210 mm (87.0 inches),620 mm (24.4 inches),1390 mm (54.7 inches),20.00 litres (5.28 US gallons),Electric,58.0 x 56.0 mm (2.3 x 2.2 inches),3.50-18 ,,,,Black,,,221.0 kg (487.2 pounds),,2,,,,,,,,,,,,,,,,,
Harley-Davidson KR 750,1968,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,744.0 ccm (45.40 cubic inches),"V2, four-stroke",46.0 HP (33.6  kW)) @ 6500 RPM,177.0 km/h (110.0 mph),,Carburettor. Single Tilloston,Sidevalves,,,Air,,,,,,,Telescopic,Rigid,,,,,,,,,,,,,,163.3 kg (360.0 pounds),,,,Single spring-mounted,0.2817 HP/kg,,,,,,,,,,,,,,,,,,,,
