Model,Year,Category,Rating,Displacement,Engine type,Fuel system,Fuel control,Lubrication system,Transmission type,Front suspension,Rear suspension,Front brakes,Rear brakes,Seat,Power,Top speed,Bore x stroke,Cooling system,Gearbox,Front tire,Rear tire,Wheels,Dry weight,Power/weight ratio,Overall height,Overall length,Overall width,Wheelbase,Starter,Frame type,Fuel capacity,Clutch,Diameter,Oil capacity,Compression,Ignition,Engine details,"Weight incl. oil, gas, etc",Driveline,Color options,Electrical,Seat height,Carrying capacity,Valves per cylinder,Comments,Fuel consumption,Greenhouse gases,Light,Exhaust system,Modifications compared to previous model
Velocette KTT Mk VIII,1938,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,348.4 ccm (21.26 cubic inches),"Single cylinder, four-stroke",Carburettor. Amal,Overhead Valves (OHV),Dry sump,Chain   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),Dual ,35.0 HP (25.5  kW)) @ 5800 RPM,185.0 km/h (115.0 mph),74.0 x 81.0 mm (2.9 x 3.2 inches),Air,,,,Spoked,125.0 kg (275.6 pounds),0.2800 HP/kg,,,,,Kick,Single cradle,11.40 litres (3.01 US gallons),Wet multiplate,178 mm (7.0 inches),,7.8:1,Bobine,,,,Multicolored. Black with gold pin striping,,,,,,,,,Single -Chrome,
BMW R61,1938,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,600.0 ccm (36.61 cubic inches),"Two cylinder boxer, four-stroke",Carburettor. Amal ,Overhead Valves (OHV),Wet sump ,Shaft drive (cardan)   (final drive),Leading link ,Twin shock-Swingarm,Expanding brake (drum brake). Single,Expanding brake (drum brake),Solo seat with springs,18.0 HP (13.1  kW)) @ 4800 RPM,115.0 km/h (71.5 mph),70.0 x 78.0 mm (2.8 x 3.1 inches),Air,4-speed,3.50-19.00 ,3.50-19.00 ,,,,960 mm (37.8 inches),2130 mm (83.9 inches),815 mm (32.1 inches),1400 mm (55.1 inches),Kick,Steel-double cradle,14.00 litres (3.70 US gallons),Dry-single plate-cable operated,200 mm (7.9 inches),,5.7:1,,,184.0 kg (405.7 pounds),,,,,210kg,,,3.50 litres/100 km (28.6 km/l or 67.21 mpg),81.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,
NSU 601 OSB,1938,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,562.0 ccm (34.29 cubic inches),"Single cylinder, four-stroke",Carburettor. Amal,,,,,,Expanding brake (drum brake),Expanding brake (drum brake),Single ,26.0 HP (19.0  kW)) @ 4950 RPM,,85.0 x 99.0 mm (3.3 x 3.9 inches),Air,,3.50-19 ,3.50-19 ,,150.0 kg (330.7 pounds),0.1733 HP/kg,1000 mm (39.4 inches),2200 mm (86.6 inches),850 mm (33.5 inches),1420 mm (55.9 inches),Kick,,,,,,,,,,,,,,,,,,,,,
Zündapp K 500,1938,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.0 ccm (30.39 cubic inches),"Two cylinder boxer, four-stroke",Carburettor. Bing 22mm,,,Shaft drive (cardan)   (final drive),Telescopic,Rigid,Expanding brake (drum brake),Expanding brake (drum brake),Two single seats,16.0 HP (11.7  kW)) @ 4500 RPM,105.0 km/h (65.2 mph),69.0 x 66.6 mm (2.7 x 2.6 inches),Air,4-speed,3.50-19 ,3.50-19 ,Spoked,180.0 kg (396.8 pounds),0.0889 HP/kg,,,,,Kick,,,,,,,,,,,,,,,,,,,,,
Crocker Crocker V-Twin,1938,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,998.0 ccm (60.90 cubic inches),"V2, four-stroke",Carburettor,Overhead Valves (OHV),,Chain   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),Single spring-mounted,,,,,,,,Spoked,,,,,,,,,,,,,,,45degree,,,,,,,,,,,,,
NSU 601 OSL,1938,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,562.0 ccm (34.29 cubic inches),"Single cylinder, four-stroke",Carburettor. Amal,,,,,,Expanding brake (drum brake),Expanding brake (drum brake),,24.0 HP (17.5  kW)) @ 4950 RPM,,85.0 x 99.0 mm (3.3 x 3.9 inches),Air,,3.50-19 ,3.50-19 ,,150.0 kg (330.7 pounds),0.1600 HP/kg,,,,1420 mm (55.9 inches),Kick,,,,,,,,,,,,,,,,,,,,,
BSA Y13,1938,Cross / motocross,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,748.0 ccm (45.64 cubic inches),"Twin, four-stroke",Carburettor. Amal monoblock,Overhead Valves (OHV),Dry sump,Chain   (final drive),Quick adjustable shock-streering damper,None-rigid,Expanding brake (drum brake),Expanding brake (drum brake),Single seat,19.5 HP (14.2  kW)) @ 4800 RPM,,71.0 x 94.0 mm (2.8 x 3.7 inches),Air,,4.00-18 ,4.00-18 ,,,,,,,1372 mm (54.0 inches),,Duplex cradle,17.00 litres (4.49 US gallons),Multiplate dry,70 mm (2.8 inches),,,Lucas,,204.0 kg (449.7 pounds),,Black and chrome-green tank panels,,,,,,,,,,
Rikuo RT 2,1938,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,750.0 ccm (45.77 cubic inches),"V2, four-stroke",Carburettor. Linkert,Sidevalves,,,Telescopic,,,,Spring-mounted seat,22.0 HP (16.1  kW)) @ 4250 RPM,,,Air,4-speed,,,,230.0 kg (507.1 pounds),0.0957 HP/kg,,,,,,,,Four speed ,,,,Generator and battery,,,,,,,,,,,,,,
NSU 601 OSL WH,1938,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,562.0 ccm (34.29 cubic inches),"Single cylinder, four-stroke",Carburettor. Amal,,,,,,Expanding brake (drum brake),Expanding brake (drum brake),Single ,24.0 HP (17.5  kW)) @ 4300 RPM,110.0 km/h (68.4 mph),85.0 x 99.0 mm (3.3 x 3.9 inches),Air,,3.50-19 ,3.50-19 ,Spoked,190.0 kg (418.9 pounds),0.1263 HP/kg,970 mm (38.2 inches),2225 mm (87.6 inches),845 mm (33.3 inches),1420 mm (55.9 inches),Kick,Steel,13.50 litres (3.57 US gallons),,,,,,,,,,,,,,,,,,,
BMW R12 Twin carb,1938,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,745.0 ccm (45.46 cubic inches),"Two cylinder boxer, four-stroke",Carburettor. Amal,Overhead Valves (OHV),Wet sump ,,Cartrige,Rigid-,Expanding brake (drum brake). Single,Expanding brake (drum brake),Spring-mounted seat,20.0 HP (14.6  kW)) @ 4000 RPM,120.0 km/h (74.6 mph),78.0 x 78.0 mm (3.1 x 3.1 inches),Air,4-speed,3.50-19 ,3.5-19 ,,,,940 mm (37.0 inches),2100 mm (82.7 inches),900 mm (35.4 inches),,Kick,Steel-doble cradle,14.00 litres (3.70 US gallons),Dry multiplate-cable operated,200 mm (7.9 inches),,5.2:1,,,185.0 kg (407.9 pounds),,,,,300,,,,,,,
NSU 601 TS,1938,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,592.0 ccm (36.12 cubic inches),"Single cylinder, four-stroke",Carburettor. Amac,,,Chain   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),,16.0 HP (11.7  kW)) @ 4670 RPM,,87.5 x 99.0 mm (3.4 x 3.9 inches),Air,,3.50-26 ,4-27 ,Spoked,165.0 kg (363.8 pounds),0.0970 HP/kg,,,,1390 mm (54.7 inches),Kick,Double steel,,,,,,Magneto Bosch,,,,,,,,,,,,,,
BMW R71,1938,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,746.0 ccm (45.52 cubic inches),"Two cylinder boxer, four-stroke",Carburettor. Graetzin G24,Overhead Valves (OHV),Wet sump ,Shaft drive (cardan)   (final drive),Cartridge,Twin shock-swingarm,Expanding brake (drum brake). Single,Expanding brake (drum brake),Single seat,22.0 HP (16.1  kW)) @ 4600 RPM,125.0 km/h (77.7 mph),78.0 x 78.0 mm (3.1 x 3.1 inches),Air,4-speed,3.5-19 ,3.5-19 ,Spoked,,,960 mm (37.8 inches),2130 mm (83.9 inches),815 mm (32.1 inches),1400 mm (55.1 inches),Kick,Tubular steal duplex cradle,14.00 litres (3.70 US gallons),Dry-single plate-cable operated,200 mm (7.9 inches),,5.5:1,,,187.0 kg (412.3 pounds),,,,,210,,,4.50 litres/100 km (22.2 km/l or 52.27 mpg),104.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,
NSU 251 OSL,1938,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,242.0 ccm (14.77 cubic inches),"Single cylinder, four-stroke",Carburettor,,,Chain   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),Single spring-mounted,10.5 HP (7.7  kW)) @ 5200 RPM,100.0 km/h (62.1 mph),64.0 x 75.0 mm (2.5 x 3.0 inches),Air,4-speed,3-19 ,3-19 ,Spoked,126.0 kg (277.8 pounds),0.0833 HP/kg,1000 mm (39.4 inches),2000 mm (78.7 inches),760 mm (29.9 inches),1285 mm (50.6 inches),Kick,Open double steel,11.50 litres (3.04 US gallons),,,,,Battery-Bosch,,,,,,,,,,,,,,
