Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Top speed,Valves per cylinder,Cooling system,Gearbox,Transmission type,Front brakes,Dry weight,Power/weight ratio,Seat height,Starter,Rear brakes,Compression,Bore x stroke,Fuel system,Fuel control,Ignition,Fuel consumption,Greenhouse gases,Front suspension,Rear suspension,Front tire,Rear tire,Diameter,"Weight incl. oil, gas, etc",Overall length,Ground clearance,Wheelbase,Fuel capacity,Color options,Frame type,Oil capacity,Engine oil,Brake fluid,Coolant,Spark plugs,Idle speed,Tire pressure front,Tire pressure rear,Fork tube size,0-100 km/h (0-62 mph),1/4 mile (0.4 km),Front wheel travel,Reserve fuel capacity,Comments,Exhaust system,Rear wheel travel,Chain links,Sprockets,Lubrication system,Clutch,Overall height,Overall width,Max RPM,Rake (fork angle),Trail,Engine details,Modifications compared to previous model,Alternate seat height,Electrical,Battery,Oil filter,Belt teeth,Belt width,Pulley teeth,Light
Yamaha XVS 650 Drag Star,1997,Custom / cruiser," 3.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",649.0 ccm (39.60 cubic inches),"V2, four-stroke",40.0 HP (29.2  kW)),50.0 Nm (5.1 kgf-m or 36.9 ft.lbs),155.0 km/h (96.3 mph),2,Air,5-speed,Shaft drive (cardan)   (final drive),Single disc,214.0 kg (471.8 pounds),0.1869 HP/kg,"695 mm (27.4 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 600 Monster,1997,Naked bike," 3.7  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",583.0 ccm (35.57 cubic inches),"V2, four-stroke",52.0 HP (38.0  kW)),48.0 Nm (4.9 kgf-m or 35.4 ft.lbs) @ 7000 RPM,180.0 km/h (111.8 mph),2,Air,5-speed,Chain   (final drive),Single disc,174.0 kg (383.6 pounds),0.2989 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",Electric,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bimota Supermono,1997,Sport," 3.1  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",652.0 ccm (39.79 cubic inches),"Single cylinder, four-stroke",48.0 HP (35.0  kW)) @ 6500 RPM,59.0 Nm (6.0 kgf-m or 43.5 ft.lbs) @ 6000 RPM,200.0 km/h (124.3 mph),4,Liquid,5-speed,Chain   (final drive),Single disc,145.0 kg (319.7 pounds),0.3310 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CMX 250 Rebel,1997,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",234.0 ccm (14.28 cubic inches),"Twin, four-stroke",18.5 HP (13.5  kW)) @ 8250 RPM,19.0 Nm (1.9 kgf-m or 14.0 ft.lbs) @ 5500 RPM,,,Air,5-speed,Chain   (final drive),Single disc,141.0 kg (310.9 pounds),0.1312 HP/kg,"675 mm (26.6 inches) If adjustable, lowest setting.",,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husaberg FE 400 E,1997,Enduro / offroad," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",399.0 ccm (24.35 cubic inches),"Single cylinder, four-stroke",41.0 HP (29.9  kW)) @ 9000 RPM,,,,Liquid,6-speed,Chain   (final drive),Single disc,109.0 kg (240.3 pounds),0.3761 HP/kg,"950 mm (37.4 inches) If adjustable, lowest setting.",,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX-R 600,1997,Sport," 3.8  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",600.0 ccm (36.61 cubic inches),"In-line four, four-stroke",103.0 HP (75.2  kW)) @ 12000 RPM,67.0 Nm (6.8 kgf-m or 49.4 ft.lbs) @ 10000 RPM,250.0 km/h (155.3 mph),4,Liquid,6-speed,Chain   (final drive),Dual disc,181.0 kg (399.0 pounds),0.5691 HP/kg,"830 mm (32.7 inches) If adjustable, lowest setting.",Electric,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki VS 800 GL Intruder,1997,Custom / cruiser," 3.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",805.0 ccm (49.12 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 6500 RPM,62.0 Nm (6.3 kgf-m or 45.7 ft.lbs) @ 4000 RPM,160.0 km/h (99.4 mph),4,Liquid,5-speed,Shaft drive (cardan)   (final drive),Single disc. Two-piston calipers. ,204.0 kg (449.7 pounds),0.2451 HP/kg,"700 mm (27.6 inches) If adjustable, lowest setting.",Electric,Single disc,10.0:1,83.0 x 74.4 mm (3.3 x 2.9 inches),Carburettor. 2 x Mikuni BDS36,Single Overhead Cams (SOHC),Digital transistorized,5.90 litres/100 km (16.9 km/l or 39.87 mpg),136.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,"Telescopic fork, coil spring, oil damped ","Swingarm, oil damped, 5-way adjustable spring preload",80/90-19 ,140/90-15 ,310 mm (12.2 inches),212.0 kg (467.4 pounds),2256 mm (88.8 inches),125 mm (4.9 inches),1560 mm (61.4 inches),12.00 litres (3.17 US gallons),"Black, Red",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Sportster 1200 Sport,1997,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1199.0 ccm (73.16 cubic inches),"V2, four-stroke",58.0 HP (42.3  kW)) @ 5200 RPM,89.0 Nm (9.1 kgf-m or 65.6 ft.lbs) @ 3500 RPM,160.0 km/h (99.4 mph),2,Air,5-speed,Belt   (final drive),Dual disc,226.0 kg (498.2 pounds),0.2566 HP/kg,"734 mm (28.9 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 900 Monster,1997,Naked bike," 3.5  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",904.0 ccm (55.16 cubic inches),"V2, four-stroke",75.0 HP (54.7  kW)) @ 7000 RPM,83.0 Nm (8.5 kgf-m or 61.2 ft.lbs) @ 6400 RPM,195.0 km/h (121.2 mph),2,Air,6-speed,Chain   (final drive),Dual disc,184.0 kg (405.7 pounds),0.4076 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",Electric,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa Chopper 125,1997,Custom / cruiser," 3.2  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",13.0 HP (9.5  kW)),,,,Air,5-speed,Chain   (final drive),Single disc,122.0 kg (269.0 pounds),0.1066 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki ZZR 600,1997,Sport touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 11500 RPM,66.0 Nm (6.7 kgf-m or 48.7 ft.lbs) @ 9000 RPM,240.0 km/h (149.1 mph),4,Liquid,6-speed,Chain   (final drive),Dual disc,195.0 kg (429.9 pounds),0.5128 HP/kg,"780 mm (30.7 inches) If adjustable, lowest setting.",Electric,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MZ Fun 300,1997,Allround," 3.2  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",291.0 ccm (17.76 cubic inches),"Single cylinder, two-stroke",23.0 HP (16.8  kW)) @ 5500 RPM,30.0 Nm (3.1 kgf-m or 22.1 ft.lbs) @ 5200 RPM,135.0 km/h (83.9 mph),,Air,5-speed,Chain   (final drive),Single disc,129.0 kg (284.4 pounds),0.1783 HP/kg,"820 mm (32.3 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daelim VS 125 Advance,1997,Custom / cruiser," 3.2  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",11.0 HP (8.0  kW)) @ 9000 RPM,,,,,5-speed,Chain   (final drive),Single disc,130.0 kg (286.6 pounds),0.0846 HP/kg,"725 mm (28.5 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Fat Boy,1997,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1338.0 ccm (81.64 cubic inches),"V2, four-stroke",55.0 HP (40.1  kW)) @ 5000 RPM,97.0 Nm (9.9 kgf-m or 71.5 ft.lbs) @ 2350 RPM,155.0 km/h (96.3 mph),2,Air,5-speed,Belt   (final drive),,284.0 kg (626.1 pounds),0.1937 HP/kg,"654 mm (25.7 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GN 250,1997,Naked bike," 3.1  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",246.0 ccm (15.01 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)) @ 8200 RPM,16.0 Nm (1.6 kgf-m or 11.8 ft.lbs) @ 4000 RPM,,,Air,5-speed,Chain   (final drive),Single disc,130.0 kg (286.6 pounds),0.1308 HP/kg,"740 mm (29.1 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda ST 1100 Pan-European STD,1997,Touring," 3.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1084.0 ccm (66.15 cubic inches),"V4, four-stroke",100.0 HP (73.0  kW)),113.0 Nm (11.5 kgf-m or 83.3 ft.lbs),220.0 km/h (136.7 mph),4,Liquid,5-speed,Shaft drive (cardan)   (final drive),,287.0 kg (632.7 pounds),0.3484 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",Electric,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enfield 650 Super Bullet,1997,Classic," 2.9  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",624.0 ccm (38.08 cubic inches),"Single cylinder, four-stroke",30.0 HP (21.9  kW)) @ 5500 RPM,50.0 Nm (5.1 kgf-m or 36.9 ft.lbs) @ 3000 RPM,,,Air,4-speed,Chain   (final drive),Expanding brake,175.0 kg (385.8 pounds),0.1714 HP/kg,"760 mm (29.9 inches) If adjustable, lowest setting.",,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda GL 1500 Gold Wing SE,1997,Touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1520.0 ccm (92.75 cubic inches),"Six cylinder boxer, four-stroke",100.0 HP (73.0  kW)),153.0 Nm (15.6 kgf-m or 112.9 ft.lbs),190.0 km/h (118.1 mph),2,Liquid,5-speed,Shaft drive (cardan)   (final drive),Double disc. Two-piston calipers. ,372.0 kg (820.1 pounds),0.2688 HP/kg,"765 mm (30.1 inches) If adjustable, lowest setting.",Electric,Single disc. Two-piston calipers. ,9.8:1,71.0 x 64.0 mm (2.8 x 2.5 inches),Carburettor. 2 x 36 mm Keihin CV,Single Overhead Cams (SOHC),,7.50 litres/100 km (13.3 km/l or 31.36 mpg),174.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,Air adjustable telescopic forks,Pro-link air adjustable,130/70-18 ,160/80-16 ,316 mm (12.4 inches),394.0 kg (868.6 pounds),,,,23.00 litres (6.08 US gallons),"Red, white, silver, black",Tubular steel cradle,3.70 litres (3.91 US quarts),SAE 10W-40,DOT 4,4.00 litres (1.06 US gallons),"NGK DPR7EA-9, NGK DPR7EIX-9",800  +/- 100  RPM,33 PSI (2.3 Bar or 225 kPa),36 PSI (2.5 Bar or 250 kPa),41 mm (1.6 inches),,,,,,,,,,,,,,,,,,,,,,,,,,
Laverda 750 S,1997,Sport," 3.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",747.0 ccm (45.58 cubic inches),"Twin, four-stroke",92.0 HP (67.2  kW)),,,4,Air,6-speed,Chain   (final drive),,,,,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki AN 125,1997,Scooter," 3.7  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",10.0 HP (7.3  kW)) @ 8000 RPM,10.0 Nm (1.0 kgf-m or 7.4 ft.lbs),,,Air,,,,99.0 kg (218.3 pounds),0.1010 HP/kg,"765 mm (30.1 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XJR 1200 SP,1997,Naked bike," 3.4  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1188.0 ccm (72.49 cubic inches),"In-line four, four-stroke",98.0 HP (71.5  kW)) @ 8000 RPM,92.0 Nm (9.4 kgf-m or 67.9 ft.lbs) @ 6000 RPM,220.0 km/h (136.7 mph),4,Air,5-speed,Chain   (final drive),Dual disc,233.0 kg (513.7 pounds),0.4206 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",Electric,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Ninja 100RR,1997,Sport," 3.5  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",100.0 ccm (6.10 cubic inches),"Single cylinder, two-stroke",22.0 HP (16.1  kW)) @ 10000 RPM,17.9 Nm (1.8 kgf-m or 13.2 ft.lbs) @ 9000 RPM,160.0 km/h (99.4 mph),,Liquid,6-speed,Chain   (final drive),Single disc. 2 piston calipers,128.0 kg (282.2 pounds),0.1719 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",Kick,Expanding brake (drum brake),12.0:1,,Carburettor. Mikuni 20 mm,Rotary valves,,5.00 litres/100 km (20.0 km/l or 47.04 mpg),116.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,Telescopic fork,Monoshock adjustable,80/80-17 ,100/90-18 ,,,,,,8.50 litres (2.25 US gallons),"Red/white, green/white, blue metallic",,,,,,,,,,,7.00 seconds,15.50 seconds,110 mm (4.3 inches),1.50 litres (0.40 US gallons),It´s a really fast bike for the size of his engine,,,,,,,,,,,,,,,,,,,,,
Honda F6C Valkyrie,1997,Custom / cruiser," 3.9  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1520.0 ccm (92.75 cubic inches),"Six cylinder boxer, four-stroke",100.0 HP (73.0  kW)),133.0 Nm (13.6 kgf-m or 98.1 ft.lbs),,2,Liquid,5-speed,Shaft drive (cardan)   (final drive),,309.0 kg (681.2 pounds),0.3236 HP/kg,"740 mm (29.1 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VF 750 C,1997,Custom / cruiser," 3.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"V4, four-stroke",88.0 HP (64.2  kW)),72.0 Nm (7.3 kgf-m or 53.1 ft.lbs),200.0 km/h (124.3 mph),4,Liquid,5-speed,Chain   (final drive),Single disc,229.0 kg (504.9 pounds),0.3843 HP/kg,"710 mm (28.0 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Softail Heritage Springer,1997,Custom / cruiser," 3.0  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1338.0 ccm (81.64 cubic inches),"V2, four-stroke",55.0 HP (40.1  kW)) @ 5000 RPM,91.0 Nm (9.3 kgf-m or 67.1 ft.lbs) @ 2000 RPM,155.0 km/h (96.3 mph),2,Air,5-speed,Belt   (final drive),Single disc,311.0 kg (685.6 pounds),0.1768 HP/kg,"654 mm (25.7 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cagiva River 600,1997,Naked bike," 2.7  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",601.0 ccm (36.67 cubic inches),"Single cylinder, four-stroke",44.0 HP (32.1  kW)),45.0 Nm (4.6 kgf-m or 33.2 ft.lbs),,,,5-speed,,Single disc,160.0 kg (352.7 pounds),0.2750 HP/kg,"810 mm (31.9 inches) If adjustable, lowest setting.",,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VFR 750 F,1997,Sport touring," 3.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",748.0 ccm (45.64 cubic inches),"V4, four-stroke",105.0 HP (76.6  kW)),74.0 Nm (7.5 kgf-m or 54.6 ft.lbs),240.0 km/h (149.1 mph),4,Liquid,6-speed,Chain   (final drive),Dual disc,209.0 kg (460.8 pounds),0.5024 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",Electric,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha TT 600 E,1997,Enduro / offroad," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",595.0 ccm (36.31 cubic inches),"Single cylinder, four-stroke",41.0 HP (29.9  kW)) @ 6500 RPM,48.0 Nm (4.9 kgf-m or 35.4 ft.lbs) @ 5000 RPM,,,Air,5-speed,Chain   (final drive),Single disc,160.0 kg (352.7 pounds),0.2563 HP/kg,"890 mm (35.0 inches) If adjustable, lowest setting.",,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda X4,1997,Custom / cruiser," 3.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1300.0 ccm (79.33 cubic inches),"In-line four, two-stroke",,,190.0 km/h (118.1 mph),,Liquid,4-speed,Belt   (final drive),Double disc,,,,,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,double stainless steel pipes,,,,,,,,,,,,,,,,,,,,
Kawasaki ZX-7RR Ninja,1997,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"In-line four, four-stroke",122.0 HP (89.1  kW)) @ 12000 RPM,80.0 Nm (8.2 kgf-m or 59.0 ft.lbs) @ 9300 RPM,270.0 km/h (167.8 mph),4,Liquid,6-speed,Chain   (final drive),,200.0 kg (440.9 pounds),0.6100 HP/kg,"805 mm (31.7 inches) If adjustable, lowest setting.",Electric,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buell S3 Thunderbolt,1997,Naked bike," 3.4  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1203.0 ccm (73.41 cubic inches),"V2, four-stroke",86.0 HP (62.8  kW)),107.0 Nm (10.9 kgf-m or 78.9 ft.lbs),210.0 km/h (130.5 mph),2,Air,5-speed,Belt   (final drive),Single disc,211.0 kg (465.2 pounds),0.4076 HP/kg,"749 mm (29.5 inches) If adjustable, lowest setting.",Electric,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
