Model,Year,Category,Rating,Displacement,Engine type,Power,Fuel system,Fuel control,Cooling system,Gearbox,Transmission type,Driveline,Frame type,Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Wheels,Seat height,Overall height,Overall length,Overall width,Ground clearance,Wheelbase,Fuel capacity,Color options,Starter,Electrical,Carrying capacity,Comments,Top speed,Clutch,Fuel consumption,Greenhouse gases,Instruments,Factory warranty,Engine details,Compression,Bore x stroke,Valves per cylinder,Ignition,Lubrication system,Exhaust system,Front wheel travel,Rear wheel travel,Dry weight,Torque,Power/weight ratio,Oil capacity,"Weight incl. oil, gas, etc",Rake (fork angle),Trail,Light,Reserve fuel capacity,Seat,Emission details,Modifications compared to previous model,Front percentage of weight,Max RPM,Alternate seat height,0-100 km/h (0-62 mph),Engine oil,Oil filter,Brake fluid,Battery,Spark plugs,Idle speed,Tire pressure front,Tire pressure rear,Fork tube size,Rear percentage of weight,Chain size,Chain links,Sprockets,Coolant,1/4 mile (0.4 km)
Derbi Mulhacen 659,2011,Naked bike," 3.1  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",659.7 ccm (40.25 cubic inches),"Single cylinder, four-stroke",,"Injection. Nippondenso electronic injection with second air system,44mm throttle valve.",,Liquid,5-speed,,"Gear assembly primary, chain final",,Upside-down fork.,Hydraulic  progressive linkage monoshock.,110/80-18 ,150/70-18 ,Single disc. Radial mounted caliper,245 mm (9.6 inches),Single disc,,"810 mm (31.9 inches) If adjustable, lowest setting.",,2120 mm (83.5 inches),,,1386 mm (54.6 inches),13.00 litres (3.43 US gallons),White/red,,,,Spanish made bike.,,Multi-plate,,,,,,10.0:1,100.0 x 84.0 mm (3.9 x 3.3 inches),4,Electronic CDI,Dry sump,,120 mm (4.7 inches),120 mm (4.7 inches),165.0 kg (363.8 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha Grizzly 350,2011,ATV," 3.1  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",348.0 ccm (21.23 cubic inches),"Single cylinder, four-stroke",,Carburettor. BSR33/1,Single Overhead Cams (SOHC),Air,,Shaft drive (cardan)   (final drive),"2WD/4WD. Ultramatic® V-belt with front- and rear wheel engine braking, F/N/R.",,"Independent double wishbone, 5 position preload adjustment, 160 mm stroke","Swingarm, 5 position preload adjustment, 180 mm stroke",25/8-12 ,25/10-12 ,Double disc,,Expanding brake (drum brake),,"827 mm (32.6 inches) If adjustable, lowest setting.",1120 mm (44.1 inches),1984 mm (78.1 inches),1085 mm (42.7 inches),180 mm (7.1 inches),1233 mm (48.5 inches),13.50 litres (3.57 US gallons),Red,Electric,,Front rack: 40 kg. Rear rack:	80 kg.,,,,,,,,,9.2:1,83.0 x 64.5 mm (3.3 x 2.5 inches),4,DC-CDI,Wet sump,,,,,,,3.10 litres (3.28 US quarts),,,,,,,,,,,,,,,,,,,,,,,,,,,
Benelli TNT 1130 Titanium,2011,Naked bike," 2.9  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1131.0 ccm (69.01 cubic inches),"In-line three, four-stroke",140.8 HP (102.8  kW)) @ 9250 RPM,Injection,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),"Straight toothed primary gear, chain final","Decomposable, front ASD steel trellis, rear alluminium alloy casting",Marzocchi upside down fork totally adjustable Ø 50 mm,ASD steel tube trellis swingarm with totally adjustable                            shock absorber,120/70-;17 ,180/55-;17 ,"Single disc. Bremo, floating disk",220 mm (8.7 inches),Single disc. Bremo,Marchesini forged aluminium,"780 mm (30.7 inches) If adjustable, lowest setting.",,2100 mm (82.7 inches),790 mm (31.1 inches),,1419 mm (55.9 inches),17.00 litres (4.49 US gallons),Titanium/red/black,Electric,,,,,Dry clutch,,,,,Cylinders tilted forward 15 degrees. Anti-vibration countershafts ,,88.0 x 62.0 mm (3.5 x 2.4 inches),4,,Wet sump,,120 mm (4.7 inches),120 mm (4.7 inches),193.0 kg (425.5 pounds),122.0 Nm (12.4 kgf-m or 90.0 ft.lbs) @ 6750 RPM,0.7296 HP/kg,,,24.0°,95 mm (3.7 inches),,4.00 litres (1.06 US gallons),,,,,,,,,,,,,,,,,,,,,,
Yamaha X-City 125,2011,Scooter," 3.2  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",124.7 ccm (7.61 cubic inches),"Single cylinder, four-stroke",14.4 HP (10.5  kW)) @ 6750 RPM,Injection,,Liquid,Automatic,Belt   (final drive),,,Telescopic fork,Unit Swing,120/70-16 ,140/70-15 ,Single disc,240 mm (9.4 inches),Single disc,,"790 mm (31.1 inches) If adjustable, lowest setting.",1430 mm (56.3 inches),2175 mm (85.6 inches),785 mm (30.9 inches),165 mm (6.5 inches),1455 mm (57.3 inches),10.50 litres (2.77 US gallons),Competition white,Electric,,,,,,,,,,,11.2:1,52.0 x 58.6 mm (2.0 x 2.3 inches),,TCI,Wet sump,,100 mm (3.9 inches),,,11.7 Nm (1.2 kgf-m or 8.6 ft.lbs) @ 8750 RPM,,,167.0 kg (368.2 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,
TVS XL HD,2011,Scooter," 3.2  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",69.9 ccm (4.27 cubic inches),"Single cylinder, two-stroke",3.5 HP (2.6  kW)) @ 5000 RPM,Carburettor,,,Automatic,Belt   (final drive),,,Telescopic spring fork,Hydraulic swing arm shock absorber,2.50-16 ,2.50-16 ,Expanding brake (drum brake),110 mm (4.3 inches),Expanding brake (drum brake),,,,,,,1222 mm (48.1 inches),4.00 litres (1.06 US gallons),Blue/red/silver,,,,Made in India.,,Centrifugal Wire Type,,,,,,,46.0 x 42.0 mm (1.8 x 1.7 inches),,Fly Wheel Magnese 12V x 50W Electronic Ignition,,,,,,5.0 Nm (0.5 kgf-m or 3.7 ft.lbs) @ 3750 RPM,,,75.0 kg (165.3 pounds),,,12V. 35/35W,1.00 litres (0.26 US gallons),Double seat,,,,,,,,,,,,,,,,,,,,,
Ultra Motor Magic,2011,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,,Electric,0.3 HP (0.2  kW)),,,,Automatic,,,,,,,,Expanding brake (drum brake),,Expanding brake (drum brake),,,1100 mm (43.3 inches),1760 mm (69.3 inches),690 mm (27.2 inches),,,,Red,Electric,"48 Volt, 20 Ah battery.",Max pay load 120 kg,Range 65-750 km per charge. Sold in India.,25.0 km/h (15.5 mph),,,,,,BLDC motor,,,,,,,,,79.0 kg (174.2 pounds),,0.0043 HP/kg,,,,,,,2-person seat,,,,,,,,,,,,,,,,,,,,,
Yamaha XJR 1300,2011,Naked bike," 3.4  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1251.0 ccm (76.34 cubic inches),"In-line four, four-stroke",98.0 HP (71.5  kW)) @ 8000 RPM,Injection. EFI,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),"Constant Mesh, 5-speed",Steel double cradle,Telescopic forks,Swingarm,120/70-ZR17 ,180/55-ZR17 ,Double disc,267 mm (10.5 inches),Single disc,Three-spoke alloy wheels,"795 mm (31.3 inches) If adjustable, lowest setting.",1115 mm (43.9 inches),2175 mm (85.6 inches),765 mm (30.1 inches),125 mm (4.9 inches),,21.00 litres (5.55 US gallons),,Electric,,,,,"Wet, multiple-disc coil spring",,,,,,9.7:1,79.0 x 63.8 mm (3.1 x 2.5 inches),4,TCI,Wet sump,,130 mm (5.1 inches),120 mm (4.7 inches),222.0 kg (489.4 pounds),108.4 Nm (11.1 kgf-m or 80.0 ft.lbs) @ 6000 RPM,0.4414 HP/kg,4.20 litres (4.44 US quarts),245.0 kg (540.1 pounds),,100 mm (3.9 inches),,,,,,,,,,,,,,,,,,,,,,,,
Ducati Superbike 848 Evo,2011,Sport," 3.2  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",849.4 ccm (51.83 cubic inches),"V2, four-stroke",140.0 HP (102.2  kW)) @ 10500 RPM,"Injection. Marelli electronic fuel injection,  elliptical throttle bodies",Desmodromic valve control,Liquid,6-speed,Chain   (final drive),Chain; Front sprocket 15; Rear sprocket 39,Tubular steel Trellis frame in ALS 450,Showa 43mmfully adjustable usd forks,Progressive linkage with fully adjustable Showa monoshock. Aluminium single-sided swingarm,120/70-17 ,180/55-17 ,"Double disc. Semi-floating discs, radially mounted Brembo Monobloc 4-piston callipers ",245 mm (9.6 inches),Single disc. 2-piston calliper ,,"830 mm (32.7 inches) If adjustable, lowest setting.",,,,,1430 mm (56.3 inches),15.50 litres (4.10 US gallons),"Red (red/black, Dark Stealth (racing black/black)",Electric,,,,,Wet multiplate with hydraulic control,,,,2 years unlimited mileage,,13.2:1,94.0 x 61.2 mm (3.7 x 2.4 inches),,,,Lightweight 2-1-2 system with catalytic converter and 2 lambda probes. Twin stainless steel mufflers,127 mm (5.0 inches),120 mm (4.7 inches),168.0 kg (370.4 pounds),98.0 Nm (10.0 kgf-m or 72.3 ft.lbs) @ 9750 RPM,0.8333 HP/kg,,,24.5°,,,,,Euro 3,,,,,,,,,,,,,,,,,,,,
Aprilia SR 50 R,2011,Scooter," 3.0  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",,Carburettor,,Liquid,Automatic,Belt   (final drive),,Split single cradle frame in high tensile strength steel tube ,Hydraulic fork,Engine unit acting as swingarm,130/60-13 ,130/60-13 ,Single disc,190 mm (7.5 inches),Single disc,"Five spoke, light alloy wheels","820 mm (32.3 inches) If adjustable, lowest setting.",1120 mm (44.1 inches),1860 mm (73.2 inches),705 mm (27.8 inches),,1290 mm (50.8 inches),7.00 litres (1.85 US gallons),"Blue, white, black, yellow
",Electric,"Generator: Flywheel-magneto, 70 W – 12 V ",,,,Automatic centrifugal dry clutch,,,,,,12.1:1,40.0 x 39.3 mm (1.6 x 1.5 inches),,Capacitor discharge ignition,Separate mixing with mechanical oil pump,,90 mm (3.5 inches),70 mm (2.8 inches),199.0 kg (438.7 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hero Electric Optima Plus,2011,Scooter," 3.5  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",,Electric,0.3 HP (0.2  kW)),,,Air,,,,Steel,Conventional fork,Twin shocks,,,,,,16 inch wheels,,,,,,,,"Red, black",Electric,"48 Volt, 20 Ah battery.",,Range 70-100 km. 6-8 hours charging time. Sold in India.,25.0 km/h (15.5 mph),,,,,,,,,,,,,,,,,,,,,,,,2-person seat,None,,,,,,,,,,,,,,,,,,,,
Suzuki KingQuad 750AXi,2011,ATV," 3.6  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",722.0 ccm (44.06 cubic inches),"Single cylinder, four-stroke",,Injection. Suzuki Fuel injection,Double Overhead Cams/Twin Cam (DOHC),Liquid,Automatic,Shaft drive (cardan)   (final drive),"Automatic variable ratio (V-belt), with high-/low-range, and reverse",High-tensile steel frame with special attention given to a balance of rigidity and weight for optimum chassis performance and a comfortable ride.,"Independent, double A-Arm, coil spring, oil damped",Fully independent A-Arm and I-Beam rear suspension with five-way preload-adjustable shock absorbers,25/8-12 ,25/10-12 ,Double disc,,Double disc,,"880 mm (34.6 inches) If adjustable, lowest setting.",750 mm (29.5 inches),2115 mm (83.3 inches),1210 mm (47.6 inches),270 mm (10.6 inches),1280 mm (50.4 inches),17.50 litres (4.62 US gallons),"Champion Yellow, Great Blue, Black and White",Electric,,,Optional power steering and camo colours.,,,,,,12 month limited warranty.,,10.0:1,104.0 x 85.0 mm (4.1 x 3.3 inches),,Electronic ignition,Wet sump,,,,,,,,302.0 kg (665.8 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi V7 Racer,2011,Classic," 3.8  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",744.0 ccm (45.40 cubic inches),"V2, four-stroke",,Injection. Weber-Marelli,Overhead Cams (OHC),Air,5-speed,Shaft drive (cardan)   (final drive),"Helicoidal gears, ratio 16/21=1:1.3125. Final drive: Shaft drive, ratio 4.825.",ALS steel tubular dismountable twin cradle,Marzocchi forks,Oscillating light alloy swingarm with 2 pre-load adjustable shock absorbers.,110/90-18 ,130/80-17 ,Single disc. Bremo stainless steel disc 4 opposed calipers of differing diameters,260 mm (10.2 inches),Single disc. Bremo,,"805 mm (31.7 inches) If adjustable, lowest setting.",1115 mm (43.9 inches),2185 mm (86.0 inches),805 mm (31.7 inches),182 mm (7.2 inches),,17.00 litres (4.49 US gallons),Silver/red/white,Electric,,,,,Dry single plate with flexible couplings,,,,,V 90 twin,9.6:1,80.0 x 74.0 mm (3.1 x 2.9 inches),2,,By lobes with pressure pump,,130 mm (5.1 inches),118 mm (4.6 inches),182.0 kg (401.2 pounds),54.7 Nm (5.6 kgf-m or 40.3 ft.lbs) @ 3600 RPM,,,198.0 kg (436.5 pounds),27.5°,109 mm (4.3 inches),,2.50 litres (0.66 US gallons),,Three-way catalyzer with lambda probe.,,,,,,,,,,,,,,,,,,,,
Ducati Monster 696,2011,Naked bike," 3.5  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",696.0 ccm (42.47 cubic inches),"V2, four-stroke",78.9 HP (57.6  kW)) @ 9000 RPM,"Injection. Siemens electronic fuel injection, 45mm throttle body",Desmodromic valve control,Air,6-speed,Chain   (final drive),Chain; Front sprocket 15; Rear sprocket 45,Tubular steel Trellis frame,Marzocchi 43mm upside-down forks,Progressive linkage with preload and rebound Sachs adjustable monoshock,120/60-17 ,160/60-17 ,Double disc,245 mm (9.6 inches),Single disc,,"770 mm (30.3 inches) If adjustable, lowest setting.",,,,,1450 mm (57.1 inches),15.00 litres (3.96 US gallons),"Red (red/black), Dark stealth (matt black/black), Stone white (matt black/black), Monster Art colours (matt black/black) ",Electric,,,,,APTC wet multiplate with hydraulic control,,,Digital unit displaying,2 years unlimited mileage,,10.7:1,88.0 x 57.2 mm (3.5 x 2.3 inches),,,,2 aluminum mufflers,120 mm (4.7 inches),148 mm (5.8 inches),,50.6 Nm (5.2 kgf-m or 37.3 ft.lbs),,,,24.0°,,,,,Follows the US Federal Regulation,,,,,,,,,,,,,,,,,,,,
Honda VTX1800F,2011,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1795.0 ccm (109.53 cubic inches),"V2, four-stroke",,Injection. PGM-FI with automatic choke,Single Overhead Cams (SOHC),Liquid,5-speed,Shaft drive (cardan)   (final drive),,,45mm inverted fork,Dual shocks with five-position spring preload adjustability,130/70-R18 ,180/55-R18 ,Double disc,316 mm (12.4 inches),Single disc,,"701 mm (27.6 inches) If adjustable, lowest setting.",,,,,1669 mm (65.7 inches),18.17 litres (4.80 US gallons),"Black, Candy Red Tribal",Electric,,,Model ID: VTX1800F1,,,,,,,52° V-twin,9.0:1,101.0 x 112.0 mm (4.0 x 4.4 inches),3,"Digital, two spark plugs per cylinder",,,109 mm (4.3 inches),99 mm (3.9 inches),,,,,351.1 kg (774.0 pounds),31.5°,144 mm (5.7 inches),,,,Meets current California Air Resources Board (CARB) and EPA standards,,,,,,,,,,,,,,,,,,,,
