Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Compression,Bore x stroke,Fuel system,Fuel control,Ignition,Cooling system,Gearbox,Transmission type,Frame type,Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,"Weight incl. oil, gas, etc",Seat height,Overall height,Overall length,Overall width,Ground clearance,Wheelbase,Fuel capacity,Reserve fuel capacity,Color options,Starter,Clutch,Dry weight,Comments,Fuel consumption,Greenhouse gases,Power/weight ratio,Lubrication system,Exhaust system,Top speed,Valves per cylinder,Front wheel travel,Rear wheel travel,Rake (fork angle),Trail,0-100 km/h (0-62 mph),Alternate seat height,Oil capacity,Engine details,Driveline,Wheels,Seat,Modifications compared to previous model,Max RPM,Front percentage of weight,Electrical,Engine oil,Oil filter,Brake fluid,Coolant,Battery,Spark plugs,Idle speed,Chain size,Chain links,Sprockets,Rear percentage of weight,Emission details,Factory warranty,Tire pressure front,Tire pressure rear,Fork tube size
Husaberg FX 450,2010,Enduro / offroad," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",449.0 ccm (27.40 cubic inches),"Single cylinder, four-stroke",,,11.8:1,96.0 x 63.5 mm (3.8 x 2.5 inches),Injection. Keihin EFI,Overhead Cams (OHC),Kokusan digital,Liquid,6-speed,,Double cradle perimeter design 25CrMo4. Cross-linked Polyethylene subframe.,WP-USD Ø 48 mm,WP-PDS shock absorber,80/100-21 ,110/90-19 ,Single disc,220 mm (8.7 inches),Single disc,121.0 kg (266.8 pounds),"985 mm (38.8 inches) If adjustable, lowest setting.",,,,390 mm (15.4 inches),1475 mm (58.1 inches),8.50 litres (2.25 US gallons),,Blue/yellow,Electric,"Wet multi-disc clutch, operated hydraulically",112.5 kg (248.0 pounds),Swedish brand,,,,,"2-into-1, twin manifold/nickel-plated, aluminium rear muffler",,4,,,26.5°,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boss Hoss BHC-3 LS3 SS,2010,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,6200.0 ccm (378.32 cubic inches),"V8, four-stroke",445.0 HP (324.8  kW)) @ 5750 RPM,603.4 Nm (61.5 kgf-m or 445.1 ft.lbs) @ 4750 RPM,10.7:1,,Injection. Mulit-port,Double Overhead Cams/Twin Cam (DOHC),,Liquid,,Belt   (final drive),,"Inverted forks, 63 mm, adjustable preload,","Dual 13.0 inch coilover shocks, adjustable preload",130/90-16 ,230/60-15 ,Double disc. Dual 4-piston caliper,320 mm (12.6 inches),Single disc. 4-piston caliper,,,,2616 mm (103.0 inches),,,,32.17 litres (8.50 US gallons),,Red/white,,,"680.4 kg (1,500.0 pounds)",,,,0.6540 HP/kg,,2.5 inch with dual mufflers,,4,,,33.0°,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kymco Super 8 150,2010,Scooter," 3.4  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",149.7 ccm (9.13 cubic inches),"Single cylinder, four-stroke",,,8.0:1,57.4 x 57.8 mm (2.3 x 2.3 inches),Carburettor,Single Overhead Cams (SOHC),,Air,Automatic,Belt   (final drive),Steel,Telescopic forks,Dual shocks,70/90-17 ,80/90-17 ,Single disc,,Expanding brake (drum brake),,"787 mm (31.0 inches) If adjustable, lowest setting.",,,,,,5.00 litres (1.32 US gallons),,"Red/Black, Yellow/Blue, Green/Black",Electric & kick,"Wet, multiplate",117.0 kg (258.0 pounds),,3.14 litres/100 km (31.8 km/l or 74.91 mpg),72.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,80 mm (3.1 inches),25 mm (1.0 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Bear Choppers Sled ProStreet 100 Smooth Carb,2010,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1638.8 ccm (100.00 cubic inches),"V2, four-stroke",95.0 HP (69.3  kW)),149.2 Nm (15.2 kgf-m or 110.0 ft.lbs),,,Carburettor,,,Liquid,6-speed,Chain   (final drive),Softail,BBC Smooth Mount Hidden Axle,Progressive,90/80-21 ,300/80-18 ,Single disc. P.M. 4-piston calipers,,Single disc. BBC P.M. 4-piston caliper BrakeDrive system,,"508 mm (20.0 inches) If adjustable, lowest setting.",,2870 mm (113.0 inches),,,2184 mm (86.0 inches),15.14 litres (4.00 US gallons),,"Gross Black, satin black, charcoal, silver, black cherry, candy red, firecracker red, orange, blue, white.",Electric,,316.6 kg (698.0 pounds),6-Speed Right-Side Drive Polished TransMision. Model also called BBC Sled ProStreet 100 SMOOTH™ Carb Evolution. Various wheel options.,,,0.3001 HP/kg,,,,,,76 mm (3.0 inches),40.0°,95 mm (3.8 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,
TGB 101R 50,2010,Scooter," 3.1  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",47.9 HP (35.0  kW)),,7.8:1,41.0 x 37.4 mm (1.6 x 1.5 inches),Carburettor. Mikuni 13 mm,,CDI,Air,Automatic,Belt   (final drive),,Inverted Hydraulic Shocks,Mono Coil Over Shock,120/70-12 ,120/70-12 ,Single disc,,Expanding brake (drum brake),,"790 mm (31.1 inches) If adjustable, lowest setting.",1137 mm (44.8 inches),1780 mm (70.1 inches),650 mm (25.6 inches),,,5.10 litres (1.35 US gallons),,"Blue, black, red",Electric & kick,,81.0 kg (178.6 pounds),,,,0.5914 HP/kg, PUMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa-CZ 125 Sport,2010,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",12.6 HP (9.2  kW)) @ 8200 RPM,,9.0:1,56.5 x 49.5 mm (2.2 x 1.9 inches),,,,Air,5-speed,,,Telescopic forks,Central unit,2.75-19 ,3.50-16 ,Single disc. Hydraulic,180 mm (7.1 inches),Single disc. Hydraulic,,"830 mm (32.7 inches) If adjustable, lowest setting.",,,,,1350 mm (53.1 inches),6.50 litres (1.72 US gallons),1.20 litres (0.32 US gallons),"Blue/silver, red/white",Electric & kick,,99.0 kg (218.3 pounds),Jawa bikes are made in the Czech Republic,,,0.1273 HP/kg,,,108.0 km/h (67.1 mph),,170 mm (6.7 inches),150 mm (5.9 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Bayou 250,2010,ATV,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,228.0 ccm (13.91 cubic inches),"Single cylinder, four-stroke",,,8.9:1,69.0 x 61.0 mm (2.7 x 2.4 inches),Carburettor. Single 24mm Mikuni VM24SS,,Solid state with electronic ignition backup,Air,5-speed,Shaft drive (cardan)   (final drive),"Double cradle, steel","Single A-arm, independent / 4.5 in.",Semi-independent Quad-Link with dual shocks / 4.9 in.,21/8-9 ,22/10-10 ,Expanding brake (drum brake),,Expanding brake (drum brake),194.0 kg (427.8 pounds),"729 mm (28.7 inches) If adjustable, lowest setting.",,1781 mm (70.1 inches),1021 mm (40.2 inches),191 mm (7.5 inches),1115 mm (43.9 inches),9.84 litres (2.60 US gallons),,"Smoky Blue, Dark Royal Red",Electric,,,Five-speed-plus reverse with automatic clutch.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pagsta Eagle 150,2010,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,150.0 ccm (9.15 cubic inches),"Single cylinder, four-stroke",9.7 HP (7.1  kW)) @ 7500 RPM,10.5 Nm (1.1 kgf-m or 7.7 ft.lbs) @ 6500 RPM,10.5:1,57.4 x 57.8 mm (2.3 x 2.3 inches),,,"CDI, electric",Air,Automatic,Belt   (final drive),,,,130/60-13 ,130/60-13 ,Single disc,155 mm (6.1 inches),Expanding brake (drum brake),,"760 mm (29.9 inches) If adjustable, lowest setting.",1160 mm (45.7 inches),1960 mm (77.2 inches),715 mm (28.1 inches),80 mm (3.1 inches),1365 mm (53.7 inches),6.60 litres (1.74 US gallons),,"Red, blue, black",Electric & kick,,114.0 kg (251.3 pounds),,,,0.0847 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CBF125,2010,Allround," 2.9  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",124.7 ccm (7.61 cubic inches),"Single cylinder, four-stroke",11.1 HP (8.1  kW)) @ 8000 RPM,11.2 Nm (1.1 kgf-m or 8.3 ft.lbs) @ 6250 RPM,9.2:1,52.4 x 57.8 mm (2.1 x 2.3 inches),Injection. PGM-FI electronic fuel injection ,Overhead Cams (OHC),Computer controlled fully transistorised with electronic advance ,Air,5-speed,,,"30mm telescopic fork, 115mm axle travel ","Conventional twin shock, double tube damper with 3-step adjustable spring preload, 87mm axle travel ",80/0-M17 ,100/90-M17 ,Single disc,130 mm (5.1 inches),Expanding brake (drum brake),,"792 mm (31.2 inches) If adjustable, lowest setting.",1110 mm (43.7 inches),1955 mm (77.0 inches),760 mm (29.9 inches),173 mm (6.8 inches),1270 mm (50.0 inches),13.00 litres (3.43 US gallons),,"Red, black, white",Electric,,128.0 kg (282.2 pounds),,,,0.0870 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mission One,2010,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,,Electric,,135.6 Nm (13.8 kgf-m or 100.0 ft.lbs) @ 6500 RPM,,,,,,Liquid,1-speed,Chain   (final drive),,"Ohlins 43mm inverted fork; fully adjustable, 4.5-in travel","Ohlins Single shock w/piggyback reservoir; fully adjustable, 4.5-in travel",120/70-ZR17 ,190/55-ZR17 ,Double disc. Bremo,220 mm (8.7 inches),Single disc. Bremo,,,,,,,,,,White/gray/black/brown,Electric,,,"Battery Pack: High Energy Lithium-Ion w/ Integrated Thermal Management System. Range: 150 miles per charge (est.EPA)
Recharge Time: Under 2 Hours @ 240V (8 Hours @ Std 120V).",,,,,,241.4 km/h (150.0 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAS GAS EC 300 2TSix-Days,2010,Enduro / offroad," 3.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",299.0 ccm (18.24 cubic inches),"Single cylinder, two-stroke",,,,72.5 x 72.5 mm (2.9 x 2.9 inches),Carburettor,,Digital magnetic flywheel.,Liquid,6-speed,Chain   (final drive),,48 mm upside-down fork,Aluminium swingarm. Progressive system with shock absorbers,90/90-x21 ,140/80-x18 ,"Single disc. Galfer wave disc, double-piston caliper",220 mm (8.7 inches),"Single disc. Galfer wave disc, single-piston",113.0 kg (249.1 pounds),"945 mm (37.2 inches) If adjustable, lowest setting.",,,,,,,,Black/white/red/yellow,Kick,,102.0 kg (224.9 pounds),A special version of the EC300 made for the International Six Day Enduro race. Spanish made bike.,,,,2% oil mixture.,,,,295 mm (11.6 inches),310 mm (12.2 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Dog Ridgeback,2010,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1917.0 ccm (116.98 cubic inches),"V2, four-stroke",,,9.6:1,104.8 x 111.1 mm (4.1 x 4.4 inches),Carburettor,Overhead Valves (OHV),,Air,6-speed,Belt   (final drive),,41 mm telescopic,,MH90-21 ,330/30-R17 ,Single disc. 4-piston diff bore,,Single disc. 4-piston,,"616 mm (24.3 inches) If adjustable, lowest setting.",,2718 mm (107.0 inches),,114 mm (4.5 inches),2096 mm (82.5 inches),16.60 litres (4.39 US gallons),1.50 litres (0.40 US gallons),Red/black,,,308.0 kg (679.0 pounds),4´ Backbone Stretch. 8´ Down Tube Stretch. 42-Degree Total Rake.,,,,,,,,,,39.0°,,,,2.80 litres (2.96 US quarts),,,,,,,,,,,,,,,,,,,,,,,,
Suzuki Bandit 1250F ABS,2010,Naked bike," 4.1  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1255.0 ccm (76.58 cubic inches),"In-line four, four-stroke",,,10.5:1,79.0 x 64.0 mm (3.1 x 2.5 inches),Injection,Double Overhead Cams/Twin Cam (DOHC),,Oil & air,6-speed,,,"Telescopic, coil spring, oil damped","Link type, coil spring, oil damped",120/70-ZR17 ,180/55-ZR17 ,Double disc. ABS,240 mm (9.4 inches),Single disc. ABS,254.0 kg (560.0 pounds),"785 mm (30.9 inches) If adjustable, lowest setting.",805 mm (31.7 inches),2130 mm (83.9 inches),790 mm (31.1 inches),135 mm (5.3 inches),1485 mm (58.5 inches),19.00 litres (5.02 US gallons),,"Blue, balck",,,244.0 kg (537.9 pounds),"Idle Speed Control (ISC) system for improved cold starting, consistent idle control and reduced emissions.",,,,Wet sump,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Morini Corsaro Avio,2010,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1187.0 ccm (72.43 cubic inches),"V2, four-stroke",120.0 HP (87.6  kW)) @ 8500 RPM,102.0 Nm (10.4 kgf-m or 75.2 ft.lbs) @ 6700 RPM,12.5:1,107.0 x 66.0 mm (4.2 x 2.6 inches),Injection. Magneti Marelli,Double Overhead Cams/Twin Cam (DOHC),I.A.W.,Liquid,6-speed,Chain   (final drive),Verlicchi high-strength steel tube trellis,Marzocchi upside-down fully adjustable fork with 50 mm legs,"With progressive motion and single Sachs shock absorber adjustable in extension, compression and spring pre-charge",120/70-ZR17 ,180/55-ZR17 ,"Double disc. Bremo, 4-piston",220 mm (8.7 inches),Single disc. Bremo,,"830 mm (32.7 inches) If adjustable, lowest setting.",,2070 mm (81.5 inches),810 mm (31.9 inches),140 mm (5.5 inches),,18.00 litres (4.76 US gallons),4.00 litres (1.06 US gallons),"Silver/blue, black/red
                             
",,"Wet, multiple-plate",198.0 kg (436.5 pounds),,,,0.6061 HP/kg,,"Double silencer, 3-way catalytic converter and oxygen sensor. Euro 3.",,,129 mm (5.1 inches),130 mm (5.1 inches),24.5°,103 mm (4.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,
Rieju MX 50  ,2010,"Minibike, cross"," 3.0  See the detailed rating of the fun-factor, engine performance, racing track capabilities, etc. Compare with any other bike.",50.0 ccm (3.05 cubic inches),"Single cylinder, two-stroke",,,,39.0 x 41.8 mm (1.5 x 1.6 inches),Carburettor,,,Air,Automatic,Chain   (final drive),Double cradle steel tube,Hydraulic telescopic fork,Mono-shock ,2.50-15 ,3.00-12 ,Expanding brake (drum brake),,Expanding brake (drum brake),,"740 mm (29.1 inches) If adjustable, lowest setting.",995 mm (39.2 inches),1596 mm (62.8 inches),,,1100 mm (43.3 inches),2.50 litres (0.66 US gallons),,"Blue/yellow, red/yellow",Kick,,46.0 kg (101.4 pounds),"Intended for children 6-11 year, learning model.",,,,,Muffler with silencer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UM Xtreet 150,2010,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,149.5 ccm (9.12 cubic inches),"Single cylinder, four-stroke",,,9.2:1,62.0 x 49.5 mm (2.4 x 1.9 inches),Carburettor,Single Overhead Cams (SOHC),CDI,Air,5-speed,Chain   (final drive),,105mm Sleeve Style Telescopic Fork,Monoshock - Swingarm with single adjustable shock absorber,110/70-17 ,130/70-17 ,Single disc,,Single disc,,"870 mm (34.3 inches) If adjustable, lowest setting.",1000 mm (39.4 inches),2000 mm (78.7 inches),,,1350 mm (53.1 inches),15.50 litres (4.10 US gallons),,"Black, Blue, Red",Electric & kick,,124.0 kg (273.4 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia Shiver 750 GT ABS,2010,Naked bike," 3.3  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",749.9 ccm (45.76 cubic inches),"V2, four-stroke",95.0 HP (69.3  kW)) @ 9000 RPM,,11.0:1,92.0 x 56.4 mm (3.6 x 2.2 inches),Injection. Integrated engine management system.  Injection with Ride by Wire technology control of the throttle bodies and Tri-Map mapping setting,Double Overhead Cams/Twin Cam (DOHC),"Digital electronic, integrated with the injection",Liquid,6-speed,Chain   (final drive),,"Forcella upside-down, steli Ã˜ 43. Escursione ruota 120 mm.",43 mm upside-down fork. 120 mm wheel travel.,120/70-17 ,180/55-17 ,Double disc. ABS,320 mm (12.6 inches),Single disc. ABS,,"810 mm (31.9 inches) If adjustable, lowest setting.",1135 mm (44.7 inches),2265 mm (89.2 inches),800 mm (31.5 inches),,1440 mm (56.7 inches),16.00 litres (4.23 US gallons),,"Red, black, silver",,"Multi-plate in oil bath, hydraulically operated.",194.0 kg (427.7 pounds),,,,0.4897 HP/kg,Wet sump,Sistema 2 in 1 realizzato interamente in acciaio inox con catalizzatore a tre vie e sonda Lambda  Exhaust	Two in one system in 100% stainless steel with three-way catalytic converter and Lambda probe,,4,,,,109 mm (4.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,
